1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BF0000007DAC6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8236
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.615
26/1/23 10:00:01 PM,C,22.74
27/1/23 12:00:01 AM,C,22.677
27/1/23 2:00:01 AM,C,22.927
27/1/23 4:00:01 AM,C,21.176
27/1/23 6:00:01 AM,C,20.176
27/1/23 8:00:01 AM,C,19.675
27/1/23 10:00:01 AM,C,24.553
27/1/23 12:00:01 PM,C,26.428
27/1/23 2:00:01 PM,C,25.803
27/1/23 4:00:01 PM,C,24.803
27/1/23 6:00:01 PM,C,24.928
27/1/23 8:00:01 PM,C,21.802
27/1/23 10:00:01 PM,C,22.239
28/1/23 12:00:01 AM,C,22.49
28/1/23 2:00:01 AM,C,22.052
28/1/23 4:00:01 AM,C,21.552
28/1/23 6:00:01 AM,C,20.801
28/1/23 8:00:01 AM,C,21.114
28/1/23 10:00:01 AM,C,24.115
28/1/23 12:00:01 PM,C,26.615
28/1/23 2:00:01 PM,C,26.615
28/1/23 4:00:01 PM,C,25.49
28/1/23 6:00:01 PM,C,24.49
28/1/23 8:00:01 PM,C,24.365
28/1/23 10:00:01 PM,C,24.178
29/1/23 12:00:01 AM,C,23.865
29/1/23 2:00:01 AM,C,23.365
29/1/23 4:00:01 AM,C,22.802
29/1/23 6:00:01 AM,C,22.302
29/1/23 8:00:01 AM,C,21.864
29/1/23 10:00:01 AM,C,24.365
29/1/23 12:00:01 PM,C,24.803
29/1/23 2:00:01 PM,C,25.365
29/1/23 4:00:01 PM,C,23.052
29/1/23 6:00:01 PM,C,21.427
29/1/23 8:00:01 PM,C,18.925
29/1/23 10:00:01 PM,C,18.299
30/1/23 12:00:01 AM,C,17.924
30/1/23 2:00:01 AM,C,16.922
30/1/23 4:00:01 AM,C,16.86
30/1/23 6:00:01 AM,C,16.297
30/1/23 8:00:01 AM,C,16.297
30/1/23 10:00:01 AM,C,18.8
30/1/23 12:00:01 PM,C,21.427
30/1/23 2:00:01 PM,C,22.552
30/1/23 4:00:01 PM,C,22.49
30/1/23 6:00:01 PM,C,21.301
30/1/23 8:00:01 PM,C,19.926
30/1/23 10:00:01 PM,C,18.674
31/1/23 12:00:01 AM,C,18.424
31/1/23 2:00:01 AM,C,19.05
31/1/23 4:00:01 AM,C,17.799
31/1/23 6:00:01 AM,C,18.862
31/1/23 8:00:01 AM,C,18.862
31/1/23 10:00:01 AM,C,19.926
