1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DD0000007DA7E341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9027
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,68.494
26/1/23 10:01:01 PM,%RH,71.402
27/1/23 12:01:01 AM,%RH,71.978
27/1/23 2:01:01 AM,%RH,74.973
27/1/23 4:01:01 AM,%RH,69.663
27/1/23 6:01:01 AM,%RH,67.908
27/1/23 8:01:01 AM,%RH,75.256
27/1/23 10:01:01 AM,%RH,62.998
27/1/23 12:01:01 PM,%RH,48.026
27/1/23 2:01:01 PM,%RH,46.244
27/1/23 4:01:01 PM,%RH,52.341
27/1/23 6:01:01 PM,%RH,64.349
27/1/23 8:01:01 PM,%RH,71.834
27/1/23 10:01:01 PM,%RH,73.838
28/1/23 12:01:01 AM,%RH,70.679
28/1/23 2:01:01 AM,%RH,71.257
28/1/23 4:01:01 AM,%RH,71.69
28/1/23 6:01:01 AM,%RH,70.534
28/1/23 8:01:01 AM,%RH,67.614
28/1/23 10:01:01 AM,%RH,58.584
28/1/23 12:01:01 PM,%RH,29.259
28/1/23 2:01:01 PM,%RH,33.74
28/1/23 4:01:01 PM,%RH,32.712
28/1/23 6:01:01 PM,%RH,46.244
28/1/23 8:01:01 PM,%RH,54.703
28/1/23 10:01:01 PM,%RH,58.584
29/1/23 12:01:01 AM,%RH,62.244
29/1/23 2:01:01 AM,%RH,61.79
29/1/23 4:01:01 AM,%RH,62.395
29/1/23 6:01:01 AM,%RH,62.848
29/1/23 8:01:01 AM,%RH,62.848
29/1/23 10:01:01 AM,%RH,56.263
29/1/23 12:01:01 PM,%RH,56.263
29/1/23 2:01:01 PM,%RH,42.476
29/1/23 4:01:01 PM,%RH,61.638
29/1/23 6:01:01 PM,%RH,75.961
29/1/23 8:01:01 PM,%RH,86.726
29/1/23 10:01:01 PM,%RH,93.936
30/1/23 12:01:01 AM,%RH,96.426
30/1/23 2:01:01 AM,%RH,92.928
30/1/23 4:01:01 AM,%RH,92.421
30/1/23 6:01:01 AM,%RH,95.311
30/1/23 8:01:01 AM,%RH,98.508
30/1/23 10:01:01 AM,%RH,94.563
30/1/23 12:01:01 PM,%RH,83.664
30/1/23 2:01:01 PM,%RH,82.178
30/1/23 4:01:01 PM,%RH,79.718
30/1/23 6:01:01 PM,%RH,88.04
30/1/23 8:01:01 PM,%RH,94.313
30/1/23 10:01:01 PM,%RH,99.476
31/1/23 12:01:01 AM,%RH,100.198
31/1/23 2:01:01 AM,%RH,100.318
31/1/23 4:01:01 AM,%RH,100.078
31/1/23 6:01:01 AM,%RH,97.41
31/1/23 8:01:01 AM,%RH,97.655
