1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DD0000007DA7E341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9027
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,23.844
26/1/23 10:01:01 PM,C,22.593
27/1/23 12:01:01 AM,C,22.656
27/1/23 2:01:01 AM,C,22.906
27/1/23 4:01:01 AM,C,21.155
27/1/23 6:01:01 AM,C,20.092
27/1/23 8:01:01 AM,C,19.842
27/1/23 10:01:01 AM,C,24.844
27/1/23 12:01:01 PM,C,26.781
27/1/23 2:01:01 PM,C,25.969
27/1/23 4:01:01 PM,C,24.844
27/1/23 6:01:01 PM,C,24.969
27/1/23 8:01:01 PM,C,21.78
27/1/23 10:01:01 PM,C,22.218
28/1/23 12:01:01 AM,C,22.281
28/1/23 2:01:01 AM,C,21.78
28/1/23 4:01:01 AM,C,21.28
28/1/23 6:01:01 AM,C,20.592
28/1/23 8:01:01 AM,C,21.093
28/1/23 10:01:01 AM,C,24.219
28/1/23 12:01:01 PM,C,26.719
28/1/23 2:01:01 PM,C,26.719
28/1/23 4:01:01 PM,C,25.656
28/1/23 6:01:01 PM,C,24.594
28/1/23 8:01:01 PM,C,24.469
28/1/23 10:01:01 PM,C,24.219
29/1/23 12:01:01 AM,C,23.844
29/1/23 2:01:01 AM,C,23.344
29/1/23 4:01:01 AM,C,22.843
29/1/23 6:01:01 AM,C,22.281
29/1/23 8:01:01 AM,C,21.843
29/1/23 10:01:01 AM,C,23.719
29/1/23 12:01:01 PM,C,24.969
29/1/23 2:01:01 PM,C,25.469
29/1/23 4:01:01 PM,C,22.906
29/1/23 6:01:01 PM,C,21.218
29/1/23 8:01:01 PM,C,18.716
29/1/23 10:01:01 PM,C,17.777
30/1/23 12:01:01 AM,C,17.339
30/1/23 2:01:01 AM,C,16.4
30/1/23 4:01:01 AM,C,16.463
30/1/23 6:01:01 AM,C,15.962
30/1/23 8:01:01 AM,C,16.15
30/1/23 10:01:01 AM,C,19.091
30/1/23 12:01:01 PM,C,21.405
30/1/23 2:01:01 PM,C,22.593
30/1/23 4:01:01 PM,C,22.656
30/1/23 6:01:01 PM,C,21.405
30/1/23 8:01:01 PM,C,19.779
30/1/23 10:01:01 PM,C,18.34
31/1/23 12:01:01 AM,C,18.09
31/1/23 2:01:01 AM,C,18.966
31/1/23 4:01:01 AM,C,17.589
31/1/23 6:01:01 AM,C,18.841
31/1/23 8:01:01 AM,C,18.903
31/1/23 10:01:01 AM,C,19.904
31/1/23 12:01:01 PM,C,21.906
31/1/23 2:01:01 PM,C,23.281
31/1/23 4:01:01 PM,C,23.031
31/1/23 6:01:01 PM,C,22.093
31/1/23 8:01:01 PM,C,20.655
31/1/23 10:01:01 PM,C,20.154
1/2/23 12:01:01 AM,C,19.967
1/2/23 2:01:01 AM,C,19.717
1/2/23 4:01:01 AM,C,19.154
1/2/23 6:01:01 AM,C,18.278
1/2/23 8:01:01 AM,C,17.965
1/2/23 10:01:01 AM,C,19.341
1/2/23 12:01:01 PM,C,22.656
1/2/23 2:01:01 PM,C,23.781
1/2/23 4:01:01 PM,C,23.781
1/2/23 6:01:01 PM,C,22.593
1/2/23 8:01:01 PM,C,20.905
1/2/23 10:01:01 PM,C,21.03
2/2/23 12:01:01 AM,C,20.53
2/2/23 2:01:01 AM,C,19.779
2/2/23 4:01:01 AM,C,19.279
2/2/23 6:01:01 AM,C,18.716
2/2/23 8:01:01 AM,C,18.778
2/2/23 10:01:01 AM,C,20.28
2/2/23 12:01:01 PM,C,22.906
2/2/23 2:01:01 PM,C,24.531
2/2/23 4:01:01 PM,C,24.344
2/2/23 6:01:01 PM,C,22.531
2/2/23 8:01:01 PM,C,20.28
2/2/23 10:01:01 PM,C,19.154
3/2/23 12:01:01 AM,C,19.466
3/2/23 2:01:01 AM,C,19.216
3/2/23 4:01:01 AM,C,18.591
3/2/23 6:01:01 AM,C,17.402
3/2/23 8:01:01 AM,C,18.215
3/2/23 10:01:01 AM,C,20.467
3/2/23 12:01:01 PM,C,22.406
3/2/23 2:01:01 PM,C,23.594
3/2/23 4:01:01 PM,C,22.531
3/2/23 6:01:01 PM,C,22.093
3/2/23 8:01:01 PM,C,21.343
3/2/23 10:01:01 PM,C,20.092
4/2/23 12:01:01 AM,C,19.904
4/2/23 2:01:01 AM,C,19.842
4/2/23 4:01:01 AM,C,19.717
4/2/23 6:01:01 AM,C,19.779
4/2/23 8:01:01 AM,C,19.279
4/2/23 10:01:01 AM,C,20.53
4/2/23 12:01:01 PM,C,23.531
4/2/23 2:01:01 PM,C,24.969
4/2/23 4:01:01 PM,C,24.844
4/2/23 6:01:01 PM,C,23.281
4/2/23 8:01:01 PM,C,21.593
4/2/23 10:01:01 PM,C,19.779
5/2/23 12:01:01 AM,C,18.716
5/2/23 2:01:01 AM,C,18.403
5/2/23 4:01:01 AM,C,18.528
5/2/23 6:01:01 AM,C,17.277
5/2/23 8:01:01 AM,C,17.652
5/2/23 10:01:01 AM,C,20.405
5/2/23 12:01:01 PM,C,23.406
5/2/23 2:01:01 PM,C,24.719
5/2/23 4:01:01 PM,C,24.781
5/2/23 6:01:01 PM,C,23.656
5/2/23 8:01:01 PM,C,21.78
5/2/23 10:01:01 PM,C,19.842
6/2/23 12:01:01 AM,C,18.778
6/2/23 2:01:01 AM,C,19.404
6/2/23 4:01:01 AM,C,17.902
6/2/23 6:01:01 AM,C,17.339
6/2/23 8:01:01 AM,C,17.089
6/2/23 10:01:01 AM,C,20.467
6/2/23 12:01:01 PM,C,21.843
6/2/23 2:01:01 PM,C,23.281
6/2/23 4:01:01 PM,C,23.594
6/2/23 6:01:01 PM,C,22.718
6/2/23 8:01:01 PM,C,21.593
6/2/23 10:01:01 PM,C,20.842
7/2/23 12:01:01 AM,C,19.779
7/2/23 2:01:01 AM,C,18.278
7/2/23 4:01:01 AM,C,17.965
7/2/23 6:01:01 AM,C,17.715
7/2/23 8:01:01 AM,C,16.901
7/2/23 10:01:01 AM,C,19.967
7/2/23 12:01:01 PM,C,22.218
7/2/23 2:01:01 PM,C,23.844
7/2/23 4:01:01 PM,C,23.969
