1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007DA82B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8940
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,68.605
26/1/23 10:00:01 PM,%RH,69.063
27/1/23 12:00:01 AM,%RH,69.671
27/1/23 2:00:01 AM,%RH,74.03
27/1/23 4:00:01 AM,%RH,66.613
27/1/23 6:00:01 AM,%RH,62.263
27/1/23 8:00:01 AM,%RH,67.228
27/1/23 10:00:01 AM,%RH,67.688
27/1/23 12:00:01 PM,%RH,57.352
27/1/23 2:00:01 PM,%RH,48.89
27/1/23 4:00:01 PM,%RH,52.667
27/1/23 6:00:01 PM,%RH,62.89
27/1/23 8:00:01 PM,%RH,68.758
27/1/23 10:00:01 PM,%RH,70.58
28/1/23 12:00:01 AM,%RH,69.063
28/1/23 2:00:01 AM,%RH,68.605
28/1/23 4:00:01 AM,%RH,69.215
28/1/23 6:00:01 AM,%RH,66.921
28/1/23 8:00:01 AM,%RH,65.379
28/1/23 10:00:01 AM,%RH,60.058
28/1/23 12:00:01 PM,%RH,37.917
28/1/23 2:00:01 PM,%RH,35.844
28/1/23 4:00:01 PM,%RH,34.801
28/1/23 6:00:01 PM,%RH,45.057
28/1/23 8:00:01 PM,%RH,54.94
28/1/23 10:00:01 PM,%RH,58.47
29/1/23 12:00:01 AM,%RH,61.32
29/1/23 2:00:01 AM,%RH,62.263
29/1/23 4:00:01 AM,%RH,61.478
29/1/23 6:00:01 AM,%RH,63.046
29/1/23 8:00:01 AM,%RH,62.733
29/1/23 10:00:01 AM,%RH,65.533
29/1/23 12:00:01 PM,%RH,59.424
29/1/23 2:00:01 PM,%RH,44.385
29/1/23 4:00:01 PM,%RH,63.046
29/1/23 6:00:01 PM,%RH,75.661
29/1/23 8:00:01 PM,%RH,88.67
29/1/23 10:00:01 PM,%RH,96.909
30/1/23 12:00:01 AM,%RH,94.786
30/1/23 2:00:01 AM,%RH,92.229
30/1/23 4:00:01 AM,%RH,91.958
30/1/23 6:00:01 AM,%RH,95.585
30/1/23 8:00:01 AM,%RH,98.485
30/1/23 10:00:01 AM,%RH,95.585
30/1/23 12:00:01 PM,%RH,81.485
30/1/23 2:00:01 PM,%RH,76.986
30/1/23 4:00:01 PM,%RH,82.487
30/1/23 6:00:01 PM,%RH,89.635
30/1/23 8:00:01 PM,%RH,95.585
30/1/23 10:00:01 PM,%RH,98.876
31/1/23 12:00:01 AM,%RH,99.786
31/1/23 2:00:01 AM,%RH,99.915
31/1/23 4:00:01 AM,%RH,100.174
31/1/23 6:00:01 AM,%RH,95.718
31/1/23 8:00:01 AM,%RH,97.699
31/1/23 10:00:01 AM,%RH,96.645
31/1/23 12:00:01 PM,%RH,86.585
31/1/23 2:00:01 PM,%RH,72.537
31/1/23 4:00:01 PM,%RH,74.179
31/1/23 6:00:01 PM,%RH,77.865
31/1/23 8:00:01 PM,%RH,81.772
31/1/23 10:00:01 PM,%RH,83.2
1/2/23 12:00:01 AM,%RH,76.398
1/2/23 2:00:01 AM,%RH,74.921
1/2/23 4:00:01 AM,%RH,79.9
1/2/23 6:00:01 AM,%RH,83.484
1/2/23 8:00:01 AM,%RH,87.978
1/2/23 10:00:01 AM,%RH,79.175
1/2/23 12:00:01 PM,%RH,59.106
1/2/23 2:00:01 PM,%RH,53.156
1/2/23 4:00:01 PM,%RH,50.374
1/2/23 6:00:01 PM,%RH,54.454
1/2/23 8:00:01 PM,%RH,64.759
1/2/23 10:00:01 PM,%RH,70.58
2/2/23 12:00:01 AM,%RH,72.237
2/2/23 2:00:01 AM,%RH,78.594
2/2/23 4:00:01 AM,%RH,84.335
2/2/23 6:00:01 AM,%RH,85.604
2/2/23 8:00:01 AM,%RH,82.059
2/2/23 10:00:01 AM,%RH,76.251
2/2/23 12:00:01 PM,%RH,52.504
2/2/23 2:00:01 PM,%RH,44.889
2/2/23 4:00:01 PM,%RH,50.045
2/2/23 6:00:01 PM,%RH,56.068
2/2/23 8:00:01 PM,%RH,59.741
2/2/23 10:00:01 PM,%RH,67.841
3/2/23 12:00:01 AM,%RH,71.786
3/2/23 2:00:01 AM,%RH,72.687
3/2/23 4:00:01 AM,%RH,72.836
3/2/23 6:00:01 AM,%RH,75.365
3/2/23 8:00:01 AM,%RH,71.485
3/2/23 10:00:01 AM,%RH,59.265
3/2/23 12:00:01 PM,%RH,52.014
3/2/23 2:00:01 PM,%RH,57.991
3/2/23 4:00:01 PM,%RH,65.997
3/2/23 6:00:01 PM,%RH,70.731
3/2/23 8:00:01 PM,%RH,78.157
3/2/23 10:00:01 PM,%RH,85.182
4/2/23 12:00:01 AM,%RH,87.7
4/2/23 2:00:01 AM,%RH,72.687
4/2/23 4:00:01 AM,%RH,73.135
4/2/23 6:00:01 AM,%RH,74.625
4/2/23 8:00:01 AM,%RH,81.342
4/2/23 10:00:01 AM,%RH,78.157
4/2/23 12:00:01 PM,%RH,67.841
4/2/23 2:00:01 PM,%RH,58.629
4/2/23 4:00:01 PM,%RH,59.265
4/2/23 6:00:01 PM,%RH,72.237
4/2/23 8:00:01 PM,%RH,88.255
4/2/23 10:00:01 PM,%RH,94.518
5/2/23 12:00:01 AM,%RH,96.645
5/2/23 2:00:01 AM,%RH,83.484
5/2/23 4:00:01 AM,%RH,82.915
5/2/23 6:00:01 AM,%RH,85.885
5/2/23 8:00:01 AM,%RH,92.094
5/2/23 10:00:01 AM,%RH,82.773
5/2/23 12:00:01 PM,%RH,70.58
5/2/23 2:00:01 PM,%RH,63.514
5/2/23 4:00:01 PM,%RH,64.759
5/2/23 6:00:01 PM,%RH,83.484
5/2/23 8:00:01 PM,%RH,87.422
5/2/23 10:00:01 PM,%RH,95.851
6/2/23 12:00:01 AM,%RH,97.436
6/2/23 2:00:01 AM,%RH,93.714
6/2/23 4:00:01 AM,%RH,84.335
6/2/23 6:00:01 AM,%RH,80.91
6/2/23 8:00:01 AM,%RH,87.978
6/2/23 10:00:01 AM,%RH,77.426
6/2/23 12:00:01 PM,%RH,71.786
6/2/23 2:00:01 PM,%RH,65.224
6/2/23 4:00:01 PM,%RH,57.991
6/2/23 6:00:01 PM,%RH,74.03
6/2/23 8:00:01 PM,%RH,91.278
6/2/23 10:00:01 PM,%RH,95.452
7/2/23 12:00:01 AM,%RH,98.485
7/2/23 2:00:01 AM,%RH,98.615
7/2/23 4:00:01 AM,%RH,95.319
7/2/23 6:00:01 AM,%RH,91.414
7/2/23 8:00:01 AM,%RH,90.458
7/2/23 10:00:01 AM,%RH,89.222
7/2/23 12:00:01 PM,%RH,73.434
7/2/23 2:00:01 PM,%RH,75.365
7/2/23 4:00:01 PM,%RH,76.986
7/2/23 6:00:01 PM,%RH,86.585
7/2/23 8:00:01 PM,%RH,95.851
7/2/23 10:00:01 PM,%RH,98.354
8/2/23 12:00:01 AM,%RH,99.397
8/2/23 2:00:01 AM,%RH,99.267
8/2/23 4:00:01 AM,%RH,94.518
8/2/23 6:00:01 AM,%RH,88.946
8/2/23 8:00:01 AM,%RH,86.165
8/2/23 10:00:01 AM,%RH,85.604
8/2/23 12:00:01 PM,%RH,71.786
8/2/23 2:00:01 PM,%RH,64.293
8/2/23 4:00:01 PM,%RH,72.087
8/2/23 6:00:01 PM,%RH,81.629
8/2/23 8:00:01 PM,%RH,90.458
8/2/23 10:00:01 PM,%RH,96.645
9/2/23 12:00:01 AM,%RH,96.116
9/2/23 2:00:01 AM,%RH,89.084
9/2/23 4:00:01 AM,%RH,79.321
9/2/23 6:00:01 AM,%RH,86.585
9/2/23 8:00:01 AM,%RH,89.222
9/2/23 10:00:01 AM,%RH,86.025
9/2/23 12:00:01 PM,%RH,73.135
9/2/23 2:00:01 PM,%RH,63.046
9/2/23 4:00:01 PM,%RH,72.836
9/2/23 6:00:01 PM,%RH,83.768
9/2/23 8:00:01 PM,%RH,94.786
9/2/23 10:00:01 PM,%RH,97.961
10/2/23 12:00:01 AM,%RH,98.746
10/2/23 2:00:01 AM,%RH,100.304
10/2/23 4:00:01 AM,%RH,99.137
10/2/23 6:00:01 AM,%RH,89.36
10/2/23 8:00:01 AM,%RH,90.047
10/2/23 10:00:01 AM,%RH,84.052
10/2/23 12:00:01 PM,%RH,64.759
10/2/23 2:00:01 PM,%RH,46.897
10/2/23 4:00:01 PM,%RH,42.02
10/2/23 6:00:01 PM,%RH,50.045
10/2/23 8:00:01 PM,%RH,55.585
10/2/23 10:00:01 PM,%RH,61.163
11/2/23 12:00:01 AM,%RH,52.504
11/2/23 2:00:01 AM,%RH,51.523
11/2/23 4:00:01 AM,%RH,62.89
11/2/23 6:00:01 AM,%RH,68.3
11/2/23 8:00:01 AM,%RH,70.429
11/2/23 10:00:01 AM,%RH,65.533
11/2/23 12:00:01 PM,%RH,50.374
11/2/23 2:00:01 PM,%RH,38.261
11/2/23 4:00:01 PM,%RH,38.433
11/2/23 6:00:01 PM,%RH,39.634
11/2/23 8:00:01 PM,%RH,81.772
11/2/23 10:00:01 PM,%RH,89.773
12/2/23 12:00:01 AM,%RH,53.968
12/2/23 2:00:01 AM,%RH,42.02
12/2/23 4:00:01 AM,%RH,51.523
12/2/23 6:00:01 AM,%RH,59.899
12/2/23 8:00:01 AM,%RH,60.532
12/2/23 10:00:01 AM,%RH,58.151
12/2/23 12:00:01 PM,%RH,39.805
12/2/23 2:00:01 PM,%RH,34.453
12/2/23 4:00:01 PM,%RH,30.77
12/2/23 6:00:01 PM,%RH,53.319
12/2/23 8:00:01 PM,%RH,90.732
12/2/23 10:00:01 PM,%RH,89.498
13/2/23 12:00:01 AM,%RH,65.533
13/2/23 2:00:01 AM,%RH,52.178
13/2/23 4:00:01 AM,%RH,54.293
13/2/23 6:00:01 AM,%RH,59.106
13/2/23 8:00:01 AM,%RH,61.163
13/2/23 10:00:01 AM,%RH,57.832
13/2/23 12:00:01 PM,%RH,41.51
13/2/23 2:00:01 PM,%RH,39.634
13/2/23 4:00:01 PM,%RH,38.089
13/2/23 6:00:01 PM,%RH,40.318
13/2/23 8:00:01 PM,%RH,69.823
13/2/23 10:00:01 PM,%RH,85.323
14/2/23 12:00:01 AM,%RH,82.915
14/2/23 2:00:01 AM,%RH,58.788
14/2/23 4:00:01 AM,%RH,61.005
14/2/23 6:00:01 AM,%RH,61.32
14/2/23 8:00:01 AM,%RH,71.335
14/2/23 10:00:01 AM,%RH,67.228
14/2/23 12:00:01 PM,%RH,50.867
14/2/23 2:00:01 PM,%RH,33.58
14/2/23 4:00:01 PM,%RH,55.585
14/2/23 6:00:01 PM,%RH,64.759
14/2/23 8:00:01 PM,%RH,91.005
14/2/23 10:00:01 PM,%RH,95.319
15/2/23 12:00:01 AM,%RH,97.567
15/2/23 2:00:01 AM,%RH,69.215
15/2/23 4:00:01 AM,%RH,59.106
15/2/23 6:00:01 AM,%RH,55.263
15/2/23 8:00:01 AM,%RH,54.616
15/2/23 10:00:01 AM,%RH,57.032
15/2/23 12:00:01 PM,%RH,35.844
15/2/23 2:00:01 PM,%RH,34.453
15/2/23 4:00:01 PM,%RH,31.475
15/2/23 6:00:01 PM,%RH,33.58
15/2/23 8:00:01 PM,%RH,45.728
15/2/23 10:00:01 PM,%RH,82.915
16/2/23 12:00:01 AM,%RH,63.67
16/2/23 2:00:01 AM,%RH,51.523
16/2/23 4:00:01 AM,%RH,52.993
16/2/23 6:00:01 AM,%RH,64.293
16/2/23 8:00:01 AM,%RH,66.767
16/2/23 10:00:01 AM,%RH,62.263
16/2/23 12:00:01 PM,%RH,34.627
16/2/23 2:00:01 PM,%RH,33.23
16/2/23 4:00:01 PM,%RH,31.123
16/2/23 6:00:01 PM,%RH,35.67
16/2/23 8:00:01 PM,%RH,64.137
16/2/23 10:00:01 PM,%RH,85.182
17/2/23 12:00:01 AM,%RH,80.045
17/2/23 2:00:01 AM,%RH,56.55
17/2/23 4:00:01 AM,%RH,66.767
17/2/23 6:00:01 AM,%RH,70.882
17/2/23 8:00:01 AM,%RH,71.937
17/2/23 10:00:01 AM,%RH,67.535
17/2/23 12:00:01 PM,%RH,37.228
17/2/23 2:00:01 PM,%RH,32.179
17/2/23 4:00:01 PM,%RH,29.887
17/2/23 6:00:01 PM,%RH,35.844
17/2/23 8:00:01 PM,%RH,85.182
17/2/23 10:00:01 PM,%RH,92.229
18/2/23 12:00:01 AM,%RH,89.773
18/2/23 2:00:01 AM,%RH,71.786
18/2/23 4:00:01 AM,%RH,67.382
18/2/23 6:00:01 AM,%RH,69.974
18/2/23 8:00:01 AM,%RH,75.218
18/2/23 10:00:01 AM,%RH,72.986
18/2/23 12:00:01 PM,%RH,55.907
18/2/23 2:00:01 PM,%RH,58.151
18/2/23 4:00:01 PM,%RH,63.67
18/2/23 6:00:01 PM,%RH,81.342
18/2/23 8:00:01 PM,%RH,92.906
18/2/23 10:00:01 PM,%RH,94.116
19/2/23 12:00:01 AM,%RH,97.436
19/2/23 2:00:01 AM,%RH,97.699
19/2/23 4:00:01 AM,%RH,98.223
19/2/23 6:00:01 AM,%RH,97.304
19/2/23 8:00:01 AM,%RH,96.909
19/2/23 10:00:01 AM,%RH,85.182
19/2/23 12:00:01 PM,%RH,62.733
19/2/23 2:00:01 PM,%RH,51.032
19/2/23 4:00:01 PM,%RH,71.033
19/2/23 6:00:01 PM,%RH,81.485
19/2/23 8:00:01 PM,%RH,92.094
