1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007DA82B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8940
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.137
26/1/23 10:00:01 PM,C,23.262
27/1/23 12:00:01 AM,C,23.199
27/1/23 2:00:01 AM,C,23.324
27/1/23 4:00:01 AM,C,22.386
27/1/23 6:00:01 AM,C,21.761
27/1/23 8:00:01 AM,C,21.574
27/1/23 10:00:01 AM,C,23.637
27/1/23 12:00:01 PM,C,24.637
27/1/23 2:00:01 PM,C,25.387
27/1/23 4:00:01 PM,C,24.887
27/1/23 6:00:01 PM,C,24.637
27/1/23 8:00:01 PM,C,22.761
27/1/23 10:00:01 PM,C,23.011
28/1/23 12:00:01 AM,C,22.886
28/1/23 2:00:01 AM,C,22.511
28/1/23 4:00:01 AM,C,22.136
28/1/23 6:00:01 AM,C,21.574
28/1/23 8:00:01 AM,C,21.824
28/1/23 10:00:01 AM,C,23.887
28/1/23 12:00:01 PM,C,25.324
28/1/23 2:00:01 PM,C,25.824
28/1/23 4:00:01 PM,C,25.199
28/1/23 6:00:01 PM,C,24.262
28/1/23 8:00:01 PM,C,24.199
28/1/23 10:00:01 PM,C,24.074
29/1/23 12:00:01 AM,C,23.824
29/1/23 2:00:01 AM,C,23.387
29/1/23 4:00:01 AM,C,22.949
29/1/23 6:00:01 AM,C,22.449
29/1/23 8:00:01 AM,C,22.011
29/1/23 10:00:01 AM,C,22.449
29/1/23 12:00:01 PM,C,24.387
29/1/23 2:00:01 PM,C,25.199
29/1/23 4:00:01 PM,C,23.637
29/1/23 6:00:01 PM,C,21.386
29/1/23 8:00:01 PM,C,19.198
29/1/23 10:00:01 PM,C,18.697
30/1/23 12:00:01 AM,C,18.009
30/1/23 2:00:01 AM,C,17.259
30/1/23 4:00:01 AM,C,17.071
30/1/23 6:00:01 AM,C,16.508
30/1/23 8:00:01 AM,C,16.571
30/1/23 10:00:01 AM,C,18.885
30/1/23 12:00:01 PM,C,21.699
30/1/23 2:00:01 PM,C,23.324
30/1/23 4:00:01 PM,C,22.511
30/1/23 6:00:01 PM,C,21.323
30/1/23 8:00:01 PM,C,19.948
30/1/23 10:00:01 PM,C,19.072
31/1/23 12:00:01 AM,C,18.822
31/1/23 2:00:01 AM,C,19.198
31/1/23 4:00:01 AM,C,17.947
31/1/23 6:00:01 AM,C,19.01
31/1/23 8:00:01 AM,C,18.947
31/1/23 10:00:01 AM,C,20.01
31/1/23 12:00:01 PM,C,22.074
31/1/23 2:00:01 PM,C,23.699
31/1/23 4:00:01 PM,C,23.512
31/1/23 6:00:01 PM,C,22.386
31/1/23 8:00:01 PM,C,21.198
31/1/23 10:00:01 PM,C,20.573
1/2/23 12:00:01 AM,C,20.198
1/2/23 2:00:01 AM,C,19.823
1/2/23 4:00:01 AM,C,18.885
1/2/23 6:00:01 AM,C,18.134
1/2/23 8:00:01 AM,C,17.759
1/2/23 10:00:01 AM,C,19.323
1/2/23 12:00:01 PM,C,22.261
1/2/23 2:00:01 PM,C,24.074
1/2/23 4:00:01 PM,C,24.262
1/2/23 6:00:01 PM,C,22.949
1/2/23 8:00:01 PM,C,21.574
1/2/23 10:00:01 PM,C,21.198
2/2/23 12:00:01 AM,C,20.511
2/2/23 2:00:01 AM,C,19.323
2/2/23 4:00:01 AM,C,18.822
2/2/23 6:00:01 AM,C,18.197
2/2/23 8:00:01 AM,C,18.572
2/2/23 10:00:01 AM,C,20.073
2/2/23 12:00:01 PM,C,22.949
2/2/23 2:00:01 PM,C,24.824
2/2/23 4:00:01 PM,C,24.574
2/2/23 6:00:01 PM,C,22.636
2/2/23 8:00:01 PM,C,21.261
2/2/23 10:00:01 PM,C,20.01
3/2/23 12:00:01 AM,C,19.635
3/2/23 2:00:01 AM,C,18.822
3/2/23 4:00:01 AM,C,18.26
3/2/23 6:00:01 AM,C,17.259
3/2/23 8:00:01 AM,C,17.947
3/2/23 10:00:01 AM,C,20.198
3/2/23 12:00:01 PM,C,22.636
3/2/23 2:00:01 PM,C,23.762
3/2/23 4:00:01 PM,C,23.136
3/2/23 6:00:01 PM,C,22.574
3/2/23 8:00:01 PM,C,21.824
3/2/23 10:00:01 PM,C,20.573
4/2/23 12:00:01 AM,C,20.386
4/2/23 2:00:01 AM,C,20.136
4/2/23 4:00:01 AM,C,19.698
4/2/23 6:00:01 AM,C,19.448
4/2/23 8:00:01 AM,C,18.822
4/2/23 10:00:01 AM,C,20.323
4/2/23 12:00:01 PM,C,23.574
4/2/23 2:00:01 PM,C,25.262
4/2/23 4:00:01 PM,C,25.137
4/2/23 6:00:01 PM,C,23.699
4/2/23 8:00:01 PM,C,21.824
4/2/23 10:00:01 PM,C,20.198
5/2/23 12:00:01 AM,C,19.01
5/2/23 2:00:01 AM,C,19.635
5/2/23 4:00:01 AM,C,19.135
5/2/23 6:00:01 AM,C,18.134
5/2/23 8:00:01 AM,C,18.009
5/2/23 10:00:01 AM,C,20.448
5/2/23 12:00:01 PM,C,23.637
5/2/23 2:00:01 PM,C,25.074
5/2/23 4:00:01 PM,C,25.574
5/2/23 6:00:01 PM,C,23.762
5/2/23 8:00:01 PM,C,22.136
5/2/23 10:00:01 PM,C,20.636
6/2/23 12:00:01 AM,C,19.323
6/2/23 2:00:01 AM,C,20.073
6/2/23 4:00:01 AM,C,18.385
6/2/23 6:00:01 AM,C,17.509
6/2/23 8:00:01 AM,C,17.196
6/2/23 10:00:01 AM,C,20.136
6/2/23 12:00:01 PM,C,22.261
6/2/23 2:00:01 PM,C,23.699
6/2/23 4:00:01 PM,C,24.199
6/2/23 6:00:01 PM,C,22.824
6/2/23 8:00:01 PM,C,21.574
6/2/23 10:00:01 PM,C,20.886
7/2/23 12:00:01 AM,C,19.823
7/2/23 2:00:01 AM,C,18.822
7/2/23 4:00:01 AM,C,18.635
7/2/23 6:00:01 AM,C,18.76
7/2/23 8:00:01 AM,C,17.822
7/2/23 10:00:01 AM,C,20.01
7/2/23 12:00:01 PM,C,22.949
7/2/23 2:00:01 PM,C,24.449
7/2/23 4:00:01 PM,C,23.699
7/2/23 6:00:01 PM,C,22.386
7/2/23 8:00:01 PM,C,21.761
7/2/23 10:00:01 PM,C,20.448
8/2/23 12:00:01 AM,C,19.635
8/2/23 2:00:01 AM,C,19.448
8/2/23 4:00:01 AM,C,19.635
8/2/23 6:00:01 AM,C,19.51
8/2/23 8:00:01 AM,C,19.698
8/2/23 10:00:01 AM,C,20.698
8/2/23 12:00:01 PM,C,23.262
8/2/23 2:00:01 PM,C,25.199
8/2/23 4:00:01 PM,C,25.449
8/2/23 6:00:01 PM,C,23.512
8/2/23 8:00:01 PM,C,21.636
8/2/23 10:00:01 PM,C,20.323
9/2/23 12:00:01 AM,C,19.135
9/2/23 2:00:01 AM,C,19.385
9/2/23 4:00:01 AM,C,19.135
9/2/23 6:00:01 AM,C,17.697
9/2/23 8:00:01 AM,C,17.572
9/2/23 10:00:01 AM,C,20.136
9/2/23 12:00:01 PM,C,23.074
9/2/23 2:00:01 PM,C,24.887
9/2/23 4:00:01 PM,C,24.262
9/2/23 6:00:01 PM,C,22.761
9/2/23 8:00:01 PM,C,21.323
9/2/23 10:00:01 PM,C,20.261
10/2/23 12:00:01 AM,C,19.51
10/2/23 2:00:01 AM,C,18.885
10/2/23 4:00:01 AM,C,16.508
10/2/23 6:00:01 AM,C,16.633
10/2/23 8:00:01 AM,C,17.634
10/2/23 10:00:01 AM,C,19.76
10/2/23 12:00:01 PM,C,22.886
10/2/23 2:00:01 PM,C,25.262
10/2/23 4:00:01 PM,C,25.262
10/2/23 6:00:01 PM,C,23.949
10/2/23 8:00:01 PM,C,22.636
10/2/23 10:00:01 PM,C,20.761
11/2/23 12:00:01 AM,C,20.823
11/2/23 2:00:01 AM,C,20.698
11/2/23 4:00:01 AM,C,18.76
11/2/23 6:00:01 AM,C,18.072
11/2/23 8:00:01 AM,C,18.385
11/2/23 10:00:01 AM,C,20.448
11/2/23 12:00:01 PM,C,24.449
11/2/23 2:00:01 PM,C,25.949
11/2/23 4:00:01 PM,C,26.137
11/2/23 6:00:01 PM,C,25.699
11/2/23 8:00:01 PM,C,21.949
11/2/23 10:00:01 PM,C,19.51
12/2/23 12:00:01 AM,C,20.511
12/2/23 2:00:01 AM,C,21.073
12/2/23 4:00:01 AM,C,19.635
12/2/23 6:00:01 AM,C,19.01
12/2/23 8:00:01 AM,C,18.76
12/2/23 10:00:01 AM,C,21.261
12/2/23 12:00:01 PM,C,24.824
12/2/23 2:00:01 PM,C,26.762
12/2/23 4:00:01 PM,C,27.137
12/2/23 6:00:01 PM,C,25.074
12/2/23 8:00:01 PM,C,22.324
12/2/23 10:00:01 PM,C,19.823
13/2/23 12:00:01 AM,C,20.198
13/2/23 2:00:01 AM,C,20.386
13/2/23 4:00:01 AM,C,19.26
13/2/23 6:00:01 AM,C,18.447
13/2/23 8:00:01 AM,C,18.197
13/2/23 10:00:01 AM,C,20.886
13/2/23 12:00:01 PM,C,24.762
13/2/23 2:00:01 PM,C,26.387
13/2/23 4:00:01 PM,C,26.824
13/2/23 6:00:01 PM,C,25.012
13/2/23 8:00:01 PM,C,21.574
13/2/23 10:00:01 PM,C,19.385
14/2/23 12:00:01 AM,C,19.072
14/2/23 2:00:01 AM,C,19.51
14/2/23 4:00:01 AM,C,18.76
14/2/23 6:00:01 AM,C,18.134
14/2/23 8:00:01 AM,C,17.884
14/2/23 10:00:01 AM,C,20.261
14/2/23 12:00:01 PM,C,24.199
14/2/23 2:00:01 PM,C,26.137
14/2/23 4:00:01 PM,C,25.512
14/2/23 6:00:01 PM,C,23.199
14/2/23 8:00:01 PM,C,21.323
14/2/23 10:00:01 PM,C,19.76
15/2/23 12:00:01 AM,C,18.635
15/2/23 2:00:01 AM,C,18.76
15/2/23 4:00:01 AM,C,18.76
15/2/23 6:00:01 AM,C,18.322
15/2/23 8:00:01 AM,C,18.76
15/2/23 10:00:01 AM,C,20.573
15/2/23 12:00:01 PM,C,24.762
15/2/23 2:00:01 PM,C,26.512
15/2/23 4:00:01 PM,C,26.762
15/2/23 6:00:01 PM,C,24.699
15/2/23 8:00:01 PM,C,21.824
15/2/23 10:00:01 PM,C,20.136
16/2/23 12:00:01 AM,C,18.822
16/2/23 2:00:01 AM,C,19.51
16/2/23 4:00:01 AM,C,19.198
16/2/23 6:00:01 AM,C,17.884
16/2/23 8:00:01 AM,C,18.072
16/2/23 10:00:01 AM,C,20.323
16/2/23 12:00:01 PM,C,25.262
16/2/23 2:00:01 PM,C,26.387
16/2/23 4:00:01 PM,C,26.574
16/2/23 6:00:01 PM,C,25.012
16/2/23 8:00:01 PM,C,21.824
16/2/23 10:00:01 PM,C,19.698
17/2/23 12:00:01 AM,C,18.76
17/2/23 2:00:01 AM,C,19.135
17/2/23 4:00:01 AM,C,17.822
17/2/23 6:00:01 AM,C,17.697
17/2/23 8:00:01 AM,C,17.884
17/2/23 10:00:01 AM,C,20.448
17/2/23 12:00:01 PM,C,24.824
17/2/23 2:00:01 PM,C,26.324
17/2/23 4:00:01 PM,C,26.387
