1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AD0000007DAAB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9827
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,64.981
26/1/23 10:00:01 PM,%RH,67.774
27/1/23 12:00:01 AM,%RH,68.212
27/1/23 2:00:01 AM,%RH,72.987
27/1/23 4:00:01 AM,%RH,65.571
27/1/23 6:00:01 AM,%RH,60.963
27/1/23 8:00:01 AM,%RH,66.748
27/1/23 10:00:01 AM,%RH,67.628
27/1/23 12:00:01 PM,%RH,53.829
27/1/23 2:00:01 PM,%RH,48.716
27/1/23 4:00:01 PM,%RH,51.206
27/1/23 6:00:01 PM,%RH,60.663
27/1/23 8:00:01 PM,%RH,65.129
27/1/23 10:00:01 PM,%RH,68.65
28/1/23 12:00:01 AM,%RH,66.895
28/1/23 2:00:01 AM,%RH,67.481
28/1/23 4:00:01 AM,%RH,67.335
28/1/23 6:00:01 AM,%RH,64.537
28/1/23 8:00:01 AM,%RH,65.571
28/1/23 10:00:01 AM,%RH,60.212
28/1/23 12:00:01 PM,%RH,41.923
28/1/23 2:00:01 PM,%RH,37.421
28/1/23 4:00:01 PM,%RH,35.635
28/1/23 6:00:01 PM,%RH,49.808
28/1/23 8:00:01 PM,%RH,58.403
28/1/23 10:00:01 PM,%RH,61.112
29/1/23 12:00:01 AM,%RH,64.389
29/1/23 2:00:01 AM,%RH,61.711
29/1/23 4:00:01 AM,%RH,61.562
29/1/23 6:00:01 AM,%RH,60.062
29/1/23 8:00:01 AM,%RH,60.663
29/1/23 10:00:01 AM,%RH,62.458
29/1/23 12:00:01 PM,%RH,57.646
29/1/23 2:00:01 PM,%RH,46.048
29/1/23 4:00:01 PM,%RH,58.403
29/1/23 6:00:01 PM,%RH,69.378
29/1/23 8:00:01 PM,%RH,87.874
29/1/23 10:00:01 PM,%RH,95.303
30/1/23 12:00:01 AM,%RH,95.042
30/1/23 2:00:01 AM,%RH,92.81
30/1/23 4:00:01 AM,%RH,92.546
30/1/23 6:00:01 AM,%RH,93.469
30/1/23 8:00:01 AM,%RH,98.024
