1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AD0000007DAAB541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9827
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.422
26/1/23 10:00:01 PM,C,23.172
27/1/23 12:00:01 AM,C,23.109
27/1/23 2:00:01 AM,C,23.172
27/1/23 4:00:01 AM,C,22.297
27/1/23 6:00:01 AM,C,21.797
27/1/23 8:00:01 AM,C,21.422
27/1/23 10:00:01 AM,C,23.484
27/1/23 12:00:01 PM,C,24.484
27/1/23 2:00:01 PM,C,25.422
27/1/23 4:00:01 PM,C,24.984
27/1/23 6:00:01 PM,C,24.359
27/1/23 8:00:01 PM,C,23.234
27/1/23 10:00:01 PM,C,23.234
28/1/23 12:00:01 AM,C,22.797
28/1/23 2:00:01 AM,C,22.484
28/1/23 4:00:01 AM,C,22.109
28/1/23 6:00:01 AM,C,21.672
28/1/23 8:00:01 AM,C,21.797
28/1/23 10:00:01 AM,C,23.984
28/1/23 12:00:01 PM,C,24.922
28/1/23 2:00:01 PM,C,25.422
28/1/23 4:00:01 PM,C,24.797
28/1/23 6:00:01 PM,C,23.734
28/1/23 8:00:01 PM,C,23.797
28/1/23 10:00:01 PM,C,23.734
29/1/23 12:00:01 AM,C,23.547
29/1/23 2:00:01 AM,C,23.297
29/1/23 4:00:01 AM,C,23.047
29/1/23 6:00:01 AM,C,22.734
29/1/23 8:00:01 AM,C,22.422
29/1/23 10:00:01 AM,C,22.797
29/1/23 12:00:01 PM,C,24.484
29/1/23 2:00:01 PM,C,25.422
29/1/23 4:00:01 PM,C,24.422
29/1/23 6:00:01 PM,C,22.109
29/1/23 8:00:01 PM,C,18.546
29/1/23 10:00:01 PM,C,16.921
30/1/23 12:00:01 AM,C,17.796
30/1/23 2:00:01 AM,C,16.921
30/1/23 4:00:01 AM,C,16.733
30/1/23 6:00:01 AM,C,16.358
30/1/23 8:00:01 AM,C,15.358
30/1/23 10:00:01 AM,C,19.046
30/1/23 12:00:01 PM,C,22.172
30/1/23 2:00:01 PM,C,23.984
30/1/23 4:00:01 PM,C,22.922
30/1/23 6:00:01 PM,C,21.797
30/1/23 8:00:01 PM,C,19.734
30/1/23 10:00:01 PM,C,18.109
31/1/23 12:00:01 AM,C,17.421
31/1/23 2:00:01 AM,C,17.421
31/1/23 4:00:01 AM,C,17.108
31/1/23 6:00:01 AM,C,17.858
31/1/23 8:00:01 AM,C,18.046
31/1/23 10:00:01 AM,C,20.171
31/1/23 12:00:01 PM,C,22.234
31/1/23 2:00:01 PM,C,24.547
31/1/23 4:00:01 PM,C,23.609
31/1/23 6:00:01 PM,C,22.297
31/1/23 8:00:01 PM,C,19.859
31/1/23 10:00:01 PM,C,18.984
1/2/23 12:00:01 AM,C,18.359
1/2/23 2:00:01 AM,C,18.296
1/2/23 4:00:01 AM,C,17.483
1/2/23 6:00:01 AM,C,16.671
1/2/23 8:00:01 AM,C,16.796
1/2/23 10:00:01 AM,C,19.296
1/2/23 12:00:01 PM,C,22.359
1/2/23 2:00:01 PM,C,24.359
1/2/23 4:00:01 PM,C,24.609
1/2/23 6:00:01 PM,C,22.859
1/2/23 8:00:01 PM,C,19.546
1/2/23 10:00:01 PM,C,19.734
2/2/23 12:00:01 AM,C,18.984
2/2/23 2:00:01 AM,C,18.734
2/2/23 4:00:01 AM,C,18.484
2/2/23 6:00:01 AM,C,17.983
2/2/23 8:00:01 AM,C,18.109
2/2/23 10:00:01 AM,C,20.296
2/2/23 12:00:01 PM,C,23.422
2/2/23 2:00:01 PM,C,24.922
2/2/23 4:00:01 PM,C,24.609
2/2/23 6:00:01 PM,C,22.797
2/2/23 8:00:01 PM,C,18.984
2/2/23 10:00:01 PM,C,18.484
3/2/23 12:00:01 AM,C,18.546
3/2/23 2:00:01 AM,C,18.171
3/2/23 4:00:01 AM,C,17.858
3/2/23 6:00:01 AM,C,16.733
3/2/23 8:00:01 AM,C,16.983
3/2/23 10:00:01 AM,C,19.984
3/2/23 12:00:01 PM,C,22.734
3/2/23 2:00:01 PM,C,24.297
3/2/23 4:00:01 PM,C,23.297
3/2/23 6:00:01 PM,C,22.484
3/2/23 8:00:01 PM,C,20.859
3/2/23 10:00:01 PM,C,19.859
