1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E60000007D83E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  11898
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,65.542
26/1/23 10:01:01 PM,%RH,70.542
27/1/23 12:01:01 AM,%RH,71.993
27/1/23 2:01:01 AM,%RH,75.436
27/1/23 4:01:01 AM,%RH,68.349
27/1/23 6:01:01 AM,%RH,67.024
27/1/23 8:01:01 AM,%RH,74.723
27/1/23 10:01:01 AM,%RH,62.401
27/1/23 12:01:01 PM,%RH,46.405
27/1/23 2:01:01 PM,%RH,42.375
27/1/23 4:01:01 PM,%RH,48.159
27/1/23 6:01:01 PM,%RH,61.496
27/1/23 8:01:01 PM,%RH,70.105
27/1/23 10:01:01 PM,%RH,70.688
28/1/23 12:01:01 AM,%RH,69.814
28/1/23 2:01:01 AM,%RH,70.833
28/1/23 4:01:01 AM,%RH,72.137
28/1/23 6:01:01 AM,%RH,70.251
28/1/23 8:01:01 AM,%RH,69.522
28/1/23 10:01:01 AM,%RH,56.459
28/1/23 12:01:01 PM,%RH,27.56
28/1/23 2:01:01 PM,%RH,30.615
28/1/23 4:01:01 PM,%RH,31.29
28/1/23 6:01:01 PM,%RH,46.565
28/1/23 8:01:01 PM,%RH,53.201
28/1/23 10:01:01 PM,%RH,58.302
29/1/23 12:01:01 AM,%RH,61.496
29/1/23 2:01:01 AM,%RH,61.647
29/1/23 4:01:01 AM,%RH,62.25
29/1/23 6:01:01 AM,%RH,62.401
29/1/23 8:01:01 AM,%RH,63.452
29/1/23 10:01:01 AM,%RH,60.284
29/1/23 12:01:01 PM,%RH,57.689
29/1/23 2:01:01 PM,%RH,46.244
29/1/23 4:01:01 PM,%RH,57.075
29/1/23 6:01:01 PM,%RH,66.876
29/1/23 8:01:01 PM,%RH,86.395
29/1/23 10:01:01 PM,%RH,92.38
30/1/23 12:01:01 AM,%RH,93.685
30/1/23 2:01:01 AM,%RH,93.034
30/1/23 4:01:01 AM,%RH,91.856
30/1/23 6:01:01 AM,%RH,93.034
30/1/23 8:01:01 AM,%RH,95.882
30/1/23 10:01:01 AM,%RH,89.876
30/1/23 12:01:01 PM,%RH,77.983
30/1/23 2:01:01 PM,%RH,72.426
30/1/23 4:01:01 PM,%RH,80.362
30/1/23 6:01:01 PM,%RH,82.163
30/1/23 8:01:01 PM,%RH,93.034
30/1/23 10:01:01 PM,%RH,96.651
31/1/23 12:01:01 AM,%RH,97.289
31/1/23 2:01:01 AM,%RH,97.289
31/1/23 4:01:01 AM,%RH,97.544
31/1/23 6:01:01 AM,%RH,99.19
31/1/23 8:01:01 AM,%RH,98.686
31/1/23 10:01:01 AM,%RH,96.01
31/1/23 12:01:01 PM,%RH,86.8
31/1/23 2:01:01 PM,%RH,74.58
31/1/23 4:01:01 PM,%RH,71.993
31/1/23 6:01:01 PM,%RH,80.501
31/1/23 8:01:01 PM,%RH,87.204
31/1/23 10:01:01 PM,%RH,88.411
1/2/23 12:01:01 AM,%RH,86.395
1/2/23 2:01:01 AM,%RH,88.277
1/2/23 4:01:01 AM,%RH,89.61
1/2/23 6:01:01 AM,%RH,92.773
1/2/23 8:01:01 AM,%RH,93.685
1/2/23 10:01:01 AM,%RH,81.887
1/2/23 12:01:01 PM,%RH,61.798
1/2/23 2:01:01 PM,%RH,53.357
1/2/23 4:01:01 PM,%RH,48.318
1/2/23 6:01:01 PM,%RH,67.467
1/2/23 8:01:01 PM,%RH,70.688
1/2/23 10:01:01 PM,%RH,78.826
2/2/23 12:01:01 AM,%RH,83.126
