1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E60000007D83E741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  11898
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.342
26/1/23 10:01:01 PM,C,22.529
27/1/23 12:01:01 AM,C,22.654
27/1/23 2:01:01 AM,C,22.841
27/1/23 4:01:01 AM,C,21.153
27/1/23 6:01:01 AM,C,20.153
27/1/23 8:01:01 AM,C,19.715
27/1/23 10:01:01 AM,C,24.904
27/1/23 12:01:01 PM,C,26.779
27/1/23 2:01:01 PM,C,27.092
27/1/23 4:01:01 PM,C,25.779
27/1/23 6:01:01 PM,C,25.092
27/1/23 8:01:01 PM,C,22.091
27/1/23 10:01:01 PM,C,22.716
28/1/23 12:01:01 AM,C,22.279
28/1/23 2:01:01 AM,C,21.654
28/1/23 4:01:01 AM,C,21.091
28/1/23 6:01:01 AM,C,20.278
28/1/23 8:01:01 AM,C,21.028
28/1/23 10:01:01 AM,C,24.904
28/1/23 12:01:01 PM,C,27.467
28/1/23 2:01:01 PM,C,27.654
28/1/23 4:01:01 PM,C,26.154
28/1/23 6:01:01 PM,C,24.529
28/1/23 8:01:01 PM,C,24.467
28/1/23 10:01:01 PM,C,24.154
29/1/23 12:01:01 AM,C,23.779
29/1/23 2:01:01 AM,C,23.217
29/1/23 4:01:01 AM,C,22.716
29/1/23 6:01:01 AM,C,22.091
29/1/23 8:01:01 AM,C,21.654
29/1/23 10:01:01 AM,C,22.716
29/1/23 12:01:01 PM,C,24.342
29/1/23 2:01:01 PM,C,24.654
29/1/23 4:01:01 PM,C,24.592
29/1/23 6:01:01 PM,C,22.341
29/1/23 8:01:01 PM,C,18.777
29/1/23 10:01:01 PM,C,17.464
30/1/23 12:01:01 AM,C,17.902
30/1/23 2:01:01 AM,C,16.776
30/1/23 4:01:01 AM,C,16.651
30/1/23 6:01:01 AM,C,16.15
30/1/23 8:01:01 AM,C,15.837
30/1/23 10:01:01 AM,C,19.528
30/1/23 12:01:01 PM,C,22.029
30/1/23 2:01:01 PM,C,24.279
30/1/23 4:01:01 PM,C,23.029
30/1/23 6:01:01 PM,C,22.029
30/1/23 8:01:01 PM,C,19.715
30/1/23 10:01:01 PM,C,18.402
31/1/23 12:01:01 AM,C,17.777
31/1/23 2:01:01 AM,C,17.651
31/1/23 4:01:01 AM,C,17.401
31/1/23 6:01:01 AM,C,18.152
31/1/23 8:01:01 AM,C,18.214
31/1/23 10:01:01 AM,C,20.028
31/1/23 12:01:01 PM,C,22.091
31/1/23 2:01:01 PM,C,23.967
31/1/23 4:01:01 PM,C,23.529
31/1/23 6:01:01 PM,C,22.466
31/1/23 8:01:01 PM,C,19.778
31/1/23 10:01:01 PM,C,18.965
1/2/23 12:01:01 AM,C,18.464
1/2/23 2:01:01 AM,C,18.277
1/2/23 4:01:01 AM,C,17.526
1/2/23 6:01:01 AM,C,16.588
1/2/23 8:01:01 AM,C,16.901
1/2/23 10:01:01 AM,C,18.965
1/2/23 12:01:01 PM,C,22.466
1/2/23 2:01:01 PM,C,24.279
1/2/23 4:01:01 PM,C,24.467
1/2/23 6:01:01 PM,C,23.029
1/2/23 8:01:01 PM,C,19.715
1/2/23 10:01:01 PM,C,19.653
2/2/23 12:01:01 AM,C,18.902
2/2/23 2:01:01 AM,C,18.715
2/2/23 4:01:01 AM,C,18.339
2/2/23 6:01:01 AM,C,18.027
2/2/23 8:01:01 AM,C,17.964
2/2/23 10:01:01 AM,C,19.59
2/2/23 12:01:01 PM,C,22.841
2/2/23 2:01:01 PM,C,24.904
2/2/23 4:01:01 PM,C,24.467
2/2/23 6:01:01 PM,C,22.967
2/2/23 8:01:01 PM,C,19.09
2/2/23 10:01:01 PM,C,18.59
3/2/23 12:01:01 AM,C,18.84
3/2/23 2:01:01 AM,C,18.152
3/2/23 4:01:01 AM,C,17.714
3/2/23 6:01:01 AM,C,16.838
3/2/23 8:01:01 AM,C,16.588
3/2/23 10:01:01 AM,C,19.465
3/2/23 12:01:01 PM,C,21.591
3/2/23 2:01:01 PM,C,23.467
3/2/23 4:01:01 PM,C,23.154
3/2/23 6:01:01 PM,C,22.591
3/2/23 8:01:01 PM,C,21.091
3/2/23 10:01:01 PM,C,20.028
4/2/23 12:01:01 AM,C,19.278
4/2/23 2:01:01 AM,C,18.777
4/2/23 4:01:01 AM,C,18.464
4/2/23 6:01:01 AM,C,18.402
4/2/23 8:01:01 AM,C,18.152
4/2/23 10:01:01 AM,C,20.216
4/2/23 12:01:01 PM,C,23.717
4/2/23 2:01:01 PM,C,25.904
4/2/23 4:01:01 PM,C,25.717
4/2/23 6:01:01 PM,C,23.717
4/2/23 8:01:01 PM,C,21.404
4/2/23 10:01:01 PM,C,20.028
5/2/23 12:01:01 AM,C,18.777
5/2/23 2:01:01 AM,C,18.214
5/2/23 4:01:01 AM,C,17.401
5/2/23 6:01:01 AM,C,16.338
5/2/23 8:01:01 AM,C,16.776
5/2/23 10:01:01 AM,C,20.528
5/2/23 12:01:01 PM,C,23.717
5/2/23 2:01:01 PM,C,24.904
5/2/23 4:01:01 PM,C,26.092
5/2/23 6:01:01 PM,C,24.279
5/2/23 8:01:01 PM,C,21.779
5/2/23 10:01:01 PM,C,20.028
6/2/23 12:01:01 AM,C,18.277
6/2/23 2:01:01 AM,C,19.09
6/2/23 4:01:01 AM,C,17.276
6/2/23 6:01:01 AM,C,16.776
6/2/23 8:01:01 AM,C,16.776
6/2/23 10:01:01 AM,C,20.591
6/2/23 12:01:01 PM,C,22.716
6/2/23 2:01:01 PM,C,24.092
6/2/23 4:01:01 PM,C,24.529
6/2/23 6:01:01 PM,C,23.592
6/2/23 8:01:01 PM,C,21.404
6/2/23 10:01:01 PM,C,20.716
7/2/23 12:01:01 AM,C,19.715
7/2/23 2:01:01 AM,C,18.464
7/2/23 4:01:01 AM,C,17.589
7/2/23 6:01:01 AM,C,17.214
7/2/23 8:01:01 AM,C,16.588
7/2/23 10:01:01 AM,C,20.341
7/2/23 12:01:01 PM,C,23.217
7/2/23 2:01:01 PM,C,25.404
7/2/23 4:01:01 PM,C,24.217
7/2/23 6:01:01 PM,C,23.029
7/2/23 8:01:01 PM,C,21.591
7/2/23 10:01:01 PM,C,20.591
8/2/23 12:01:01 AM,C,19.59
8/2/23 2:01:01 AM,C,18.277
8/2/23 4:01:01 AM,C,18.152
8/2/23 6:01:01 AM,C,18.089
8/2/23 8:01:01 AM,C,18.402
8/2/23 10:01:01 AM,C,20.403
8/2/23 12:01:01 PM,C,23.717
8/2/23 2:01:01 PM,C,25.967
8/2/23 4:01:01 PM,C,26.092
8/2/23 6:01:01 PM,C,24.029
8/2/23 8:01:01 PM,C,21.341
8/2/23 10:01:01 PM,C,19.778
9/2/23 12:01:01 AM,C,18.277
9/2/23 2:01:01 AM,C,18.214
9/2/23 4:01:01 AM,C,16.901
9/2/23 6:01:01 AM,C,16.963
9/2/23 8:01:01 AM,C,16.901
9/2/23 10:01:01 AM,C,20.591
9/2/23 12:01:01 PM,C,23.279
9/2/23 2:01:01 PM,C,25.279
9/2/23 4:01:01 PM,C,24.529
9/2/23 6:01:01 PM,C,23.154
9/2/23 8:01:01 PM,C,21.404
9/2/23 10:01:01 PM,C,20.341
10/2/23 12:01:01 AM,C,19.027
10/2/23 2:01:01 AM,C,18.527
10/2/23 4:01:01 AM,C,16.4
10/2/23 6:01:01 AM,C,15.337
10/2/23 8:01:01 AM,C,15.9
10/2/23 10:01:01 AM,C,19.59
10/2/23 12:01:01 PM,C,22.716
10/2/23 2:01:01 PM,C,25.342
10/2/23 4:01:01 PM,C,25.029
10/2/23 6:01:01 PM,C,24.092
10/2/23 8:01:01 PM,C,20.216
10/2/23 10:01:01 PM,C,18.089
11/2/23 12:01:01 AM,C,17.964
11/2/23 2:01:01 AM,C,17.151
11/2/23 4:01:01 AM,C,17.151
11/2/23 6:01:01 AM,C,15.963
11/2/23 8:01:01 AM,C,16.4
11/2/23 10:01:01 AM,C,20.153
11/2/23 12:01:01 PM,C,24.029
11/2/23 2:01:01 PM,C,26.279
11/2/23 4:01:01 PM,C,26.217
11/2/23 6:01:01 PM,C,25.217
11/2/23 8:01:01 PM,C,21.216
11/2/23 10:01:01 PM,C,18.277
12/2/23 12:01:01 AM,C,17.839
12/2/23 2:01:01 AM,C,17.339
12/2/23 4:01:01 AM,C,16.963
12/2/23 6:01:01 AM,C,17.088
12/2/23 8:01:01 AM,C,17.276
12/2/23 10:01:01 AM,C,20.528
12/2/23 12:01:01 PM,C,24.279
12/2/23 2:01:01 PM,C,26.842
12/2/23 4:01:01 PM,C,26.592
12/2/23 6:01:01 PM,C,25.092
12/2/23 8:01:01 PM,C,22.154
12/2/23 10:01:01 PM,C,19.403
13/2/23 12:01:01 AM,C,17.526
13/2/23 2:01:01 AM,C,17.902
13/2/23 4:01:01 AM,C,17.964
13/2/23 6:01:01 AM,C,17.526
13/2/23 8:01:01 AM,C,17.026
13/2/23 10:01:01 AM,C,20.216
13/2/23 12:01:01 PM,C,24.029
13/2/23 2:01:01 PM,C,26.529
13/2/23 4:01:01 PM,C,26.404
13/2/23 6:01:01 PM,C,25.092
