1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DA92141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  8379
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,66.211
26/1/23 10:00:01 PM,%RH,70.578
27/1/23 12:00:01 AM,%RH,71.174
27/1/23 2:00:01 AM,%RH,74.569
27/1/23 4:00:01 AM,%RH,69.381
27/1/23 6:00:01 AM,%RH,64.991
27/1/23 8:00:01 AM,%RH,75.008
27/1/23 10:00:01 AM,%RH,64.991
27/1/23 12:00:01 PM,%RH,49.06
27/1/23 2:00:01 PM,%RH,44.797
27/1/23 4:00:01 PM,%RH,49.06
27/1/23 6:00:01 PM,%RH,62.225
27/1/23 8:00:01 PM,%RH,66.666
27/1/23 10:00:01 PM,%RH,69.231
28/1/23 12:00:01 AM,%RH,69.98
28/1/23 2:00:01 AM,%RH,71.025
28/1/23 4:00:01 AM,%RH,71.916
28/1/23 6:00:01 AM,%RH,70.279
28/1/23 8:00:01 AM,%RH,71.916
28/1/23 10:00:01 AM,%RH,58.331
28/1/23 12:00:01 PM,%RH,30.051
28/1/23 2:00:01 PM,%RH,31.091
28/1/23 4:00:01 PM,%RH,32.129
28/1/23 6:00:01 PM,%RH,46.28
28/1/23 8:00:01 PM,%RH,55.33
28/1/23 10:00:01 PM,%RH,58.488
29/1/23 12:00:01 AM,%RH,62.225
29/1/23 2:00:01 AM,%RH,61.761
29/1/23 4:00:01 AM,%RH,61.916
29/1/23 6:00:01 AM,%RH,61.761
29/1/23 8:00:01 AM,%RH,62.225
29/1/23 10:00:01 AM,%RH,64.839
29/1/23 12:00:01 PM,%RH,58.801
29/1/23 2:00:01 PM,%RH,43.306
29/1/23 4:00:01 PM,%RH,57.229
29/1/23 6:00:01 PM,%RH,69.831
29/1/23 8:00:01 PM,%RH,85.143
29/1/23 10:00:01 PM,%RH,92.923
30/1/23 12:00:01 AM,%RH,95.181
30/1/23 2:00:01 AM,%RH,95.049
30/1/23 4:00:01 AM,%RH,94.652
30/1/23 6:00:01 AM,%RH,94.917
30/1/23 8:00:01 AM,%RH,97.672
30/1/23 10:00:01 AM,%RH,87.359
30/1/23 12:00:01 PM,%RH,76.03
30/1/23 2:00:01 PM,%RH,73.983
30/1/23 4:00:01 PM,%RH,81.348
30/1/23 6:00:01 PM,%RH,82.762
30/1/23 8:00:01 PM,%RH,93.856
30/1/23 10:00:01 PM,%RH,96.103
31/1/23 12:00:01 AM,%RH,97.802
31/1/23 2:00:01 AM,%RH,96.889
31/1/23 4:00:01 AM,%RH,99.87
31/1/23 6:00:01 AM,%RH,94.785
31/1/23 8:00:01 AM,%RH,94.387
31/1/23 10:00:01 AM,%RH,92.387
31/1/23 12:00:01 PM,%RH,80.352
31/1/23 2:00:01 PM,%RH,67.424
31/1/23 4:00:01 PM,%RH,66.818
31/1/23 6:00:01 PM,%RH,80.494
31/1/23 8:00:01 PM,%RH,87.497
31/1/23 10:00:01 PM,%RH,89.414
1/2/23 12:00:01 AM,%RH,85.561
1/2/23 2:00:01 AM,%RH,76.611
1/2/23 4:00:01 AM,%RH,78.058
1/2/23 6:00:01 AM,%RH,89.277
1/2/23 8:00:01 AM,%RH,91.176
1/2/23 10:00:01 AM,%RH,75.008
1/2/23 12:00:01 PM,%RH,49.06
1/2/23 2:00:01 PM,%RH,45.787
1/2/23 4:00:01 PM,%RH,43.472
1/2/23 6:00:01 PM,%RH,68.028
1/2/23 8:00:01 PM,%RH,72.361
1/2/23 10:00:01 PM,%RH,76.756
2/2/23 12:00:01 AM,%RH,83.325
2/2/23 2:00:01 AM,%RH,81.773
2/2/23 4:00:01 AM,%RH,82.056
2/2/23 6:00:01 AM,%RH,84.306
