1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DA92141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  8379
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.418
26/1/23 10:00:01 PM,C,22.792
27/1/23 12:00:01 AM,C,22.792
27/1/23 2:00:01 AM,C,22.917
27/1/23 4:00:01 AM,C,21.478
27/1/23 6:00:01 AM,C,20.602
27/1/23 8:00:01 AM,C,19.977
27/1/23 10:00:01 AM,C,24.168
27/1/23 12:00:01 PM,C,26.168
27/1/23 2:00:01 PM,C,26.543
27/1/23 4:00:01 PM,C,25.918
27/1/23 6:00:01 PM,C,25.043
27/1/23 8:00:01 PM,C,23.167
27/1/23 10:00:01 PM,C,23.23
28/1/23 12:00:01 AM,C,22.354
28/1/23 2:00:01 AM,C,21.666
28/1/23 4:00:01 AM,C,21.103
28/1/23 6:00:01 AM,C,20.29
28/1/23 8:00:01 AM,C,20.915
28/1/23 10:00:01 AM,C,24.48
28/1/23 12:00:01 PM,C,26.668
28/1/23 2:00:01 PM,C,27.23
28/1/23 4:00:01 PM,C,26.23
28/1/23 6:00:01 PM,C,24.293
28/1/23 8:00:01 PM,C,24.293
28/1/23 10:00:01 PM,C,24.105
29/1/23 12:00:01 AM,C,23.793
29/1/23 2:00:01 AM,C,23.355
29/1/23 4:00:01 AM,C,22.98
29/1/23 6:00:01 AM,C,22.417
29/1/23 8:00:01 AM,C,22.041
29/1/23 10:00:01 AM,C,22.729
29/1/23 12:00:01 PM,C,24.355
29/1/23 2:00:01 PM,C,24.48
29/1/23 4:00:01 PM,C,24.605
29/1/23 6:00:01 PM,C,22.104
29/1/23 8:00:01 PM,C,18.6
29/1/23 10:00:01 PM,C,17.974
30/1/23 12:00:01 AM,C,17.786
30/1/23 2:00:01 AM,C,16.596
30/1/23 4:00:01 AM,C,16.22
30/1/23 6:00:01 AM,C,15.782
30/1/23 8:00:01 AM,C,15.907
30/1/23 10:00:01 AM,C,19.977
30/1/23 12:00:01 PM,C,22.417
30/1/23 2:00:01 PM,C,24.105
30/1/23 4:00:01 PM,C,23.105
30/1/23 6:00:01 PM,C,22.104
30/1/23 8:00:01 PM,C,19.601
30/1/23 10:00:01 PM,C,18.662
31/1/23 12:00:01 AM,C,18.099
31/1/23 2:00:01 AM,C,17.911
31/1/23 4:00:01 AM,C,17.723
31/1/23 6:00:01 AM,C,19.038
31/1/23 8:00:01 AM,C,19.288
31/1/23 10:00:01 AM,C,20.79
31/1/23 12:00:01 PM,C,22.667
31/1/23 2:00:01 PM,C,24.48
31/1/23 4:00:01 PM,C,24.105
31/1/23 6:00:01 PM,C,22.542
31/1/23 8:00:01 PM,C,19.726
31/1/23 10:00:01 PM,C,18.725
1/2/23 12:00:01 AM,C,18.787
1/2/23 2:00:01 AM,C,19.539
1/2/23 4:00:01 AM,C,18.85
1/2/23 6:00:01 AM,C,17.347
1/2/23 8:00:01 AM,C,17.535
1/2/23 10:00:01 AM,C,20.039
1/2/23 12:00:01 PM,C,23.793
1/2/23 2:00:01 PM,C,24.668
1/2/23 4:00:01 PM,C,25.043
1/2/23 6:00:01 PM,C,22.917
1/2/23 8:00:01 PM,C,19.476
1/2/23 10:00:01 PM,C,19.914
2/2/23 12:00:01 AM,C,18.975
2/2/23 2:00:01 AM,C,19.226
2/2/23 4:00:01 AM,C,19.1
2/2/23 6:00:01 AM,C,18.349
2/2/23 8:00:01 AM,C,18.474
2/2/23 10:00:01 AM,C,21.103
2/2/23 12:00:01 PM,C,24.105
2/2/23 2:00:01 PM,C,25.355
2/2/23 4:00:01 PM,C,25.105
2/2/23 6:00:01 PM,C,23.167
2/2/23 8:00:01 PM,C,19.038
2/2/23 10:00:01 PM,C,18.287
3/2/23 12:00:01 AM,C,19.351
3/2/23 2:00:01 AM,C,18.224
3/2/23 4:00:01 AM,C,17.974
3/2/23 6:00:01 AM,C,17.41
3/2/23 8:00:01 AM,C,17.285
3/2/23 10:00:01 AM,C,21.04
3/2/23 12:00:01 PM,C,23.167
3/2/23 2:00:01 PM,C,24.355
3/2/23 4:00:01 PM,C,23.98
3/2/23 6:00:01 PM,C,22.729
3/2/23 8:00:01 PM,C,21.228
3/2/23 10:00:01 PM,C,20.164
4/2/23 12:00:01 AM,C,19.539
4/2/23 2:00:01 AM,C,19.038
4/2/23 4:00:01 AM,C,19.664
4/2/23 6:00:01 AM,C,19.601
4/2/23 8:00:01 AM,C,19.1
4/2/23 10:00:01 AM,C,21.478
4/2/23 12:00:01 PM,C,24.668
4/2/23 2:00:01 PM,C,26.043
4/2/23 4:00:01 PM,C,26.168
4/2/23 6:00:01 PM,C,23.605
4/2/23 8:00:01 PM,C,21.291
4/2/23 10:00:01 PM,C,20.102
5/2/23 12:00:01 AM,C,18.975
5/2/23 2:00:01 AM,C,18.099
5/2/23 4:00:01 AM,C,17.285
5/2/23 6:00:01 AM,C,16.22
5/2/23 8:00:01 AM,C,16.721
5/2/23 10:00:01 AM,C,21.478
5/2/23 12:00:01 PM,C,24.418
5/2/23 2:00:01 PM,C,25.668
5/2/23 4:00:01 PM,C,26.168
5/2/23 6:00:01 PM,C,24.355
5/2/23 8:00:01 PM,C,21.791
5/2/23 10:00:01 PM,C,20.227
6/2/23 12:00:01 AM,C,18.725
6/2/23 2:00:01 AM,C,19.038
6/2/23 4:00:01 AM,C,17.347
6/2/23 6:00:01 AM,C,16.784
6/2/23 8:00:01 AM,C,16.784
6/2/23 10:00:01 AM,C,21.228
6/2/23 12:00:01 PM,C,23.292
6/2/23 2:00:01 PM,C,24.48
6/2/23 4:00:01 PM,C,24.98
6/2/23 6:00:01 PM,C,23.417
6/2/23 8:00:01 PM,C,21.353
6/2/23 10:00:01 PM,C,20.728
7/2/23 12:00:01 AM,C,19.789
7/2/23 2:00:01 AM,C,18.662
7/2/23 4:00:01 AM,C,17.598
7/2/23 6:00:01 AM,C,17.285
7/2/23 8:00:01 AM,C,16.658
7/2/23 10:00:01 AM,C,21.228
7/2/23 12:00:01 PM,C,23.667
7/2/23 2:00:01 PM,C,25.168
7/2/23 4:00:01 PM,C,24.355
7/2/23 6:00:01 PM,C,23.042
7/2/23 8:00:01 PM,C,21.478
7/2/23 10:00:01 PM,C,20.54
8/2/23 12:00:01 AM,C,19.726
8/2/23 2:00:01 AM,C,18.412
8/2/23 4:00:01 AM,C,18.412
8/2/23 6:00:01 AM,C,18.412
8/2/23 8:00:01 AM,C,19.664
8/2/23 10:00:01 AM,C,21.353
8/2/23 12:00:01 PM,C,24.605
8/2/23 2:00:01 PM,C,26.105
8/2/23 4:00:01 PM,C,26.23
8/2/23 6:00:01 PM,C,23.98
8/2/23 8:00:01 PM,C,21.166
8/2/23 10:00:01 PM,C,20.164
9/2/23 12:00:01 AM,C,18.474
9/2/23 2:00:01 AM,C,18.161
9/2/23 4:00:01 AM,C,16.784
9/2/23 6:00:01 AM,C,16.658
9/2/23 8:00:01 AM,C,16.596
9/2/23 10:00:01 AM,C,20.915
9/2/23 12:00:01 PM,C,23.918
9/2/23 2:00:01 PM,C,25.668
9/2/23 4:00:01 PM,C,24.668
9/2/23 6:00:01 PM,C,23.167
9/2/23 8:00:01 PM,C,21.478
9/2/23 10:00:01 PM,C,20.477
10/2/23 12:00:01 AM,C,19.539
10/2/23 2:00:01 AM,C,18.913
10/2/23 4:00:01 AM,C,16.408
10/2/23 6:00:01 AM,C,15.594
10/2/23 8:00:01 AM,C,16.032
10/2/23 10:00:01 AM,C,20.602
10/2/23 12:00:01 PM,C,23.667
10/2/23 2:00:01 PM,C,25.73
10/2/23 4:00:01 PM,C,26.105
10/2/23 6:00:01 PM,C,24.043
10/2/23 8:00:01 PM,C,19.851
10/2/23 10:00:01 PM,C,17.911
11/2/23 12:00:01 AM,C,17.347
11/2/23 2:00:01 AM,C,16.721
11/2/23 4:00:01 AM,C,16.533
11/2/23 6:00:01 AM,C,15.406
11/2/23 8:00:01 AM,C,15.969
11/2/23 10:00:01 AM,C,21.291
11/2/23 12:00:01 PM,C,25.043
11/2/23 2:00:01 PM,C,26.418
11/2/23 4:00:01 PM,C,26.793
11/2/23 6:00:01 PM,C,25.355
11/2/23 8:00:01 PM,C,21.04
11/2/23 10:00:01 PM,C,18.224
12/2/23 12:00:01 AM,C,17.222
12/2/23 2:00:01 AM,C,16.784
12/2/23 4:00:01 AM,C,16.784
12/2/23 6:00:01 AM,C,16.408
12/2/23 8:00:01 AM,C,16.721
12/2/23 10:00:01 AM,C,21.478
12/2/23 12:00:01 PM,C,25.168
12/2/23 2:00:01 PM,C,27.48
12/2/23 4:00:01 PM,C,27.418
12/2/23 6:00:01 PM,C,24.98
12/2/23 8:00:01 PM,C,22.354
12/2/23 10:00:01 PM,C,19.539
13/2/23 12:00:01 AM,C,17.285
13/2/23 2:00:01 AM,C,17.723
13/2/23 4:00:01 AM,C,18.036
13/2/23 6:00:01 AM,C,18.161
13/2/23 8:00:01 AM,C,17.723
13/2/23 10:00:01 AM,C,21.604
13/2/23 12:00:01 PM,C,25.605
13/2/23 2:00:01 PM,C,27.355
13/2/23 4:00:01 PM,C,27.48
13/2/23 6:00:01 PM,C,24.918
13/2/23 8:00:01 PM,C,20.102
13/2/23 10:00:01 PM,C,18.349
14/2/23 12:00:01 AM,C,16.157
14/2/23 2:00:01 AM,C,17.097
14/2/23 4:00:01 AM,C,16.032
14/2/23 6:00:01 AM,C,15.406
14/2/23 8:00:01 AM,C,15.218
14/2/23 10:00:01 AM,C,21.604
14/2/23 12:00:01 PM,C,24.668
14/2/23 2:00:01 PM,C,26.48
14/2/23 4:00:01 PM,C,25.605
14/2/23 6:00:01 PM,C,23.542
14/2/23 8:00:01 PM,C,21.166
14/2/23 10:00:01 PM,C,19.789
15/2/23 12:00:01 AM,C,18.161
15/2/23 2:00:01 AM,C,15.594
15/2/23 4:00:01 AM,C,16.283
15/2/23 6:00:01 AM,C,17.723
15/2/23 8:00:01 AM,C,16.533
15/2/23 10:00:01 AM,C,20.54
15/2/23 12:00:01 PM,C,25.043
15/2/23 2:00:01 PM,C,26.793
15/2/23 4:00:01 PM,C,26.98
