1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007DA8C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  12341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,65.464
26/1/23 10:00:01 PM,%RH,67.946
27/1/23 12:00:01 AM,%RH,68.959
27/1/23 2:00:01 AM,%RH,73.391
27/1/23 4:00:01 AM,%RH,65.757
27/1/23 6:00:01 AM,%RH,62.211
27/1/23 8:00:01 AM,%RH,67.219
27/1/23 10:00:01 AM,%RH,66.343
27/1/23 12:00:01 PM,%RH,53.411
27/1/23 2:00:01 PM,%RH,48.416
27/1/23 4:00:01 PM,%RH,51.393
27/1/23 6:00:01 PM,%RH,61.316
27/1/23 8:00:01 PM,%RH,65.317
27/1/23 10:00:01 PM,%RH,68.525
28/1/23 12:00:01 AM,%RH,68.236
28/1/23 2:00:01 AM,%RH,68.381
28/1/23 4:00:01 AM,%RH,68.236
28/1/23 6:00:01 AM,%RH,66.05
28/1/23 8:00:01 AM,%RH,68.381
28/1/23 10:00:01 AM,%RH,60.417
28/1/23 12:00:01 PM,%RH,36.813
28/1/23 2:00:01 PM,%RH,34.831
28/1/23 4:00:01 PM,%RH,35.328
28/1/23 6:00:01 PM,%RH,47.31
28/1/23 8:00:01 PM,%RH,55.871
28/1/23 10:00:01 PM,%RH,59.063
29/1/23 12:00:01 AM,%RH,63.103
29/1/23 2:00:01 AM,%RH,60.867
29/1/23 4:00:01 AM,%RH,61.913
29/1/23 6:00:01 AM,%RH,61.913
