1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007DA8C341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  12341
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.527
26/1/23 10:00:01 PM,C,23.214
27/1/23 12:00:01 AM,C,23.214
27/1/23 2:00:01 AM,C,23.214
27/1/23 4:00:01 AM,C,22.402
27/1/23 6:00:01 AM,C,21.776
27/1/23 8:00:01 AM,C,21.464
27/1/23 10:00:01 AM,C,23.84
27/1/23 12:00:01 PM,C,25.152
27/1/23 2:00:01 PM,C,25.59
27/1/23 4:00:01 PM,C,25.215
27/1/23 6:00:01 PM,C,24.652
27/1/23 8:00:01 PM,C,23.402
27/1/23 10:00:01 PM,C,23.402
28/1/23 12:00:01 AM,C,22.839
28/1/23 2:00:01 AM,C,22.402
28/1/23 4:00:01 AM,C,21.964
28/1/23 6:00:01 AM,C,21.526
28/1/23 8:00:01 AM,C,21.589
28/1/23 10:00:01 AM,C,23.902
28/1/23 12:00:01 PM,C,25.277
28/1/23 2:00:01 PM,C,25.777
28/1/23 4:00:01 PM,C,25.09
28/1/23 6:00:01 PM,C,24.152
28/1/23 8:00:01 PM,C,24.215
28/1/23 10:00:01 PM,C,24.027
29/1/23 12:00:01 AM,C,23.777
29/1/23 2:00:01 AM,C,23.402
29/1/23 4:00:01 AM,C,22.964
29/1/23 6:00:01 AM,C,22.464
29/1/23 8:00:01 AM,C,22.026
29/1/23 10:00:01 AM,C,22.402
29/1/23 12:00:01 PM,C,24.027
29/1/23 2:00:01 PM,C,24.027
29/1/23 4:00:01 PM,C,23.715
29/1/23 6:00:01 PM,C,21.026
29/1/23 8:00:01 PM,C,17.835
29/1/23 10:00:01 PM,C,17.397
30/1/23 12:00:01 AM,C,17.334
30/1/23 2:00:01 AM,C,16.145
30/1/23 4:00:01 AM,C,15.582
30/1/23 6:00:01 AM,C,15.206
30/1/23 8:00:01 AM,C,15.457
30/1/23 10:00:01 AM,C,20.4
30/1/23 12:00:01 PM,C,22.652
30/1/23 2:00:01 PM,C,23.464
30/1/23 4:00:01 PM,C,22.402
30/1/23 6:00:01 PM,C,21.213
30/1/23 8:00:01 PM,C,19.274
30/1/23 10:00:01 PM,C,18.148
31/1/23 12:00:01 AM,C,17.585
31/1/23 2:00:01 AM,C,17.585
31/1/23 4:00:01 AM,C,17.334
31/1/23 6:00:01 AM,C,18.836
31/1/23 8:00:01 AM,C,19.274
31/1/23 10:00:01 AM,C,21.151
31/1/23 12:00:01 PM,C,23.089
31/1/23 2:00:01 PM,C,24.527
31/1/23 4:00:01 PM,C,24.09
31/1/23 6:00:01 PM,C,21.714
31/1/23 8:00:01 PM,C,19.212
31/1/23 10:00:01 PM,C,17.96
1/2/23 12:00:01 AM,C,17.522
1/2/23 2:00:01 AM,C,18.774
