1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0B0000007DAB1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9035
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,67.74
26/1/23 10:01:01 PM,%RH,68.898
27/1/23 12:01:01 AM,%RH,70.908
27/1/23 2:01:01 AM,%RH,74.167
27/1/23 4:01:01 AM,%RH,67.159
27/1/23 6:01:01 AM,%RH,65.258
27/1/23 8:01:01 AM,%RH,72.19
27/1/23 10:01:01 AM,%RH,65.111
27/1/23 12:01:01 PM,%RH,48.321
27/1/23 2:01:01 PM,%RH,44.975
27/1/23 4:01:01 PM,%RH,48.954
27/1/23 6:01:01 PM,%RH,61.853
27/1/23 8:01:01 PM,%RH,68.03
27/1/23 10:01:01 PM,%RH,69.762
28/1/23 12:01:01 AM,%RH,70.193
28/1/23 2:01:01 AM,%RH,71.051
28/1/23 4:01:01 AM,%RH,72.332
28/1/23 6:01:01 AM,%RH,70.336
28/1/23 8:01:01 AM,%RH,71.621
28/1/23 10:01:01 AM,%RH,57.481
28/1/23 12:01:01 PM,%RH,31.81
28/1/23 2:01:01 PM,%RH,31.641
28/1/23 4:01:01 PM,%RH,31.81
28/1/23 6:01:01 PM,%RH,47.37
28/1/23 8:01:01 PM,%RH,55.187
28/1/23 10:01:01 PM,%RH,59.301
29/1/23 12:01:01 AM,%RH,63.192
29/1/23 2:01:01 AM,%RH,62.002
29/1/23 4:01:01 AM,%RH,61.853
29/1/23 6:01:01 AM,%RH,62.002
29/1/23 8:01:01 AM,%RH,62.151
29/1/23 10:01:01 AM,%RH,65.405
29/1/23 12:01:01 PM,%RH,59.301
29/1/23 2:01:01 PM,%RH,38.968
29/1/23 4:01:01 PM,%RH,54.416
29/1/23 6:01:01 PM,%RH,64.523
29/1/23 8:01:01 PM,%RH,85.343
29/1/23 10:01:01 PM,%RH,94.96
30/1/23 12:01:01 AM,%RH,94.087
30/1/23 2:01:01 AM,%RH,92.325
30/1/23 4:01:01 AM,%RH,91.055
30/1/23 6:01:01 AM,%RH,91.945
30/1/23 8:01:01 AM,%RH,97.059
30/1/23 10:01:01 AM,%RH,91.692
