1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0B0000007DAB1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9035
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.199
26/1/23 10:01:01 PM,C,22.824
27/1/23 12:01:01 AM,C,22.761
27/1/23 2:01:01 AM,C,22.886
27/1/23 4:01:01 AM,C,21.511
27/1/23 6:01:01 AM,C,20.698
27/1/23 8:01:01 AM,C,20.386
27/1/23 10:01:01 AM,C,24.512
27/1/23 12:01:01 PM,C,26.512
27/1/23 2:01:01 PM,C,26.887
27/1/23 4:01:01 PM,C,26.137
27/1/23 6:01:01 PM,C,24.949
27/1/23 8:01:01 PM,C,22.699
27/1/23 10:01:01 PM,C,22.886
28/1/23 12:01:01 AM,C,22.261
28/1/23 2:01:01 AM,C,21.636
28/1/23 4:01:01 AM,C,21.073
28/1/23 6:01:01 AM,C,20.323
28/1/23 8:01:01 AM,C,20.886
28/1/23 10:01:01 AM,C,24.762
28/1/23 12:01:01 PM,C,26.824
28/1/23 2:01:01 PM,C,27.574
28/1/23 4:01:01 PM,C,26.262
28/1/23 6:01:01 PM,C,24.199
28/1/23 8:01:01 PM,C,24.199
28/1/23 10:01:01 PM,C,24.012
29/1/23 12:01:01 AM,C,23.699
29/1/23 2:01:01 AM,C,23.324
29/1/23 4:01:01 AM,C,22.949
29/1/23 6:01:01 AM,C,22.511
29/1/23 8:01:01 AM,C,22.074
29/1/23 10:01:01 AM,C,22.636
29/1/23 12:01:01 PM,C,24.324
29/1/23 2:01:01 PM,C,27.387
29/1/23 4:01:01 PM,C,26.199
29/1/23 6:01:01 PM,C,22.886
29/1/23 8:01:01 PM,C,18.885
29/1/23 10:01:01 PM,C,17.134
30/1/23 12:01:01 AM,C,17.947
30/1/23 2:01:01 AM,C,17.134
30/1/23 4:01:01 AM,C,16.884
30/1/23 6:01:01 AM,C,16.446
30/1/23 8:01:01 AM,C,15.633
30/1/23 10:01:01 AM,C,19.198
30/1/23 12:01:01 PM,C,22.574
30/1/23 2:01:01 PM,C,24.762
30/1/23 4:01:01 PM,C,23.824
30/1/23 6:01:01 PM,C,22.261
30/1/23 8:01:01 PM,C,19.948
30/1/23 10:01:01 PM,C,18.197
31/1/23 12:01:01 AM,C,17.509
31/1/23 2:01:01 AM,C,17.572
31/1/23 4:01:01 AM,C,17.196
31/1/23 6:01:01 AM,C,18.072
31/1/23 8:01:01 AM,C,18.197
31/1/23 10:01:01 AM,C,20.198
31/1/23 12:01:01 PM,C,22.386
31/1/23 2:01:01 PM,C,24.199
31/1/23 4:01:01 PM,C,24.324
31/1/23 6:01:01 PM,C,22.949
31/1/23 8:01:01 PM,C,20.198
31/1/23 10:01:01 PM,C,19.448
1/2/23 12:01:01 AM,C,18.76
1/2/23 2:01:01 AM,C,18.635
1/2/23 4:01:01 AM,C,17.634
1/2/23 6:01:01 AM,C,16.946
1/2/23 8:01:01 AM,C,16.821
1/2/23 10:01:01 AM,C,19.135
1/2/23 12:01:01 PM,C,22.574
1/2/23 2:01:01 PM,C,24.199
1/2/23 4:01:01 PM,C,25.574
1/2/23 6:01:01 PM,C,23.512
1/2/23 8:01:01 PM,C,20.136
1/2/23 10:01:01 PM,C,20.261
