1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DAC5C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  12317
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,65.146
26/1/23 10:00:01 PM,%RH,66.666
27/1/23 12:00:01 AM,%RH,68.326
27/1/23 2:00:01 AM,%RH,72.795
27/1/23 4:00:01 AM,%RH,65.451
27/1/23 6:00:01 AM,%RH,60.997
27/1/23 8:00:01 AM,%RH,66.059
27/1/23 10:00:01 AM,%RH,65.451
27/1/23 12:00:01 PM,%RH,53.768
27/1/23 2:00:01 PM,%RH,48.296
27/1/23 4:00:01 PM,%RH,49.917
27/1/23 6:00:01 PM,%RH,58.818
27/1/23 8:00:01 PM,%RH,64.994
27/1/23 10:00:01 PM,%RH,67.723
28/1/23 12:00:01 AM,%RH,67.573
28/1/23 2:00:01 AM,%RH,67.874
28/1/23 4:00:01 AM,%RH,68.175
28/1/23 6:00:01 AM,%RH,65.299
28/1/23 8:00:01 AM,%RH,66.968
28/1/23 10:00:01 AM,%RH,60.532
28/1/23 12:00:01 PM,%RH,39.546
28/1/23 2:00:01 PM,%RH,35.666
28/1/23 4:00:01 PM,%RH,34.986
28/1/23 6:00:01 PM,%RH,47.319
28/1/23 8:00:01 PM,%RH,55.674
28/1/23 10:00:01 PM,%RH,59.443
29/1/23 12:00:01 AM,%RH,62.696
29/1/23 2:00:01 AM,%RH,61.152
29/1/23 4:00:01 AM,%RH,61.152
29/1/23 6:00:01 AM,%RH,60.842
29/1/23 8:00:01 AM,%RH,60.997
29/1/23 10:00:01 AM,%RH,58.192
29/1/23 12:00:01 PM,%RH,57.879
29/1/23 2:00:01 PM,%RH,42.216
29/1/23 4:00:01 PM,%RH,53.45
29/1/23 6:00:01 PM,%RH,63.464
29/1/23 8:00:01 PM,%RH,84.294
29/1/23 10:00:01 PM,%RH,91.443
30/1/23 12:00:01 AM,%RH,93.857
30/1/23 2:00:01 AM,%RH,93.591
30/1/23 4:00:01 AM,%RH,92.922
30/1/23 6:00:01 AM,%RH,92.788
30/1/23 8:00:01 AM,%RH,96.11
30/1/23 10:00:01 AM,%RH,88.861
30/1/23 12:00:01 PM,%RH,73.532
30/1/23 2:00:01 PM,%RH,67.874
30/1/23 4:00:01 PM,%RH,75.144
30/1/23 6:00:01 PM,%RH,79.338
30/1/23 8:00:01 PM,%RH,93.056
30/1/23 10:00:01 PM,%RH,95.318
31/1/23 12:00:01 AM,%RH,96.241
31/1/23 2:00:01 AM,%RH,97.683
31/1/23 4:00:01 AM,%RH,96.898
31/1/23 6:00:01 AM,%RH,96.504
31/1/23 8:00:01 AM,%RH,95.45
31/1/23 10:00:01 AM,%RH,93.457
31/1/23 12:00:01 PM,%RH,83.031
31/1/23 2:00:01 PM,%RH,71.908
31/1/23 4:00:01 PM,%RH,64.689
31/1/23 6:00:01 PM,%RH,77.034
31/1/23 8:00:01 PM,%RH,84.434
31/1/23 10:00:01 PM,%RH,85.689
1/2/23 12:00:01 AM,%RH,86.106
1/2/23 2:00:01 AM,%RH,77.612
1/2/23 4:00:01 AM,%RH,80.196
1/2/23 6:00:01 AM,%RH,84.294
1/2/23 8:00:01 AM,%RH,89.952
1/2/23 10:00:01 AM,%RH,72.795
1/2/23 12:00:01 PM,%RH,54.246
1/2/23 2:00:01 PM,%RH,47.319
1/2/23 4:00:01 PM,%RH,41.551
1/2/23 6:00:01 PM,%RH,63.924
1/2/23 8:00:01 PM,%RH,66.666
1/2/23 10:00:01 PM,%RH,72.795
2/2/23 12:00:01 AM,%RH,79.052
2/2/23 2:00:01 AM,%RH,80.053
2/2/23 4:00:01 AM,%RH,83.594
2/2/23 6:00:01 AM,%RH,85.689
2/2/23 8:00:01 AM,%RH,84.574
2/2/23 10:00:01 AM,%RH,77.901
2/2/23 12:00:01 PM,%RH,47.645
2/2/23 2:00:01 PM,%RH,43.376
2/2/23 4:00:01 PM,%RH,48.133
2/2/23 6:00:01 PM,%RH,50.24
2/2/23 8:00:01 PM,%RH,66.666
2/2/23 10:00:01 PM,%RH,71.76
3/2/23 12:00:01 AM,%RH,73.09
3/2/23 2:00:01 AM,%RH,76.163
3/2/23 4:00:01 AM,%RH,75.144
3/2/23 6:00:01 AM,%RH,79.482
3/2/23 8:00:01 AM,%RH,77.757
3/2/23 10:00:01 AM,%RH,56.621
3/2/23 12:00:01 PM,%RH,49.432
3/2/23 2:00:01 PM,%RH,56.621
3/2/23 4:00:01 PM,%RH,58.192
3/2/23 6:00:01 PM,%RH,74.705
3/2/23 8:00:01 PM,%RH,80.196
3/2/23 10:00:01 PM,%RH,87.626
4/2/23 12:00:01 AM,%RH,91.443
4/2/23 2:00:01 AM,%RH,81.902
4/2/23 4:00:01 AM,%RH,76.889
4/2/23 6:00:01 AM,%RH,76.018
4/2/23 8:00:01 AM,%RH,83.594
4/2/23 10:00:01 AM,%RH,73.972
4/2/23 12:00:01 PM,%RH,61.152
4/2/23 2:00:01 PM,%RH,56.148
4/2/23 4:00:01 PM,%RH,51.528
4/2/23 6:00:01 PM,%RH,73.679
4/2/23 8:00:01 PM,%RH,87.212
4/2/23 10:00:01 PM,%RH,92.117
5/2/23 12:00:01 AM,%RH,96.11
5/2/23 2:00:01 AM,%RH,94.257
5/2/23 4:00:01 AM,%RH,90.36
5/2/23 6:00:01 AM,%RH,92.788
5/2/23 8:00:01 AM,%RH,93.857
5/2/23 10:00:01 AM,%RH,78.333
5/2/23 12:00:01 PM,%RH,65.755
5/2/23 2:00:01 PM,%RH,58.975
5/2/23 4:00:01 PM,%RH,63.004
5/2/23 6:00:01 PM,%RH,75.29
5/2/23 8:00:01 PM,%RH,87.626
5/2/23 10:00:01 PM,%RH,92.922
6/2/23 12:00:01 AM,%RH,94.655
6/2/23 2:00:01 AM,%RH,95.846
6/2/23 4:00:01 AM,%RH,82.043
