1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DAC5C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  12317
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.506
26/1/23 10:00:01 PM,C,23.318
27/1/23 12:00:01 AM,C,23.193
27/1/23 2:00:01 AM,C,23.256
27/1/23 4:00:01 AM,C,22.38
27/1/23 6:00:01 AM,C,21.88
27/1/23 8:00:01 AM,C,21.567
27/1/23 10:00:01 AM,C,23.943
27/1/23 12:00:01 PM,C,25.131
27/1/23 2:00:01 PM,C,25.818
27/1/23 4:00:01 PM,C,25.318
27/1/23 6:00:01 PM,C,24.568
27/1/23 8:00:01 PM,C,23.256
27/1/23 10:00:01 PM,C,23.256
28/1/23 12:00:01 AM,C,22.818
28/1/23 2:00:01 AM,C,22.443
28/1/23 4:00:01 AM,C,22.068
28/1/23 6:00:01 AM,C,21.567
28/1/23 8:00:01 AM,C,21.755
28/1/23 10:00:01 AM,C,24.193
28/1/23 12:00:01 PM,C,25.443
28/1/23 2:00:01 PM,C,25.881
28/1/23 4:00:01 PM,C,25.131
28/1/23 6:00:01 PM,C,23.943
28/1/23 8:00:01 PM,C,24.006
28/1/23 10:00:01 PM,C,23.881
29/1/23 12:00:01 AM,C,23.693
29/1/23 2:00:01 AM,C,23.381
29/1/23 4:00:01 AM,C,23.13
29/1/23 6:00:01 AM,C,22.693
29/1/23 8:00:01 AM,C,22.318
29/1/23 10:00:01 AM,C,24.506
29/1/23 12:00:01 PM,C,24.568
29/1/23 2:00:01 PM,C,24.943
29/1/23 4:00:01 PM,C,25.568
29/1/23 6:00:01 PM,C,22.88
29/1/23 8:00:01 PM,C,19.003
29/1/23 10:00:01 PM,C,18.002
30/1/23 12:00:01 AM,C,17.939
30/1/23 2:00:01 AM,C,16.875
30/1/23 4:00:01 AM,C,16.563
30/1/23 6:00:01 AM,C,16.25
30/1/23 8:00:01 AM,C,16.187
30/1/23 10:00:01 AM,C,19.753
30/1/23 12:00:01 PM,C,22.443
30/1/23 2:00:01 PM,C,24.506
30/1/23 4:00:01 PM,C,23.756
30/1/23 6:00:01 PM,C,22.38
30/1/23 8:00:01 PM,C,19.816
30/1/23 10:00:01 PM,C,18.69
31/1/23 12:00:01 AM,C,18.127
31/1/23 2:00:01 AM,C,17.939
31/1/23 4:00:01 AM,C,17.689
31/1/23 6:00:01 AM,C,18.753
31/1/23 8:00:01 AM,C,19.065
31/1/23 10:00:01 AM,C,20.379
31/1/23 12:00:01 PM,C,22.38
31/1/23 2:00:01 PM,C,24.131
31/1/23 4:00:01 PM,C,24.381
31/1/23 6:00:01 PM,C,23.068
31/1/23 8:00:01 PM,C,20.066
31/1/23 10:00:01 PM,C,19.253
1/2/23 12:00:01 AM,C,18.878
1/2/23 2:00:01 AM,C,19.441
1/2/23 4:00:01 AM,C,18.69
1/2/23 6:00:01 AM,C,18.19
1/2/23 8:00:01 AM,C,17.626
1/2/23 10:00:01 AM,C,19.816
1/2/23 12:00:01 PM,C,23.068
1/2/23 2:00:01 PM,C,24.631
1/2/23 4:00:01 PM,C,25.381
1/2/23 6:00:01 PM,C,23.506
1/2/23 8:00:01 PM,C,20.066
