1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000007D8EDF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  11765
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,66.514
26/1/23 10:00:01 PM,%RH,69.231
27/1/23 12:00:01 AM,%RH,71.322
27/1/23 2:00:01 AM,%RH,74.423
27/1/23 4:00:01 AM,%RH,68.48
27/1/23 6:00:01 AM,%RH,64.839
27/1/23 8:00:01 AM,%RH,72.361
27/1/23 10:00:01 AM,%RH,65.449
27/1/23 12:00:01 PM,%RH,50.52
27/1/23 2:00:01 PM,%RH,45.127
27/1/23 4:00:01 PM,%RH,49.547
27/1/23 6:00:01 PM,%RH,60.675
27/1/23 8:00:01 PM,%RH,67.121
27/1/23 10:00:01 PM,%RH,70.428
28/1/23 12:00:01 AM,%RH,70.428
28/1/23 2:00:01 AM,%RH,70.578
28/1/23 4:00:01 AM,%RH,72.361
28/1/23 6:00:01 AM,%RH,69.831
28/1/23 8:00:01 AM,%RH,70.428
28/1/23 10:00:01 AM,%RH,57.859
28/1/23 12:00:01 PM,%RH,33.85
28/1/23 2:00:01 PM,%RH,32.129
28/1/23 4:00:01 PM,%RH,32.99
28/1/23 6:00:01 PM,%RH,48.897
28/1/23 8:00:01 PM,%RH,56.914
28/1/23 10:00:01 PM,%RH,61.296
29/1/23 12:00:01 AM,%RH,63.766
29/1/23 2:00:01 AM,%RH,61.606
29/1/23 4:00:01 AM,%RH,61.606
29/1/23 6:00:01 AM,%RH,61.606
29/1/23 8:00:01 AM,%RH,61.451
29/1/23 10:00:01 AM,%RH,65.906
29/1/23 12:00:01 PM,%RH,58.645
29/1/23 2:00:01 PM,%RH,38.954
29/1/23 4:00:01 PM,%RH,53.417
29/1/23 6:00:01 PM,%RH,64.533
29/1/23 8:00:01 PM,%RH,87.634
29/1/23 10:00:01 PM,%RH,91.984
30/1/23 12:00:01 AM,%RH,95.049
30/1/23 2:00:01 AM,%RH,96.103
30/1/23 4:00:01 AM,%RH,93.856
30/1/23 6:00:01 AM,%RH,93.989
30/1/23 8:00:01 AM,%RH,97.672
30/1/23 10:00:01 AM,%RH,88.184
30/1/23 12:00:01 PM,%RH,71.619
30/1/23 2:00:01 PM,%RH,70.876
30/1/23 4:00:01 PM,%RH,78.777
30/1/23 6:00:01 PM,%RH,81.773
30/1/23 8:00:01 PM,%RH,94.122
30/1/23 10:00:01 PM,%RH,96.234
31/1/23 12:00:01 AM,%RH,95.84
31/1/23 2:00:01 AM,%RH,95.708
31/1/23 4:00:01 AM,%RH,98.321
31/1/23 6:00:01 AM,%RH,94.387
31/1/23 8:00:01 AM,%RH,93.457
31/1/23 10:00:01 AM,%RH,90.5
31/1/23 12:00:01 PM,%RH,77.046
31/1/23 2:00:01 PM,%RH,64.991
31/1/23 4:00:01 PM,%RH,61.761
31/1/23 6:00:01 PM,%RH,77.625
31/1/23 8:00:01 PM,%RH,86.393
31/1/23 10:00:01 PM,%RH,88.047
1/2/23 12:00:01 AM,%RH,81.773
1/2/23 2:00:01 AM,%RH,74.129
1/2/23 4:00:01 AM,%RH,77.191
1/2/23 6:00:01 AM,%RH,79.208
1/2/23 8:00:01 AM,%RH,84.446
1/2/23 10:00:01 AM,%RH,69.531
1/2/23 12:00:01 PM,%RH,45.622
1/2/23 2:00:01 PM,%RH,42.141
1/2/23 4:00:01 PM,%RH,39.964
1/2/23 6:00:01 PM,%RH,66.059
1/2/23 8:00:01 PM,%RH,70.578
1/2/23 10:00:01 PM,%RH,70.727
2/2/23 12:00:01 AM,%RH,74.129
2/2/23 2:00:01 AM,%RH,74.423
2/2/23 4:00:01 AM,%RH,80.637
2/2/23 6:00:01 AM,%RH,84.586
2/2/23 8:00:01 AM,%RH,82.48
2/2/23 10:00:01 AM,%RH,67.877
2/2/23 12:00:01 PM,%RH,39.964
2/2/23 2:00:01 PM,%RH,38.785
2/2/23 4:00:01 PM,%RH,42.641
2/2/23 6:00:01 PM,%RH,55.012
2/2/23 8:00:01 PM,%RH,68.781
2/2/23 10:00:01 PM,%RH,74.716
3/2/23 12:00:01 AM,%RH,70.428
3/2/23 2:00:01 AM,%RH,72.361
3/2/23 4:00:01 AM,%RH,70.727
3/2/23 6:00:01 AM,%RH,77.769
3/2/23 8:00:01 AM,%RH,71.025
3/2/23 10:00:01 AM,%RH,48.897
3/2/23 12:00:01 PM,%RH,39.628
3/2/23 2:00:01 PM,%RH,48.408
3/2/23 4:00:01 PM,%RH,55.648
3/2/23 6:00:01 PM,%RH,75.593
3/2/23 8:00:01 PM,%RH,80.779
3/2/23 10:00:01 PM,%RH,88.047
4/2/23 12:00:01 AM,%RH,91.446
4/2/23 2:00:01 AM,%RH,76.466
4/2/23 4:00:01 AM,%RH,72.804
4/2/23 6:00:01 AM,%RH,71.916
4/2/23 8:00:01 AM,%RH,78.777
4/2/23 10:00:01 AM,%RH,66.514
4/2/23 12:00:01 PM,%RH,54.375
4/2/23 2:00:01 PM,%RH,51.005
4/2/23 4:00:01 PM,%RH,49.71
4/2/23 6:00:01 PM,%RH,75.155
4/2/23 8:00:01 PM,%RH,87.634
4/2/23 10:00:01 PM,%RH,93.59
5/2/23 12:00:01 AM,%RH,95.049
5/2/23 2:00:01 AM,%RH,95.049
5/2/23 4:00:01 AM,%RH,90.229
5/2/23 6:00:01 AM,%RH,94.652
5/2/23 8:00:01 AM,%RH,94.652
5/2/23 10:00:01 AM,%RH,73.983
5/2/23 12:00:01 PM,%RH,62.38
5/2/23 2:00:01 PM,%RH,55.012
5/2/23 4:00:01 PM,%RH,64.073
5/2/23 6:00:01 PM,%RH,78.202
5/2/23 8:00:01 PM,%RH,87.909
5/2/23 10:00:01 PM,%RH,94.387
6/2/23 12:00:01 AM,%RH,95.577
6/2/23 2:00:01 AM,%RH,95.84
6/2/23 4:00:01 AM,%RH,78.346
6/2/23 6:00:01 AM,%RH,82.197
6/2/23 8:00:01 AM,%RH,83.184
6/2/23 10:00:01 AM,%RH,65.602
6/2/23 12:00:01 PM,%RH,51.65
6/2/23 2:00:01 PM,%RH,51.005
6/2/23 4:00:01 PM,%RH,45.127
6/2/23 6:00:01 PM,%RH,68.63
6/2/23 8:00:01 PM,%RH,87.359
6/2/23 10:00:01 PM,%RH,93.457
7/2/23 12:00:01 AM,%RH,95.708
7/2/23 2:00:01 AM,%RH,95.84
7/2/23 4:00:01 AM,%RH,96.889
7/2/23 6:00:01 AM,%RH,95.445
7/2/23 8:00:01 AM,%RH,96.365
7/2/23 10:00:01 AM,%RH,80.494
7/2/23 12:00:01 PM,%RH,64.991
7/2/23 2:00:01 PM,%RH,68.781
7/2/23 4:00:01 PM,%RH,72.508
7/2/23 6:00:01 PM,%RH,78.777
7/2/23 8:00:01 PM,%RH,93.457
7/2/23 10:00:01 PM,%RH,95.971
8/2/23 12:00:01 AM,%RH,96.627
8/2/23 2:00:01 AM,%RH,97.281
8/2/23 4:00:01 AM,%RH,95.049
8/2/23 6:00:01 AM,%RH,92.521
8/2/23 8:00:01 AM,%RH,86.531
8/2/23 10:00:01 AM,%RH,79.208
8/2/23 12:00:01 PM,%RH,55.33
8/2/23 2:00:01 PM,%RH,53.577
8/2/23 4:00:01 PM,%RH,62.534
8/2/23 6:00:01 PM,%RH,74.716
8/2/23 8:00:01 PM,%RH,88.731
8/2/23 10:00:01 PM,%RH,94.652
9/2/23 12:00:01 AM,%RH,95.049
9/2/23 2:00:01 AM,%RH,94.255
9/2/23 4:00:01 AM,%RH,93.323
9/2/23 6:00:01 AM,%RH,90.365
9/2/23 8:00:01 AM,%RH,93.457
9/2/23 10:00:01 AM,%RH,76.901
9/2/23 12:00:01 PM,%RH,58.174
9/2/23 2:00:01 PM,%RH,47.755
9/2/23 4:00:01 PM,%RH,68.931
9/2/23 6:00:01 PM,%RH,81.773
9/2/23 8:00:01 PM,%RH,91.85
9/2/23 10:00:01 PM,%RH,95.313
10/2/23 12:00:01 AM,%RH,95.84
10/2/23 2:00:01 AM,%RH,96.627
10/2/23 4:00:01 AM,%RH,96.496
10/2/23 6:00:01 AM,%RH,94.255
10/2/23 8:00:01 AM,%RH,94.785
10/2/23 10:00:01 AM,%RH,76.321
10/2/23 12:00:01 PM,%RH,54.694
10/2/23 2:00:01 PM,%RH,39.291
10/2/23 4:00:01 PM,%RH,33.85
10/2/23 6:00:01 PM,%RH,51.328
10/2/23 8:00:01 PM,%RH,60.675
10/2/23 10:00:01 PM,%RH,70.13
11/2/23 12:00:01 AM,%RH,63.766
11/2/23 2:00:01 AM,%RH,68.931
11/2/23 4:00:01 AM,%RH,71.025
11/2/23 6:00:01 AM,%RH,78.921
11/2/23 8:00:01 AM,%RH,80.352
11/2/23 10:00:01 AM,%RH,56.44
11/2/23 12:00:01 PM,%RH,41.305
11/2/23 2:00:01 PM,%RH,32.301
11/2/23 4:00:01 PM,%RH,30.051
11/2/23 6:00:01 PM,%RH,39.628
11/2/23 8:00:01 PM,%RH,80.066
11/2/23 10:00:01 PM,%RH,83.606
12/2/23 12:00:01 AM,%RH,62.225
12/2/23 2:00:01 AM,%RH,49.547
12/2/23 4:00:01 AM,%RH,64.533
12/2/23 6:00:01 AM,%RH,64.991
12/2/23 8:00:01 AM,%RH,72.952
12/2/23 10:00:01 AM,%RH,52.615
12/2/23 12:00:01 PM,%RH,29.181
12/2/23 2:00:01 PM,%RH,25.147
12/2/23 4:00:01 PM,%RH,22.844
12/2/23 6:00:01 PM,%RH,51.167
12/2/23 8:00:01 PM,%RH,86.946
12/2/23 10:00:01 PM,%RH,89.141
13/2/23 12:00:01 AM,%RH,81.348
