1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 460000007D8EDF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  11765
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.324
26/1/23 10:00:01 PM,C,23.074
27/1/23 12:00:01 AM,C,22.823
27/1/23 2:00:01 AM,C,22.949
27/1/23 4:00:01 AM,C,21.573
27/1/23 6:00:01 AM,C,20.822
27/1/23 8:00:01 AM,C,20.509
27/1/23 10:00:01 AM,C,24.137
27/1/23 12:00:01 PM,C,25.949
27/1/23 2:00:01 PM,C,26.449
27/1/23 4:00:01 PM,C,25.762
27/1/23 6:00:01 PM,C,24.887
27/1/23 8:00:01 PM,C,22.949
27/1/23 10:00:01 PM,C,23.074
28/1/23 12:00:01 AM,C,22.323
28/1/23 2:00:01 AM,C,21.698
28/1/23 4:00:01 AM,C,21.197
28/1/23 6:00:01 AM,C,20.509
28/1/23 8:00:01 AM,C,20.947
28/1/23 10:00:01 AM,C,24.574
28/1/23 12:00:01 PM,C,26.574
28/1/23 2:00:01 PM,C,27.199
28/1/23 4:00:01 PM,C,26.012
28/1/23 6:00:01 PM,C,23.886
28/1/23 8:00:01 PM,C,23.949
28/1/23 10:00:01 PM,C,23.886
29/1/23 12:00:01 AM,C,23.636
29/1/23 2:00:01 AM,C,23.324
29/1/23 4:00:01 AM,C,23.074
29/1/23 6:00:01 AM,C,22.636
29/1/23 8:00:01 AM,C,22.323
29/1/23 10:00:01 AM,C,22.573
29/1/23 12:00:01 PM,C,24.449
29/1/23 2:00:01 PM,C,25.074
29/1/23 4:00:01 PM,C,25.199
29/1/23 6:00:01 PM,C,22.386
29/1/23 8:00:01 PM,C,18.569
29/1/23 10:00:01 PM,C,18.006
30/1/23 12:00:01 AM,C,17.63
30/1/23 2:00:01 AM,C,16.441
30/1/23 4:00:01 AM,C,16.19
30/1/23 6:00:01 AM,C,15.877
30/1/23 8:00:01 AM,C,15.94
30/1/23 10:00:01 AM,C,20.009
30/1/23 12:00:01 PM,C,22.698
30/1/23 2:00:01 PM,C,24.262
30/1/23 4:00:01 PM,C,23.386
30/1/23 6:00:01 PM,C,22.198
30/1/23 8:00:01 PM,C,19.508
30/1/23 10:00:01 PM,C,18.694
31/1/23 12:00:01 AM,C,18.194
31/1/23 2:00:01 AM,C,18.256
31/1/23 4:00:01 AM,C,17.755
31/1/23 6:00:01 AM,C,19.07
31/1/23 8:00:01 AM,C,19.32
31/1/23 10:00:01 AM,C,20.822
31/1/23 12:00:01 PM,C,22.823
31/1/23 2:00:01 PM,C,24.637
31/1/23 4:00:01 PM,C,24.699
31/1/23 6:00:01 PM,C,22.949
31/1/23 8:00:01 PM,C,19.758
31/1/23 10:00:01 PM,C,18.82
1/2/23 12:00:01 AM,C,19.132
1/2/23 2:00:01 AM,C,19.758
1/2/23 4:00:01 AM,C,18.882
1/2/23 6:00:01 AM,C,18.569
1/2/23 8:00:01 AM,C,18.131
1/2/23 10:00:01 AM,C,20.384
1/2/23 12:00:01 PM,C,24.074
1/2/23 2:00:01 PM,C,25.137
1/2/23 4:00:01 PM,C,25.637
1/2/23 6:00:01 PM,C,23.199
1/2/23 8:00:01 PM,C,19.571
1/2/23 10:00:01 PM,C,20.697
2/2/23 12:00:01 AM,C,19.946
2/2/23 2:00:01 AM,C,19.696
2/2/23 4:00:01 AM,C,19.132
2/2/23 6:00:01 AM,C,18.256
2/2/23 8:00:01 AM,C,18.444
2/2/23 10:00:01 AM,C,21.26
2/2/23 12:00:01 PM,C,24.262
2/2/23 2:00:01 PM,C,25.699
2/2/23 4:00:01 PM,C,25.637
2/2/23 6:00:01 PM,C,23.511
2/2/23 8:00:01 PM,C,19.07
2/2/23 10:00:01 PM,C,18.381
3/2/23 12:00:01 AM,C,19.571
3/2/23 2:00:01 AM,C,18.757
3/2/23 4:00:01 AM,C,18.319
3/2/23 6:00:01 AM,C,17.255
3/2/23 8:00:01 AM,C,17.881
3/2/23 10:00:01 AM,C,21.385
3/2/23 12:00:01 PM,C,23.574
3/2/23 2:00:01 PM,C,24.699
3/2/23 4:00:01 PM,C,24.262
3/2/23 6:00:01 PM,C,22.761
3/2/23 8:00:01 PM,C,21.26
3/2/23 10:00:01 PM,C,20.071
4/2/23 12:00:01 AM,C,19.508
4/2/23 2:00:01 AM,C,19.571
4/2/23 4:00:01 AM,C,19.696
4/2/23 6:00:01 AM,C,19.633
4/2/23 8:00:01 AM,C,19.007
4/2/23 10:00:01 AM,C,21.698
4/2/23 12:00:01 PM,C,25.012
4/2/23 2:00:01 PM,C,26.262
4/2/23 4:00:01 PM,C,26.512
4/2/23 6:00:01 PM,C,23.761
4/2/23 8:00:01 PM,C,21.322
4/2/23 10:00:01 PM,C,20.134
5/2/23 12:00:01 AM,C,19.007
5/2/23 2:00:01 AM,C,18.068
5/2/23 4:00:01 AM,C,17.568
5/2/23 6:00:01 AM,C,16.19
5/2/23 8:00:01 AM,C,16.691
5/2/23 10:00:01 AM,C,21.635
5/2/23 12:00:01 PM,C,24.699
5/2/23 2:00:01 PM,C,26.074
5/2/23 4:00:01 PM,C,26.824
5/2/23 6:00:01 PM,C,24.574
5/2/23 8:00:01 PM,C,21.76
5/2/23 10:00:01 PM,C,20.134
6/2/23 12:00:01 AM,C,18.694
6/2/23 2:00:01 AM,C,19.07
6/2/23 4:00:01 AM,C,17.63
6/2/23 6:00:01 AM,C,16.816
6/2/23 8:00:01 AM,C,16.942
6/2/23 10:00:01 AM,C,21.322
6/2/23 12:00:01 PM,C,23.574
6/2/23 2:00:01 PM,C,24.699
6/2/23 4:00:01 PM,C,25.387
6/2/23 6:00:01 PM,C,23.574
6/2/23 8:00:01 PM,C,21.447
6/2/23 10:00:01 PM,C,20.822
7/2/23 12:00:01 AM,C,19.758
7/2/23 2:00:01 AM,C,18.632
7/2/23 4:00:01 AM,C,17.693
7/2/23 6:00:01 AM,C,17.442
7/2/23 8:00:01 AM,C,16.629
7/2/23 10:00:01 AM,C,21.26
7/2/23 12:00:01 PM,C,23.886
7/2/23 2:00:01 PM,C,25.324
7/2/23 4:00:01 PM,C,24.637
7/2/23 6:00:01 PM,C,23.261
7/2/23 8:00:01 PM,C,21.573
7/2/23 10:00:01 PM,C,20.447
8/2/23 12:00:01 AM,C,19.633
8/2/23 2:00:01 AM,C,18.444
8/2/23 4:00:01 AM,C,19.07
8/2/23 6:00:01 AM,C,18.632
8/2/23 8:00:01 AM,C,19.758
8/2/23 10:00:01 AM,C,21.573
8/2/23 12:00:01 PM,C,24.887
8/2/23 2:00:01 PM,C,26.324
8/2/23 4:00:01 PM,C,26.512
8/2/23 6:00:01 PM,C,24.199
8/2/23 8:00:01 PM,C,21.135
8/2/23 10:00:01 PM,C,20.071
9/2/23 12:00:01 AM,C,18.444
9/2/23 2:00:01 AM,C,18.131
9/2/23 4:00:01 AM,C,16.754
9/2/23 6:00:01 AM,C,16.566
9/2/23 8:00:01 AM,C,16.566
9/2/23 10:00:01 AM,C,21.072
9/2/23 12:00:01 PM,C,24.199
9/2/23 2:00:01 PM,C,26.012
9/2/23 4:00:01 PM,C,24.887
9/2/23 6:00:01 PM,C,23.324
9/2/23 8:00:01 PM,C,21.51
9/2/23 10:00:01 PM,C,20.447
10/2/23 12:00:01 AM,C,19.508
10/2/23 2:00:01 AM,C,18.945
10/2/23 4:00:01 AM,C,16.566
10/2/23 6:00:01 AM,C,15.501
10/2/23 8:00:01 AM,C,16.065
10/2/23 10:00:01 AM,C,20.634
10/2/23 12:00:01 PM,C,24.011
10/2/23 2:00:01 PM,C,26.137
10/2/23 4:00:01 PM,C,26.699
10/2/23 6:00:01 PM,C,24.574
10/2/23 8:00:01 PM,C,20.071
10/2/23 10:00:01 PM,C,18.131
11/2/23 12:00:01 AM,C,17.818
11/2/23 2:00:01 AM,C,17.129
11/2/23 4:00:01 AM,C,16.754
11/2/23 6:00:01 AM,C,15.564
11/2/23 8:00:01 AM,C,16.253
11/2/23 10:00:01 AM,C,21.635
