1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 320000007D900D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9023
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,65.33
26/1/23 10:00:01 PM,%RH,66.795
27/1/23 12:00:01 AM,%RH,68.105
27/1/23 2:00:01 AM,%RH,71.989
27/1/23 4:00:01 AM,%RH,65.183
27/1/23 6:00:01 AM,%RH,60.727
27/1/23 8:00:01 AM,%RH,67.233
27/1/23 10:00:01 AM,%RH,66.21
27/1/23 12:00:01 PM,%RH,53.879
27/1/23 2:00:01 PM,%RH,47.628
27/1/23 4:00:01 PM,%RH,51.085
27/1/23 6:00:01 PM,%RH,59.976
27/1/23 8:00:01 PM,%RH,65.477
27/1/23 10:00:01 PM,%RH,68.105
28/1/23 12:00:01 AM,%RH,67.087
28/1/23 2:00:01 AM,%RH,67.233
28/1/23 4:00:01 AM,%RH,67.378
28/1/23 6:00:01 AM,%RH,65.477
28/1/23 8:00:01 AM,%RH,65.036
28/1/23 10:00:01 AM,%RH,58.618
28/1/23 12:00:01 PM,%RH,37.138
28/1/23 2:00:01 PM,%RH,35.488
28/1/23 4:00:01 PM,%RH,34.659
28/1/23 6:00:01 PM,%RH,47.944
28/1/23 8:00:01 PM,%RH,55.725
28/1/23 10:00:01 PM,%RH,58.92
29/1/23 12:00:01 AM,%RH,61.476
29/1/23 2:00:01 AM,%RH,61.176
29/1/23 4:00:01 AM,%RH,60.577
29/1/23 6:00:01 AM,%RH,60.727
29/1/23 8:00:01 AM,%RH,60.727
29/1/23 10:00:01 AM,%RH,58.466
29/1/23 12:00:01 PM,%RH,56.031
29/1/23 2:00:01 PM,%RH,46.994
29/1/23 4:00:01 PM,%RH,55.265
29/1/23 6:00:01 PM,%RH,74.538
29/1/23 8:00:01 PM,%RH,88.262
29/1/23 10:00:01 PM,%RH,93.424
30/1/23 12:00:01 AM,%RH,96.072
30/1/23 2:00:01 AM,%RH,95.947
30/1/23 4:00:01 AM,%RH,95.947
30/1/23 6:00:01 AM,%RH,97.566
30/1/23 8:00:01 AM,%RH,98.308
30/1/23 10:00:01 AM,%RH,85.889
30/1/23 12:00:01 PM,%RH,72.984
30/1/23 2:00:01 PM,%RH,75.241
30/1/23 4:00:01 PM,%RH,83.887
30/1/23 6:00:01 PM,%RH,88.786
30/1/23 8:00:01 PM,%RH,94.564
30/1/23 10:00:01 PM,%RH,96.447
31/1/23 12:00:01 AM,%RH,97.814
31/1/23 2:00:01 AM,%RH,97.07
31/1/23 4:00:01 AM,%RH,98.554
31/1/23 6:00:01 AM,%RH,94.312
31/1/23 8:00:01 AM,%RH,93.424
31/1/23 10:00:01 AM,%RH,89.697
31/1/23 12:00:01 PM,%RH,76.36
31/1/23 2:00:01 PM,%RH,64.594
31/1/23 4:00:01 PM,%RH,66.357
31/1/23 6:00:01 PM,%RH,83.08
31/1/23 8:00:01 PM,%RH,90.087
31/1/23 10:00:01 PM,%RH,92.532
1/2/23 12:00:01 AM,%RH,92.148
1/2/23 2:00:01 AM,%RH,79.131
1/2/23 4:00:01 AM,%RH,78.028
1/2/23 6:00:01 AM,%RH,82.27
1/2/23 8:00:01 AM,%RH,85.091
1/2/23 10:00:01 AM,%RH,67.524
1/2/23 12:00:01 PM,%RH,37.795
1/2/23 2:00:01 PM,%RH,43.802
1/2/23 4:00:01 PM,%RH,43.159
1/2/23 6:00:01 PM,%RH,73.974
1/2/23 8:00:01 PM,%RH,77.335
1/2/23 10:00:01 PM,%RH,82.135
2/2/23 12:00:01 AM,%RH,85.224
2/2/23 2:00:01 AM,%RH,75.941
2/2/23 4:00:01 AM,%RH,81.184
2/2/23 6:00:01 AM,%RH,84.289
2/2/23 8:00:01 AM,%RH,83.08
2/2/23 10:00:01 AM,%RH,66.941
2/2/23 12:00:01 PM,%RH,36.479
2/2/23 2:00:01 PM,%RH,40.409
2/2/23 4:00:01 PM,%RH,46.04
2/2/23 6:00:01 PM,%RH,67.669
2/2/23 8:00:01 PM,%RH,74.96
2/2/23 10:00:01 PM,%RH,80.229
3/2/23 12:00:01 AM,%RH,71.989
3/2/23 2:00:01 AM,%RH,72.131
3/2/23 4:00:01 AM,%RH,72.131
3/2/23 6:00:01 AM,%RH,70.989
3/2/23 8:00:01 AM,%RH,71.846
3/2/23 10:00:01 AM,%RH,50.616
3/2/23 12:00:01 PM,%RH,39.758
3/2/23 2:00:01 PM,%RH,48.26
3/2/23 4:00:01 PM,%RH,62.222
3/2/23 6:00:01 PM,%RH,79.544
3/2/23 8:00:01 PM,%RH,86.684
3/2/23 10:00:01 PM,%RH,90.604
4/2/23 12:00:01 AM,%RH,93.424
4/2/23 2:00:01 AM,%RH,87.08
4/2/23 4:00:01 AM,%RH,74.116
4/2/23 6:00:01 AM,%RH,72.274
4/2/23 8:00:01 AM,%RH,77.751
4/2/23 10:00:01 AM,%RH,64.446
4/2/23 12:00:01 PM,%RH,53.106
4/2/23 2:00:01 PM,%RH,52.641
4/2/23 4:00:01 PM,%RH,52.641
4/2/23 6:00:01 PM,%RH,79.269
4/2/23 8:00:01 PM,%RH,90.346
4/2/23 10:00:01 PM,%RH,94.312
5/2/23 12:00:01 AM,%RH,95.068
5/2/23 2:00:01 AM,%RH,95.947
5/2/23 4:00:01 AM,%RH,94.438
5/2/23 6:00:01 AM,%RH,95.822
5/2/23 8:00:01 AM,%RH,96.696
5/2/23 10:00:01 AM,%RH,73.833
5/2/23 12:00:01 PM,%RH,60.877
5/2/23 2:00:01 PM,%RH,59.222
5/2/23 4:00:01 PM,%RH,58.92
5/2/23 6:00:01 PM,%RH,82.54
5/2/23 8:00:01 PM,%RH,90.346
5/2/23 10:00:01 PM,%RH,94.059
6/2/23 12:00:01 AM,%RH,94.816
6/2/23 2:00:01 AM,%RH,96.447
6/2/23 4:00:01 AM,%RH,92.148
6/2/23 6:00:01 AM,%RH,91.892
6/2/23 8:00:01 AM,%RH,92.787
6/2/23 10:00:01 AM,%RH,66.503
6/2/23 12:00:01 PM,%RH,54.65
6/2/23 2:00:01 PM,%RH,53.261
6/2/23 4:00:01 PM,%RH,49.048
6/2/23 6:00:01 PM,%RH,75.241
6/2/23 8:00:01 PM,%RH,87.211
6/2/23 10:00:01 PM,%RH,94.816
7/2/23 12:00:01 AM,%RH,96.072
7/2/23 2:00:01 AM,%RH,96.572
7/2/23 4:00:01 AM,%RH,96.447
7/2/23 6:00:01 AM,%RH,96.572
7/2/23 8:00:01 AM,%RH,96.821
7/2/23 10:00:01 AM,%RH,78.442
7/2/23 12:00:01 PM,%RH,69.552
7/2/23 2:00:01 PM,%RH,73.267
7/2/23 4:00:01 PM,%RH,80.366
7/2/23 6:00:01 PM,%RH,87.211
7/2/23 8:00:01 PM,%RH,93.678
7/2/23 10:00:01 PM,%RH,95.445
8/2/23 12:00:01 AM,%RH,97.194
8/2/23 2:00:01 AM,%RH,97.442
8/2/23 4:00:01 AM,%RH,98.677
8/2/23 6:00:01 AM,%RH,96.572
8/2/23 8:00:01 AM,%RH,87.869
8/2/23 10:00:01 AM,%RH,80.912
8/2/23 12:00:01 PM,%RH,57.404
8/2/23 2:00:01 PM,%RH,55.265
8/2/23 4:00:01 PM,%RH,68.395
8/2/23 6:00:01 PM,%RH,81.184
8/2/23 8:00:01 PM,%RH,91.249
