1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 320000007D900D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  934
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  934
Total Device Samples:  9023
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.422
26/1/23 10:00:01 PM,C,23.297
27/1/23 12:00:01 AM,C,23.172
27/1/23 2:00:01 AM,C,23.234
27/1/23 4:00:01 AM,C,22.296
27/1/23 6:00:01 AM,C,21.733
27/1/23 8:00:01 AM,C,21.421
27/1/23 10:00:01 AM,C,23.672
27/1/23 12:00:01 PM,C,24.609
27/1/23 2:00:01 PM,C,25.797
27/1/23 4:00:01 PM,C,25.234
27/1/23 6:00:01 PM,C,24.547
27/1/23 8:00:01 PM,C,23.172
27/1/23 10:00:01 PM,C,23.172
28/1/23 12:00:01 AM,C,22.859
28/1/23 2:00:01 AM,C,22.421
28/1/23 4:00:01 AM,C,22.046
28/1/23 6:00:01 AM,C,21.546
28/1/23 8:00:01 AM,C,21.796
28/1/23 10:00:01 AM,C,24.234
28/1/23 12:00:01 PM,C,25.422
28/1/23 2:00:01 PM,C,25.859
28/1/23 4:00:01 PM,C,25.109
28/1/23 6:00:01 PM,C,24.047
28/1/23 8:00:01 PM,C,24.047
28/1/23 10:00:01 PM,C,23.984
29/1/23 12:00:01 AM,C,23.797
29/1/23 2:00:01 AM,C,23.422
29/1/23 4:00:01 AM,C,23.109
29/1/23 6:00:01 AM,C,22.671
29/1/23 8:00:01 AM,C,22.234
29/1/23 10:00:01 AM,C,24.797
29/1/23 12:00:01 PM,C,24.922
29/1/23 2:00:01 PM,C,23.922
29/1/23 4:00:01 PM,C,23.609
29/1/23 6:00:01 PM,C,21.046
29/1/23 8:00:01 PM,C,17.918
29/1/23 10:00:01 PM,C,17.48
30/1/23 12:00:01 AM,C,17.292
30/1/23 2:00:01 AM,C,16.041
30/1/23 4:00:01 AM,C,15.478
30/1/23 6:00:01 AM,C,15.165
30/1/23 8:00:01 AM,C,15.603
30/1/23 10:00:01 AM,C,20.233
30/1/23 12:00:01 PM,C,22.921
30/1/23 2:00:01 PM,C,23.422
30/1/23 4:00:01 PM,C,22.359
30/1/23 6:00:01 PM,C,21.171
30/1/23 8:00:01 PM,C,19.169
30/1/23 10:00:01 PM,C,18.168
31/1/23 12:00:01 AM,C,17.668
31/1/23 2:00:01 AM,C,17.73
31/1/23 4:00:01 AM,C,17.418
31/1/23 6:00:01 AM,C,18.856
31/1/23 8:00:01 AM,C,19.232
31/1/23 10:00:01 AM,C,21.046
31/1/23 12:00:01 PM,C,23.297
31/1/23 2:00:01 PM,C,24.484
31/1/23 4:00:01 PM,C,24.047
31/1/23 6:00:01 PM,C,21.796
31/1/23 8:00:01 PM,C,19.232
31/1/23 10:00:01 PM,C,18.043
1/2/23 12:00:01 AM,C,17.793
1/2/23 2:00:01 AM,C,19.107
1/2/23 4:00:01 AM,C,18.794
1/2/23 6:00:01 AM,C,18.293
1/2/23 8:00:01 AM,C,18.106
1/2/23 10:00:01 AM,C,20.67
1/2/23 12:00:01 PM,C,26.234
1/2/23 2:00:01 PM,C,24.797
1/2/23 4:00:01 PM,C,24.797
1/2/23 6:00:01 PM,C,22.109
1/2/23 8:00:01 PM,C,18.606
1/2/23 10:00:01 PM,C,19.107
2/2/23 12:00:01 AM,C,18.356
2/2/23 2:00:01 AM,C,19.545
2/2/23 4:00:01 AM,C,19.044
2/2/23 6:00:01 AM,C,18.231
2/2/23 8:00:01 AM,C,18.481
2/2/23 10:00:01 AM,C,21.546
2/2/23 12:00:01 PM,C,25.672
2/2/23 2:00:01 PM,C,25.547
2/2/23 4:00:01 PM,C,25.109
2/2/23 6:00:01 PM,C,22.421
2/2/23 8:00:01 PM,C,18.419
2/2/23 10:00:01 PM,C,17.418
3/2/23 12:00:01 AM,C,19.357
3/2/23 2:00:01 AM,C,18.856
3/2/23 4:00:01 AM,C,18.293
3/2/23 6:00:01 AM,C,17.793
3/2/23 8:00:01 AM,C,17.918
3/2/23 10:00:01 AM,C,21.671
3/2/23 12:00:01 PM,C,23.797
3/2/23 2:00:01 PM,C,24.797
