1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007D8CF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  11801
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,67.326
26/1/23 10:01:01 PM,%RH,69.828
27/1/23 12:01:01 AM,%RH,71.577
27/1/23 2:01:01 AM,%RH,74.746
27/1/23 4:01:01 AM,%RH,69.535
27/1/23 6:01:01 AM,%RH,67.326
27/1/23 8:01:01 AM,%RH,74.173
27/1/23 10:01:01 AM,%RH,63.746
27/1/23 12:01:01 PM,%RH,49.182
27/1/23 2:01:01 PM,%RH,47.1
27/1/23 4:01:01 PM,%RH,52.668
27/1/23 6:01:01 PM,%RH,65.095
27/1/23 8:01:01 PM,%RH,72.59
27/1/23 10:01:01 PM,%RH,74.173
28/1/23 12:01:01 AM,%RH,69.388
28/1/23 2:01:01 AM,%RH,69.388
28/1/23 4:01:01 AM,%RH,70.558
28/1/23 6:01:01 AM,%RH,68.948
28/1/23 8:01:01 AM,%RH,66.882
28/1/23 10:01:01 AM,%RH,59.192
28/1/23 12:01:01 PM,%RH,30.528
28/1/23 2:01:01 PM,%RH,33.583
28/1/23 4:01:01 PM,%RH,32.568
28/1/23 6:01:01 PM,%RH,46.455
28/1/23 8:01:01 PM,%RH,54.081
28/1/23 10:01:01 PM,%RH,57.5
29/1/23 12:01:01 AM,%RH,61.176
29/1/23 2:01:01 AM,%RH,61.328
29/1/23 4:01:01 AM,%RH,61.784
29/1/23 6:01:01 AM,%RH,62.389
29/1/23 8:01:01 AM,%RH,62.843
29/1/23 10:01:01 AM,%RH,59.652
29/1/23 12:01:01 PM,%RH,59.039
29/1/23 2:01:01 PM,%RH,44.026
29/1/23 4:01:01 PM,%RH,68.36
29/1/23 6:01:01 PM,%RH,71.867
29/1/23 8:01:01 PM,%RH,85.601
29/1/23 10:01:01 PM,%RH,94.063
30/1/23 12:01:01 AM,%RH,90.805
30/1/23 2:01:01 AM,%RH,86.816
30/1/23 4:01:01 AM,%RH,86.546
30/1/23 6:01:01 AM,%RH,90.674
30/1/23 8:01:01 AM,%RH,95.861
30/1/23 10:01:01 AM,%RH,93.027
30/1/23 12:01:01 PM,%RH,77.868
30/1/23 2:01:01 PM,%RH,73.743
30/1/23 4:01:01 PM,%RH,78.29
30/1/23 6:01:01 PM,%RH,82.875
30/1/23 8:01:01 PM,%RH,92.507
30/1/23 10:01:01 PM,%RH,97.891
31/1/23 12:01:01 AM,%RH,98.269
31/1/23 2:01:01 AM,%RH,97.891
31/1/23 4:01:01 AM,%RH,97.513
31/1/23 6:01:01 AM,%RH,94.45
31/1/23 8:01:01 AM,%RH,95.477
31/1/23 10:01:01 AM,%RH,93.287
31/1/23 12:01:01 PM,%RH,86.142
31/1/23 2:01:01 PM,%RH,73.023
31/1/23 4:01:01 PM,%RH,75.175
31/1/23 6:01:01 PM,%RH,76.738
31/1/23 8:01:01 PM,%RH,77.586
31/1/23 10:01:01 PM,%RH,78.431
1/2/23 12:01:01 AM,%RH,80.526
1/2/23 2:01:01 AM,%RH,78.009
1/2/23 4:01:01 AM,%RH,79.411
1/2/23 6:01:01 AM,%RH,83.56
1/2/23 8:01:01 AM,%RH,85.059
1/2/23 10:01:01 AM,%RH,84.787
