1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007D8CF741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  11801
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.41
26/1/23 10:01:01 PM,C,22.785
27/1/23 12:01:01 AM,C,22.722
27/1/23 2:01:01 AM,C,22.91
27/1/23 4:01:01 AM,C,21.221
27/1/23 6:01:01 AM,C,20.158
27/1/23 8:01:01 AM,C,19.97
27/1/23 10:01:01 AM,C,24.535
27/1/23 12:01:01 PM,C,26.285
27/1/23 2:01:01 PM,C,25.785
27/1/23 4:01:01 PM,C,24.785
27/1/23 6:01:01 PM,C,24.848
27/1/23 8:01:01 PM,C,21.721
27/1/23 10:01:01 PM,C,22.097
28/1/23 12:01:01 AM,C,22.535
28/1/23 2:01:01 AM,C,22.159
28/1/23 4:01:01 AM,C,21.659
28/1/23 6:01:01 AM,C,20.846
28/1/23 8:01:01 AM,C,21.159
28/1/23 10:01:01 AM,C,24.098
28/1/23 12:01:01 PM,C,26.41
28/1/23 2:01:01 PM,C,26.722
28/1/23 4:01:01 PM,C,25.535
28/1/23 6:01:01 PM,C,24.535
28/1/23 8:01:01 PM,C,24.41
28/1/23 10:01:01 PM,C,24.223
29/1/23 12:01:01 AM,C,23.848
29/1/23 2:01:01 AM,C,23.41
29/1/23 4:01:01 AM,C,22.847
29/1/23 6:01:01 AM,C,22.284
29/1/23 8:01:01 AM,C,21.847
29/1/23 10:01:01 AM,C,22.91
29/1/23 12:01:01 PM,C,24.285
29/1/23 2:01:01 PM,C,24.973
29/1/23 4:01:01 PM,C,23.285
29/1/23 6:01:01 PM,C,21.909
29/1/23 8:01:01 PM,C,19.532
29/1/23 10:01:01 PM,C,18.593
30/1/23 12:01:01 AM,C,18.405
30/1/23 2:01:01 AM,C,17.529
30/1/23 4:01:01 AM,C,17.591
30/1/23 6:01:01 AM,C,16.903
30/1/23 8:01:01 AM,C,16.527
30/1/23 10:01:01 AM,C,19.094
30/1/23 12:01:01 PM,C,22.034
30/1/23 2:01:01 PM,C,23.597
30/1/23 4:01:01 PM,C,23.035
30/1/23 6:01:01 PM,C,21.847
30/1/23 8:01:01 PM,C,20.345
30/1/23 10:01:01 PM,C,19.094
31/1/23 12:01:01 AM,C,18.969
31/1/23 2:01:01 AM,C,19.219
31/1/23 4:01:01 AM,C,17.842
31/1/23 6:01:01 AM,C,18.969
31/1/23 8:01:01 AM,C,19.031
31/1/23 10:01:01 AM,C,20.22
31/1/23 12:01:01 PM,C,22.222
31/1/23 2:01:01 PM,C,23.723
31/1/23 4:01:01 PM,C,23.285
31/1/23 6:01:01 PM,C,22.284
31/1/23 8:01:01 PM,C,21.221
31/1/23 10:01:01 PM,C,20.47
1/2/23 12:01:01 AM,C,19.845
1/2/23 2:01:01 AM,C,19.657
1/2/23 4:01:01 AM,C,18.843
1/2/23 6:01:01 AM,C,18.217
1/2/23 8:01:01 AM,C,17.967
1/2/23 10:01:01 AM,C,18.969
1/2/23 12:01:01 PM,C,22.972
1/2/23 2:01:01 PM,C,24.035
1/2/23 4:01:01 PM,C,24.098
1/2/23 6:01:01 PM,C,22.972
1/2/23 8:01:01 PM,C,21.534
1/2/23 10:01:01 PM,C,20.971
2/2/23 12:01:01 AM,C,20.095
2/2/23 2:01:01 AM,C,19.031
2/2/23 4:01:01 AM,C,18.843
2/2/23 6:01:01 AM,C,18.28
2/2/23 8:01:01 AM,C,18.656
2/2/23 10:01:01 AM,C,20.158
2/2/23 12:01:01 PM,C,23.41
2/2/23 2:01:01 PM,C,24.91
2/2/23 4:01:01 PM,C,24.535
2/2/23 6:01:01 PM,C,22.66
2/2/23 8:01:01 PM,C,21.346
2/2/23 10:01:01 PM,C,20.283
3/2/23 12:01:01 AM,C,19.219
3/2/23 2:01:01 AM,C,18.343
3/2/23 4:01:01 AM,C,17.779
3/2/23 6:01:01 AM,C,17.028
3/2/23 8:01:01 AM,C,17.216
3/2/23 10:01:01 AM,C,19.97
3/2/23 12:01:01 PM,C,22.159
3/2/23 2:01:01 PM,C,23.472
3/2/23 4:01:01 PM,C,22.785
3/2/23 6:01:01 PM,C,22.472
3/2/23 8:01:01 PM,C,21.784
3/2/23 10:01:01 PM,C,20.846
4/2/23 12:01:01 AM,C,20.533
4/2/23 2:01:01 AM,C,19.907
4/2/23 4:01:01 AM,C,19.532
4/2/23 6:01:01 AM,C,19.469
4/2/23 8:01:01 AM,C,18.53
4/2/23 10:01:01 AM,C,20.408
4/2/23 12:01:01 PM,C,24.098
4/2/23 2:01:01 PM,C,25.348
4/2/23 4:01:01 PM,C,25.223
4/2/23 6:01:01 PM,C,23.785
4/2/23 8:01:01 PM,C,21.847
4/2/23 10:01:01 PM,C,20.283
5/2/23 12:01:01 AM,C,18.781
5/2/23 2:01:01 AM,C,19.907
5/2/23 4:01:01 AM,C,18.405
5/2/23 6:01:01 AM,C,17.905
5/2/23 8:01:01 AM,C,17.842
5/2/23 10:01:01 AM,C,20.658
5/2/23 12:01:01 PM,C,24.035
5/2/23 2:01:01 PM,C,24.973
5/2/23 4:01:01 PM,C,25.66
5/2/23 6:01:01 PM,C,24.223
5/2/23 8:01:01 PM,C,22.284
5/2/23 10:01:01 PM,C,20.533
6/2/23 12:01:01 AM,C,19.031
6/2/23 2:01:01 AM,C,19.532
6/2/23 4:01:01 AM,C,18.155
6/2/23 6:01:01 AM,C,17.028
6/2/23 8:01:01 AM,C,16.965
6/2/23 10:01:01 AM,C,20.22
6/2/23 12:01:01 PM,C,22.222
6/2/23 2:01:01 PM,C,23.848
6/2/23 4:01:01 PM,C,24.473
6/2/23 6:01:01 PM,C,23.285
6/2/23 8:01:01 PM,C,21.659
6/2/23 10:01:01 PM,C,20.846
7/2/23 12:01:01 AM,C,19.907
7/2/23 2:01:01 AM,C,18.781
7/2/23 4:01:01 AM,C,17.842
7/2/23 6:01:01 AM,C,17.529
7/2/23 8:01:01 AM,C,17.529
7/2/23 10:01:01 AM,C,20.032
7/2/23 12:01:01 PM,C,23.035
7/2/23 2:01:01 PM,C,24.723
7/2/23 4:01:01 PM,C,24.285
7/2/23 6:01:01 PM,C,22.972
7/2/23 8:01:01 PM,C,21.909
7/2/23 10:01:01 PM,C,20.596
8/2/23 12:01:01 AM,C,19.594
8/2/23 2:01:01 AM,C,19.282
8/2/23 4:01:01 AM,C,19.532
8/2/23 6:01:01 AM,C,18.906
8/2/23 8:01:01 AM,C,19.469
8/2/23 10:01:01 AM,C,20.658
8/2/23 12:01:01 PM,C,23.66
8/2/23 2:01:01 PM,C,25.16
8/2/23 4:01:01 PM,C,25.723
8/2/23 6:01:01 PM,C,23.91
8/2/23 8:01:01 PM,C,21.659
8/2/23 10:01:01 PM,C,20.47
9/2/23 12:01:01 AM,C,18.843
9/2/23 2:01:01 AM,C,19.469
9/2/23 4:01:01 AM,C,19.156
9/2/23 6:01:01 AM,C,18.092
9/2/23 8:01:01 AM,C,17.967
9/2/23 10:01:01 AM,C,20.596
9/2/23 12:01:01 PM,C,23.41
9/2/23 2:01:01 PM,C,24.91
9/2/23 4:01:01 PM,C,24.598
9/2/23 6:01:01 PM,C,23.16
9/2/23 8:01:01 PM,C,21.409
9/2/23 10:01:01 PM,C,20.345
10/2/23 12:01:01 AM,C,19.72
10/2/23 2:01:01 AM,C,18.718
10/2/23 4:01:01 AM,C,16.151
10/2/23 6:01:01 AM,C,16.59
10/2/23 8:01:01 AM,C,17.529
10/2/23 10:01:01 AM,C,19.594
10/2/23 12:01:01 PM,C,22.66
10/2/23 2:01:01 PM,C,25.098
10/2/23 4:01:01 PM,C,24.973
10/2/23 6:01:01 PM,C,23.848
10/2/23 8:01:01 PM,C,22.472
10/2/23 10:01:01 PM,C,20.658
11/2/23 12:01:01 AM,C,20.408
11/2/23 2:01:01 AM,C,20.408
11/2/23 4:01:01 AM,C,18.781
11/2/23 6:01:01 AM,C,17.529
11/2/23 8:01:01 AM,C,18.217
11/2/23 10:01:01 AM,C,20.596
11/2/23 12:01:01 PM,C,24.223
11/2/23 2:01:01 PM,C,25.66
11/2/23 4:01:01 PM,C,25.785
11/2/23 6:01:01 PM,C,24.848
11/2/23 8:01:01 PM,C,21.909
11/2/23 10:01:01 PM,C,19.407
12/2/23 12:01:01 AM,C,20.408
12/2/23 2:01:01 AM,C,20.596
12/2/23 4:01:01 AM,C,19.782
12/2/23 6:01:01 AM,C,18.155
12/2/23 8:01:01 AM,C,18.593
12/2/23 10:01:01 AM,C,20.908
12/2/23 12:01:01 PM,C,25.035
12/2/23 2:01:01 PM,C,27.097
12/2/23 4:01:01 PM,C,27.222
12/2/23 6:01:01 PM,C,25.098
12/2/23 8:01:01 PM,C,22.159
12/2/23 10:01:01 PM,C,19.532
13/2/23 12:01:01 AM,C,20.158
13/2/23 2:01:01 AM,C,20.158
13/2/23 4:01:01 AM,C,19.97
13/2/23 6:01:01 AM,C,18.906
13/2/23 8:01:01 AM,C,17.779
13/2/23 10:01:01 AM,C,20.596
13/2/23 12:01:01 PM,C,24.285
13/2/23 2:01:01 PM,C,26.597
13/2/23 4:01:01 PM,C,26.972
13/2/23 6:01:01 PM,C,25.098
13/2/23 8:01:01 PM,C,21.784
13/2/23 10:01:01 PM,C,19.094
14/2/23 12:01:01 AM,C,19.532
14/2/23 2:01:01 AM,C,19.344
14/2/23 4:01:01 AM,C,18.843
14/2/23 6:01:01 AM,C,18.155
14/2/23 8:01:01 AM,C,17.153
14/2/23 10:01:01 AM,C,20.596
14/2/23 12:01:01 PM,C,24.035
14/2/23 2:01:01 PM,C,25.973
14/2/23 4:01:01 PM,C,25.66
14/2/23 6:01:01 PM,C,23.848
14/2/23 8:01:01 PM,C,21.159
14/2/23 10:01:01 PM,C,19.72
15/2/23 12:01:01 AM,C,18.593
15/2/23 2:01:01 AM,C,17.466
15/2/23 4:01:01 AM,C,18.155
15/2/23 6:01:01 AM,C,17.905
15/2/23 8:01:01 AM,C,17.967
15/2/23 10:01:01 AM,C,20.408
15/2/23 12:01:01 PM,C,24.285
15/2/23 2:01:01 PM,C,26.035
15/2/23 4:01:01 PM,C,26.223
15/2/23 6:01:01 PM,C,24.598
15/2/23 8:01:01 PM,C,21.909
15/2/23 10:01:01 PM,C,19.782
16/2/23 12:01:01 AM,C,18.969
16/2/23 2:01:01 AM,C,18.969
16/2/23 4:01:01 AM,C,19.282
16/2/23 6:01:01 AM,C,17.529
16/2/23 8:01:01 AM,C,17.717
16/2/23 10:01:01 AM,C,20.283
16/2/23 12:01:01 PM,C,24.598
16/2/23 2:01:01 PM,C,26.597
16/2/23 4:01:01 PM,C,26.597
16/2/23 6:01:01 PM,C,24.785
16/2/23 8:01:01 PM,C,21.534
16/2/23 10:01:01 PM,C,19.469
17/2/23 12:01:01 AM,C,19.156
17/2/23 2:01:01 AM,C,19.532
17/2/23 4:01:01 AM,C,17.905
17/2/23 6:01:01 AM,C,17.905
17/2/23 8:01:01 AM,C,17.905
17/2/23 10:01:01 AM,C,19.97
17/2/23 12:01:01 PM,C,24.223
17/2/23 2:01:01 PM,C,26.535
17/2/23 4:01:01 PM,C,26.41
17/2/23 6:01:01 PM,C,24.848
17/2/23 8:01:01 PM,C,21.346
17/2/23 10:01:01 PM,C,19.469
18/2/23 12:01:01 AM,C,17.091
18/2/23 2:01:01 AM,C,18.656
18/2/23 4:01:01 AM,C,18.343
18/2/23 6:01:01 AM,C,17.717
18/2/23 8:01:01 AM,C,17.404
18/2/23 10:01:01 AM,C,20.345
18/2/23 12:01:01 PM,C,23.785
18/2/23 2:01:01 PM,C,25.473
18/2/23 4:01:01 PM,C,24.723
18/2/23 6:01:01 PM,C,23.347
18/2/23 8:01:01 PM,C,21.471
18/2/23 10:01:01 PM,C,20.596
19/2/23 12:01:01 AM,C,19.845
19/2/23 2:01:01 AM,C,18.906
19/2/23 4:01:01 AM,C,17.529
19/2/23 6:01:01 AM,C,15.462
19/2/23 8:01:01 AM,C,15.337
19/2/23 10:01:01 AM,C,19.782
19/2/23 12:01:01 PM,C,23.41
19/2/23 2:01:01 PM,C,25.285
19/2/23 4:01:01 PM,C,24.723
19/2/23 6:01:01 PM,C,23.472
19/2/23 8:01:01 PM,C,21.721
19/2/23 10:01:01 PM,C,20.783
20/2/23 12:01:01 AM,C,20.22
20/2/23 2:01:01 AM,C,19.219
20/2/23 4:01:01 AM,C,16.965
20/2/23 6:01:01 AM,C,17.717
20/2/23 8:01:01 AM,C,17.842
20/2/23 10:01:01 AM,C,20.032
20/2/23 12:01:01 PM,C,23.222
20/2/23 2:01:01 PM,C,24.535
20/2/23 4:01:01 PM,C,24.66
20/2/23 6:01:01 PM,C,23.597
20/2/23 8:01:01 PM,C,21.596
20/2/23 10:01:01 PM,C,20.783
21/2/23 12:01:01 AM,C,19.782
21/2/23 2:01:01 AM,C,18.217
21/2/23 4:01:01 AM,C,17.717
21/2/23 6:01:01 AM,C,19.156
21/2/23 8:01:01 AM,C,17.591
21/2/23 10:01:01 AM,C,20.408
21/2/23 12:01:01 PM,C,23.785
21/2/23 2:01:01 PM,C,25.723
21/2/23 4:01:01 PM,C,25.973
21/2/23 6:01:01 PM,C,24.41
21/2/23 8:01:01 PM,C,22.034
21/2/23 10:01:01 PM,C,20.095
22/2/23 12:01:01 AM,C,19.031
22/2/23 2:01:01 AM,C,18.217
22/2/23 4:01:01 AM,C,19.156
22/2/23 6:01:01 AM,C,18.906
22/2/23 8:01:01 AM,C,17.591
22/2/23 10:01:01 AM,C,20.283
22/2/23 12:01:01 PM,C,23.597
22/2/23 2:01:01 PM,C,25.848
22/2/23 4:01:01 PM,C,26.285
22/2/23 6:01:01 PM,C,24.785
22/2/23 8:01:01 PM,C,22.409
22/2/23 10:01:01 PM,C,20.658
23/2/23 12:01:01 AM,C,19.282
23/2/23 2:01:01 AM,C,19.782
23/2/23 4:01:01 AM,C,18.593
23/2/23 6:01:01 AM,C,17.529
23/2/23 8:01:01 AM,C,18.03
23/2/23 10:01:01 AM,C,19.72
23/2/23 12:01:01 PM,C,24.473
23/2/23 2:01:01 PM,C,26.472
23/2/23 4:01:01 PM,C,26.472
23/2/23 6:01:01 PM,C,25.098
23/2/23 8:01:01 PM,C,22.597
23/2/23 10:01:01 PM,C,20.783
24/2/23 12:01:01 AM,C,18.843
24/2/23 2:01:01 AM,C,18.155
24/2/23 4:01:01 AM,C,17.466
24/2/23 6:01:01 AM,C,17.466
24/2/23 8:01:01 AM,C,17.466
24/2/23 10:01:01 AM,C,20.095
24/2/23 12:01:01 PM,C,24.16
24/2/23 2:01:01 PM,C,26.535
24/2/23 4:01:01 PM,C,26.91
24/2/23 6:01:01 PM,C,24.91
24/2/23 8:01:01 PM,C,21.721
24/2/23 10:01:01 PM,C,19.907
