1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 370000007D830C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9107
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,65.759
26/1/23 10:01:01 PM,%RH,68.797
27/1/23 12:01:01 AM,%RH,68.948
27/1/23 2:01:01 AM,%RH,72.982
27/1/23 4:01:01 AM,%RH,65.606
27/1/23 6:01:01 AM,%RH,61.591
27/1/23 8:01:01 AM,%RH,68.797
27/1/23 10:01:01 AM,%RH,66.675
27/1/23 12:01:01 PM,%RH,52.381
27/1/23 2:01:01 PM,%RH,47.15
27/1/23 4:01:01 PM,%RH,51.57
27/1/23 6:01:01 PM,%RH,62.057
27/1/23 8:01:01 PM,%RH,67.131
27/1/23 10:01:01 PM,%RH,69.25
28/1/23 12:01:01 AM,%RH,67.435
28/1/23 2:01:01 AM,%RH,67.435
28/1/23 4:01:01 AM,%RH,68.344
28/1/23 6:01:01 AM,%RH,65.606
28/1/23 8:01:01 AM,%RH,65.912
28/1/23 10:01:01 AM,%RH,59.399
28/1/23 12:01:01 PM,%RH,32.391
28/1/23 2:01:01 PM,%RH,34.474
28/1/23 4:01:01 PM,%RH,32.391
28/1/23 6:01:01 PM,%RH,47.315
28/1/23 8:01:01 PM,%RH,53.511
28/1/23 10:01:01 PM,%RH,57.347
29/1/23 12:01:01 AM,%RH,61.591
29/1/23 2:01:01 AM,%RH,60.967
29/1/23 4:01:01 AM,%RH,62.057
29/1/23 6:01:01 AM,%RH,62.523
29/1/23 8:01:01 AM,%RH,63.143
29/1/23 10:01:01 AM,%RH,53.672
29/1/23 12:01:01 PM,%RH,58.138
29/1/23 2:01:01 PM,%RH,44.328
29/1/23 4:01:01 PM,%RH,48.139
29/1/23 6:01:01 PM,%RH,72.834
29/1/23 8:01:01 PM,%RH,86.573
29/1/23 10:01:01 PM,%RH,92.55
30/1/23 12:01:01 AM,%RH,93.083
30/1/23 2:01:01 AM,%RH,91.344
30/1/23 4:01:01 AM,%RH,90.94
30/1/23 6:01:01 AM,%RH,93.083
30/1/23 8:01:01 AM,%RH,97.809
30/1/23 10:01:01 AM,%RH,95.987
30/1/23 12:01:01 PM,%RH,76.649
30/1/23 2:01:01 PM,%RH,73.573
30/1/23 4:01:01 PM,%RH,77.665
30/1/23 6:01:01 PM,%RH,83.087
30/1/23 8:01:01 PM,%RH,93.482
30/1/23 10:01:01 PM,%RH,97.031
31/1/23 12:01:01 AM,%RH,96.771
31/1/23 2:01:01 AM,%RH,97.55
31/1/23 4:01:01 AM,%RH,97.55
31/1/23 6:01:01 AM,%RH,95.987
31/1/23 8:01:01 AM,%RH,96.38
31/1/23 10:01:01 AM,%RH,95.857
31/1/23 12:01:01 PM,%RH,88.906
31/1/23 2:01:01 PM,%RH,72.538
31/1/23 4:01:01 PM,%RH,70.451
31/1/23 6:01:01 PM,%RH,74.31
31/1/23 8:01:01 PM,%RH,80.395
31/1/23 10:01:01 PM,%RH,79.966
1/2/23 12:01:01 AM,%RH,76.94
1/2/23 2:01:01 AM,%RH,76.358
1/2/23 4:01:01 AM,%RH,79.25
1/2/23 6:01:01 AM,%RH,82.523
1/2/23 8:01:01 AM,%RH,87.262
1/2/23 10:01:01 AM,%RH,81.816
1/2/23 12:01:01 PM,%RH,62.678
1/2/23 2:01:01 PM,%RH,51.246
1/2/23 4:01:01 PM,%RH,50.269
1/2/23 6:01:01 PM,%RH,51.083
1/2/23 8:01:01 PM,%RH,63.916
1/2/23 10:01:01 PM,%RH,69.099
2/2/23 12:01:01 AM,%RH,72.092
2/2/23 2:01:01 AM,%RH,77.52
2/2/23 4:01:01 AM,%RH,83.368
2/2/23 6:01:01 AM,%RH,85.186
2/2/23 8:01:01 AM,%RH,82.523
2/2/23 10:01:01 AM,%RH,79.393
2/2/23 12:01:01 PM,%RH,58.296
2/2/23 2:01:01 PM,%RH,47.974
2/2/23 4:01:01 PM,%RH,49.124
2/2/23 6:01:01 PM,%RH,52.542
2/2/23 8:01:01 PM,%RH,60.654
2/2/23 10:01:01 PM,%RH,69.099
3/2/23 12:01:01 AM,%RH,72.538
3/2/23 2:01:01 AM,%RH,70.9
3/2/23 4:01:01 AM,%RH,73.425
3/2/23 6:01:01 AM,%RH,74.75
3/2/23 8:01:01 AM,%RH,70.9
