1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 370000007D830C41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9107
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.803
26/1/23 10:01:01 PM,C,23.115
27/1/23 12:01:01 AM,C,23.177
27/1/23 2:01:01 AM,C,23.302
27/1/23 4:01:01 AM,C,22.177
27/1/23 6:01:01 AM,C,21.552
27/1/23 8:01:01 AM,C,20.989
27/1/23 10:01:01 AM,C,23.865
27/1/23 12:01:01 PM,C,25.115
27/1/23 2:01:01 PM,C,25.428
27/1/23 4:01:01 PM,C,24.928
27/1/23 6:01:01 PM,C,24.74
27/1/23 8:01:01 PM,C,22.865
27/1/23 10:01:01 PM,C,23.177
28/1/23 12:01:01 AM,C,22.927
28/1/23 2:01:01 AM,C,22.49
28/1/23 4:01:01 AM,C,22.052
28/1/23 6:01:01 AM,C,21.489
28/1/23 8:01:01 AM,C,21.802
28/1/23 10:01:01 AM,C,23.803
28/1/23 12:01:01 PM,C,25.553
28/1/23 2:01:01 PM,C,25.99
28/1/23 4:01:01 PM,C,25.303
28/1/23 6:01:01 PM,C,24.553
28/1/23 8:01:01 PM,C,24.49
28/1/23 10:01:01 PM,C,24.24
29/1/23 12:01:01 AM,C,23.865
29/1/23 2:01:01 AM,C,23.365
29/1/23 4:01:01 AM,C,22.802
29/1/23 6:01:01 AM,C,22.239
29/1/23 8:01:01 AM,C,21.739
29/1/23 10:01:01 AM,C,24.615
29/1/23 12:01:01 PM,C,24.365
29/1/23 2:01:01 PM,C,24.928
29/1/23 4:01:01 PM,C,27.552
29/1/23 6:01:01 PM,C,21.864
29/1/23 8:01:01 PM,C,19.175
29/1/23 10:01:01 PM,C,18.111
30/1/23 12:01:01 AM,C,18.049
30/1/23 2:01:01 AM,C,17.235
30/1/23 4:01:01 AM,C,17.173
30/1/23 6:01:01 AM,C,16.547
30/1/23 8:01:01 AM,C,16.61
30/1/23 10:01:01 AM,C,18.737
30/1/23 12:01:01 PM,C,21.552
30/1/23 2:01:01 PM,C,23.677
30/1/23 4:01:01 PM,C,23.302
30/1/23 6:01:01 PM,C,21.864
30/1/23 8:01:01 PM,C,20.051
30/1/23 10:01:01 PM,C,18.612
31/1/23 12:01:01 AM,C,18.299
31/1/23 2:01:01 AM,C,19.112
31/1/23 4:01:01 AM,C,17.924
31/1/23 6:01:01 AM,C,18.925
31/1/23 8:01:01 AM,C,18.987
31/1/23 10:01:01 AM,C,19.863
