1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 760000007D81E941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8230
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,67.362
26/1/23 10:01:01 PM,%RH,68.804
27/1/23 12:01:01 AM,%RH,69.234
27/1/23 2:01:01 AM,%RH,73.766
27/1/23 4:01:01 AM,%RH,67.217
27/1/23 6:01:01 AM,%RH,65.179
27/1/23 8:01:01 AM,%RH,69.95
27/1/23 10:01:01 AM,%RH,65.618
27/1/23 12:01:01 PM,%RH,52.818
27/1/23 2:01:01 PM,%RH,49.694
27/1/23 4:01:01 PM,%RH,52.973
27/1/23 6:01:01 PM,%RH,64.152
27/1/23 8:01:01 PM,%RH,69.95
27/1/23 10:01:01 PM,%RH,71.514
28/1/23 12:01:01 AM,%RH,67.796
28/1/23 2:01:01 AM,%RH,67.94
28/1/23 4:01:01 AM,%RH,69.521
28/1/23 6:01:01 AM,%RH,65.764
28/1/23 8:01:01 AM,%RH,64.887
28/1/23 10:01:01 AM,%RH,60.292
28/1/23 12:01:01 PM,%RH,35.6
28/1/23 2:01:01 PM,%RH,36.266
28/1/23 4:01:01 PM,%RH,35.1
28/1/23 6:01:01 PM,%RH,44.122
28/1/23 8:01:01 PM,%RH,52.973
28/1/23 10:01:01 PM,%RH,57.273
29/1/23 12:01:01 AM,%RH,60.591
29/1/23 2:01:01 AM,%RH,59.992
29/1/23 4:01:01 AM,%RH,62.083
29/1/23 6:01:01 AM,%RH,62.231
29/1/23 8:01:01 AM,%RH,62.231
29/1/23 10:01:01 AM,%RH,60.142
29/1/23 12:01:01 PM,%RH,60.741
29/1/23 2:01:01 PM,%RH,43.477
29/1/23 4:01:01 PM,%RH,53.438
29/1/23 6:01:01 PM,%RH,73.065
29/1/23 8:01:01 PM,%RH,87.473
29/1/23 10:01:01 PM,%RH,94.03
30/1/23 12:01:01 AM,%RH,95.501
30/1/23 2:01:01 AM,%RH,93.412
30/1/23 4:01:01 AM,%RH,93.288
30/1/23 6:01:01 AM,%RH,94.399
30/1/23 8:01:01 AM,%RH,98.875
30/1/23 10:01:01 AM,%RH,96.716
30/1/23 12:01:01 PM,%RH,83.689
30/1/23 2:01:01 PM,%RH,81.028
30/1/23 4:01:01 PM,%RH,85.788
30/1/23 6:01:01 PM,%RH,88.116
30/1/23 8:01:01 PM,%RH,94.03
30/1/23 10:01:01 PM,%RH,97.8
31/1/23 12:01:01 AM,%RH,98.399
31/1/23 2:01:01 AM,%RH,98.994
31/1/23 4:01:01 AM,%RH,97.8
31/1/23 6:01:01 AM,%RH,97.078
31/1/23 8:01:01 AM,%RH,96.958
31/1/23 10:01:01 AM,%RH,97.078
31/1/23 12:01:01 PM,%RH,90.282
31/1/23 2:01:01 PM,%RH,82.895
31/1/23 4:01:01 PM,%RH,77.366
31/1/23 6:01:01 PM,%RH,78.323
31/1/23 8:01:01 PM,%RH,82.63
