1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 760000007D81E941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8230
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.387
26/1/23 10:01:01 PM,C,23.199
27/1/23 12:01:01 AM,C,23.074
27/1/23 2:01:01 AM,C,23.261
27/1/23 4:01:01 AM,C,21.823
27/1/23 6:01:01 AM,C,20.822
27/1/23 8:01:01 AM,C,20.884
27/1/23 10:01:01 AM,C,24.074
27/1/23 12:01:01 PM,C,25.387
27/1/23 2:01:01 PM,C,25.262
27/1/23 4:01:01 PM,C,24.762
27/1/23 6:01:01 PM,C,24.762
27/1/23 8:01:01 PM,C,22.511
27/1/23 10:01:01 PM,C,22.823
28/1/23 12:01:01 AM,C,22.948
28/1/23 2:01:01 AM,C,22.636
28/1/23 4:01:01 AM,C,22.261
28/1/23 6:01:01 AM,C,21.698
28/1/23 8:01:01 AM,C,21.823
28/1/23 10:01:01 AM,C,23.699
28/1/23 12:01:01 PM,C,25.262
28/1/23 2:01:01 PM,C,25.637
28/1/23 4:01:01 PM,C,25.074
28/1/23 6:01:01 PM,C,24.324
28/1/23 8:01:01 PM,C,24.262
28/1/23 10:01:01 PM,C,24.136
29/1/23 12:01:01 AM,C,23.886
29/1/23 2:01:01 AM,C,23.449
29/1/23 4:01:01 AM,C,22.948
29/1/23 6:01:01 AM,C,22.448
29/1/23 8:01:01 AM,C,21.948
29/1/23 10:01:01 AM,C,23.011
