1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000007D812941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8990
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,66.504
26/1/23 10:01:01 PM,%RH,69.931
27/1/23 12:01:01 AM,%RH,70.964
27/1/23 2:01:01 AM,%RH,74.468
27/1/23 4:01:01 AM,%RH,68
27/1/23 6:01:01 AM,%RH,64.845
27/1/23 8:01:01 AM,%RH,72.723
27/1/23 10:01:01 AM,%RH,62.412
27/1/23 12:01:01 PM,%RH,47.599
27/1/23 2:01:01 PM,%RH,43.511
27/1/23 4:01:01 PM,%RH,48.894
27/1/23 6:01:01 PM,%RH,63.023
27/1/23 8:01:01 PM,%RH,66.654
27/1/23 10:01:01 PM,%RH,69.339
28/1/23 12:01:01 AM,%RH,68.596
28/1/23 2:01:01 AM,%RH,70.522
28/1/23 4:01:01 AM,%RH,70.817
28/1/23 6:01:01 AM,%RH,69.635
28/1/23 8:01:01 AM,%RH,69.931
28/1/23 10:01:01 AM,%RH,58.248
28/1/23 12:01:01 PM,%RH,30.182
28/1/23 2:01:01 PM,%RH,31.56
28/1/23 4:01:01 PM,%RH,32.075
28/1/23 6:01:01 PM,%RH,46.298
28/1/23 8:01:01 PM,%RH,54.169
28/1/23 10:01:01 PM,%RH,58.092
29/1/23 12:01:01 AM,%RH,61.8
29/1/23 2:01:01 AM,%RH,61.032
29/1/23 4:01:01 AM,%RH,61.186
29/1/23 6:01:01 AM,%RH,61.953
29/1/23 8:01:01 AM,%RH,62.259
29/1/23 10:01:01 AM,%RH,61.493
29/1/23 12:01:01 PM,%RH,57.936
29/1/23 2:01:01 PM,%RH,42.189
29/1/23 4:01:01 PM,%RH,70.817
29/1/23 6:01:01 PM,%RH,70.079
29/1/23 8:01:01 PM,%RH,84.909
29/1/23 10:01:01 PM,%RH,96.228
30/1/23 12:01:01 AM,%RH,91.39
30/1/23 2:01:01 AM,%RH,87.502
30/1/23 4:01:01 AM,%RH,86.005
30/1/23 6:01:01 AM,%RH,91.787
30/1/23 8:01:01 AM,%RH,96.614
30/1/23 10:01:01 AM,%RH,95.323
30/1/23 12:01:01 PM,%RH,79.333
30/1/23 2:01:01 PM,%RH,74.613
30/1/23 4:01:01 PM,%RH,78.767
30/1/23 6:01:01 PM,%RH,83.53
30/1/23 8:01:01 PM,%RH,92.051
30/1/23 10:01:01 PM,%RH,98.15
31/1/23 12:01:01 AM,%RH,98.405
31/1/23 2:01:01 AM,%RH,99.166
31/1/23 4:01:01 AM,%RH,97.895
31/1/23 6:01:01 AM,%RH,95.841
31/1/23 8:01:01 AM,%RH,96.357
31/1/23 10:01:01 AM,%RH,94.934
31/1/23 12:01:01 PM,%RH,86.005
31/1/23 2:01:01 PM,%RH,76.629
31/1/23 4:01:01 PM,%RH,74.178
31/1/23 6:01:01 PM,%RH,74.758
31/1/23 8:01:01 PM,%RH,79.475
31/1/23 10:01:01 PM,%RH,80.742
1/2/23 12:01:01 AM,%RH,80.742
1/2/23 2:01:01 AM,%RH,77.772
1/2/23 4:01:01 AM,%RH,79.898
1/2/23 6:01:01 AM,%RH,82.976
1/2/23 8:01:01 AM,%RH,86.959
1/2/23 10:01:01 AM,%RH,83.115
1/2/23 12:01:01 PM,%RH,60.878
1/2/23 2:01:01 PM,%RH,56.53
1/2/23 4:01:01 PM,%RH,49.861
1/2/23 6:01:01 PM,%RH,54.327
1/2/23 8:01:01 PM,%RH,62.412
1/2/23 10:01:01 PM,%RH,72.139
2/2/23 12:01:01 AM,%RH,75.767
2/2/23 2:01:01 AM,%RH,79.333
2/2/23 4:01:01 AM,%RH,84.359
2/2/23 6:01:01 AM,%RH,85.732
2/2/23 8:01:01 AM,%RH,82.837
2/2/23 10:01:01 AM,%RH,77.058
2/2/23 12:01:01 PM,%RH,50.504
2/2/23 2:01:01 PM,%RH,46.298
2/2/23 4:01:01 PM,%RH,53.852
2/2/23 6:01:01 PM,%RH,56.216
2/2/23 8:01:01 PM,%RH,55.273
2/2/23 10:01:01 PM,%RH,64.694
3/2/23 12:01:01 AM,%RH,71.405
3/2/23 2:01:01 AM,%RH,78.767
3/2/23 4:01:01 AM,%RH,76.485
3/2/23 6:01:01 AM,%RH,77.772
3/2/23 8:01:01 AM,%RH,78.909
3/2/23 10:01:01 AM,%RH,63.48
3/2/23 12:01:01 PM,%RH,57
3/2/23 2:01:01 PM,%RH,60.724
3/2/23 4:01:01 PM,%RH,66.203
3/2/23 6:01:01 PM,%RH,70.375
3/2/23 8:01:01 PM,%RH,75.911
3/2/23 10:01:01 PM,%RH,82.559
4/2/23 12:01:01 AM,%RH,83.669
4/2/23 2:01:01 AM,%RH,77.487
4/2/23 4:01:01 AM,%RH,77.629
4/2/23 6:01:01 AM,%RH,76.055
4/2/23 8:01:01 AM,%RH,83.945
4/2/23 10:01:01 AM,%RH,78.341
4/2/23 12:01:01 PM,%RH,66.504
4/2/23 2:01:01 PM,%RH,59.489
4/2/23 4:01:01 PM,%RH,60.262
4/2/23 6:01:01 PM,%RH,69.784
4/2/23 8:01:01 PM,%RH,88.718
4/2/23 10:01:01 PM,%RH,95.97
5/2/23 12:01:01 AM,%RH,94.934
5/2/23 2:01:01 AM,%RH,81.163
5/2/23 4:01:01 AM,%RH,83.392
5/2/23 6:01:01 AM,%RH,86.959
5/2/23 8:01:01 AM,%RH,90.459
5/2/23 10:01:01 AM,%RH,82.141
5/2/23 12:01:01 PM,%RH,70.079
5/2/23 2:01:01 PM,%RH,64.239
5/2/23 4:01:01 PM,%RH,66.954
5/2/23 6:01:01 PM,%RH,80.321
5/2/23 8:01:01 PM,%RH,85.458
5/2/23 10:01:01 PM,%RH,94.283
6/2/23 12:01:01 AM,%RH,96.228
6/2/23 2:01:01 AM,%RH,94.674
6/2/23 4:01:01 AM,%RH,80.742
6/2/23 6:01:01 AM,%RH,80.18
6/2/23 8:01:01 AM,%RH,86.142
6/2/23 10:01:01 AM,%RH,78.767
6/2/23 12:01:01 PM,%RH,69.191
6/2/23 2:01:01 PM,%RH,61.646
6/2/23 4:01:01 PM,%RH,54.643
6/2/23 6:01:01 PM,%RH,70.964
6/2/23 8:01:01 PM,%RH,91.39
6/2/23 10:01:01 PM,%RH,95.582
7/2/23 12:01:01 AM,%RH,98.277
7/2/23 2:01:01 AM,%RH,99.166
7/2/23 4:01:01 AM,%RH,95.841
7/2/23 6:01:01 AM,%RH,96.614
7/2/23 8:01:01 AM,%RH,88.178
7/2/23 10:01:01 AM,%RH,90.459
7/2/23 12:01:01 PM,%RH,72.869
7/2/23 2:01:01 PM,%RH,70.522
7/2/23 4:01:01 PM,%RH,73.161
7/2/23 6:01:01 PM,%RH,80.602
7/2/23 8:01:01 PM,%RH,95.323
7/2/23 10:01:01 PM,%RH,98.659
8/2/23 12:01:01 AM,%RH,98.786
8/2/23 2:01:01 AM,%RH,99.546
8/2/23 4:01:01 AM,%RH,97.384
8/2/23 6:01:01 AM,%RH,91.124
8/2/23 8:01:01 AM,%RH,88.583
8/2/23 10:01:01 AM,%RH,87.095
8/2/23 12:01:01 PM,%RH,69.784
8/2/23 2:01:01 PM,%RH,60.878
8/2/23 4:01:01 PM,%RH,69.339
8/2/23 6:01:01 PM,%RH,76.629
8/2/23 8:01:01 PM,%RH,89.255
8/2/23 10:01:01 PM,%RH,96.999
9/2/23 12:01:01 AM,%RH,92.974
9/2/23 2:01:01 AM,%RH,84.634
9/2/23 4:01:01 AM,%RH,76.629
9/2/23 6:01:01 AM,%RH,82.976
9/2/23 8:01:01 AM,%RH,86.278
9/2/23 10:01:01 AM,%RH,83.945
9/2/23 12:01:01 PM,%RH,68.299
9/2/23 2:01:01 PM,%RH,59.489
9/2/23 4:01:01 PM,%RH,69.191
9/2/23 6:01:01 PM,%RH,81.443
9/2/23 8:01:01 PM,%RH,94.022
9/2/23 10:01:01 PM,%RH,98.023
10/2/23 12:01:01 AM,%RH,99.04
10/2/23 2:01:01 AM,%RH,101.054
10/2/23 4:01:01 AM,%RH,98.532
10/2/23 6:01:01 AM,%RH,88.043
10/2/23 8:01:01 AM,%RH,84.772
10/2/23 10:01:01 AM,%RH,85.458
10/2/23 12:01:01 PM,%RH,68.15
10/2/23 2:01:01 PM,%RH,47.437
10/2/23 4:01:01 PM,%RH,47.274
10/2/23 6:01:01 PM,%RH,47.923
10/2/23 8:01:01 PM,%RH,52.741
10/2/23 10:01:01 PM,%RH,59.798
11/2/23 12:01:01 AM,%RH,53.376
11/2/23 2:01:01 AM,%RH,46.949
11/2/23 4:01:01 AM,%RH,59.024
11/2/23 6:01:01 AM,%RH,67.253
11/2/23 8:01:01 AM,%RH,69.931
11/2/23 10:01:01 AM,%RH,67.851
11/2/23 12:01:01 PM,%RH,53.218
11/2/23 2:01:01 PM,%RH,41.692
11/2/23 4:01:01 PM,%RH,39.36
11/2/23 6:01:01 PM,%RH,40.695
11/2/23 8:01:01 PM,%RH,83.807
11/2/23 10:01:01 PM,%RH,87.637
12/2/23 12:01:01 AM,%RH,50.825
12/2/23 2:01:01 AM,%RH,41.526
12/2/23 4:01:01 AM,%RH,50.825
12/2/23 6:01:01 AM,%RH,59.489
12/2/23 8:01:01 AM,%RH,60.724
12/2/23 10:01:01 AM,%RH,63.023
12/2/23 12:01:01 PM,%RH,34.977
12/2/23 2:01:01 PM,%RH,34.467
12/2/23 4:01:01 PM,%RH,32.76
12/2/23 6:01:01 PM,%RH,61.339
12/2/23 8:01:01 PM,%RH,92.183
12/2/23 10:01:01 PM,%RH,85.047
13/2/23 12:01:01 AM,%RH,66.804
13/2/23 2:01:01 AM,%RH,55.745
13/2/23 4:01:01 AM,%RH,53.376
13/2/23 6:01:01 AM,%RH,56.53
13/2/23 8:01:01 AM,%RH,61.493
13/2/23 10:01:01 AM,%RH,64.239
13/2/23 12:01:01 PM,%RH,44.826
13/2/23 2:01:01 PM,%RH,38.019
13/2/23 4:01:01 PM,%RH,38.355
13/2/23 6:01:01 PM,%RH,39.025
13/2/23 8:01:01 PM,%RH,72.723
13/2/23 10:01:01 PM,%RH,85.184
14/2/23 12:01:01 AM,%RH,81.023
14/2/23 2:01:01 AM,%RH,55.273
14/2/23 4:01:01 AM,%RH,56.843
14/2/23 6:01:01 AM,%RH,62.718
14/2/23 8:01:01 AM,%RH,69.784
14/2/23 10:01:01 AM,%RH,67.552
14/2/23 12:01:01 PM,%RH,52.422
14/2/23 2:01:01 PM,%RH,38.355
14/2/23 4:01:01 PM,%RH,54.8
14/2/23 6:01:01 PM,%RH,69.931
14/2/23 8:01:01 PM,%RH,92.315
14/2/23 10:01:01 PM,%RH,96.485
15/2/23 12:01:01 AM,%RH,96.743
15/2/23 2:01:01 AM,%RH,70.079
15/2/23 4:01:01 AM,%RH,61.032
15/2/23 6:01:01 AM,%RH,54.643
15/2/23 8:01:01 AM,%RH,58.714
15/2/23 10:01:01 AM,%RH,60.107
15/2/23 12:01:01 PM,%RH,40.195
15/2/23 2:01:01 PM,%RH,37.346
15/2/23 4:01:01 PM,%RH,35.317
15/2/23 6:01:01 PM,%RH,31.903
15/2/23 8:01:01 PM,%RH,43.346
15/2/23 10:01:01 PM,%RH,90.592
16/2/23 12:01:01 AM,%RH,59.024
16/2/23 2:01:01 AM,%RH,51.785
16/2/23 4:01:01 AM,%RH,52.422
16/2/23 6:01:01 AM,%RH,65.902
16/2/23 8:01:01 AM,%RH,68.745
16/2/23 10:01:01 AM,%RH,64.391
16/2/23 12:01:01 PM,%RH,39.695
16/2/23 2:01:01 PM,%RH,30.182
16/2/23 4:01:01 PM,%RH,34.467
16/2/23 6:01:01 PM,%RH,36.84
16/2/23 8:01:01 PM,%RH,69.339
16/2/23 10:01:01 PM,%RH,88.852
17/2/23 12:01:01 AM,%RH,72.869
17/2/23 2:01:01 AM,%RH,58.714
17/2/23 4:01:01 AM,%RH,66.804
17/2/23 6:01:01 AM,%RH,70.227
17/2/23 8:01:01 AM,%RH,73.015
17/2/23 10:01:01 AM,%RH,71.699
17/2/23 12:01:01 PM,%RH,44.169
17/2/23 2:01:01 PM,%RH,32.246
17/2/23 4:01:01 PM,%RH,32.075
17/2/23 6:01:01 PM,%RH,34.297
17/2/23 8:01:01 PM,%RH,87.502
17/2/23 10:01:01 PM,%RH,94.022
18/2/23 12:01:01 AM,%RH,84.221
18/2/23 2:01:01 AM,%RH,60.262
18/2/23 4:01:01 AM,%RH,58.559
18/2/23 6:01:01 AM,%RH,68.596
18/2/23 8:01:01 AM,%RH,72.431
18/2/23 10:01:01 AM,%RH,73.598
18/2/23 12:01:01 PM,%RH,58.092
18/2/23 2:01:01 PM,%RH,57.156
18/2/23 4:01:01 PM,%RH,60.416
18/2/23 6:01:01 PM,%RH,80.883
18/2/23 8:01:01 PM,%RH,93.236
18/2/23 10:01:01 PM,%RH,96.614
19/2/23 12:01:01 AM,%RH,97.895
19/2/23 2:01:01 AM,%RH,99.293
19/2/23 4:01:01 AM,%RH,100.05
19/2/23 6:01:01 AM,%RH,97.767
19/2/23 8:01:01 AM,%RH,97.895
19/2/23 10:01:01 AM,%RH,85.047
19/2/23 12:01:01 PM,%RH,61.953
19/2/23 2:01:01 PM,%RH,51.785
19/2/23 4:01:01 PM,%RH,68.299
19/2/23 6:01:01 PM,%RH,76.342
19/2/23 8:01:01 PM,%RH,93.499
19/2/23 10:01:01 PM,%RH,96.485
20/2/23 12:01:01 AM,%RH,98.405
20/2/23 2:01:01 AM,%RH,99.166
20/2/23 4:01:01 AM,%RH,96.743
20/2/23 6:01:01 AM,%RH,82.141
20/2/23 8:01:01 AM,%RH,86.959
20/2/23 10:01:01 AM,%RH,87.908
20/2/23 12:01:01 PM,%RH,68.745
20/2/23 2:01:01 PM,%RH,68.448
20/2/23 4:01:01 PM,%RH,65.601
20/2/23 6:01:01 PM,%RH,74.758
20/2/23 8:01:01 PM,%RH,88.448
20/2/23 10:01:01 PM,%RH,95.97
21/2/23 12:01:01 AM,%RH,98.15
21/2/23 2:01:01 AM,%RH,99.672
21/2/23 4:01:01 AM,%RH,83.945
21/2/23 6:01:01 AM,%RH,70.522
21/2/23 8:01:01 AM,%RH,83.115
21/2/23 10:01:01 AM,%RH,81.723
21/2/23 12:01:01 PM,%RH,67.103
21/2/23 2:01:01 PM,%RH,60.57
21/2/23 4:01:01 PM,%RH,62.259
21/2/23 6:01:01 PM,%RH,70.67
21/2/23 8:01:01 PM,%RH,86.142
21/2/23 10:01:01 PM,%RH,94.543
22/2/23 12:01:01 AM,%RH,97.895
22/2/23 2:01:01 AM,%RH,87.095
22/2/23 4:01:01 AM,%RH,65.751
22/2/23 6:01:01 AM,%RH,68.15
22/2/23 8:01:01 AM,%RH,79.757
22/2/23 10:01:01 AM,%RH,78.625
22/2/23 12:01:01 PM,%RH,55.903
22/2/23 2:01:01 PM,%RH,42.52
22/2/23 4:01:01 PM,%RH,40.195
22/2/23 6:01:01 PM,%RH,39.36
22/2/23 8:01:01 PM,%RH,50.183
22/2/23 10:01:01 PM,%RH,93.63
23/2/23 12:01:01 AM,%RH,64.694
23/2/23 2:01:01 AM,%RH,52.9
23/2/23 4:01:01 AM,%RH,63.327
23/2/23 6:01:01 AM,%RH,74.758
23/2/23 8:01:01 AM,%RH,72.723
23/2/23 10:01:01 AM,%RH,69.042
23/2/23 12:01:01 PM,%RH,33.615
23/2/23 2:01:01 PM,%RH,29.836
23/2/23 4:01:01 PM,%RH,31.56
23/2/23 6:01:01 PM,%RH,32.589
23/2/23 8:01:01 PM,%RH,89.523
23/2/23 10:01:01 PM,%RH,94.543
24/2/23 12:01:01 AM,%RH,96.871
24/2/23 2:01:01 AM,%RH,67.702
24/2/23 4:01:01 AM,%RH,69.191
24/2/23 6:01:01 AM,%RH,71.405
24/2/23 8:01:01 AM,%RH,72.723
24/2/23 10:01:01 AM,%RH,66.203
24/2/23 12:01:01 PM,%RH,33.444
24/2/23 2:01:01 PM,%RH,27.754
24/2/23 4:01:01 PM,%RH,30.182
24/2/23 6:01:01 PM,%RH,52.741
24/2/23 8:01:01 PM,%RH,84.359
24/2/23 10:01:01 PM,%RH,94.413
25/2/23 12:01:01 AM,%RH,96.743
25/2/23 2:01:01 AM,%RH,73.743
25/2/23 4:01:01 AM,%RH,59.798
25/2/23 6:01:01 AM,%RH,62.565
25/2/23 8:01:01 AM,%RH,64.088
25/2/23 10:01:01 AM,%RH,64.543
25/2/23 12:01:01 PM,%RH,43.181
25/2/23 2:01:01 PM,%RH,34.297
25/2/23 4:01:01 PM,%RH,29.663
25/2/23 6:01:01 PM,%RH,29.49
25/2/23 8:01:01 PM,%RH,69.931
25/2/23 10:01:01 PM,%RH,90.858
26/2/23 12:01:01 AM,%RH,83.807
26/2/23 2:01:01 AM,%RH,62.412
26/2/23 4:01:01 AM,%RH,62.718
26/2/23 6:01:01 AM,%RH,62.718
26/2/23 8:01:01 AM,%RH,63.632
26/2/23 10:01:01 AM,%RH,66.804
26/2/23 12:01:01 PM,%RH,42.189
26/2/23 2:01:01 PM,%RH,33.274
26/2/23 4:01:01 PM,%RH,33.786
26/2/23 6:01:01 PM,%RH,31.732
26/2/23 8:01:01 PM,%RH,35.995
26/2/23 10:01:01 PM,%RH,34.807
