1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E90000007D812941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8990
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.342
26/1/23 10:01:01 PM,C,22.529
27/1/23 12:01:01 AM,C,22.716
27/1/23 2:01:01 AM,C,22.904
27/1/23 4:01:01 AM,C,21.341
27/1/23 6:01:01 AM,C,20.528
27/1/23 8:01:01 AM,C,20.216
27/1/23 10:01:01 AM,C,24.779
27/1/23 12:01:01 PM,C,26.529
27/1/23 2:01:01 PM,C,26.592
27/1/23 4:01:01 PM,C,25.779
27/1/23 6:01:01 PM,C,24.904
27/1/23 8:01:01 PM,C,22.904
27/1/23 10:01:01 PM,C,23.029
28/1/23 12:01:01 AM,C,22.404
28/1/23 2:01:01 AM,C,21.779
28/1/23 4:01:01 AM,C,21.216
28/1/23 6:01:01 AM,C,20.466
28/1/23 8:01:01 AM,C,21.153
28/1/23 10:01:01 AM,C,24.342
28/1/23 12:01:01 PM,C,26.842
28/1/23 2:01:01 PM,C,27.279
28/1/23 4:01:01 PM,C,26.029
28/1/23 6:01:01 PM,C,24.342
28/1/23 8:01:01 PM,C,24.279
28/1/23 10:01:01 PM,C,24.092
29/1/23 12:01:01 AM,C,23.779
29/1/23 2:01:01 AM,C,23.342
29/1/23 4:01:01 AM,C,22.841
29/1/23 6:01:01 AM,C,22.279
29/1/23 8:01:01 AM,C,21.841
29/1/23 10:01:01 AM,C,23.029
29/1/23 12:01:01 PM,C,24.404
29/1/23 2:01:01 PM,C,25.279
29/1/23 4:01:01 PM,C,23.154
29/1/23 6:01:01 PM,C,21.779
29/1/23 8:01:01 PM,C,19.34
29/1/23 10:01:01 PM,C,18.59
30/1/23 12:01:01 AM,C,18.089
30/1/23 2:01:01 AM,C,17.276
30/1/23 4:01:01 AM,C,17.214
30/1/23 6:01:01 AM,C,16.4
30/1/23 8:01:01 AM,C,16.588
30/1/23 10:01:01 AM,C,18.902
30/1/23 12:01:01 PM,C,22.341
30/1/23 2:01:01 PM,C,23.842
30/1/23 4:01:01 PM,C,23.029
30/1/23 6:01:01 PM,C,21.591
30/1/23 8:01:01 PM,C,20.09
30/1/23 10:01:01 PM,C,19.09
31/1/23 12:01:01 AM,C,18.965
31/1/23 2:01:01 AM,C,19.152
31/1/23 4:01:01 AM,C,17.839
31/1/23 6:01:01 AM,C,18.715
31/1/23 8:01:01 AM,C,18.902
31/1/23 10:01:01 AM,C,20.216
31/1/23 12:01:01 PM,C,22.466
31/1/23 2:01:01 PM,C,23.967
31/1/23 4:01:01 PM,C,23.342
31/1/23 6:01:01 PM,C,22.341
31/1/23 8:01:01 PM,C,21.091
31/1/23 10:01:01 PM,C,20.403
1/2/23 12:01:01 AM,C,19.715
1/2/23 2:01:01 AM,C,19.403
1/2/23 4:01:01 AM,C,18.59
1/2/23 6:01:01 AM,C,17.839
1/2/23 8:01:01 AM,C,17.714
1/2/23 10:01:01 AM,C,18.652
1/2/23 12:01:01 PM,C,22.779
1/2/23 2:01:01 PM,C,24.092
1/2/23 4:01:01 PM,C,24.217
1/2/23 6:01:01 PM,C,22.841
1/2/23 8:01:01 PM,C,21.404
1/2/23 10:01:01 PM,C,20.903
2/2/23 12:01:01 AM,C,19.965
2/2/23 2:01:01 AM,C,18.902
2/2/23 4:01:01 AM,C,18.652
2/2/23 6:01:01 AM,C,18.027
2/2/23 8:01:01 AM,C,18.402
2/2/23 10:01:01 AM,C,20.09
2/2/23 12:01:01 PM,C,23.342
2/2/23 2:01:01 PM,C,24.717
2/2/23 4:01:01 PM,C,24.217
2/2/23 6:01:01 PM,C,22.404
2/2/23 8:01:01 PM,C,21.153
2/2/23 10:01:01 PM,C,19.903
3/2/23 12:01:01 AM,C,19.09
3/2/23 2:01:01 AM,C,18.152
3/2/23 4:01:01 AM,C,17.589
3/2/23 6:01:01 AM,C,16.901
3/2/23 8:01:01 AM,C,17.151
3/2/23 10:01:01 AM,C,19.59
3/2/23 12:01:01 PM,C,21.904
3/2/23 2:01:01 PM,C,23.654
3/2/23 4:01:01 PM,C,22.779
3/2/23 6:01:01 PM,C,22.404
3/2/23 8:01:01 PM,C,21.716
3/2/23 10:01:01 PM,C,20.591
4/2/23 12:01:01 AM,C,20.403
4/2/23 2:01:01 AM,C,19.778
4/2/23 4:01:01 AM,C,19.278
4/2/23 6:01:01 AM,C,19.027
4/2/23 8:01:01 AM,C,18.402
4/2/23 10:01:01 AM,C,19.965
4/2/23 12:01:01 PM,C,24.092
4/2/23 2:01:01 PM,C,25.279
4/2/23 4:01:01 PM,C,25.154
4/2/23 6:01:01 PM,C,23.842
4/2/23 8:01:01 PM,C,21.716
4/2/23 10:01:01 PM,C,20.09
5/2/23 12:01:01 AM,C,18.59
5/2/23 2:01:01 AM,C,19.715
5/2/23 4:01:01 AM,C,18.339
5/2/23 6:01:01 AM,C,17.651
5/2/23 8:01:01 AM,C,17.589
5/2/23 10:01:01 AM,C,20.216
5/2/23 12:01:01 PM,C,23.967
5/2/23 2:01:01 PM,C,25.279
5/2/23 4:01:01 PM,C,25.779
5/2/23 6:01:01 PM,C,24.029
5/2/23 8:01:01 PM,C,22.091
5/2/23 10:01:01 PM,C,20.403
6/2/23 12:01:01 AM,C,18.965
6/2/23 2:01:01 AM,C,19.528
6/2/23 4:01:01 AM,C,18.089
6/2/23 6:01:01 AM,C,16.651
6/2/23 8:01:01 AM,C,16.713
6/2/23 10:01:01 AM,C,19.778
6/2/23 12:01:01 PM,C,22.529
6/2/23 2:01:01 PM,C,23.967
6/2/23 4:01:01 PM,C,24.592
6/2/23 6:01:01 PM,C,23.217
6/2/23 8:01:01 PM,C,21.466
6/2/23 10:01:01 PM,C,20.716
7/2/23 12:01:01 AM,C,19.778
7/2/23 2:01:01 AM,C,18.652
7/2/23 4:01:01 AM,C,18.027
7/2/23 6:01:01 AM,C,17.526
7/2/23 8:01:01 AM,C,17.651
7/2/23 10:01:01 AM,C,19.965
7/2/23 12:01:01 PM,C,23.467
7/2/23 2:01:01 PM,C,24.904
7/2/23 4:01:01 PM,C,24.342
7/2/23 6:01:01 PM,C,22.716
7/2/23 8:01:01 PM,C,21.841
7/2/23 10:01:01 PM,C,20.403
8/2/23 12:01:01 AM,C,19.403
8/2/23 2:01:01 AM,C,19.34
8/2/23 4:01:01 AM,C,18.902
8/2/23 6:01:01 AM,C,18.715
8/2/23 8:01:01 AM,C,19.34
8/2/23 10:01:01 AM,C,20.341
8/2/23 12:01:01 PM,C,23.654
8/2/23 2:01:01 PM,C,25.717
8/2/23 4:01:01 PM,C,26.029
8/2/23 6:01:01 PM,C,23.842
8/2/23 8:01:01 PM,C,21.529
8/2/23 10:01:01 PM,C,20.216
9/2/23 12:01:01 AM,C,18.902
9/2/23 2:01:01 AM,C,19.027
9/2/23 4:01:01 AM,C,18.777
9/2/23 6:01:01 AM,C,17.651
9/2/23 8:01:01 AM,C,17.651
9/2/23 10:01:01 AM,C,20.153
9/2/23 12:01:01 PM,C,23.717
9/2/23 2:01:01 PM,C,25.279
9/2/23 4:01:01 PM,C,24.654
9/2/23 6:01:01 PM,C,22.967
9/2/23 8:01:01 PM,C,21.216
9/2/23 10:01:01 PM,C,20.278
10/2/23 12:01:01 AM,C,19.59
10/2/23 2:01:01 AM,C,18.464
10/2/23 4:01:01 AM,C,16.025
10/2/23 6:01:01 AM,C,16.338
10/2/23 8:01:01 AM,C,17.214
10/2/23 10:01:01 AM,C,19.465
10/2/23 12:01:01 PM,C,23.092
10/2/23 2:01:01 PM,C,25.279
10/2/23 4:01:01 PM,C,25.029
10/2/23 6:01:01 PM,C,23.842
10/2/23 8:01:01 PM,C,22.404
10/2/23 10:01:01 PM,C,20.528
11/2/23 12:01:01 AM,C,20.216
11/2/23 2:01:01 AM,C,20.278
11/2/23 4:01:01 AM,C,18.152
11/2/23 6:01:01 AM,C,17.088
11/2/23 8:01:01 AM,C,17.964
11/2/23 10:01:01 AM,C,20.09
11/2/23 12:01:01 PM,C,24.467
11/2/23 2:01:01 PM,C,26.217
11/2/23 4:01:01 PM,C,25.967
11/2/23 6:01:01 PM,C,24.779
11/2/23 8:01:01 PM,C,21.779
11/2/23 10:01:01 PM,C,19.152
12/2/23 12:01:01 AM,C,20.216
12/2/23 2:01:01 AM,C,20.466
12/2/23 4:01:01 AM,C,19.403
12/2/23 6:01:01 AM,C,18.715
12/2/23 8:01:01 AM,C,18.527
12/2/23 10:01:01 AM,C,20.528
12/2/23 12:01:01 PM,C,25.092
12/2/23 2:01:01 PM,C,27.467
12/2/23 4:01:01 PM,C,26.779
12/2/23 6:01:01 PM,C,25.092
12/2/23 8:01:01 PM,C,22.029
12/2/23 10:01:01 PM,C,19.027
13/2/23 12:01:01 AM,C,19.84
13/2/23 2:01:01 AM,C,19.778
13/2/23 4:01:01 AM,C,19.403
13/2/23 6:01:01 AM,C,18.59
13/2/23 8:01:01 AM,C,18.027
13/2/23 10:01:01 AM,C,20.216
13/2/23 12:01:01 PM,C,24.404
13/2/23 2:01:01 PM,C,26.842
13/2/23 4:01:01 PM,C,26.654
13/2/23 6:01:01 PM,C,24.904
