1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 840000007D8F2341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  7838
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.762
25/1/23 8:00:01 PM,C,24.262
25/1/23 10:00:01 PM,C,23.636
26/1/23 12:00:01 AM,C,24.199
26/1/23 2:00:01 AM,C,24.074
26/1/23 4:00:01 AM,C,23.636
26/1/23 6:00:01 AM,C,23.199
26/1/23 8:00:01 AM,C,18.068
26/1/23 10:00:01 AM,C,18.632
26/1/23 12:00:01 PM,C,27.324
26/1/23 2:00:01 PM,C,30.634
26/1/23 4:00:01 PM,C,32.07
26/1/23 6:00:01 PM,C,28.761
26/1/23 8:00:01 PM,C,24.637
26/1/23 10:00:01 PM,C,23.449
27/1/23 12:00:01 AM,C,23.324
27/1/23 2:00:01 AM,C,23.449
27/1/23 4:00:01 AM,C,22.636
27/1/23 6:00:01 AM,C,22.135
27/1/23 8:00:01 AM,C,21.823
27/1/23 10:00:01 AM,C,23.886
27/1/23 12:00:01 PM,C,24.949
27/1/23 2:00:01 PM,C,25.449
27/1/23 4:00:01 PM,C,25.074
27/1/23 6:00:01 PM,C,24.699
27/1/23 8:00:01 PM,C,23.386
27/1/23 10:00:01 PM,C,23.449
28/1/23 12:00:01 AM,C,23.136
28/1/23 2:00:01 AM,C,22.698
28/1/23 4:00:01 AM,C,22.386
28/1/23 6:00:01 AM,C,21.823
28/1/23 8:00:01 AM,C,22.01
28/1/23 10:00:01 AM,C,23.886
28/1/23 12:00:01 PM,C,25.387
28/1/23 2:00:01 PM,C,25.824
28/1/23 4:00:01 PM,C,25.262
28/1/23 6:00:01 PM,C,24.262
28/1/23 8:00:01 PM,C,24.262
28/1/23 10:00:01 PM,C,24.136
29/1/23 12:00:01 AM,C,23.886
29/1/23 2:00:01 AM,C,23.511
29/1/23 4:00:01 AM,C,23.074
29/1/23 6:00:01 AM,C,22.636
29/1/23 8:00:01 AM,C,22.135
29/1/23 10:00:01 AM,C,22.823
29/1/23 12:00:01 PM,C,24.512
29/1/23 2:00:01 PM,C,25.137
29/1/23 4:00:01 PM,C,23.261
29/1/23 6:00:01 PM,C,21.447
29/1/23 8:00:01 PM,C,19.132
29/1/23 10:00:01 PM,C,18.256
30/1/23 12:00:01 AM,C,18.006
30/1/23 2:00:01 AM,C,17.129
30/1/23 4:00:01 AM,C,17.067
30/1/23 6:00:01 AM,C,16.441
30/1/23 8:00:01 AM,C,16.503
30/1/23 10:00:01 AM,C,18.757
30/1/23 12:00:01 PM,C,21.322
30/1/23 2:00:01 PM,C,22.761
30/1/23 4:00:01 PM,C,22.636
30/1/23 6:00:01 PM,C,21.447
30/1/23 8:00:01 PM,C,20.071
30/1/23 10:00:01 PM,C,18.632
31/1/23 12:00:01 AM,C,18.381
