1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 700000007D8F4241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  9616
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,80.025
25/1/23 8:00:01 PM,%RH,77.276
25/1/23 10:00:01 PM,%RH,77.138
26/1/23 12:00:01 AM,%RH,78.518
26/1/23 2:00:01 AM,%RH,76.722
26/1/23 4:00:01 AM,%RH,74.487
26/1/23 6:00:01 AM,%RH,70.225
26/1/23 8:00:01 AM,%RH,72.509
26/1/23 10:00:01 AM,%RH,76.026
26/1/23 12:00:01 PM,%RH,59.771
26/1/23 2:00:01 PM,%RH,40.598
26/1/23 4:00:01 PM,%RH,39.779
26/1/23 6:00:01 PM,%RH,44.168
26/1/23 8:00:01 PM,%RH,66.018
26/1/23 10:00:01 PM,%RH,67.915
27/1/23 12:00:01 AM,%RH,70.655
27/1/23 2:00:01 AM,%RH,73.501
27/1/23 4:00:01 AM,%RH,66.457
27/1/23 6:00:01 AM,%RH,63.511
27/1/23 8:00:01 AM,%RH,70.369
27/1/23 10:00:01 AM,%RH,64.547
27/1/23 12:00:01 PM,%RH,50.218
27/1/23 2:00:01 PM,%RH,46.893
27/1/23 4:00:01 PM,%RH,49.589
27/1/23 6:00:01 PM,%RH,61.574
27/1/23 8:00:01 PM,%RH,65.871
27/1/23 10:00:01 PM,%RH,68.929
28/1/23 12:00:01 AM,%RH,68.205
28/1/23 2:00:01 AM,%RH,69.073
28/1/23 4:00:01 AM,%RH,69.938
28/1/23 6:00:01 AM,%RH,67.478
28/1/23 8:00:01 AM,%RH,68.639
28/1/23 10:00:01 AM,%RH,57.649
28/1/23 12:00:01 PM,%RH,32.971
28/1/23 2:00:01 PM,%RH,32.971
28/1/23 4:00:01 PM,%RH,33.139
28/1/23 6:00:01 PM,%RH,46.415
28/1/23 8:00:01 PM,%RH,55.198
28/1/23 10:00:01 PM,%RH,59.318
29/1/23 12:00:01 AM,%RH,62.768
29/1/23 2:00:01 AM,%RH,60.374
29/1/23 4:00:01 AM,%RH,60.825
29/1/23 6:00:01 AM,%RH,60.975
29/1/23 8:00:01 AM,%RH,61.425
29/1/23 10:00:01 AM,%RH,66.311
29/1/23 12:00:01 PM,%RH,58.105
29/1/23 2:00:01 PM,%RH,43.199
29/1/23 4:00:01 PM,%RH,59.318
29/1/23 6:00:01 PM,%RH,77.553
29/1/23 8:00:01 PM,%RH,86.058
29/1/23 10:00:01 PM,%RH,94.03
30/1/23 12:00:01 AM,%RH,94.656
30/1/23 2:00:01 AM,%RH,92.265
30/1/23 4:00:01 AM,%RH,93.402
30/1/23 6:00:01 AM,%RH,94.656
30/1/23 8:00:01 AM,%RH,97.99
30/1/23 10:00:01 AM,%RH,97.01
30/1/23 12:00:01 PM,%RH,86.716
30/1/23 2:00:01 PM,%RH,83.803
30/1/23 4:00:01 PM,%RH,79.752
30/1/23 6:00:01 PM,%RH,89.45
30/1/23 8:00:01 PM,%RH,93.654
30/1/23 10:00:01 PM,%RH,98.843
31/1/23 12:00:01 AM,%RH,99.81
31/1/23 2:00:01 AM,%RH,100.051
31/1/23 4:00:01 AM,%RH,98.964
31/1/23 6:00:01 AM,%RH,97.99
31/1/23 8:00:01 AM,%RH,98.356
31/1/23 10:00:01 AM,%RH,97.99
31/1/23 12:00:01 PM,%RH,90.351
31/1/23 2:00:01 PM,%RH,82.059
31/1/23 4:00:01 PM,%RH,79.204
31/1/23 6:00:01 PM,%RH,81.789
31/1/23 8:00:01 PM,%RH,85.133
31/1/23 10:00:01 PM,%RH,83.803
1/2/23 12:00:01 AM,%RH,80.569
1/2/23 2:00:01 AM,%RH,77.138
1/2/23 4:00:01 AM,%RH,79.888
1/2/23 6:00:01 AM,%RH,83.268
1/2/23 8:00:01 AM,%RH,85.795
1/2/23 10:00:01 AM,%RH,84.337
1/2/23 12:00:01 PM,%RH,62.619
1/2/23 2:00:01 PM,%RH,60.524
1/2/23 4:00:01 PM,%RH,58.257
1/2/23 6:00:01 PM,%RH,60.524
1/2/23 8:00:01 PM,%RH,70.369
1/2/23 10:00:01 PM,%RH,72.367
2/2/23 12:00:01 AM,%RH,72.651
2/2/23 2:00:01 AM,%RH,77.691
2/2/23 4:00:01 AM,%RH,81.789
2/2/23 6:00:01 AM,%RH,82.732
2/2/23 8:00:01 AM,%RH,82.059
2/2/23 10:00:01 AM,%RH,81.112
2/2/23 12:00:01 PM,%RH,63.066
2/2/23 2:00:01 PM,%RH,53.498
2/2/23 4:00:01 PM,%RH,54.427
2/2/23 6:00:01 PM,%RH,60.975
2/2/23 8:00:01 PM,%RH,67.333
2/2/23 10:00:01 PM,%RH,69.794
3/2/23 12:00:01 AM,%RH,76.444
3/2/23 2:00:01 AM,%RH,75.048
3/2/23 4:00:01 AM,%RH,71.656
3/2/23 6:00:01 AM,%RH,75.328
3/2/23 8:00:01 AM,%RH,70.799
3/2/23 10:00:01 AM,%RH,63.066
3/2/23 12:00:01 PM,%RH,59.469
3/2/23 2:00:01 PM,%RH,62.023
3/2/23 4:00:01 PM,%RH,73.218
3/2/23 6:00:01 PM,%RH,76.304
3/2/23 8:00:01 PM,%RH,80.977
3/2/23 10:00:01 PM,%RH,85.926
4/2/23 12:00:01 AM,%RH,88.673
4/2/23 2:00:01 AM,%RH,76.999
4/2/23 4:00:01 AM,%RH,74.487
4/2/23 6:00:01 AM,%RH,74.205
4/2/23 8:00:01 AM,%RH,81.789
4/2/23 10:00:01 AM,%RH,80.977
4/2/23 12:00:01 PM,%RH,72.083
4/2/23 2:00:01 PM,%RH,66.457
4/2/23 4:00:01 PM,%RH,64.252
4/2/23 6:00:01 PM,%RH,75.887
4/2/23 8:00:01 PM,%RH,89.062
4/2/23 10:00:01 PM,%RH,93.654
5/2/23 12:00:01 AM,%RH,97.256
5/2/23 2:00:01 AM,%RH,89.579
5/2/23 4:00:01 AM,%RH,84.735
5/2/23 6:00:01 AM,%RH,93.276
5/2/23 8:00:01 AM,%RH,93.402
5/2/23 10:00:01 AM,%RH,85.795
5/2/23 12:00:01 PM,%RH,75.747
5/2/23 2:00:01 PM,%RH,67.624
5/2/23 4:00:01 PM,%RH,67.769
5/2/23 6:00:01 PM,%RH,85.001
5/2/23 8:00:01 PM,%RH,89.965
5/2/23 10:00:01 PM,%RH,94.781
6/2/23 12:00:01 AM,%RH,96.147
6/2/23 2:00:01 AM,%RH,96.764
6/2/23 4:00:01 AM,%RH,83.402
6/2/23 6:00:01 AM,%RH,84.337
6/2/23 8:00:01 AM,%RH,90.607
6/2/23 10:00:01 AM,%RH,80.569
6/2/23 12:00:01 PM,%RH,76.722
6/2/23 2:00:01 PM,%RH,72.651
6/2/23 4:00:01 PM,%RH,64.842
6/2/23 6:00:01 PM,%RH,74.487
6/2/23 8:00:01 PM,%RH,90.351
6/2/23 10:00:01 PM,%RH,96.024
7/2/23 12:00:01 AM,%RH,96.641
7/2/23 2:00:01 AM,%RH,98.234
7/2/23 4:00:01 AM,%RH,96.641
7/2/23 6:00:01 AM,%RH,96.887
7/2/23 8:00:01 AM,%RH,96.764
7/2/23 10:00:01 AM,%RH,91.374
7/2/23 12:00:01 PM,%RH,80.433
7/2/23 2:00:01 PM,%RH,78.38
7/2/23 4:00:01 PM,%RH,71.228
7/2/23 6:00:01 PM,%RH,84.203
7/2/23 8:00:01 PM,%RH,95.279
7/2/23 10:00:01 PM,%RH,97.501
8/2/23 12:00:01 AM,%RH,98.6
8/2/23 2:00:01 AM,%RH,98.964
8/2/23 4:00:01 AM,%RH,96.518
8/2/23 6:00:01 AM,%RH,91.884
8/2/23 8:00:01 AM,%RH,86.978
8/2/23 10:00:01 AM,%RH,86.847
8/2/23 12:00:01 PM,%RH,79.067
8/2/23 2:00:01 PM,%RH,70.225
8/2/23 4:00:01 PM,%RH,75.607
8/2/23 6:00:01 PM,%RH,81.383
8/2/23 8:00:01 PM,%RH,91.374
8/2/23 10:00:01 PM,%RH,94.531
9/2/23 12:00:01 AM,%RH,97.01
9/2/23 2:00:01 AM,%RH,91.757
9/2/23 4:00:01 AM,%RH,83
9/2/23 6:00:01 AM,%RH,86.716
9/2/23 8:00:01 AM,%RH,89.965
9/2/23 10:00:01 AM,%RH,86.716
9/2/23 12:00:01 PM,%RH,78.518
9/2/23 2:00:01 PM,%RH,67.624
9/2/23 4:00:01 PM,%RH,76.999
9/2/23 6:00:01 PM,%RH,83.67
9/2/23 8:00:01 PM,%RH,93.905
9/2/23 10:00:01 PM,%RH,97.01
10/2/23 12:00:01 AM,%RH,96.641
10/2/23 2:00:01 AM,%RH,98.721
10/2/23 4:00:01 AM,%RH,98.964
10/2/23 6:00:01 AM,%RH,93.905
10/2/23 8:00:01 AM,%RH,92.011
10/2/23 10:00:01 AM,%RH,87.502
10/2/23 12:00:01 PM,%RH,75.048
10/2/23 2:00:01 PM,%RH,59.771
10/2/23 4:00:01 PM,%RH,55.506
10/2/23 6:00:01 PM,%RH,57.496
10/2/23 8:00:01 PM,%RH,60.223
10/2/23 10:00:01 PM,%RH,62.619
11/2/23 12:00:01 AM,%RH,60.223
11/2/23 2:00:01 AM,%RH,60.975
11/2/23 4:00:01 AM,%RH,64.989
11/2/23 6:00:01 AM,%RH,69.794
11/2/23 8:00:01 AM,%RH,73.076
11/2/23 10:00:01 AM,%RH,70.369
11/2/23 12:00:01 PM,%RH,59.62
11/2/23 2:00:01 PM,%RH,46.255
11/2/23 4:00:01 PM,%RH,45.454
11/2/23 6:00:01 PM,%RH,46.415
11/2/23 8:00:01 PM,%RH,72.793
11/2/23 10:00:01 PM,%RH,90.607
12/2/23 12:00:01 AM,%RH,59.318
12/2/23 2:00:01 AM,%RH,55.813
12/2/23 4:00:01 AM,%RH,57.191
12/2/23 6:00:01 AM,%RH,63.214
12/2/23 8:00:01 AM,%RH,65.136
12/2/23 10:00:01 AM,%RH,70.225
12/2/23 12:00:01 PM,%RH,50.218
12/2/23 2:00:01 PM,%RH,41.251
12/2/23 4:00:01 PM,%RH,40.107
12/2/23 6:00:01 PM,%RH,50.533
12/2/23 8:00:01 PM,%RH,93.779
12/2/23 10:00:01 PM,%RH,92.011
13/2/23 12:00:01 AM,%RH,73.076
13/2/23 2:00:01 AM,%RH,57.649
13/2/23 4:00:01 AM,%RH,57.649
13/2/23 6:00:01 AM,%RH,60.825
13/2/23 8:00:01 AM,%RH,64.694
13/2/23 10:00:01 AM,%RH,67.478
13/2/23 12:00:01 PM,%RH,54.427
13/2/23 2:00:01 PM,%RH,44.168
13/2/23 4:00:01 PM,%RH,43.361
13/2/23 6:00:01 PM,%RH,49.115
13/2/23 8:00:01 PM,%RH,69.938
13/2/23 10:00:01 PM,%RH,86.585
14/2/23 12:00:01 AM,%RH,89.32
14/2/23 2:00:01 AM,%RH,62.768
14/2/23 4:00:01 AM,%RH,68.495
14/2/23 6:00:01 AM,%RH,66.457
14/2/23 8:00:01 AM,%RH,72.509
14/2/23 10:00:01 AM,%RH,71.513
14/2/23 12:00:01 PM,%RH,60.675
14/2/23 2:00:01 PM,%RH,45.454
14/2/23 4:00:01 PM,%RH,60.374
14/2/23 6:00:01 PM,%RH,71.798
14/2/23 8:00:01 PM,%RH,90.351
14/2/23 10:00:01 PM,%RH,95.652
15/2/23 12:00:01 AM,%RH,97.746
15/2/23 2:00:01 AM,%RH,90.094
15/2/23 4:00:01 AM,%RH,66.164
15/2/23 6:00:01 AM,%RH,61.425
15/2/23 8:00:01 AM,%RH,64.399
15/2/23 10:00:01 AM,%RH,62.619
15/2/23 12:00:01 PM,%RH,42.551
15/2/23 2:00:01 PM,%RH,41.414
15/2/23 4:00:01 PM,%RH,38.464
15/2/23 6:00:01 PM,%RH,40.434
15/2/23 8:00:01 PM,%RH,59.318
15/2/23 10:00:01 PM,%RH,80.433
16/2/23 12:00:01 AM,%RH,79.615
16/2/23 2:00:01 AM,%RH,57.496
16/2/23 4:00:01 AM,%RH,54.118
16/2/23 6:00:01 AM,%RH,67.915
16/2/23 8:00:01 AM,%RH,69.362
16/2/23 10:00:01 AM,%RH,67.333
16/2/23 12:00:01 PM,%RH,46.255
16/2/23 2:00:01 PM,%RH,35.815
16/2/23 4:00:01 PM,%RH,36.646
16/2/23 6:00:01 PM,%RH,42.714
16/2/23 8:00:01 PM,%RH,65.136
16/2/23 10:00:01 PM,%RH,80.433
17/2/23 12:00:01 AM,%RH,85.795
17/2/23 2:00:01 AM,%RH,60.223
17/2/23 4:00:01 AM,%RH,69.794
17/2/23 6:00:01 AM,%RH,75.048
17/2/23 8:00:01 AM,%RH,73.501
17/2/23 10:00:01 AM,%RH,74.205
17/2/23 12:00:01 PM,%RH,50.061
17/2/23 2:00:01 PM,%RH,38.629
17/2/23 4:00:01 PM,%RH,34.48
17/2/23 6:00:01 PM,%RH,43.199
17/2/23 8:00:01 PM,%RH,86.453
17/2/23 10:00:01 PM,%RH,90.991
18/2/23 12:00:01 AM,%RH,94.156
18/2/23 2:00:01 AM,%RH,79.615
18/2/23 4:00:01 AM,%RH,89.708
18/2/23 6:00:01 AM,%RH,74.487
18/2/23 8:00:01 AM,%RH,78.793
18/2/23 10:00:01 AM,%RH,75.887
18/2/23 12:00:01 PM,%RH,68.06
18/2/23 2:00:01 PM,%RH,64.104
18/2/23 4:00:01 PM,%RH,63.808
18/2/23 6:00:01 PM,%RH,81.383
18/2/23 8:00:01 PM,%RH,93.905
18/2/23 10:00:01 PM,%RH,96.764
19/2/23 12:00:01 AM,%RH,97.99
19/2/23 2:00:01 AM,%RH,97.133
19/2/23 4:00:01 AM,%RH,97.256
19/2/23 6:00:01 AM,%RH,99.206
19/2/23 8:00:01 AM,%RH,98.964
19/2/23 10:00:01 AM,%RH,90.222
