1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8D0000007D8DD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  9868
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,76.941
25/1/23 8:00:01 PM,%RH,77.363
25/1/23 10:00:01 PM,%RH,77.082
26/1/23 12:00:01 AM,%RH,77.223
26/1/23 2:00:01 AM,%RH,75.099
26/1/23 4:00:01 AM,%RH,71.947
26/1/23 6:00:01 AM,%RH,67.135
26/1/23 8:00:01 AM,%RH,68.896
26/1/23 10:00:01 AM,%RH,79.046
26/1/23 12:00:01 PM,%RH,67.282
26/1/23 2:00:01 PM,%RH,32.492
26/1/23 4:00:01 PM,%RH,39.777
26/1/23 6:00:01 PM,%RH,43.998
26/1/23 8:00:01 PM,%RH,66.249
26/1/23 10:00:01 PM,%RH,70.063
27/1/23 12:00:01 AM,%RH,70.934
27/1/23 2:00:01 AM,%RH,74.957
27/1/23 4:00:01 AM,%RH,68.164
27/1/23 6:00:01 AM,%RH,64.617
27/1/23 8:00:01 AM,%RH,73.242
27/1/23 10:00:01 AM,%RH,64.17
27/1/23 12:00:01 PM,%RH,48.95
27/1/23 2:00:01 PM,%RH,45.285
27/1/23 4:00:01 PM,%RH,49.898
27/1/23 6:00:01 PM,%RH,61.319
27/1/23 8:00:01 PM,%RH,67.724
27/1/23 10:00:01 PM,%RH,69.042
28/1/23 12:00:01 AM,%RH,68.75
28/1/23 2:00:01 AM,%RH,69.918
28/1/23 4:00:01 AM,%RH,70.499
28/1/23 6:00:01 AM,%RH,68.457
28/1/23 8:00:01 AM,%RH,68.75
28/1/23 10:00:01 AM,%RH,57.976
28/1/23 12:00:01 PM,%RH,29.798
28/1/23 2:00:01 PM,%RH,31.989
28/1/23 4:00:01 PM,%RH,33.329
28/1/23 6:00:01 PM,%RH,45.765
28/1/23 8:00:01 PM,%RH,52.722
28/1/23 10:00:01 PM,%RH,56.903
29/1/23 12:00:01 AM,%RH,61.017
29/1/23 2:00:01 AM,%RH,61.319
29/1/23 4:00:01 AM,%RH,61.47
29/1/23 6:00:01 AM,%RH,62.673
29/1/23 8:00:01 AM,%RH,63.871
29/1/23 10:00:01 AM,%RH,64.17
29/1/23 12:00:01 PM,%RH,59.653
29/1/23 2:00:01 PM,%RH,42.868
29/1/23 4:00:01 PM,%RH,57.823
29/1/23 6:00:01 PM,%RH,70.063
29/1/23 8:00:01 PM,%RH,85.104
29/1/23 10:00:01 PM,%RH,95.274
30/1/23 12:00:01 AM,%RH,92.163
30/1/23 2:00:01 AM,%RH,90.059
30/1/23 4:00:01 AM,%RH,89.529
30/1/23 6:00:01 AM,%RH,92.685
30/1/23 8:00:01 AM,%RH,96.3
30/1/23 10:00:01 AM,%RH,93.206
30/1/23 12:00:01 PM,%RH,72.667
30/1/23 2:00:01 PM,%RH,72.667
30/1/23 4:00:01 PM,%RH,77.223
30/1/23 6:00:01 PM,%RH,85.51
30/1/23 8:00:01 PM,%RH,93.076
30/1/23 10:00:01 PM,%RH,97.573
31/1/23 12:00:01 AM,%RH,98.459
31/1/23 2:00:01 AM,%RH,98.459
31/1/23 4:00:01 AM,%RH,97.7
31/1/23 6:00:01 AM,%RH,94.888
31/1/23 8:00:01 AM,%RH,95.66
31/1/23 10:00:01 AM,%RH,94.114
31/1/23 12:00:01 PM,%RH,83.606
31/1/23 2:00:01 PM,%RH,66.249
31/1/23 4:00:01 PM,%RH,69.772
31/1/23 6:00:01 PM,%RH,75.667
31/1/23 8:00:01 PM,%RH,78.347
31/1/23 10:00:01 PM,%RH,78.627
1/2/23 12:00:01 AM,%RH,74.672
1/2/23 2:00:01 AM,%RH,74.387
1/2/23 4:00:01 AM,%RH,78.907
1/2/23 6:00:01 AM,%RH,81.96
1/2/23 8:00:01 AM,%RH,85.51
1/2/23 10:00:01 AM,%RH,67.282
1/2/23 12:00:01 PM,%RH,55.363
1/2/23 2:00:01 PM,%RH,44.642
1/2/23 4:00:01 PM,%RH,47.203
1/2/23 6:00:01 PM,%RH,49.266
1/2/23 8:00:01 PM,%RH,64.021
1/2/23 10:00:01 PM,%RH,66.988
2/2/23 12:00:01 AM,%RH,69.48
2/2/23 2:00:01 AM,%RH,75.667
2/2/23 4:00:01 AM,%RH,82.647
2/2/23 6:00:01 AM,%RH,83.743
2/2/23 8:00:01 AM,%RH,81.27
2/2/23 10:00:01 AM,%RH,71.658
2/2/23 12:00:01 PM,%RH,41.083
2/2/23 2:00:01 PM,%RH,40.757
2/2/23 4:00:01 PM,%RH,47.68
2/2/23 6:00:01 PM,%RH,52.566
2/2/23 8:00:01 PM,%RH,53.346
2/2/23 10:00:01 PM,%RH,64.915
3/2/23 12:00:01 AM,%RH,69.48
3/2/23 2:00:01 AM,%RH,69.48
3/2/23 4:00:01 AM,%RH,70.354
3/2/23 6:00:01 AM,%RH,73.242
3/2/23 8:00:01 AM,%RH,68.017
3/2/23 10:00:01 AM,%RH,55.053
3/2/23 12:00:01 PM,%RH,39.777
3/2/23 2:00:01 PM,%RH,53.657
3/2/23 4:00:01 PM,%RH,61.47
3/2/23 6:00:01 PM,%RH,69.189
3/2/23 8:00:01 PM,%RH,75.099
3/2/23 10:00:01 PM,%RH,80.577
4/2/23 12:00:01 AM,%RH,84.288
4/2/23 2:00:01 AM,%RH,70.934
4/2/23 4:00:01 AM,%RH,72.523
4/2/23 6:00:01 AM,%RH,72.811
4/2/23 8:00:01 AM,%RH,78.767
4/2/23 10:00:01 AM,%RH,72.379
4/2/23 12:00:01 PM,%RH,57.364
4/2/23 2:00:01 PM,%RH,54.434
4/2/23 4:00:01 PM,%RH,55.671
4/2/23 6:00:01 PM,%RH,70.789
4/2/23 8:00:01 PM,%RH,88.599
4/2/23 10:00:01 PM,%RH,95.916
5/2/23 12:00:01 AM,%RH,96.044
5/2/23 2:00:01 AM,%RH,80.855
5/2/23 4:00:01 AM,%RH,79.604
5/2/23 6:00:01 AM,%RH,86.725
5/2/23 8:00:01 AM,%RH,88.998
5/2/23 10:00:01 AM,%RH,72.811
5/2/23 12:00:01 PM,%RH,62.973
5/2/23 2:00:01 PM,%RH,62.973
5/2/23 4:00:01 PM,%RH,65.509
5/2/23 6:00:01 PM,%RH,80.993
5/2/23 8:00:01 PM,%RH,85.916
5/2/23 10:00:01 PM,%RH,95.274
6/2/23 12:00:01 AM,%RH,96.555
6/2/23 2:00:01 AM,%RH,95.403
6/2/23 4:00:01 AM,%RH,78.767
6/2/23 6:00:01 AM,%RH,81.408
6/2/23 8:00:01 AM,%RH,87.262
6/2/23 10:00:01 AM,%RH,75.525
6/2/23 12:00:01 PM,%RH,68.457
6/2/23 2:00:01 PM,%RH,63.273
6/2/23 4:00:01 PM,%RH,57.823
6/2/23 6:00:01 PM,%RH,71.079
6/2/23 8:00:01 PM,%RH,88.998
6/2/23 10:00:01 PM,%RH,94.888
7/2/23 12:00:01 AM,%RH,97.573
7/2/23 2:00:01 AM,%RH,98.206
7/2/23 4:00:01 AM,%RH,94.888
7/2/23 6:00:01 AM,%RH,90.587
7/2/23 8:00:01 AM,%RH,87.53
7/2/23 10:00:01 AM,%RH,84.424
7/2/23 12:00:01 PM,%RH,71.079
7/2/23 2:00:01 PM,%RH,70.209
7/2/23 4:00:01 PM,%RH,71.369
7/2/23 6:00:01 PM,%RH,81.408
7/2/23 8:00:01 PM,%RH,93.336
7/2/23 10:00:01 PM,%RH,97.573
8/2/23 12:00:01 AM,%RH,98.459
8/2/23 2:00:01 AM,%RH,98.459
8/2/23 4:00:01 AM,%RH,93.855
8/2/23 6:00:01 AM,%RH,88.199
8/2/23 8:00:01 AM,%RH,85.51
8/2/23 10:00:01 AM,%RH,80.161
8/2/23 12:00:01 PM,%RH,67.282
8/2/23 2:00:01 PM,%RH,61.017
8/2/23 4:00:01 PM,%RH,70.644
8/2/23 6:00:01 PM,%RH,78.487
8/2/23 8:00:01 PM,%RH,88.865
8/2/23 10:00:01 PM,%RH,95.788
9/2/23 12:00:01 AM,%RH,92.946
9/2/23 2:00:01 AM,%RH,84.696
9/2/23 4:00:01 AM,%RH,75.951
9/2/23 6:00:01 AM,%RH,83.059
9/2/23 8:00:01 AM,%RH,86.051
9/2/23 10:00:01 AM,%RH,83.469
9/2/23 12:00:01 PM,%RH,62.823
9/2/23 2:00:01 PM,%RH,58.435
9/2/23 4:00:01 PM,%RH,70.354
9/2/23 6:00:01 PM,%RH,80.993
9/2/23 8:00:01 PM,%RH,92.424
9/2/23 10:00:01 PM,%RH,98.459
10/2/23 12:00:01 AM,%RH,98.08
10/2/23 2:00:01 AM,%RH,99.341
10/2/23 4:00:01 AM,%RH,98.837
10/2/23 6:00:01 AM,%RH,86.186
10/2/23 8:00:01 AM,%RH,84.968
10/2/23 10:00:01 AM,%RH,83.059
10/2/23 12:00:01 PM,%RH,59.045
10/2/23 2:00:01 PM,%RH,41.245
10/2/23 4:00:01 PM,%RH,40.431
10/2/23 6:00:01 PM,%RH,47.68
10/2/23 8:00:01 PM,%RH,53.657
10/2/23 10:00:01 PM,%RH,58.74
11/2/23 12:00:01 AM,%RH,53.968
11/2/23 2:00:01 AM,%RH,47.521
11/2/23 4:00:01 AM,%RH,60.26
11/2/23 6:00:01 AM,%RH,65.953
11/2/23 8:00:01 AM,%RH,68.164
11/2/23 10:00:01 AM,%RH,57.976
11/2/23 12:00:01 PM,%RH,43.837
11/2/23 2:00:01 PM,%RH,38.63
11/2/23 4:00:01 PM,%RH,33.83
11/2/23 6:00:01 PM,%RH,35.991
11/2/23 8:00:01 PM,%RH,82.235
11/2/23 10:00:01 PM,%RH,86.859
12/2/23 12:00:01 AM,%RH,50.685
12/2/23 2:00:01 AM,%RH,42.868
12/2/23 4:00:01 AM,%RH,50.528
12/2/23 6:00:01 AM,%RH,56.749
12/2/23 8:00:01 AM,%RH,56.134
12/2/23 10:00:01 AM,%RH,51.628
12/2/23 12:00:01 PM,%RH,30.136
12/2/23 2:00:01 PM,%RH,26.569
12/2/23 4:00:01 PM,%RH,26.911
12/2/23 6:00:01 PM,%RH,58.435
12/2/23 8:00:01 PM,%RH,90.851
12/2/23 10:00:01 PM,%RH,87.798
13/2/23 12:00:01 AM,%RH,63.871
13/2/23 2:00:01 AM,%RH,51
13/2/23 4:00:01 AM,%RH,49.424
13/2/23 6:00:01 AM,%RH,55.98
13/2/23 8:00:01 AM,%RH,57.364
13/2/23 10:00:01 AM,%RH,47.203
13/2/23 12:00:01 PM,%RH,33.496
13/2/23 2:00:01 PM,%RH,33.329
13/2/23 4:00:01 PM,%RH,33.162
13/2/23 6:00:01 PM,%RH,37.973
13/2/23 8:00:01 PM,%RH,70.499
13/2/23 10:00:01 PM,%RH,84.832
14/2/23 12:00:01 AM,%RH,82.097
14/2/23 2:00:01 AM,%RH,55.517
14/2/23 4:00:01 AM,%RH,59.349
14/2/23 6:00:01 AM,%RH,59.805
14/2/23 8:00:01 AM,%RH,67.282
14/2/23 10:00:01 AM,%RH,65.953
14/2/23 12:00:01 PM,%RH,45.605
14/2/23 2:00:01 PM,%RH,31.821
14/2/23 4:00:01 PM,%RH,54.589
14/2/23 6:00:01 PM,%RH,67.429
14/2/23 8:00:01 PM,%RH,90.587
14/2/23 10:00:01 PM,%RH,96.3
15/2/23 12:00:01 AM,%RH,98.08
15/2/23 2:00:01 AM,%RH,68.896
15/2/23 4:00:01 AM,%RH,58.74
15/2/23 6:00:01 AM,%RH,55.826
15/2/23 8:00:01 AM,%RH,54.589
15/2/23 10:00:01 AM,%RH,53.813
15/2/23 12:00:01 PM,%RH,32.324
15/2/23 2:00:01 PM,%RH,32.324
15/2/23 4:00:01 PM,%RH,29.46
15/2/23 6:00:01 PM,%RH,31.316
15/2/23 8:00:01 PM,%RH,42.706
15/2/23 10:00:01 PM,%RH,86.725
16/2/23 12:00:01 AM,%RH,57.976
16/2/23 2:00:01 AM,%RH,48.95
16/2/23 4:00:01 AM,%RH,51
16/2/23 6:00:01 AM,%RH,62.072
16/2/23 8:00:01 AM,%RH,65.36
16/2/23 10:00:01 AM,%RH,57.364
16/2/23 12:00:01 PM,%RH,28.782
16/2/23 2:00:01 PM,%RH,29.121
16/2/23 4:00:01 PM,%RH,27.933
16/2/23 6:00:01 PM,%RH,32.659
16/2/23 8:00:01 PM,%RH,69.772
16/2/23 10:00:01 PM,%RH,87.53
17/2/23 12:00:01 AM,%RH,74.529
17/2/23 2:00:01 AM,%RH,54.744
17/2/23 4:00:01 AM,%RH,65.509
17/2/23 6:00:01 AM,%RH,68.604
17/2/23 8:00:01 AM,%RH,71.224
17/2/23 10:00:01 AM,%RH,59.653
17/2/23 12:00:01 PM,%RH,29.291
17/2/23 2:00:01 PM,%RH,27.422
17/2/23 4:00:01 PM,%RH,26.228
17/2/23 6:00:01 PM,%RH,32.492
17/2/23 8:00:01 PM,%RH,85.239
17/2/23 10:00:01 PM,%RH,92.946
18/2/23 12:00:01 AM,%RH,87.53
18/2/23 2:00:01 AM,%RH,62.523
18/2/23 4:00:01 AM,%RH,60.563
18/2/23 6:00:01 AM,%RH,67.724
18/2/23 8:00:01 AM,%RH,72.379
18/2/23 10:00:01 AM,%RH,70.063
18/2/23 12:00:01 PM,%RH,56.749
18/2/23 2:00:01 PM,%RH,56.596
18/2/23 4:00:01 PM,%RH,61.319
18/2/23 6:00:01 PM,%RH,79.465
18/2/23 8:00:01 PM,%RH,91.508
18/2/23 10:00:01 PM,%RH,94.631
19/2/23 12:00:01 AM,%RH,98.206
19/2/23 2:00:01 AM,%RH,97.319
19/2/23 4:00:01 AM,%RH,98.08
19/2/23 6:00:01 AM,%RH,97.7
19/2/23 8:00:01 AM,%RH,97.192
19/2/23 10:00:01 AM,%RH,83.743
19/2/23 12:00:01 PM,%RH,56.903
19/2/23 2:00:01 PM,%RH,46.405
19/2/23 4:00:01 PM,%RH,68.896
19/2/23 6:00:01 PM,%RH,78.347
19/2/23 8:00:01 PM,%RH,91.377
19/2/23 10:00:01 PM,%RH,95.788
20/2/23 12:00:01 AM,%RH,96.555
20/2/23 2:00:01 AM,%RH,97.953
20/2/23 4:00:01 AM,%RH,96.938
20/2/23 6:00:01 AM,%RH,76.517
20/2/23 8:00:01 AM,%RH,80.716
20/2/23 10:00:01 AM,%RH,85.781
20/2/23 12:00:01 PM,%RH,69.189
20/2/23 2:00:01 PM,%RH,70.063
20/2/23 4:00:01 PM,%RH,67.282
20/2/23 6:00:01 PM,%RH,75.099
20/2/23 8:00:01 PM,%RH,88.065
20/2/23 10:00:01 PM,%RH,95.146
21/2/23 12:00:01 AM,%RH,97.827
21/2/23 2:00:01 AM,%RH,98.459
21/2/23 4:00:01 AM,%RH,81.131
21/2/23 6:00:01 AM,%RH,70.354
21/2/23 8:00:01 AM,%RH,74.672
21/2/23 10:00:01 AM,%RH,76.234
21/2/23 12:00:01 PM,%RH,62.823
21/2/23 2:00:01 PM,%RH,59.501
21/2/23 4:00:01 PM,%RH,63.423
21/2/23 6:00:01 PM,%RH,73.242
21/2/23 8:00:01 PM,%RH,86.186
21/2/23 10:00:01 PM,%RH,93.855
22/2/23 12:00:01 AM,%RH,96.683
22/2/23 2:00:01 AM,%RH,86.186
22/2/23 4:00:01 AM,%RH,69.335
22/2/23 6:00:01 AM,%RH,67.576
22/2/23 8:00:01 AM,%RH,78.347
22/2/23 10:00:01 AM,%RH,75.667
22/2/23 12:00:01 PM,%RH,52.41
22/2/23 2:00:01 PM,%RH,37.478
22/2/23 4:00:01 PM,%RH,33.496
22/2/23 6:00:01 PM,%RH,37.643
22/2/23 8:00:01 PM,%RH,50.213
22/2/23 10:00:01 PM,%RH,90.982
23/2/23 12:00:01 AM,%RH,65.063
23/2/23 2:00:01 AM,%RH,52.722
23/2/23 4:00:01 AM,%RH,60.714
23/2/23 6:00:01 AM,%RH,72.955
23/2/23 8:00:01 AM,%RH,72.091
23/2/23 10:00:01 AM,%RH,59.957
23/2/23 12:00:01 PM,%RH,30.643
23/2/23 2:00:01 PM,%RH,25.885
23/2/23 4:00:01 PM,%RH,25.885
23/2/23 6:00:01 PM,%RH,32.492
23/2/23 8:00:01 PM,%RH,84.56
23/2/23 10:00:01 PM,%RH,94.888
24/2/23 12:00:01 AM,%RH,95.146
24/2/23 2:00:01 AM,%RH,66.397
24/2/23 4:00:01 AM,%RH,65.657
24/2/23 6:00:01 AM,%RH,70.209
24/2/23 8:00:01 AM,%RH,71.513
