1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8D0000007D8DD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  9868
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.047
25/1/23 8:00:01 PM,C,24.234
25/1/23 10:00:01 PM,C,23.672
26/1/23 12:00:01 AM,C,24.234
26/1/23 2:00:01 AM,C,24.172
26/1/23 4:00:01 AM,C,23.797
26/1/23 6:00:01 AM,C,23.359
26/1/23 8:00:01 AM,C,18.293
26/1/23 10:00:01 AM,C,18.544
26/1/23 12:00:01 PM,C,27.484
26/1/23 2:00:01 PM,C,30.857
26/1/23 4:00:01 PM,C,32.169
26/1/23 6:00:01 PM,C,28.796
26/1/23 8:00:01 PM,C,24.109
26/1/23 10:00:01 PM,C,22.484
27/1/23 12:00:01 AM,C,22.671
27/1/23 2:00:01 AM,C,22.921
27/1/23 4:00:01 AM,C,21.358
27/1/23 6:00:01 AM,C,20.545
27/1/23 8:00:01 AM,C,19.982
27/1/23 10:00:01 AM,C,24.297
27/1/23 12:00:01 PM,C,26.047
27/1/23 2:00:01 PM,C,26.297
27/1/23 4:00:01 PM,C,25.484
27/1/23 6:00:01 PM,C,24.984
27/1/23 8:00:01 PM,C,22.734
27/1/23 10:00:01 PM,C,23.047
28/1/23 12:00:01 AM,C,22.546
28/1/23 2:00:01 AM,C,21.984
28/1/23 4:00:01 AM,C,21.483
28/1/23 6:00:01 AM,C,20.733
28/1/23 8:00:01 AM,C,21.233
28/1/23 10:00:01 AM,C,24.297
28/1/23 12:00:01 PM,C,26.672
28/1/23 2:00:01 PM,C,26.734
28/1/23 4:00:01 PM,C,25.484
28/1/23 6:00:01 PM,C,24.547
28/1/23 8:00:01 PM,C,24.422
28/1/23 10:00:01 PM,C,24.172
29/1/23 12:00:01 AM,C,23.797
29/1/23 2:00:01 AM,C,23.297
29/1/23 4:00:01 AM,C,22.796
29/1/23 6:00:01 AM,C,22.171
29/1/23 8:00:01 AM,C,21.671
29/1/23 10:00:01 AM,C,22.234
29/1/23 12:00:01 PM,C,24.109
29/1/23 2:00:01 PM,C,25.234
29/1/23 4:00:01 PM,C,23.859
29/1/23 6:00:01 PM,C,21.671
29/1/23 8:00:01 PM,C,19.232
29/1/23 10:00:01 PM,C,18.606
30/1/23 12:00:01 AM,C,18.043
30/1/23 2:00:01 AM,C,17.355
30/1/23 4:00:01 AM,C,17.355
30/1/23 6:00:01 AM,C,16.604
30/1/23 8:00:01 AM,C,16.542
30/1/23 10:00:01 AM,C,19.044
30/1/23 12:00:01 PM,C,22.171
30/1/23 2:00:01 PM,C,23.547
30/1/23 4:00:01 PM,C,23.047
30/1/23 6:00:01 PM,C,21.546
30/1/23 8:00:01 PM,C,19.982
30/1/23 10:00:01 PM,C,18.982
31/1/23 12:00:01 AM,C,18.731
31/1/23 2:00:01 AM,C,19.107
31/1/23 4:00:01 AM,C,17.793
31/1/23 6:00:01 AM,C,18.982
31/1/23 8:00:01 AM,C,18.982
31/1/23 10:00:01 AM,C,20.107
31/1/23 12:00:01 PM,C,22.546
