1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000007D81BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  9118
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,77.891
25/1/23 8:00:01 PM,%RH,78.459
25/1/23 10:00:01 PM,%RH,77.179
26/1/23 12:00:01 AM,%RH,78.459
26/1/23 2:00:01 AM,%RH,77.607
26/1/23 4:00:01 AM,%RH,73.155
26/1/23 6:00:01 AM,%RH,69.214
26/1/23 8:00:01 AM,%RH,69.802
26/1/23 10:00:01 AM,%RH,77.464
26/1/23 12:00:01 PM,%RH,64.017
26/1/23 2:00:01 PM,%RH,31.907
26/1/23 4:00:01 PM,%RH,37.028
26/1/23 6:00:01 PM,%RH,45.441
26/1/23 8:00:01 PM,%RH,65.214
26/1/23 10:00:01 PM,%RH,69.067
27/1/23 12:00:01 AM,%RH,70.388
27/1/23 2:00:01 AM,%RH,73.734
27/1/23 4:00:01 AM,%RH,68.625
27/1/23 6:00:01 AM,%RH,64.766
27/1/23 8:00:01 AM,%RH,71.557
27/1/23 10:00:01 AM,%RH,63.417
27/1/23 12:00:01 PM,%RH,48.144
27/1/23 2:00:01 PM,%RH,43.84
27/1/23 4:00:01 PM,%RH,48.619
27/1/23 6:00:01 PM,%RH,60.396
27/1/23 8:00:01 PM,%RH,69.067
27/1/23 10:00:01 PM,%RH,71.265
28/1/23 12:00:01 AM,%RH,69.214
28/1/23 2:00:01 AM,%RH,70.242
28/1/23 4:00:01 AM,%RH,70.681
28/1/23 6:00:01 AM,%RH,68.92
28/1/23 8:00:01 AM,%RH,66.851
28/1/23 10:00:01 AM,%RH,56.728
28/1/23 12:00:01 PM,%RH,31.907
28/1/23 2:00:01 PM,%RH,31.407
28/1/23 4:00:01 PM,%RH,32.406
28/1/23 6:00:01 PM,%RH,45.441
28/1/23 8:00:01 PM,%RH,54.411
28/1/23 10:00:01 PM,%RH,59.026
29/1/23 12:00:01 AM,%RH,61.457
29/1/23 2:00:01 AM,%RH,60.699
29/1/23 4:00:01 AM,%RH,61.306
29/1/23 6:00:01 AM,%RH,60.851
29/1/23 8:00:01 AM,%RH,62.212
29/1/23 10:00:01 AM,%RH,62.061
29/1/23 12:00:01 PM,%RH,58.109
29/1/23 2:00:01 PM,%RH,42.876
29/1/23 4:00:01 PM,%RH,55.803
29/1/23 6:00:01 PM,%RH,71.411
29/1/23 8:00:01 PM,%RH,85.725
29/1/23 10:00:01 PM,%RH,94.233
30/1/23 12:00:01 AM,%RH,93.171
30/1/23 2:00:01 AM,%RH,90.761
30/1/23 4:00:01 AM,%RH,89.411
30/1/23 6:00:01 AM,%RH,91.969
30/1/23 8:00:01 AM,%RH,96.08
30/1/23 10:00:01 AM,%RH,93.57
30/1/23 12:00:01 PM,%RH,75.463
30/1/23 2:00:01 PM,%RH,73.445
30/1/23 4:00:01 PM,%RH,78.601
30/1/23 6:00:01 PM,%RH,86.138
30/1/23 8:00:01 PM,%RH,92.638
30/1/23 10:00:01 PM,%RH,97.389
31/1/23 12:00:01 AM,%RH,98.431
31/1/23 2:00:01 AM,%RH,97.389
31/1/23 4:00:01 AM,%RH,96.997
31/1/23 6:00:01 AM,%RH,94.233
31/1/23 8:00:01 AM,%RH,95.817
