1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 010000007D81BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  944
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  944
Total Device Samples:  9118
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.178
25/1/23 8:00:01 PM,C,24.428
25/1/23 10:00:01 PM,C,23.74
26/1/23 12:00:01 AM,C,24.178
26/1/23 2:00:01 AM,C,24.053
26/1/23 4:00:01 AM,C,23.49
26/1/23 6:00:01 AM,C,22.927
26/1/23 8:00:01 AM,C,18.299
26/1/23 10:00:01 AM,C,18.799
26/1/23 12:00:01 PM,C,28.302
26/1/23 2:00:01 PM,C,30.926
26/1/23 4:00:01 PM,C,32.549
26/1/23 6:00:01 PM,C,29.052
26/1/23 8:00:01 PM,C,24.365
26/1/23 10:00:01 PM,C,22.927
27/1/23 12:00:01 AM,C,22.865
27/1/23 2:00:01 AM,C,23.115
27/1/23 4:00:01 AM,C,21.614
27/1/23 6:00:01 AM,C,20.739
27/1/23 8:00:01 AM,C,20.551
27/1/23 10:00:01 AM,C,24.803
27/1/23 12:00:01 PM,C,26.615
27/1/23 2:00:01 PM,C,26.928
27/1/23 4:00:01 PM,C,25.928
27/1/23 6:00:01 PM,C,25.24
27/1/23 8:00:01 PM,C,22.49
27/1/23 10:00:01 PM,C,22.802
28/1/23 12:00:01 AM,C,22.552
28/1/23 2:00:01 AM,C,21.989
28/1/23 4:00:01 AM,C,21.489
28/1/23 6:00:01 AM,C,20.801
28/1/23 8:00:01 AM,C,21.239
28/1/23 10:00:01 AM,C,24.99
28/1/23 12:00:01 PM,C,27.303
28/1/23 2:00:01 PM,C,27.74
28/1/23 4:00:01 PM,C,26.365
28/1/23 6:00:01 PM,C,24.615
28/1/23 8:00:01 PM,C,24.49
28/1/23 10:00:01 PM,C,24.303
29/1/23 12:00:01 AM,C,23.99
29/1/23 2:00:01 AM,C,23.552
29/1/23 4:00:01 AM,C,23.052
29/1/23 6:00:01 AM,C,22.552
29/1/23 8:00:01 AM,C,22.114
29/1/23 10:00:01 AM,C,23.24
29/1/23 12:00:01 PM,C,24.615
29/1/23 2:00:01 PM,C,25.428
29/1/23 4:00:01 PM,C,24.053
29/1/23 6:00:01 PM,C,21.739
29/1/23 8:00:01 PM,C,19.3
29/1/23 10:00:01 PM,C,18.737
30/1/23 12:00:01 AM,C,18.174
30/1/23 2:00:01 AM,C,17.298
30/1/23 4:00:01 AM,C,17.36
30/1/23 6:00:01 AM,C,16.547
30/1/23 8:00:01 AM,C,16.735
30/1/23 10:00:01 AM,C,19.175
30/1/23 12:00:01 PM,C,22.177
30/1/23 2:00:01 PM,C,23.74
30/1/23 4:00:01 PM,C,23.115
30/1/23 6:00:01 PM,C,21.739
30/1/23 8:00:01 PM,C,20.176
30/1/23 10:00:01 PM,C,19.05
31/1/23 12:00:01 AM,C,18.737
31/1/23 2:00:01 AM,C,19.362
31/1/23 4:00:01 AM,C,18.049
31/1/23 6:00:01 AM,C,19.175
31/1/23 8:00:01 AM,C,19.175
31/1/23 10:00:01 AM,C,20.238
31/1/23 12:00:01 PM,C,22.427
31/1/23 2:00:01 PM,C,24.053
31/1/23 4:00:01 PM,C,23.74
31/1/23 6:00:01 PM,C,22.865
31/1/23 8:00:01 PM,C,21.552
31/1/23 10:00:01 PM,C,20.926
1/2/23 12:00:01 AM,C,20.488
1/2/23 2:00:01 AM,C,19.988
1/2/23 4:00:01 AM,C,19.112
1/2/23 6:00:01 AM,C,18.424
1/2/23 8:00:01 AM,C,17.924
1/2/23 10:00:01 AM,C,19.988
1/2/23 12:00:01 PM,C,22.552
1/2/23 2:00:01 PM,C,24.678
1/2/23 4:00:01 PM,C,24.678
1/2/23 6:00:01 PM,C,23.365
1/2/23 8:00:01 PM,C,21.927
1/2/23 10:00:01 PM,C,21.427
