1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000007DA9D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8335
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,%RH,77.683
25/1/23 8:01:01 PM,%RH,76.413
25/1/23 10:01:01 PM,%RH,77.543
26/1/23 12:01:01 AM,%RH,78.245
26/1/23 2:01:01 AM,%RH,77.965
26/1/23 4:01:01 AM,%RH,76.13
26/1/23 6:01:01 AM,%RH,71.687
26/1/23 8:01:01 AM,%RH,76.13
26/1/23 10:01:01 AM,%RH,93.45
26/1/23 12:01:01 PM,%RH,73.849
26/1/23 2:01:01 PM,%RH,54.044
26/1/23 4:01:01 PM,%RH,75.846
26/1/23 6:01:01 PM,%RH,84.59
26/1/23 8:01:01 PM,%RH,92.933
26/1/23 10:01:01 PM,%RH,96.639
27/1/23 12:01:01 AM,%RH,98.273
27/1/23 2:01:01 AM,%RH,98.648
27/1/23 4:01:01 AM,%RH,92.286
27/1/23 6:01:01 AM,%RH,93.836
27/1/23 8:01:01 AM,%RH,94.733
27/1/23 10:01:01 AM,%RH,93.321
27/1/23 12:01:01 PM,%RH,75.278
27/1/23 2:01:01 PM,%RH,55.295
27/1/23 4:01:01 PM,%RH,73.418
27/1/23 6:01:01 PM,%RH,80.892
27/1/23 8:01:01 PM,%RH,92.933
27/1/23 10:01:01 PM,%RH,96.26
28/1/23 12:01:01 AM,%RH,98.023
28/1/23 2:01:01 AM,%RH,99.021
28/1/23 4:01:01 AM,%RH,94.477
