1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000007DA9D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8335
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,C,25.176
25/1/23 8:01:01 PM,C,24.426
25/1/23 10:01:01 PM,C,23.801
26/1/23 12:01:01 AM,C,24.238
26/1/23 2:01:01 AM,C,23.926
26/1/23 4:01:01 AM,C,23.488
26/1/23 6:01:01 AM,C,22.863
26/1/23 8:01:01 AM,C,17.732
26/1/23 10:01:01 AM,C,18.233
26/1/23 12:01:01 PM,C,21.299
26/1/23 2:01:01 PM,C,23.301
26/1/23 4:01:01 PM,C,23.363
26/1/23 6:01:01 PM,C,21.862
26/1/23 8:01:01 PM,C,18.921
26/1/23 10:01:01 PM,C,17.669
27/1/23 12:01:01 AM,C,17.043
27/1/23 2:01:01 AM,C,17.293
27/1/23 4:01:01 AM,C,16.104
27/1/23 6:01:01 AM,C,15.227
27/1/23 8:01:01 AM,C,15.477
27/1/23 10:01:01 AM,C,17.982
27/1/23 12:01:01 PM,C,21.174
27/1/23 2:01:01 PM,C,24.238
27/1/23 4:01:01 PM,C,23.613
27/1/23 6:01:01 PM,C,21.8
27/1/23 8:01:01 PM,C,18.608
27/1/23 10:01:01 PM,C,17.607
28/1/23 12:01:01 AM,C,16.73
28/1/23 2:01:01 AM,C,15.54
28/1/23 4:01:01 AM,C,16.354
28/1/23 6:01:01 AM,C,15.79
28/1/23 8:01:01 AM,C,15.54
28/1/23 10:01:01 AM,C,17.92
28/1/23 12:01:01 PM,C,21.362
28/1/23 2:01:01 PM,C,23.863
28/1/23 4:01:01 PM,C,24.051
28/1/23 6:01:01 PM,C,22.112
28/1/23 8:01:01 PM,C,18.045
28/1/23 10:01:01 PM,C,17.607
29/1/23 12:01:01 AM,C,16.792
29/1/23 2:01:01 AM,C,16.354
29/1/23 4:01:01 AM,C,16.104
29/1/23 6:01:01 AM,C,15.665
29/1/23 8:01:01 AM,C,15.665
29/1/23 10:01:01 AM,C,18.17
29/1/23 12:01:01 PM,C,21.612
29/1/23 2:01:01 PM,C,24.301
29/1/23 4:01:01 PM,C,24.613
29/1/23 6:01:01 PM,C,22.3
29/1/23 8:01:01 PM,C,19.046
29/1/23 10:01:01 PM,C,17.794
30/1/23 12:01:01 AM,C,18.17
30/1/23 2:01:01 AM,C,17.607
30/1/23 4:01:01 AM,C,17.168
30/1/23 6:01:01 AM,C,16.417
30/1/23 8:01:01 AM,C,16.354
30/1/23 10:01:01 AM,C,19.234
30/1/23 12:01:01 PM,C,22.05
30/1/23 2:01:01 PM,C,24.051
30/1/23 4:01:01 PM,C,23.426
30/1/23 6:01:01 PM,C,21.987
30/1/23 8:01:01 PM,C,19.923
30/1/23 10:01:01 PM,C,18.608
31/1/23 12:01:01 AM,C,18.107
31/1/23 2:01:01 AM,C,19.172
31/1/23 4:01:01 AM,C,17.794
31/1/23 6:01:01 AM,C,18.358
31/1/23 8:01:01 AM,C,18.859
31/1/23 10:01:01 AM,C,19.797
31/1/23 12:01:01 PM,C,22.237
31/1/23 2:01:01 PM,C,24.113
31/1/23 4:01:01 PM,C,23.926
31/1/23 6:01:01 PM,C,22.988
31/1/23 8:01:01 PM,C,21.424
31/1/23 10:01:01 PM,C,20.986
1/2/23 12:01:01 AM,C,20.173
1/2/23 2:01:01 AM,C,19.109
1/2/23 4:01:01 AM,C,18.796
1/2/23 6:01:01 AM,C,18.295
1/2/23 8:01:01 AM,C,18.107
1/2/23 10:01:01 AM,C,19.797
1/2/23 12:01:01 PM,C,22.863
1/2/23 2:01:01 PM,C,24.738
1/2/23 4:01:01 PM,C,25.363
1/2/23 6:01:01 PM,C,23.738
1/2/23 8:01:01 PM,C,21.925
1/2/23 10:01:01 PM,C,20.861
2/2/23 12:01:01 AM,C,20.423
2/2/23 2:01:01 AM,C,20.048
2/2/23 4:01:01 AM,C,19.297
2/2/23 6:01:01 AM,C,18.608
2/2/23 8:01:01 AM,C,18.546
2/2/23 10:01:01 AM,C,20.11
2/2/23 12:01:01 PM,C,23.551
2/2/23 2:01:01 PM,C,25.238
2/2/23 4:01:01 PM,C,25.176
2/2/23 6:01:01 PM,C,23.301
2/2/23 8:01:01 PM,C,21.612
2/2/23 10:01:01 PM,C,20.235
3/2/23 12:01:01 AM,C,20.361
3/2/23 2:01:01 AM,C,19.234
3/2/23 4:01:01 AM,C,18.608
3/2/23 6:01:01 AM,C,18.17
3/2/23 8:01:01 AM,C,18.17
3/2/23 10:01:01 AM,C,20.048
3/2/23 12:01:01 PM,C,23.363
3/2/23 2:01:01 PM,C,24.238
3/2/23 4:01:01 PM,C,23.551
3/2/23 6:01:01 PM,C,23.175
3/2/23 8:01:01 PM,C,21.862
3/2/23 10:01:01 PM,C,20.486
4/2/23 12:01:01 AM,C,20.361
4/2/23 2:01:01 AM,C,19.359
4/2/23 4:01:01 AM,C,19.109
4/2/23 6:01:01 AM,C,19.61
4/2/23 8:01:01 AM,C,19.234
4/2/23 10:01:01 AM,C,20.423
