1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A10000007DA8ED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8464
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,77.698
25/1/23 8:00:01 PM,%RH,76.678
25/1/23 10:00:01 PM,%RH,77.552
26/1/23 12:00:01 AM,%RH,78.568
26/1/23 2:00:01 AM,%RH,75.653
26/1/23 4:00:01 AM,%RH,71.355
26/1/23 6:00:01 AM,%RH,67.887
26/1/23 8:00:01 AM,%RH,88.868
26/1/23 10:00:01 AM,%RH,92.273
26/1/23 12:00:01 PM,%RH,72.4
26/1/23 2:00:01 PM,%RH,65.443
26/1/23 4:00:01 PM,%RH,80.871
26/1/23 6:00:01 PM,%RH,85.12
26/1/23 8:00:01 PM,%RH,96.409
26/1/23 10:00:01 PM,%RH,98.766
27/1/23 12:00:01 AM,%RH,99.285
27/1/23 2:00:01 AM,%RH,99.674
27/1/23 4:00:01 AM,%RH,97.853
27/1/23 6:00:01 AM,%RH,99.803
27/1/23 8:00:01 AM,%RH,99.026
27/1/23 10:00:01 AM,%RH,92.408
27/1/23 12:00:01 PM,%RH,71.355
27/1/23 2:00:01 PM,%RH,63.439
27/1/23 4:00:01 PM,%RH,75.506
27/1/23 6:00:01 PM,%RH,84.559
27/1/23 8:00:01 PM,%RH,94.419
27/1/23 10:00:01 PM,%RH,98.375
28/1/23 12:00:01 AM,%RH,99.415
28/1/23 2:00:01 AM,%RH,99.932
28/1/23 4:00:01 AM,%RH,100.448
28/1/23 6:00:01 AM,%RH,96.145
28/1/23 8:00:01 AM,%RH,96.804
28/1/23 10:00:01 AM,%RH,85.12
28/1/23 12:00:01 PM,%RH,56.051
28/1/23 2:00:01 PM,%RH,44.805
28/1/23 4:00:01 PM,%RH,44.638
28/1/23 6:00:01 PM,%RH,76.824
28/1/23 8:00:01 PM,%RH,87.211
