1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A10000007DA8ED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8464
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.105
25/1/23 8:00:01 PM,C,24.23
25/1/23 10:00:01 PM,C,23.605
26/1/23 12:00:01 AM,C,24.105
26/1/23 2:00:01 AM,C,23.98
26/1/23 4:00:01 AM,C,23.605
26/1/23 6:00:01 AM,C,23.043
26/1/23 8:00:01 AM,C,17.226
26/1/23 10:00:01 AM,C,18.477
26/1/23 12:00:01 PM,C,21.229
26/1/23 2:00:01 PM,C,22.605
26/1/23 4:00:01 PM,C,23.043
26/1/23 6:00:01 PM,C,21.667
26/1/23 8:00:01 PM,C,18.29
26/1/23 10:00:01 PM,C,17.163
27/1/23 12:00:01 AM,C,16.538
27/1/23 2:00:01 AM,C,16.35
27/1/23 4:00:01 AM,C,14.911
27/1/23 6:00:01 AM,C,14.097
27/1/23 8:00:01 AM,C,14.723
27/1/23 10:00:01 AM,C,17.727
27/1/23 12:00:01 PM,C,21.354
27/1/23 2:00:01 PM,C,23.605
27/1/23 4:00:01 PM,C,23.293
27/1/23 6:00:01 PM,C,21.542
27/1/23 8:00:01 PM,C,17.789
27/1/23 10:00:01 PM,C,16.913
28/1/23 12:00:01 AM,C,16.225
28/1/23 2:00:01 AM,C,15.036
28/1/23 4:00:01 AM,C,14.911
28/1/23 6:00:01 AM,C,14.66
28/1/23 8:00:01 AM,C,14.723
28/1/23 10:00:01 AM,C,17.977
28/1/23 12:00:01 PM,C,21.292
28/1/23 2:00:01 PM,C,23.48
28/1/23 4:00:01 PM,C,23.418
28/1/23 6:00:01 PM,C,21.354
28/1/23 8:00:01 PM,C,16.913
28/1/23 10:00:01 PM,C,16.475
29/1/23 12:00:01 AM,C,16.225
29/1/23 2:00:01 AM,C,14.973
29/1/23 4:00:01 AM,C,14.786
29/1/23 6:00:01 AM,C,14.473
29/1/23 8:00:01 AM,C,14.723
