1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D50000007D906241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8437
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.934
25/1/23 8:00:01 PM,%RH,75.452
25/1/23 10:00:01 PM,%RH,76.293
26/1/23 12:00:01 AM,%RH,77.688
26/1/23 2:00:01 AM,%RH,75.873
26/1/23 4:00:01 AM,%RH,72.193
26/1/23 6:00:01 AM,%RH,68.736
26/1/23 8:00:01 AM,%RH,75.452
26/1/23 10:00:01 AM,%RH,93.134
26/1/23 12:00:01 PM,%RH,72.621
26/1/23 2:00:01 PM,%RH,63.888
26/1/23 4:00:01 PM,%RH,69.605
26/1/23 6:00:01 PM,%RH,85.179
26/1/23 8:00:01 PM,%RH,94.023
26/1/23 10:00:01 PM,%RH,96.536
27/1/23 12:00:01 AM,%RH,97.034
27/1/23 2:00:01 AM,%RH,97.406
27/1/23 4:00:01 AM,%RH,97.158
27/1/23 6:00:01 AM,%RH,97.654
27/1/23 8:00:01 AM,%RH,98.518
27/1/23 10:00:01 AM,%RH,93.642
27/1/23 12:00:01 PM,%RH,73.332
27/1/23 2:00:01 PM,%RH,55.721
27/1/23 4:00:01 PM,%RH,67.132
27/1/23 6:00:01 PM,%RH,80.583
27/1/23 8:00:01 PM,%RH,91.983
27/1/23 10:00:01 PM,%RH,96.661
28/1/23 12:00:01 AM,%RH,96.785
28/1/23 2:00:01 AM,%RH,98.025
28/1/23 4:00:01 AM,%RH,98.518
28/1/23 6:00:01 AM,%RH,95.285
28/1/23 8:00:01 AM,%RH,95.912
28/1/23 10:00:01 AM,%RH,86.111
28/1/23 12:00:01 PM,%RH,55.413
28/1/23 2:00:01 PM,%RH,43.734
28/1/23 4:00:01 PM,%RH,42.601
28/1/23 6:00:01 PM,%RH,72.193
28/1/23 8:00:01 PM,%RH,85.978
28/1/23 10:00:01 PM,%RH,94.276
29/1/23 12:00:01 AM,%RH,97.282
29/1/23 2:00:01 AM,%RH,95.661
29/1/23 4:00:01 AM,%RH,97.282
29/1/23 6:00:01 AM,%RH,96.661
29/1/23 8:00:01 AM,%RH,97.902
29/1/23 10:00:01 AM,%RH,87.696
29/1/23 12:00:01 PM,%RH,61.499
29/1/23 2:00:01 PM,%RH,51.372
29/1/23 4:00:01 PM,%RH,51.059
29/1/23 6:00:01 PM,%RH,72.763
29/1/23 8:00:01 PM,%RH,88.222
29/1/23 10:00:01 PM,%RH,94.276
30/1/23 12:00:01 AM,%RH,95.536
30/1/23 2:00:01 AM,%RH,93.769
30/1/23 4:00:01 AM,%RH,96.037
30/1/23 6:00:01 AM,%RH,96.411
30/1/23 8:00:01 AM,%RH,97.53
30/1/23 10:00:01 AM,%RH,94.15
30/1/23 12:00:01 PM,%RH,78.658
30/1/23 2:00:01 PM,%RH,73.758
30/1/23 4:00:01 PM,%RH,74.183
30/1/23 6:00:01 PM,%RH,84.108
30/1/23 8:00:01 PM,%RH,92.24
30/1/23 10:00:01 PM,%RH,96.91
31/1/23 12:00:01 AM,%RH,97.282
31/1/23 2:00:01 AM,%RH,97.654
31/1/23 4:00:01 AM,%RH,98.395
31/1/23 6:00:01 AM,%RH,98.764
31/1/23 8:00:01 AM,%RH,98.395
31/1/23 10:00:01 AM,%RH,95.912
31/1/23 12:00:01 PM,%RH,85.579
31/1/23 2:00:01 PM,%RH,76.852
31/1/23 4:00:01 PM,%RH,68.299
31/1/23 6:00:01 PM,%RH,75.873
31/1/23 8:00:01 PM,%RH,84.376
31/1/23 10:00:01 PM,%RH,84.778
1/2/23 12:00:01 AM,%RH,82.896
1/2/23 2:00:01 AM,%RH,83.166
1/2/23 4:00:01 AM,%RH,83.57
1/2/23 6:00:01 AM,%RH,85.579
1/2/23 8:00:01 AM,%RH,88.353
1/2/23 10:00:01 AM,%RH,70.903
1/2/23 12:00:01 PM,%RH,59.69
1/2/23 2:00:01 PM,%RH,55.875
1/2/23 4:00:01 PM,%RH,44.541
1/2/23 6:00:01 PM,%RH,52.623
1/2/23 8:00:01 PM,%RH,67.278
1/2/23 10:00:01 PM,%RH,74.889
2/2/23 12:00:01 AM,%RH,75.873
2/2/23 2:00:01 AM,%RH,75.732
2/2/23 4:00:01 AM,%RH,82.083
2/2/23 6:00:01 AM,%RH,83.166
2/2/23 8:00:01 AM,%RH,84.51
2/2/23 10:00:01 AM,%RH,77.965
2/2/23 12:00:01 PM,%RH,52.934
2/2/23 2:00:01 PM,%RH,45.665
2/2/23 4:00:01 PM,%RH,48.376
2/2/23 6:00:01 PM,%RH,55.259
2/2/23 8:00:01 PM,%RH,72.621
2/2/23 10:00:01 PM,%RH,79.21
3/2/23 12:00:01 AM,%RH,71.477
3/2/23 2:00:01 AM,%RH,73.9
3/2/23 4:00:01 AM,%RH,72.193
3/2/23 6:00:01 AM,%RH,71.764
3/2/23 8:00:01 AM,%RH,70.903
3/2/23 10:00:01 AM,%RH,67.57
3/2/23 12:00:01 PM,%RH,53.09
3/2/23 2:00:01 PM,%RH,55.259
3/2/23 4:00:01 PM,%RH,63.591
3/2/23 6:00:01 PM,%RH,68.736
3/2/23 8:00:01 PM,%RH,81.13
3/2/23 10:00:01 PM,%RH,87.959
4/2/23 12:00:01 AM,%RH,90.567
4/2/23 2:00:01 AM,%RH,80.857
4/2/23 4:00:01 AM,%RH,81.947
4/2/23 6:00:01 AM,%RH,77.409
4/2/23 8:00:01 AM,%RH,83.031
4/2/23 10:00:01 AM,%RH,77.131
4/2/23 12:00:01 PM,%RH,65.221
4/2/23 2:00:01 PM,%RH,57.103
4/2/23 4:00:01 PM,%RH,57.867
4/2/23 6:00:01 PM,%RH,72.193
4/2/23 8:00:01 PM,%RH,86.508
4/2/23 10:00:01 PM,%RH,93.388
5/2/23 12:00:01 AM,%RH,94.907
5/2/23 2:00:01 AM,%RH,93.769
5/2/23 4:00:01 AM,%RH,92.624
5/2/23 6:00:01 AM,%RH,94.655
5/2/23 8:00:01 AM,%RH,94.276
5/2/23 10:00:01 AM,%RH,80.31
5/2/23 12:00:01 PM,%RH,67.57
5/2/23 2:00:01 PM,%RH,61.649
5/2/23 4:00:01 PM,%RH,53.712
5/2/23 6:00:01 PM,%RH,77.688
5/2/23 8:00:01 PM,%RH,90.825
5/2/23 10:00:01 PM,%RH,93.896
6/2/23 12:00:01 AM,%RH,95.285
6/2/23 2:00:01 AM,%RH,93.896
6/2/23 4:00:01 AM,%RH,87.565
6/2/23 6:00:01 AM,%RH,91.341
6/2/23 8:00:01 AM,%RH,90.567
6/2/23 10:00:01 AM,%RH,77.549
6/2/23 12:00:01 PM,%RH,68.154
6/2/23 2:00:01 PM,%RH,61.349
6/2/23 4:00:01 PM,%RH,48.376
6/2/23 6:00:01 PM,%RH,67.862
6/2/23 8:00:01 PM,%RH,87.037
6/2/23 10:00:01 PM,%RH,93.261
7/2/23 12:00:01 AM,%RH,95.661
7/2/23 2:00:01 AM,%RH,96.91
7/2/23 4:00:01 AM,%RH,96.037
7/2/23 6:00:01 AM,%RH,96.411
7/2/23 8:00:01 AM,%RH,96.411
7/2/23 10:00:01 AM,%RH,87.959
7/2/23 12:00:01 PM,%RH,73.758
