1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D50000007D906241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8437
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.859
25/1/23 8:00:01 PM,C,24.797
25/1/23 10:00:01 PM,C,23.672
26/1/23 12:00:01 AM,C,24.172
26/1/23 2:00:01 AM,C,23.922
26/1/23 4:00:01 AM,C,23.422
26/1/23 6:00:01 AM,C,22.922
26/1/23 8:00:01 AM,C,18.171
26/1/23 10:00:01 AM,C,18.546
26/1/23 12:00:01 PM,C,21.297
26/1/23 2:00:01 PM,C,22.734
26/1/23 4:00:01 PM,C,24.922
26/1/23 6:00:01 PM,C,21.734
26/1/23 8:00:01 PM,C,18.609
26/1/23 10:00:01 PM,C,17.421
27/1/23 12:00:01 AM,C,16.671
27/1/23 2:00:01 AM,C,16.421
27/1/23 4:00:01 AM,C,15.42
27/1/23 6:00:01 AM,C,14.357
27/1/23 8:00:01 AM,C,15.108
27/1/23 10:00:01 AM,C,17.608
27/1/23 12:00:01 PM,C,21.359
27/1/23 2:00:01 PM,C,24.047
27/1/23 4:00:01 PM,C,25.172
27/1/23 6:00:01 PM,C,21.797
27/1/23 8:00:01 PM,C,18.171
27/1/23 10:00:01 PM,C,17.233
28/1/23 12:00:01 AM,C,16.483
28/1/23 2:00:01 AM,C,15.17
28/1/23 4:00:01 AM,C,15.483
28/1/23 6:00:01 AM,C,14.92
28/1/23 8:00:01 AM,C,15.295
28/1/23 10:00:01 AM,C,17.733
28/1/23 12:00:01 PM,C,21.297
28/1/23 2:00:01 PM,C,24.047
28/1/23 4:00:01 PM,C,25.859
28/1/23 6:00:01 PM,C,21.797
28/1/23 8:00:01 PM,C,17.233
28/1/23 10:00:01 PM,C,16.921
29/1/23 12:00:01 AM,C,16.421
29/1/23 2:00:01 AM,C,15.545
29/1/23 4:00:01 AM,C,15.17
29/1/23 6:00:01 AM,C,14.795
29/1/23 8:00:01 AM,C,15.108
29/1/23 10:00:01 AM,C,17.421
29/1/23 12:00:01 PM,C,21.484
29/1/23 2:00:01 PM,C,24.484
29/1/23 4:00:01 PM,C,26.047
29/1/23 6:00:01 PM,C,22.297
29/1/23 8:00:01 PM,C,18.484
29/1/23 10:00:01 PM,C,17.296
30/1/23 12:00:01 AM,C,17.546
30/1/23 2:00:01 AM,C,16.671
30/1/23 4:00:01 AM,C,15.92
30/1/23 6:00:01 AM,C,15.67
30/1/23 8:00:01 AM,C,15.67
30/1/23 10:00:01 AM,C,18.984
30/1/23 12:00:01 PM,C,21.922
30/1/23 2:00:01 PM,C,24.484
30/1/23 4:00:01 PM,C,24.359
30/1/23 6:00:01 PM,C,21.922
30/1/23 8:00:01 PM,C,19.671
30/1/23 10:00:01 PM,C,18.234
31/1/23 12:00:01 AM,C,17.796
31/1/23 2:00:01 AM,C,18.609
31/1/23 4:00:01 AM,C,17.358
31/1/23 6:00:01 AM,C,17.796
31/1/23 8:00:01 AM,C,18.546
31/1/23 10:00:01 AM,C,19.671
31/1/23 12:00:01 PM,C,21.984
31/1/23 2:00:01 PM,C,24.109
31/1/23 4:00:01 PM,C,24.422
31/1/23 6:00:01 PM,C,22.734
31/1/23 8:00:01 PM,C,20.734
31/1/23 10:00:01 PM,C,20.171
1/2/23 12:00:01 AM,C,19.546
1/2/23 2:00:01 AM,C,18.921
1/2/23 4:00:01 AM,C,18.671
1/2/23 6:00:01 AM,C,18.046
1/2/23 8:00:01 AM,C,17.983
1/2/23 10:00:01 AM,C,19.921
1/2/23 12:00:01 PM,C,22.422
1/2/23 2:00:01 PM,C,25.172
1/2/23 4:00:01 PM,C,26.672
1/2/23 6:00:01 PM,C,23.547
1/2/23 8:00:01 PM,C,20.922
1/2/23 10:00:01 PM,C,20.609
2/2/23 12:00:01 AM,C,19.984
2/2/23 2:00:01 AM,C,19.796
2/2/23 4:00:01 AM,C,19.171
2/2/23 6:00:01 AM,C,18.546
2/2/23 8:00:01 AM,C,18.484
2/2/23 10:00:01 AM,C,19.984
2/2/23 12:00:01 PM,C,23.172
2/2/23 2:00:01 PM,C,25.547
2/2/23 4:00:01 PM,C,25.734
2/2/23 6:00:01 PM,C,23.172
2/2/23 8:00:01 PM,C,20.234
2/2/23 10:00:01 PM,C,19.109
3/2/23 12:00:01 AM,C,19.921
3/2/23 2:00:01 AM,C,18.921
3/2/23 4:00:01 AM,C,18.359
3/2/23 6:00:01 AM,C,17.921
3/2/23 8:00:01 AM,C,17.983
3/2/23 10:00:01 AM,C,19.609
3/2/23 12:00:01 PM,C,23.172
3/2/23 2:00:01 PM,C,24.547
3/2/23 4:00:01 PM,C,23.859
3/2/23 6:00:01 PM,C,22.922
3/2/23 8:00:01 PM,C,21.484
3/2/23 10:00:01 PM,C,20.234
4/2/23 12:00:01 AM,C,19.796
4/2/23 2:00:01 AM,C,19.234
4/2/23 4:00:01 AM,C,18.921
4/2/23 6:00:01 AM,C,19.234
4/2/23 8:00:01 AM,C,19.046
4/2/23 10:00:01 AM,C,20.234
4/2/23 12:00:01 PM,C,23.922
4/2/23 2:00:01 PM,C,26.609
4/2/23 4:00:01 PM,C,26.672
4/2/23 6:00:01 PM,C,24.109
4/2/23 8:00:01 PM,C,21.172
4/2/23 10:00:01 PM,C,19.546
5/2/23 12:00:01 AM,C,18.734
5/2/23 2:00:01 AM,C,18.171
