1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007D82BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  9152
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,77.805
25/1/23 8:00:01 PM,%RH,78.226
25/1/23 10:00:01 PM,%RH,78.226
26/1/23 12:00:01 AM,%RH,78.366
26/1/23 2:00:01 AM,%RH,77.1
26/1/23 4:00:01 AM,%RH,72.971
26/1/23 6:00:01 AM,%RH,68.91
26/1/23 8:00:01 AM,%RH,76.959
26/1/23 10:00:01 AM,%RH,90.615
26/1/23 12:00:01 PM,%RH,62.683
26/1/23 2:00:01 PM,%RH,46.565
26/1/23 4:00:01 PM,%RH,71.673
26/1/23 6:00:01 PM,%RH,81.429
26/1/23 8:00:01 PM,%RH,94.273
26/1/23 10:00:01 PM,%RH,98.113
27/1/23 12:00:01 AM,%RH,100.002
27/1/23 2:00:01 AM,%RH,98.997
27/1/23 4:00:01 AM,%RH,97.479
27/1/23 6:00:01 AM,%RH,99.5
27/1/23 8:00:01 AM,%RH,100.502
27/1/23 10:00:01 AM,%RH,92.584
27/1/23 12:00:01 PM,%RH,66.852
27/1/23 2:00:01 PM,%RH,52.1
27/1/23 4:00:01 PM,%RH,68.324
27/1/23 6:00:01 PM,%RH,81.291
27/1/23 8:00:01 PM,%RH,93.755
27/1/23 10:00:01 PM,%RH,97.986
28/1/23 12:00:01 AM,%RH,99.123
28/1/23 2:00:01 AM,%RH,100.002
28/1/23 4:00:01 AM,%RH,100.502
28/1/23 6:00:01 AM,%RH,97.733
28/1/23 8:00:01 AM,%RH,97.86
28/1/23 10:00:01 AM,%RH,89.822
28/1/23 12:00:01 PM,%RH,50.845
28/1/23 2:00:01 PM,%RH,35.819
28/1/23 4:00:01 PM,%RH,40.264
28/1/23 6:00:01 PM,%RH,73.831
28/1/23 8:00:01 PM,%RH,87.153
28/1/23 10:00:01 PM,%RH,94.661
29/1/23 12:00:01 AM,%RH,98.24
29/1/23 2:00:01 AM,%RH,97.86
29/1/23 4:00:01 AM,%RH,98.493
29/1/23 6:00:01 AM,%RH,98.493
29/1/23 8:00:01 AM,%RH,100.377
29/1/23 10:00:01 AM,%RH,86.75
29/1/23 12:00:01 PM,%RH,55.522
29/1/23 2:00:01 PM,%RH,47.999
29/1/23 4:00:01 PM,%RH,52.1
29/1/23 6:00:01 PM,%RH,74.118
29/1/23 8:00:01 PM,%RH,91.799
29/1/23 10:00:01 PM,%RH,95.691
30/1/23 12:00:01 AM,%RH,97.86
30/1/23 2:00:01 AM,%RH,97.097
30/1/23 4:00:01 AM,%RH,97.479
30/1/23 6:00:01 AM,%RH,97.86
30/1/23 8:00:01 AM,%RH,99.877
30/1/23 10:00:01 AM,%RH,96.715
30/1/23 12:00:01 PM,%RH,77.664
30/1/23 2:00:01 PM,%RH,73.831
30/1/23 4:00:01 PM,%RH,77.805
30/1/23 6:00:01 PM,%RH,83.492
30/1/23 8:00:01 PM,%RH,93.755
30/1/23 10:00:01 PM,%RH,97.479
31/1/23 12:00:01 AM,%RH,99.375
31/1/23 2:00:01 AM,%RH,98.493
31/1/23 4:00:01 AM,%RH,99.375
31/1/23 6:00:01 AM,%RH,100.127
31/1/23 8:00:01 AM,%RH,99.877
31/1/23 10:00:01 AM,%RH,96.715
31/1/23 12:00:01 PM,%RH,84.175
31/1/23 2:00:01 PM,%RH,75.259
31/1/23 4:00:01 PM,%RH,68.03
31/1/23 6:00:01 PM,%RH,74.546
31/1/23 8:00:01 PM,%RH,87.422
31/1/23 10:00:01 PM,%RH,87.824
1/2/23 12:00:01 AM,%RH,83.766
1/2/23 2:00:01 AM,%RH,81.291
1/2/23 4:00:01 AM,%RH,83.081
1/2/23 6:00:01 AM,%RH,85.534
1/2/23 8:00:01 AM,%RH,87.556
1/2/23 10:00:01 AM,%RH,68.617
1/2/23 12:00:01 PM,%RH,53.661
1/2/23 2:00:01 PM,%RH,51.63
1/2/23 4:00:01 PM,%RH,46.725
1/2/23 6:00:01 PM,%RH,50.058
1/2/23 8:00:01 PM,%RH,73.401
1/2/23 10:00:01 PM,%RH,73.401
2/2/23 12:00:01 AM,%RH,74.689
2/2/23 2:00:01 AM,%RH,74.831
2/2/23 4:00:01 AM,%RH,80.321
2/2/23 6:00:01 AM,%RH,81.844
2/2/23 8:00:01 AM,%RH,82.395
2/2/23 10:00:01 AM,%RH,71.529
2/2/23 12:00:01 PM,%RH,52.413
2/2/23 2:00:01 PM,%RH,44.963
2/2/23 4:00:01 PM,%RH,49.742
2/2/23 6:00:01 PM,%RH,55.368
2/2/23 8:00:01 PM,%RH,75.543
2/2/23 10:00:01 PM,%RH,81.014
3/2/23 12:00:01 AM,%RH,71.239
3/2/23 2:00:01 AM,%RH,72.683
3/2/23 4:00:01 AM,%RH,72.395
3/2/23 6:00:01 AM,%RH,69.348
3/2/23 8:00:01 AM,%RH,69.348
3/2/23 10:00:01 AM,%RH,63.433
3/2/23 12:00:01 PM,%RH,52.1
3/2/23 2:00:01 PM,%RH,52.57
3/2/23 4:00:01 PM,%RH,63.732
3/2/23 6:00:01 PM,%RH,68.47
3/2/23 8:00:01 PM,%RH,82.944
3/2/23 10:00:01 PM,%RH,89.158
4/2/23 12:00:01 AM,%RH,92.975
4/2/23 2:00:01 AM,%RH,75.543
4/2/23 4:00:01 AM,%RH,78.506
4/2/23 6:00:01 AM,%RH,75.543
4/2/23 8:00:01 AM,%RH,81.844
4/2/23 10:00:01 AM,%RH,74.261
4/2/23 12:00:01 PM,%RH,62.983
4/2/23 2:00:01 PM,%RH,58.899
4/2/23 4:00:01 PM,%RH,62.382
4/2/23 6:00:01 PM,%RH,74.118
4/2/23 8:00:01 PM,%RH,89.424
4/2/23 10:00:01 PM,%RH,94.919
5/2/23 12:00:01 AM,%RH,96.076
5/2/23 2:00:01 AM,%RH,96.459
5/2/23 4:00:01 AM,%RH,94.661
5/2/23 6:00:01 AM,%RH,96.842
5/2/23 8:00:01 AM,%RH,94.661
5/2/23 10:00:01 AM,%RH,80.182
5/2/23 12:00:01 PM,%RH,65.371
5/2/23 2:00:01 PM,%RH,59.965
5/2/23 4:00:01 PM,%RH,58.289
5/2/23 6:00:01 PM,%RH,79.066
5/2/23 8:00:01 PM,%RH,91.01
5/2/23 10:00:01 PM,%RH,95.563
6/2/23 12:00:01 AM,%RH,98.113
6/2/23 2:00:01 AM,%RH,95.048
6/2/23 4:00:01 AM,%RH,93.236
6/2/23 6:00:01 AM,%RH,94.273
6/2/23 8:00:01 AM,%RH,91.93
6/2/23 10:00:01 AM,%RH,79.903
6/2/23 12:00:01 PM,%RH,69.348
6/2/23 2:00:01 PM,%RH,65.965
6/2/23 4:00:01 PM,%RH,54.128
6/2/23 6:00:01 PM,%RH,67.736
6/2/23 8:00:01 PM,%RH,90.747
6/2/23 10:00:01 PM,%RH,96.076
7/2/23 12:00:01 AM,%RH,97.86
7/2/23 2:00:01 AM,%RH,96.97
7/2/23 4:00:01 AM,%RH,98.113
7/2/23 6:00:01 AM,%RH,95.819
7/2/23 8:00:01 AM,%RH,97.986
7/2/23 10:00:01 AM,%RH,87.153
7/2/23 12:00:01 PM,%RH,70.804
7/2/23 2:00:01 PM,%RH,70.659
7/2/23 4:00:01 PM,%RH,71.239
7/2/23 6:00:01 PM,%RH,79.346
7/2/23 8:00:01 PM,%RH,94.403
7/2/23 10:00:01 PM,%RH,96.97
8/2/23 12:00:01 AM,%RH,98.24
8/2/23 2:00:01 AM,%RH,97.986
8/2/23 4:00:01 AM,%RH,94.532
8/2/23 6:00:01 AM,%RH,94.403
8/2/23 8:00:01 AM,%RH,91.274
8/2/23 10:00:01 AM,%RH,86.615
8/2/23 12:00:01 PM,%RH,63.133
8/2/23 2:00:01 PM,%RH,61.931
8/2/23 4:00:01 PM,%RH,69.64
8/2/23 6:00:01 PM,%RH,75.543
8/2/23 8:00:01 PM,%RH,91.01
8/2/23 10:00:01 PM,%RH,95.819
9/2/23 12:00:01 AM,%RH,97.986
9/2/23 2:00:01 AM,%RH,95.819
9/2/23 4:00:01 AM,%RH,92.845
9/2/23 6:00:01 AM,%RH,93.366
9/2/23 8:00:01 AM,%RH,95.305
9/2/23 10:00:01 AM,%RH,84.448
9/2/23 12:00:01 PM,%RH,68.324
9/2/23 2:00:01 PM,%RH,59.052
9/2/23 4:00:01 PM,%RH,68.177
9/2/23 6:00:01 PM,%RH,79.206
9/2/23 8:00:01 PM,%RH,92.975
9/2/23 10:00:01 PM,%RH,96.459
10/2/23 12:00:01 AM,%RH,97.479
10/2/23 2:00:01 AM,%RH,99.249
10/2/23 4:00:01 AM,%RH,97.733
10/2/23 6:00:01 AM,%RH,96.97
10/2/23 8:00:01 AM,%RH,97.479
10/2/23 10:00:01 AM,%RH,88.892
10/2/23 12:00:01 PM,%RH,68.617
10/2/23 2:00:01 PM,%RH,51.63
10/2/23 4:00:01 PM,%RH,48.317
10/2/23 6:00:01 PM,%RH,47.044
10/2/23 8:00:01 PM,%RH,62.382
10/2/23 10:00:01 PM,%RH,78.226
11/2/23 12:00:01 AM,%RH,74.118
11/2/23 2:00:01 AM,%RH,65.817
11/2/23 4:00:01 AM,%RH,79.485
11/2/23 6:00:01 AM,%RH,85.263
