1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CA0000007D82BD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  9152
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.043
25/1/23 8:00:01 PM,C,24.23
25/1/23 10:00:01 PM,C,23.605
26/1/23 12:00:01 AM,C,24.168
26/1/23 2:00:01 AM,C,23.918
26/1/23 4:00:01 AM,C,23.417
26/1/23 6:00:01 AM,C,22.855
26/1/23 8:00:01 AM,C,18.412
26/1/23 10:00:01 AM,C,18.85
26/1/23 12:00:01 PM,C,21.729
26/1/23 2:00:01 PM,C,23.355
26/1/23 4:00:01 PM,C,23.918
26/1/23 6:00:01 PM,C,21.916
26/1/23 8:00:01 PM,C,18.474
26/1/23 10:00:01 PM,C,17.285
27/1/23 12:00:01 AM,C,16.471
27/1/23 2:00:01 AM,C,16.158
27/1/23 4:00:01 AM,C,15.03
27/1/23 6:00:01 AM,C,14.09
27/1/23 8:00:01 AM,C,14.654
27/1/23 10:00:01 AM,C,17.723
27/1/23 12:00:01 PM,C,21.666
27/1/23 2:00:01 PM,C,23.918
27/1/23 4:00:01 PM,C,24.168
27/1/23 6:00:01 PM,C,21.791
27/1/23 8:00:01 PM,C,17.974
27/1/23 10:00:01 PM,C,17.034
28/1/23 12:00:01 AM,C,16.345
28/1/23 2:00:01 AM,C,14.967
28/1/23 4:00:01 AM,C,15.093
28/1/23 6:00:01 AM,C,14.717
28/1/23 8:00:01 AM,C,14.842
28/1/23 10:00:01 AM,C,17.598
28/1/23 12:00:01 PM,C,21.353
28/1/23 2:00:01 PM,C,23.793
28/1/23 4:00:01 PM,C,23.918
28/1/23 6:00:01 PM,C,21.291
28/1/23 8:00:01 PM,C,16.909
28/1/23 10:00:01 PM,C,16.596
29/1/23 12:00:01 AM,C,16.22
29/1/23 2:00:01 AM,C,15.218
29/1/23 4:00:01 AM,C,14.842
29/1/23 6:00:01 AM,C,14.403
29/1/23 8:00:01 AM,C,14.717
29/1/23 10:00:01 AM,C,17.535
29/1/23 12:00:01 PM,C,21.729
29/1/23 2:00:01 PM,C,23.98
29/1/23 4:00:01 PM,C,24.73
29/1/23 6:00:01 PM,C,22.229
29/1/23 8:00:01 PM,C,18.161
29/1/23 10:00:01 PM,C,17.16
30/1/23 12:00:01 AM,C,17.16
30/1/23 2:00:01 AM,C,16.22
30/1/23 4:00:01 AM,C,15.531
30/1/23 6:00:01 AM,C,15.343
30/1/23 8:00:01 AM,C,15.406
30/1/23 10:00:01 AM,C,18.788
30/1/23 12:00:01 PM,C,22.041
30/1/23 2:00:01 PM,C,24.168
