1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E30000007D8DDA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8493
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,%RH,78.358
25/1/23 8:01:01 PM,%RH,76.957
25/1/23 10:01:01 PM,%RH,77.378
26/1/23 12:01:01 AM,%RH,78.078
26/1/23 2:01:01 AM,%RH,76.957
26/1/23 4:01:01 AM,%RH,72.407
26/1/23 6:01:01 AM,%RH,68.344
26/1/23 8:01:01 AM,%RH,78.637
26/1/23 10:01:01 AM,%RH,90.651
26/1/23 12:01:01 PM,%RH,81.13
26/1/23 2:01:01 PM,%RH,75.546
26/1/23 4:01:01 PM,%RH,82.774
26/1/23 6:01:01 PM,%RH,88.681
26/1/23 8:01:01 PM,%RH,95.162
26/1/23 10:01:01 PM,%RH,98.931
27/1/23 12:01:01 AM,%RH,98.807
27/1/23 2:01:01 AM,%RH,100.045
27/1/23 4:01:01 AM,%RH,98.931
27/1/23 6:01:01 AM,%RH,100.905
27/1/23 8:01:01 AM,%RH,101.883
27/1/23 10:01:01 AM,%RH,97.309
27/1/23 12:01:01 PM,%RH,82.228
27/1/23 2:01:01 PM,%RH,72.551
27/1/23 4:01:01 PM,%RH,77.658
27/1/23 6:01:01 PM,%RH,89.472
27/1/23 8:01:01 PM,%RH,95.035
27/1/23 10:01:01 PM,%RH,100.045
28/1/23 12:01:01 AM,%RH,100.66
28/1/23 2:01:01 AM,%RH,100.537
28/1/23 4:01:01 AM,%RH,100.905
28/1/23 6:01:01 AM,%RH,100.414
28/1/23 8:01:01 AM,%RH,99.551
28/1/23 10:01:01 AM,%RH,92.599
28/1/23 12:01:01 PM,%RH,67.315
28/1/23 2:01:01 PM,%RH,53.353
28/1/23 4:01:01 PM,%RH,57.076
28/1/23 6:01:01 PM,%RH,80.164
28/1/23 8:01:01 PM,%RH,89.341
28/1/23 10:01:01 PM,%RH,96.806
29/1/23 12:01:01 AM,%RH,98.807
29/1/23 2:01:01 AM,%RH,99.921
29/1/23 4:01:01 AM,%RH,100.045
29/1/23 6:01:01 AM,%RH,100.168
29/1/23 8:01:01 AM,%RH,101.028
29/1/23 10:01:01 AM,%RH,90.259
29/1/23 12:01:01 PM,%RH,65.838
29/1/23 2:01:01 PM,%RH,57.076
29/1/23 4:01:01 PM,%RH,65.69
29/1/23 6:01:01 PM,%RH,81.954
