1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E30000007D8DDA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  968
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  968
Total Device Samples:  8493
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,C,24.99
25/1/23 8:01:01 PM,C,24.365
25/1/23 10:01:01 PM,C,23.74
26/1/23 12:01:01 AM,C,24.303
26/1/23 2:01:01 AM,C,24.115
26/1/23 4:01:01 AM,C,23.74
26/1/23 6:01:01 AM,C,23.177
26/1/23 8:01:01 AM,C,17.924
26/1/23 10:01:01 AM,C,18.925
26/1/23 12:01:01 PM,C,20.551
26/1/23 2:01:01 PM,C,22.052
26/1/23 4:01:01 PM,C,22.927
26/1/23 6:01:01 PM,C,21.427
26/1/23 8:01:01 PM,C,18.362
26/1/23 10:01:01 PM,C,17.173
27/1/23 12:01:01 AM,C,16.359
27/1/23 2:01:01 AM,C,16.046
27/1/23 4:01:01 AM,C,14.732
27/1/23 6:01:01 AM,C,13.73
27/1/23 8:01:01 AM,C,14.356
27/1/23 10:01:01 AM,C,17.36
27/1/23 12:01:01 PM,C,20.676
27/1/23 2:01:01 PM,C,22.74
27/1/23 4:01:01 PM,C,23.177
27/1/23 6:01:01 PM,C,20.989
27/1/23 8:01:01 PM,C,17.798
27/1/23 10:01:01 PM,C,16.86
28/1/23 12:01:01 AM,C,16.234
28/1/23 2:01:01 AM,C,14.982
28/1/23 4:01:01 AM,C,14.419
28/1/23 6:01:01 AM,C,14.168
28/1/23 8:01:01 AM,C,14.419
28/1/23 10:01:01 AM,C,17.235
28/1/23 12:01:01 PM,C,20.301
28/1/23 2:01:01 PM,C,22.552
28/1/23 4:01:01 PM,C,22.677
28/1/23 6:01:01 PM,C,19.988
28/1/23 8:01:01 PM,C,16.735
28/1/23 10:01:01 PM,C,16.109
29/1/23 12:01:01 AM,C,16.046
29/1/23 2:01:01 AM,C,14.794
29/1/23 4:01:01 AM,C,14.419
29/1/23 6:01:01 AM,C,13.855
29/1/23 8:01:01 AM,C,14.732
29/1/23 10:01:01 AM,C,17.611
29/1/23 12:01:01 PM,C,20.864
29/1/23 2:01:01 PM,C,23.052
29/1/23 4:01:01 PM,C,23.177
29/1/23 6:01:01 PM,C,21.364
29/1/23 8:01:01 PM,C,17.986
29/1/23 10:01:01 PM,C,17.048
30/1/23 12:01:01 AM,C,16.797
30/1/23 2:01:01 AM,C,15.984
30/1/23 4:01:01 AM,C,15.17
30/1/23 6:01:01 AM,C,14.982
30/1/23 8:01:01 AM,C,15.233
30/1/23 10:01:01 AM,C,18.424
30/1/23 12:01:01 PM,C,21.364
30/1/23 2:01:01 PM,C,23.052
30/1/23 4:01:01 PM,C,23.115
30/1/23 6:01:01 PM,C,21.802
30/1/23 8:01:01 PM,C,19.425
30/1/23 10:01:01 PM,C,18.049
31/1/23 12:01:01 AM,C,17.673
31/1/23 2:01:01 AM,C,17.924
31/1/23 4:01:01 AM,C,17.235
31/1/23 6:01:01 AM,C,17.736
31/1/23 8:01:01 AM,C,18.174
31/1/23 10:01:01 AM,C,19.988
31/1/23 12:01:01 PM,C,21.677
31/1/23 2:01:01 PM,C,23.302
31/1/23 4:01:01 PM,C,23.052
31/1/23 6:01:01 PM,C,21.927
31/1/23 8:01:01 PM,C,19.925
31/1/23 10:01:01 PM,C,18.987
1/2/23 12:01:01 AM,C,18.925
1/2/23 2:01:01 AM,C,18.362
1/2/23 4:01:01 AM,C,18.487
1/2/23 6:01:01 AM,C,17.986
1/2/23 8:01:01 AM,C,18.236
1/2/23 10:01:01 AM,C,19.8
1/2/23 12:01:01 PM,C,23.052
1/2/23 2:01:01 PM,C,24.115
1/2/23 4:01:01 PM,C,24.303
1/2/23 6:01:01 PM,C,22.427
1/2/23 8:01:01 PM,C,19.488
1/2/23 10:01:01 PM,C,20.238
2/2/23 12:01:01 AM,C,19.988
2/2/23 2:01:01 AM,C,19.925
2/2/23 4:01:01 AM,C,19.425
2/2/23 6:01:01 AM,C,18.737
2/2/23 8:01:01 AM,C,18.612
2/2/23 10:01:01 AM,C,20.739
2/2/23 12:01:01 PM,C,23.427
2/2/23 2:01:01 PM,C,24.615
2/2/23 4:01:01 PM,C,24.553
2/2/23 6:01:01 PM,C,22.49
2/2/23 8:01:01 PM,C,19.237
2/2/23 10:01:01 PM,C,18.174
3/2/23 12:01:01 AM,C,19.738
3/2/23 2:01:01 AM,C,19.112
3/2/23 4:01:01 AM,C,18.362
3/2/23 6:01:01 AM,C,18.174
3/2/23 8:01:01 AM,C,17.986
3/2/23 10:01:01 AM,C,19.738
3/2/23 12:01:01 PM,C,22.927
3/2/23 2:01:01 PM,C,24.303
3/2/23 4:01:01 PM,C,22.927
3/2/23 6:01:01 PM,C,22.177
