1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000007D83FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 00:01:01 IST 2023
Mission Sample Count:  965
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 00:01:01 IST 2023
Total Mission Samples:  965
Total Device Samples:  9643
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 12:01:01 AM,%RH,77.698
26/1/23 2:01:01 AM,%RH,73.404
26/1/23 4:01:01 AM,%RH,69.014
26/1/23 6:01:01 AM,%RH,66.034
26/1/23 8:01:01 AM,%RH,71.805
26/1/23 10:01:01 AM,%RH,96.341
26/1/23 12:01:01 PM,%RH,85.728
26/1/23 2:01:01 PM,%RH,78.122
26/1/23 4:01:01 PM,%RH,85.457
26/1/23 6:01:01 PM,%RH,90.136
26/1/23 8:01:01 PM,%RH,94.685
26/1/23 10:01:01 PM,%RH,97.351
27/1/23 12:01:01 AM,%RH,98.229
27/1/23 2:01:01 AM,%RH,98.479
27/1/23 4:01:01 AM,%RH,97.225
27/1/23 6:01:01 AM,%RH,97.979
27/1/23 8:01:01 AM,%RH,97.603
27/1/23 10:01:01 AM,%RH,96.973
27/1/23 12:01:01 PM,%RH,79.669
27/1/23 2:01:01 PM,%RH,76.135
27/1/23 4:01:01 PM,%RH,82.449
27/1/23 6:01:01 PM,%RH,88.147
27/1/23 8:01:01 PM,%RH,94.171
27/1/23 10:01:01 PM,%RH,97.854
28/1/23 12:01:01 AM,%RH,98.354
28/1/23 2:01:01 AM,%RH,98.729
28/1/23 4:01:01 AM,%RH,100.217
28/1/23 6:01:01 AM,%RH,97.477
28/1/23 8:01:01 AM,%RH,98.104
28/1/23 10:01:01 AM,%RH,93.269
28/1/23 12:01:01 PM,%RH,67.678
28/1/23 2:01:01 PM,%RH,68.866
28/1/23 4:01:01 PM,%RH,63.619
28/1/23 6:01:01 PM,%RH,82.034
28/1/23 8:01:01 PM,%RH,88.546
28/1/23 10:01:01 PM,%RH,95.324
29/1/23 12:01:01 AM,%RH,97.099
29/1/23 2:01:01 AM,%RH,97.351
29/1/23 4:01:01 AM,%RH,98.978
29/1/23 6:01:01 AM,%RH,97.477
29/1/23 8:01:01 AM,%RH,99.103
29/1/23 10:01:01 AM,%RH,95.451
29/1/23 12:01:01 PM,%RH,68.57
29/1/23 2:01:01 PM,%RH,70.781
29/1/23 4:01:01 PM,%RH,63.619
29/1/23 6:01:01 PM,%RH,83.411
29/1/23 8:01:01 PM,%RH,91.318
29/1/23 10:01:01 PM,%RH,95.706
30/1/23 12:01:01 AM,%RH,97.351
30/1/23 2:01:01 AM,%RH,96.72
30/1/23 4:01:01 AM,%RH,97.603
30/1/23 6:01:01 AM,%RH,98.229
30/1/23 8:01:01 AM,%RH,98.978
30/1/23 10:01:01 AM,%RH,96.341
30/1/23 12:01:01 PM,%RH,84.778
30/1/23 2:01:01 PM,%RH,81.064
30/1/23 4:01:01 PM,%RH,83.822
30/1/23 6:01:01 PM,%RH,89.608
30/1/23 8:01:01 PM,%RH,95.068
30/1/23 10:01:01 PM,%RH,96.847
31/1/23 12:01:01 AM,%RH,98.104
31/1/23 2:01:01 AM,%RH,98.354
31/1/23 4:01:01 AM,%RH,99.227
31/1/23 6:01:01 AM,%RH,97.979
31/1/23 8:01:01 AM,%RH,98.604
31/1/23 10:01:01 AM,%RH,95.451
31/1/23 12:01:01 PM,%RH,89.343
31/1/23 2:01:01 PM,%RH,84.232
31/1/23 4:01:01 PM,%RH,82.724
31/1/23 6:01:01 PM,%RH,85.05
31/1/23 8:01:01 PM,%RH,90.004
31/1/23 10:01:01 PM,%RH,92.232
1/2/23 12:01:01 AM,%RH,88.413
1/2/23 2:01:01 AM,%RH,85.185
1/2/23 4:01:01 AM,%RH,87.21
