1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 450000007D83FC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 00:01:01 IST 2023
Mission Sample Count:  965
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 00:01:01 IST 2023
Total Mission Samples:  965
Total Device Samples:  9643
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 12:01:01 AM,C,24.506
26/1/23 2:01:01 AM,C,24.256
26/1/23 4:01:01 AM,C,23.756
26/1/23 6:01:01 AM,C,23.193
26/1/23 8:01:01 AM,C,18.315
26/1/23 10:01:01 AM,C,18.064
26/1/23 12:01:01 PM,C,21.505
26/1/23 2:01:01 PM,C,21.38
26/1/23 4:01:01 PM,C,22.255
26/1/23 6:01:01 PM,C,20.942
26/1/23 8:01:01 PM,C,18.315
26/1/23 10:01:01 PM,C,17.251
27/1/23 12:01:01 AM,C,16.5
27/1/23 2:01:01 AM,C,16.25
27/1/23 4:01:01 AM,C,15.186
27/1/23 6:01:01 AM,C,14.059
27/1/23 8:01:01 AM,C,14.56
27/1/23 10:01:01 AM,C,17.314
27/1/23 12:01:01 PM,C,21.442
27/1/23 2:01:01 PM,C,22.13
27/1/23 4:01:01 PM,C,22.443
27/1/23 6:01:01 PM,C,20.879
27/1/23 8:01:01 PM,C,17.814
27/1/23 10:01:01 PM,C,17.126
28/1/23 12:01:01 AM,C,16.375
28/1/23 2:01:01 AM,C,15.123
28/1/23 4:01:01 AM,C,15.06
28/1/23 6:01:01 AM,C,14.56
28/1/23 8:01:01 AM,C,14.685
28/1/23 10:01:01 AM,C,17.251
28/1/23 12:01:01 PM,C,20.942
28/1/23 2:01:01 PM,C,21.63
28/1/23 4:01:01 PM,C,21.505
28/1/23 6:01:01 PM,C,20.191
28/1/23 8:01:01 PM,C,16.813
28/1/23 10:01:01 PM,C,16.563
29/1/23 12:01:01 AM,C,16.312
29/1/23 2:01:01 AM,C,15.123
29/1/23 4:01:01 AM,C,14.748
29/1/23 6:01:01 AM,C,14.247
29/1/23 8:01:01 AM,C,14.748
29/1/23 10:01:01 AM,C,17.251
29/1/23 12:01:01 PM,C,21.442
29/1/23 2:01:01 PM,C,22.068
29/1/23 4:01:01 PM,C,22.255
29/1/23 6:01:01 PM,C,21.067
29/1/23 8:01:01 PM,C,18.002
29/1/23 10:01:01 PM,C,17.251
30/1/23 12:01:01 AM,C,17.063
30/1/23 2:01:01 AM,C,16.125
30/1/23 4:01:01 AM,C,15.373
30/1/23 6:01:01 AM,C,15.248
30/1/23 8:01:01 AM,C,15.373
30/1/23 10:01:01 AM,C,18.69
30/1/23 12:01:01 PM,C,21.942
30/1/23 2:01:01 PM,C,23.005
30/1/23 4:01:01 PM,C,22.755
30/1/23 6:01:01 PM,C,21.38
30/1/23 8:01:01 PM,C,19.378
30/1/23 10:01:01 PM,C,18.252
31/1/23 12:01:01 AM,C,17.752
31/1/23 2:01:01 AM,C,18.127
31/1/23 4:01:01 AM,C,17.314
31/1/23 6:01:01 AM,C,18.44
31/1/23 8:01:01 AM,C,18.44
31/1/23 10:01:01 AM,C,19.879
31/1/23 12:01:01 PM,C,22.255
31/1/23 2:01:01 PM,C,23.193
31/1/23 4:01:01 PM,C,22.568
31/1/23 6:01:01 PM,C,21.63
31/1/23 8:01:01 PM,C,19.941
31/1/23 10:01:01 PM,C,19.128
1/2/23 12:01:01 AM,C,19.128
1/2/23 2:01:01 AM,C,18.815
1/2/23 4:01:01 AM,C,18.377
1/2/23 6:01:01 AM,C,17.939
1/2/23 8:01:01 AM,C,18.002
1/2/23 10:01:01 AM,C,19.691
1/2/23 12:01:01 PM,C,23.318
1/2/23 2:01:01 PM,C,23.318
1/2/23 4:01:01 PM,C,23.256
1/2/23 6:01:01 PM,C,21.88
1/2/23 8:01:01 PM,C,19.628
1/2/23 10:01:01 PM,C,20.316
2/2/23 12:01:01 AM,C,19.753
2/2/23 2:01:01 AM,C,19.691
2/2/23 4:01:01 AM,C,19.065
2/2/23 6:01:01 AM,C,18.502
2/2/23 8:01:01 AM,C,18.44
2/2/23 10:01:01 AM,C,20.504
2/2/23 12:01:01 PM,C,23.756
2/2/23 2:01:01 PM,C,24.006
2/2/23 4:01:01 PM,C,23.443
2/2/23 6:01:01 PM,C,21.755
2/2/23 8:01:01 PM,C,19.128
2/2/23 10:01:01 PM,C,18.315
3/2/23 12:01:01 AM,C,19.503
3/2/23 2:01:01 AM,C,18.878
3/2/23 4:01:01 AM,C,18.252
3/2/23 6:01:01 AM,C,17.939
3/2/23 8:01:01 AM,C,17.877
3/2/23 10:01:01 AM,C,19.691
3/2/23 12:01:01 PM,C,22.568
3/2/23 2:01:01 PM,C,23.443
3/2/23 4:01:01 PM,C,22.193
3/2/23 6:01:01 PM,C,21.755
3/2/23 8:01:01 PM,C,20.879
3/2/23 10:01:01 PM,C,20.004
4/2/23 12:01:01 AM,C,19.441
4/2/23 2:01:01 AM,C,19.128
4/2/23 4:01:01 AM,C,19.003
4/2/23 6:01:01 AM,C,19.065
4/2/23 8:01:01 AM,C,18.94
4/2/23 10:01:01 AM,C,20.379
4/2/23 12:01:01 PM,C,24.256
4/2/23 2:01:01 PM,C,24.693
4/2/23 4:01:01 PM,C,24.193
4/2/23 6:01:01 PM,C,22.88
4/2/23 8:01:01 PM,C,20.692
4/2/23 10:01:01 PM,C,19.441
5/2/23 12:01:01 AM,C,18.627
5/2/23 2:01:01 AM,C,17.689
5/2/23 4:01:01 AM,C,17.001
5/2/23 6:01:01 AM,C,16.125
5/2/23 8:01:01 AM,C,16.688
5/2/23 10:01:01 AM,C,19.753
5/2/23 12:01:01 PM,C,24.006
5/2/23 2:01:01 PM,C,24.068
5/2/23 4:01:01 PM,C,24.881
5/2/23 6:01:01 PM,C,23.568
5/2/23 8:01:01 PM,C,21.317
5/2/23 10:01:01 PM,C,19.503
6/2/23 12:01:01 AM,C,18.002
6/2/23 2:01:01 AM,C,18.252
6/2/23 4:01:01 AM,C,16.813
6/2/23 6:01:01 AM,C,15.812
6/2/23 8:01:01 AM,C,16.187
6/2/23 10:01:01 AM,C,19.253
6/2/23 12:01:01 PM,C,22.193
6/2/23 2:01:01 PM,C,23.068
6/2/23 4:01:01 PM,C,23.256
6/2/23 6:01:01 PM,C,22.63
6/2/23 8:01:01 PM,C,21.505
6/2/23 10:01:01 PM,C,20.817
7/2/23 12:01:01 AM,C,19.691
7/2/23 2:01:01 AM,C,18.315
7/2/23 4:01:01 AM,C,17.376
7/2/23 6:01:01 AM,C,18.002
7/2/23 8:01:01 AM,C,16.437
7/2/23 10:01:01 AM,C,19.816
7/2/23 12:01:01 PM,C,23.193
7/2/23 2:01:01 PM,C,24.318
7/2/23 4:01:01 PM,C,23.818
7/2/23 6:01:01 PM,C,22.568
7/2/23 8:01:01 PM,C,21.88
7/2/23 10:01:01 PM,C,20.191
8/2/23 12:01:01 AM,C,19.378
8/2/23 2:01:01 AM,C,18.127
8/2/23 4:01:01 AM,C,19.503
8/2/23 6:01:01 AM,C,18.127
8/2/23 8:01:01 AM,C,19.128
8/2/23 10:01:01 AM,C,20.191
8/2/23 12:01:01 PM,C,24.381
8/2/23 2:01:01 PM,C,24.568
8/2/23 4:01:01 PM,C,24.818
8/2/23 6:01:01 PM,C,23.381
8/2/23 8:01:01 PM,C,20.567
8/2/23 10:01:01 PM,C,19.378
9/2/23 12:01:01 AM,C,18.127
9/2/23 2:01:01 AM,C,17.689
9/2/23 4:01:01 AM,C,17.439
9/2/23 6:01:01 AM,C,16.312
9/2/23 8:01:01 AM,C,16.312
9/2/23 10:01:01 AM,C,19.816
9/2/23 12:01:01 PM,C,23.818
9/2/23 2:01:01 PM,C,24.256
9/2/23 4:01:01 PM,C,24.193
9/2/23 6:01:01 PM,C,22.755
9/2/23 8:01:01 PM,C,21.442
