1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 150000007D810441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:47:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:47:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  14089
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:47:01 PM,C,23.193
14/1/24 11:47:01 PM,C,22.192
15/1/24 1:47:01 AM,C,22.192
15/1/24 3:47:01 AM,C,21.19
15/1/24 5:47:01 AM,C,20.689
15/1/24 7:47:01 AM,C,19.186
15/1/24 9:47:01 AM,C,28.692
15/1/24 11:47:01 AM,C,21.691
15/1/24 1:47:01 PM,C,23.193
15/1/24 3:47:01 PM,C,24.193
15/1/24 5:47:01 PM,C,22.692
15/1/24 7:47:01 PM,C,21.19
15/1/24 9:47:01 PM,C,20.689
15/1/24 11:47:01 PM,C,19.688
16/1/24 1:47:01 AM,C,20.189
16/1/24 3:47:01 AM,C,19.186
16/1/24 5:47:01 AM,C,17.683
16/1/24 7:47:01 AM,C,17.181
16/1/24 9:47:01 AM,C,18.685
16/1/24 11:47:01 AM,C,21.691
16/1/24 1:47:01 PM,C,23.693
16/1/24 3:47:01 PM,C,24.193
16/1/24 5:47:01 PM,C,22.192
16/1/24 7:47:01 PM,C,20.189
16/1/24 9:47:01 PM,C,20.189
16/1/24 11:47:01 PM,C,19.688
17/1/24 1:47:01 AM,C,19.186
17/1/24 3:47:01 AM,C,19.186
17/1/24 5:47:01 AM,C,18.685
17/1/24 7:47:01 AM,C,18.685
17/1/24 9:47:01 AM,C,20.189
17/1/24 11:47:01 AM,C,21.19
17/1/24 1:47:01 PM,C,23.193
17/1/24 3:47:01 PM,C,23.693
17/1/24 5:47:01 PM,C,22.692
17/1/24 7:47:01 PM,C,20.689
17/1/24 9:47:01 PM,C,20.189
17/1/24 11:47:01 PM,C,20.189
18/1/24 1:47:01 AM,C,19.186
18/1/24 3:47:01 AM,C,18.685
18/1/24 5:47:01 AM,C,18.184
18/1/24 7:47:01 AM,C,18.685
18/1/24 9:47:01 AM,C,19.688
18/1/24 11:47:01 AM,C,21.691
18/1/24 1:47:01 PM,C,22.692
18/1/24 3:47:01 PM,C,23.693
18/1/24 5:47:01 PM,C,22.692
18/1/24 7:47:01 PM,C,21.19
18/1/24 9:47:01 PM,C,20.689
18/1/24 11:47:01 PM,C,20.189
19/1/24 1:47:01 AM,C,20.189
19/1/24 3:47:01 AM,C,19.688
19/1/24 5:47:01 AM,C,19.186
19/1/24 7:47:01 AM,C,18.685
19/1/24 9:47:01 AM,C,19.688
19/1/24 11:47:01 AM,C,22.192
19/1/24 1:47:01 PM,C,22.692
19/1/24 3:47:01 PM,C,23.193
19/1/24 5:47:01 PM,C,22.692
19/1/24 7:47:01 PM,C,20.689
19/1/24 9:47:01 PM,C,20.689
19/1/24 11:47:01 PM,C,20.189
20/1/24 1:47:01 AM,C,19.186
20/1/24 3:47:01 AM,C,18.685
20/1/24 5:47:01 AM,C,17.683
20/1/24 7:47:01 AM,C,17.683
20/1/24 9:47:01 AM,C,19.186
20/1/24 11:47:01 AM,C,21.691
20/1/24 1:47:01 PM,C,22.692
20/1/24 3:47:01 PM,C,23.693
20/1/24 5:47:01 PM,C,23.193
20/1/24 7:47:01 PM,C,21.691
20/1/24 9:47:01 PM,C,21.19
20/1/24 11:47:01 PM,C,20.189
21/1/24 1:47:01 AM,C,20.189
21/1/24 3:47:01 AM,C,19.688
21/1/24 5:47:01 AM,C,19.186
21/1/24 7:47:01 AM,C,19.186
21/1/24 9:47:01 AM,C,20.189
21/1/24 11:47:01 AM,C,22.192
21/1/24 1:47:01 PM,C,23.693
21/1/24 3:47:01 PM,C,25.193
21/1/24 5:47:01 PM,C,23.693
21/1/24 7:47:01 PM,C,22.192
21/1/24 9:47:01 PM,C,21.19
21/1/24 11:47:01 PM,C,21.19
22/1/24 1:47:01 AM,C,20.689
22/1/24 3:47:01 AM,C,20.189
22/1/24 5:47:01 AM,C,18.685
22/1/24 7:47:01 AM,C,19.186
22/1/24 9:47:01 AM,C,20.189
22/1/24 11:47:01 AM,C,22.692
22/1/24 1:47:01 PM,C,24.693
22/1/24 3:47:01 PM,C,24.693
22/1/24 5:47:01 PM,C,23.693
22/1/24 7:47:01 PM,C,22.192
22/1/24 9:47:01 PM,C,21.691
22/1/24 11:47:01 PM,C,21.19
23/1/24 1:47:01 AM,C,20.189
23/1/24 3:47:01 AM,C,19.688
23/1/24 5:47:01 AM,C,19.186
23/1/24 7:47:01 AM,C,19.186
23/1/24 9:47:01 AM,C,20.189
23/1/24 11:47:01 AM,C,22.192
23/1/24 1:47:01 PM,C,22.692
23/1/24 3:47:01 PM,C,24.193
23/1/24 5:47:01 PM,C,23.193
23/1/24 7:47:01 PM,C,21.19
23/1/24 9:47:01 PM,C,19.688
23/1/24 11:47:01 PM,C,19.688
24/1/24 1:47:01 AM,C,19.186
24/1/24 3:47:01 AM,C,18.685
24/1/24 5:47:01 AM,C,17.683
24/1/24 7:47:01 AM,C,17.683
24/1/24 9:47:01 AM,C,20.189
24/1/24 11:47:01 AM,C,22.192
24/1/24 1:47:01 PM,C,23.693
24/1/24 3:47:01 PM,C,24.193
24/1/24 5:47:01 PM,C,22.692
24/1/24 7:47:01 PM,C,20.689
24/1/24 9:47:01 PM,C,18.685
24/1/24 11:47:01 PM,C,18.184
25/1/24 1:47:01 AM,C,18.685
25/1/24 3:47:01 AM,C,18.685
25/1/24 5:47:01 AM,C,18.685
25/1/24 7:47:01 AM,C,18.685
25/1/24 9:47:01 AM,C,20.189
25/1/24 11:47:01 AM,C,21.691
25/1/24 1:47:01 PM,C,22.192
25/1/24 3:47:01 PM,C,23.693
25/1/24 5:47:01 PM,C,22.192
25/1/24 7:47:01 PM,C,20.189
25/1/24 9:47:01 PM,C,19.688
25/1/24 11:47:01 PM,C,19.186
26/1/24 1:47:01 AM,C,18.685
26/1/24 3:47:01 AM,C,18.685
26/1/24 5:47:01 AM,C,17.683
26/1/24 7:47:01 AM,C,17.181
26/1/24 9:47:01 AM,C,19.186
26/1/24 11:47:01 AM,C,21.19
26/1/24 1:47:01 PM,C,23.193
26/1/24 3:47:01 PM,C,23.693
26/1/24 5:47:01 PM,C,23.193
26/1/24 7:47:01 PM,C,21.691
26/1/24 9:47:01 PM,C,20.189
26/1/24 11:47:01 PM,C,19.186
27/1/24 1:47:01 AM,C,17.683
27/1/24 3:47:01 AM,C,16.178
27/1/24 5:47:01 AM,C,15.677
27/1/24 7:47:01 AM,C,15.677
27/1/24 9:47:01 AM,C,18.184
27/1/24 11:47:01 AM,C,20.189
27/1/24 1:47:01 PM,C,22.192
27/1/24 3:47:01 PM,C,23.193
27/1/24 5:47:01 PM,C,22.692
27/1/24 7:47:01 PM,C,20.689
27/1/24 9:47:01 PM,C,19.688
27/1/24 11:47:01 PM,C,18.184
28/1/24 1:47:01 AM,C,17.181
28/1/24 3:47:01 AM,C,16.178
28/1/24 5:47:01 AM,C,16.178
28/1/24 7:47:01 AM,C,16.178
28/1/24 9:47:01 AM,C,18.184
28/1/24 11:47:01 AM,C,20.189
28/1/24 1:47:01 PM,C,22.192
28/1/24 3:47:01 PM,C,23.193
28/1/24 5:47:01 PM,C,23.193
28/1/24 7:47:01 PM,C,21.19
28/1/24 9:47:01 PM,C,20.189
28/1/24 11:47:01 PM,C,19.186
29/1/24 1:47:01 AM,C,18.685
29/1/24 3:47:01 AM,C,17.181
29/1/24 5:47:01 AM,C,16.68
29/1/24 7:47:01 AM,C,16.178
29/1/24 9:47:01 AM,C,18.184
29/1/24 11:47:01 AM,C,20.689
29/1/24 1:47:01 PM,C,22.192
29/1/24 3:47:01 PM,C,24.193
29/1/24 5:47:01 PM,C,22.692
29/1/24 7:47:01 PM,C,21.19
29/1/24 9:47:01 PM,C,20.189
29/1/24 11:47:01 PM,C,19.186
30/1/24 1:47:01 AM,C,17.683
30/1/24 3:47:01 AM,C,18.184
30/1/24 5:47:01 AM,C,16.68
30/1/24 7:47:01 AM,C,15.677
30/1/24 9:47:01 AM,C,18.184
30/1/24 11:47:01 AM,C,21.19
30/1/24 1:47:01 PM,C,24.193
30/1/24 3:47:01 PM,C,24.193
30/1/24 5:47:01 PM,C,22.692
30/1/24 7:47:01 PM,C,20.689
30/1/24 9:47:01 PM,C,20.189
30/1/24 11:47:01 PM,C,19.688
31/1/24 1:47:01 AM,C,19.688
31/1/24 3:47:01 AM,C,19.186
31/1/24 5:47:01 AM,C,18.685
31/1/24 7:47:01 AM,C,18.184
31/1/24 9:47:01 AM,C,19.688
31/1/24 11:47:01 AM,C,23.193
31/1/24 1:47:01 PM,C,24.693
31/1/24 3:47:01 PM,C,24.693
31/1/24 5:47:01 PM,C,23.193
31/1/24 7:47:01 PM,C,20.689
31/1/24 9:47:01 PM,C,19.688
31/1/24 11:47:01 PM,C,19.186
1/2/24 1:47:01 AM,C,19.186
1/2/24 3:47:01 AM,C,18.685
1/2/24 5:47:01 AM,C,17.683
1/2/24 7:47:01 AM,C,18.184
1/2/24 9:47:01 AM,C,20.689
1/2/24 11:47:01 AM,C,22.692
1/2/24 1:47:01 PM,C,24.193
1/2/24 3:47:01 PM,C,24.193
1/2/24 5:47:01 PM,C,23.193
1/2/24 7:47:01 PM,C,20.689
1/2/24 9:47:01 PM,C,20.189
1/2/24 11:47:01 PM,C,19.688
2/2/24 1:47:01 AM,C,19.688
2/2/24 3:47:01 AM,C,19.688
2/2/24 5:47:01 AM,C,18.685
2/2/24 7:47:01 AM,C,17.181
2/2/24 9:47:01 AM,C,19.688
2/2/24 11:47:01 AM,C,22.692
2/2/24 1:47:01 PM,C,24.693
2/2/24 3:47:01 PM,C,24.693
2/2/24 5:47:01 PM,C,23.693
2/2/24 7:47:01 PM,C,20.689
2/2/24 9:47:01 PM,C,20.189
2/2/24 11:47:01 PM,C,19.186
3/2/24 1:47:01 AM,C,20.189
3/2/24 3:47:01 AM,C,19.688
