1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1F0000007DAAB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:53:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:53:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12004
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:53:01 PM,C,22.097
11/1/24 11:53:01 PM,C,21.597
12/1/24 1:53:01 AM,C,21.597
12/1/24 3:53:01 AM,C,21.097
12/1/24 5:53:01 AM,C,21.097
12/1/24 7:53:01 AM,C,20.596
12/1/24 9:53:01 AM,C,21.597
12/1/24 11:53:01 AM,C,22.097
12/1/24 1:53:01 PM,C,24.098
12/1/24 3:53:01 PM,C,24.598
12/1/24 5:53:01 PM,C,23.097
12/1/24 7:53:01 PM,C,21.597
12/1/24 9:53:01 PM,C,20.596
12/1/24 11:53:01 PM,C,19.095
13/1/24 1:53:01 AM,C,18.595
13/1/24 3:53:01 AM,C,18.095
13/1/24 5:53:01 AM,C,17.594
13/1/24 7:53:01 AM,C,17.594
13/1/24 9:53:01 AM,C,20.096
13/1/24 11:53:01 AM,C,22.597
13/1/24 1:53:01 PM,C,24.098
13/1/24 3:53:01 PM,C,24.598
13/1/24 5:53:01 PM,C,22.597
13/1/24 7:53:01 PM,C,20.596
13/1/24 9:53:01 PM,C,20.096
13/1/24 11:53:01 PM,C,19.095
14/1/24 1:53:01 AM,C,19.596
14/1/24 3:53:01 AM,C,19.095
14/1/24 5:53:01 AM,C,18.595
14/1/24 7:53:01 AM,C,18.595
14/1/24 9:53:01 AM,C,20.596
14/1/24 11:53:01 AM,C,23.598
14/1/24 1:53:01 PM,C,24.598
14/1/24 3:53:01 PM,C,24.598
14/1/24 5:53:01 PM,C,23.598
14/1/24 7:53:01 PM,C,20.096
14/1/24 9:53:01 PM,C,21.597
14/1/24 11:53:01 PM,C,21.597
15/1/24 1:53:01 AM,C,20.096
15/1/24 3:53:01 AM,C,19.095
15/1/24 5:53:01 AM,C,18.095
15/1/24 7:53:01 AM,C,17.594
15/1/24 9:53:01 AM,C,20.096
15/1/24 11:53:01 AM,C,22.597
15/1/24 1:53:01 PM,C,23.598
15/1/24 3:53:01 PM,C,24.098
15/1/24 5:53:01 PM,C,22.097
15/1/24 7:53:01 PM,C,20.596
15/1/24 9:53:01 PM,C,19.596
