1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 580000007D8D1541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 21:58:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 21:58:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12199
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 9:58:01 PM,C,22.053
11/1/24 11:58:01 PM,C,21.552
12/1/24 1:58:01 AM,C,21.052
12/1/24 3:58:01 AM,C,21.052
12/1/24 5:58:01 AM,C,20.552
12/1/24 7:58:01 AM,C,20.552
12/1/24 9:58:01 AM,C,21.552
12/1/24 11:58:01 AM,C,21.052
12/1/24 1:58:01 PM,C,23.053
12/1/24 3:58:01 PM,C,23.553
12/1/24 5:58:01 PM,C,22.553
12/1/24 7:58:01 PM,C,19.552
12/1/24 9:58:01 PM,C,19.552
12/1/24 11:58:01 PM,C,18.552
13/1/24 1:58:01 AM,C,18.052
13/1/24 3:58:01 AM,C,17.552
13/1/24 5:58:01 AM,C,17.051
13/1/24 7:58:01 AM,C,17.552
13/1/24 9:58:01 AM,C,19.052
13/1/24 11:58:01 AM,C,21.052
13/1/24 1:58:01 PM,C,23.053
13/1/24 3:58:01 PM,C,23.553
13/1/24 5:58:01 PM,C,22.053
13/1/24 7:58:01 PM,C,19.552
13/1/24 9:58:01 PM,C,19.052
13/1/24 11:58:01 PM,C,18.052
14/1/24 1:58:01 AM,C,19.052
14/1/24 3:58:01 AM,C,18.552
14/1/24 5:58:01 AM,C,18.052
14/1/24 7:58:01 AM,C,18.052
14/1/24 9:58:01 AM,C,19.552
14/1/24 11:58:01 AM,C,22.053
14/1/24 1:58:01 PM,C,23.553
14/1/24 3:58:01 PM,C,23.553
14/1/24 5:58:01 PM,C,23.053
14/1/24 7:58:01 PM,C,19.052
14/1/24 9:58:01 PM,C,20.052
14/1/24 11:58:01 PM,C,21.052
15/1/24 1:58:01 AM,C,19.552
15/1/24 3:58:01 AM,C,18.552
15/1/24 5:58:01 AM,C,17.552
15/1/24 7:58:01 AM,C,17.051
15/1/24 9:58:01 AM,C,19.552
15/1/24 11:58:01 AM,C,21.552
15/1/24 1:58:01 PM,C,23.053
15/1/24 3:58:01 PM,C,23.053
15/1/24 5:58:01 PM,C,21.552
15/1/24 7:58:01 PM,C,19.052
15/1/24 9:58:01 PM,C,18.052
15/1/24 11:58:01 PM,C,17.552
16/1/24 1:58:01 AM,C,17.552
16/1/24 3:58:01 AM,C,16.551
16/1/24 5:58:01 AM,C,17.051
16/1/24 7:58:01 AM,C,17.051
16/1/24 9:58:01 AM,C,18.552
16/1/24 11:58:01 AM,C,21.052
16/1/24 1:58:01 PM,C,22.553
16/1/24 3:58:01 PM,C,22.553
16/1/24 5:58:01 PM,C,21.552
16/1/24 7:58:01 PM,C,20.052
16/1/24 9:58:01 PM,C,19.052
16/1/24 11:58:01 PM,C,18.552
17/1/24 1:58:01 AM,C,19.052
17/1/24 3:58:01 AM,C,19.052
17/1/24 5:58:01 AM,C,19.052
17/1/24 7:58:01 AM,C,18.052
17/1/24 9:58:01 AM,C,20.052
17/1/24 11:58:01 AM,C,21.052
17/1/24 1:58:01 PM,C,23.053
17/1/24 3:58:01 PM,C,23.053
17/1/24 5:58:01 PM,C,21.552
17/1/24 7:58:01 PM,C,19.052
17/1/24 9:58:01 PM,C,20.052
17/1/24 11:58:01 PM,C,20.052
18/1/24 1:58:01 AM,C,19.052
18/1/24 3:58:01 AM,C,18.552
18/1/24 5:58:01 AM,C,18.052
18/1/24 7:58:01 AM,C,18.052
18/1/24 9:58:01 AM,C,20.052
18/1/24 11:58:01 AM,C,22.053
18/1/24 1:58:01 PM,C,22.053
18/1/24 3:58:01 PM,C,23.053
18/1/24 5:58:01 PM,C,22.053
18/1/24 7:58:01 PM,C,20.552
18/1/24 9:58:01 PM,C,19.552
18/1/24 11:58:01 PM,C,19.052
19/1/24 1:58:01 AM,C,19.052
19/1/24 3:58:01 AM,C,19.052
19/1/24 5:58:01 AM,C,18.052
19/1/24 7:58:01 AM,C,17.552
19/1/24 9:58:01 AM,C,19.552
19/1/24 11:58:01 AM,C,21.552
19/1/24 1:58:01 PM,C,23.053
19/1/24 3:58:01 PM,C,23.053
19/1/24 5:58:01 PM,C,22.053
19/1/24 7:58:01 PM,C,21.052
19/1/24 9:58:01 PM,C,20.052
19/1/24 11:58:01 PM,C,18.552
20/1/24 1:58:01 AM,C,18.552
20/1/24 3:58:01 AM,C,18.552
20/1/24 5:58:01 AM,C,18.052
20/1/24 7:58:01 AM,C,18.052
20/1/24 9:58:01 AM,C,19.552
20/1/24 11:58:01 AM,C,22.053
20/1/24 1:58:01 PM,C,23.053
20/1/24 3:58:01 PM,C,23.553
20/1/24 5:58:01 PM,C,22.553
20/1/24 7:58:01 PM,C,20.552
20/1/24 9:58:01 PM,C,19.052
20/1/24 11:58:01 PM,C,18.552
21/1/24 1:58:01 AM,C,18.052
21/1/24 3:58:01 AM,C,19.052
21/1/24 5:58:01 AM,C,18.552
21/1/24 7:58:01 AM,C,19.052
21/1/24 9:58:01 AM,C,20.052
21/1/24 11:58:01 AM,C,22.053
21/1/24 1:58:01 PM,C,23.553
21/1/24 3:58:01 PM,C,24.053
21/1/24 5:58:01 PM,C,23.053
21/1/24 7:58:01 PM,C,21.552
21/1/24 9:58:01 PM,C,21.052
21/1/24 11:58:01 PM,C,19.552
22/1/24 1:58:01 AM,C,19.052
22/1/24 3:58:01 AM,C,18.052
22/1/24 5:58:01 AM,C,18.052
22/1/24 7:58:01 AM,C,18.052
22/1/24 9:58:01 AM,C,20.052
22/1/24 11:58:01 AM,C,22.553
22/1/24 1:58:01 PM,C,24.053
22/1/24 3:58:01 PM,C,23.553
22/1/24 5:58:01 PM,C,22.553
