1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007D839841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:15:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:15:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11991
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:15:01 PM,%RH,81.033
13/1/24 10:15:01 PM,%RH,81.6
14/1/24 12:15:01 AM,%RH,81.6
14/1/24 2:15:01 AM,%RH,83.293
14/1/24 4:15:01 AM,%RH,81.6
14/1/24 6:15:01 AM,%RH,82.731
14/1/24 8:15:01 AM,%RH,96.344
14/1/24 10:15:01 AM,%RH,86.638
14/1/24 12:15:01 PM,%RH,70.56
14/1/24 2:15:01 PM,%RH,66.96
14/1/24 4:15:01 PM,%RH,62.074
14/1/24 6:15:01 PM,%RH,84.973
14/1/24 8:15:01 PM,%RH,92.628
14/1/24 10:15:01 PM,%RH,88.29
15/1/24 12:15:01 AM,%RH,88.838
15/1/24 2:15:01 AM,%RH,86.638
15/1/24 4:15:01 AM,%RH,89.928
15/1/24 6:15:01 AM,%RH,93.698
15/1/24 8:15:01 AM,%RH,96.344
15/1/24 10:15:01 AM,%RH,88.29
15/1/24 12:15:01 PM,%RH,75.858
15/1/24 2:15:01 PM,%RH,72.34
15/1/24 4:15:01 PM,%RH,74.106
15/1/24 6:15:01 PM,%RH,86.085
15/1/24 8:15:01 PM,%RH,95.818
15/1/24 10:15:01 PM,%RH,97.392
16/1/24 12:15:01 AM,%RH,98.953
16/1/24 2:15:01 AM,%RH,98.434
16/1/24 4:15:01 AM,%RH,99.47
16/1/24 6:15:01 AM,%RH,97.914
16/1/24 8:15:01 AM,%RH,99.47
16/1/24 10:15:01 AM,%RH,94.23
16/1/24 12:15:01 PM,%RH,75.858
16/1/24 2:15:01 PM,%RH,72.34
16/1/24 4:15:01 PM,%RH,81.6
16/1/24 6:15:01 PM,%RH,90.471
16/1/24 8:15:01 PM,%RH,96.869
16/1/24 10:15:01 PM,%RH,98.434
17/1/24 12:15:01 AM,%RH,99.986
17/1/24 2:15:01 AM,%RH,98.434
17/1/24 4:15:01 AM,%RH,99.47
17/1/24 6:15:01 AM,%RH,98.953
17/1/24 8:15:01 AM,%RH,100.5
17/1/24 10:15:01 AM,%RH,91.013
17/1/24 12:15:01 PM,%RH,83.855
17/1/24 2:15:01 PM,%RH,79.894
17/1/24 4:15:01 PM,%RH,74.692
17/1/24 6:15:01 PM,%RH,86.085
17/1/24 8:15:01 PM,%RH,95.29
17/1/24 10:15:01 PM,%RH,97.914
18/1/24 12:15:01 AM,%RH,98.434
18/1/24 2:15:01 AM,%RH,98.953
18/1/24 4:15:01 AM,%RH,99.986
18/1/24 6:15:01 AM,%RH,100.5
