1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007DABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:30:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:30:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12267
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:30:01 PM,%RH,80.38
13/1/24 10:30:01 PM,%RH,82.048
14/1/24 12:30:01 AM,%RH,80.38
14/1/24 2:30:01 AM,%RH,80.938
14/1/24 4:30:01 AM,%RH,81.494
14/1/24 6:30:01 AM,%RH,82.048
14/1/24 8:30:01 AM,%RH,73.571
14/1/24 10:30:01 AM,%RH,83.703
14/1/24 12:30:01 PM,%RH,72.416
14/1/24 2:30:01 PM,%RH,70.671
14/1/24 4:30:01 PM,%RH,62.348
14/1/24 6:30:01 PM,%RH,84.252
14/1/24 8:30:01 PM,%RH,91.773
14/1/24 10:30:01 PM,%RH,80.38
15/1/24 12:30:01 AM,%RH,83.703
15/1/24 2:30:01 AM,%RH,88.586
15/1/24 4:30:01 AM,%RH,90.186
15/1/24 6:30:01 AM,%RH,94.907
15/1/24 8:30:01 AM,%RH,96.966
15/1/24 10:30:01 AM,%RH,90.186
15/1/24 12:30:01 PM,%RH,69.5
15/1/24 2:30:01 PM,%RH,66.546
15/1/24 4:30:01 PM,%RH,75.865
15/1/24 6:30:01 PM,%RH,88.049
15/1/24 8:30:01 PM,%RH,94.907
15/1/24 10:30:01 PM,%RH,95.939
16/1/24 12:30:01 AM,%RH,96.966
16/1/24 2:30:01 AM,%RH,97.477
16/1/24 4:30:01 AM,%RH,97.477
16/1/24 6:30:01 AM,%RH,98.494
16/1/24 8:30:01 AM,%RH,96.966
16/1/24 10:30:01 AM,%RH,95.939
16/1/24 12:30:01 PM,%RH,82.601
16/1/24 2:30:01 PM,%RH,78.698
16/1/24 4:30:01 PM,%RH,84.252
16/1/24 6:30:01 PM,%RH,91.773
16/1/24 8:30:01 PM,%RH,96.966
16/1/24 10:30:01 PM,%RH,96.966
17/1/24 12:30:01 AM,%RH,96.453
17/1/24 2:30:01 AM,%RH,97.986
17/1/24 4:30:01 AM,%RH,96.966
17/1/24 6:30:01 AM,%RH,97.477
17/1/24 8:30:01 AM,%RH,96.966
17/1/24 10:30:01 AM,%RH,93.347
17/1/24 12:30:01 PM,%RH,85.888
17/1/24 2:30:01 PM,%RH,80.38
17/1/24 4:30:01 PM,%RH,77.569
17/1/24 6:30:01 PM,%RH,90.186
17/1/24 8:30:01 PM,%RH,96.966
17/1/24 10:30:01 PM,%RH,98.494
18/1/24 12:30:01 AM,%RH,97.986
18/1/24 2:30:01 AM,%RH,97.986
18/1/24 4:30:01 AM,%RH,99
18/1/24 6:30:01 AM,%RH,98.494
18/1/24 8:30:01 AM,%RH,97.986
