1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 760000007D81E941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:36:01 IST 2024
Mission Sample Count:  3237
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:36:01 IST 2024
Total Mission Samples:  3237
Total Device Samples:  11977
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:36:01 PM,%RH,81.964
14/1/24 11:36:01 PM,%RH,80.893
15/1/24 1:36:01 AM,%RH,81.964
15/1/24 3:36:01 AM,%RH,80.893
15/1/24 5:36:01 AM,%RH,81.964
15/1/24 7:36:01 AM,%RH,81.43
15/1/24 9:36:01 AM,%RH,83.028
15/1/24 11:36:01 AM,%RH,78.186
15/1/24 1:36:01 PM,%RH,55.594
15/1/24 3:36:01 PM,%RH,73.766
15/1/24 5:36:01 PM,%RH,81.43
15/1/24 7:36:01 PM,%RH,86.178
15/1/24 9:36:01 PM,%RH,91.793
15/1/24 11:36:01 PM,%RH,93.783
16/1/24 1:36:01 AM,%RH,93.783
16/1/24 3:36:01 AM,%RH,87.215
16/1/24 5:36:01 AM,%RH,84.611
16/1/24 7:36:01 AM,%RH,90.282
16/1/24 9:36:01 AM,%RH,91.793
16/1/24 11:36:01 AM,%RH,79.816
16/1/24 1:36:01 PM,%RH,69.234
16/1/24 3:36:01 PM,%RH,79.274
16/1/24 5:36:01 PM,%RH,89.775
16/1/24 7:36:01 PM,%RH,93.288
16/1/24 9:36:01 PM,%RH,96.232
16/1/24 11:36:01 PM,%RH,97.68
17/1/24 1:36:01 AM,%RH,98.637
17/1/24 3:36:01 AM,%RH,98.16
17/1/24 5:36:01 AM,%RH,99.587
17/1/24 7:36:01 AM,%RH,99.587
17/1/24 9:36:01 AM,%RH,89.775
17/1/24 11:36:01 AM,%RH,80.355
17/1/24 1:36:01 PM,%RH,85.135
17/1/24 3:36:01 PM,%RH,80.893
