1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007D819041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sun Jan 14 21:45:01 IST 2024
Mission Sample Count:  3943
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sun Jan 14 21:45:01 IST 2024
Total Mission Samples:  3943
Total Device Samples:  13277
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
14/1/24 9:45:01 PM,C,22.151
14/1/24 11:45:01 PM,C,22.151
15/1/24 1:45:01 AM,C,21.651
15/1/24 3:45:01 AM,C,20.65
15/1/24 5:45:01 AM,C,20.15
15/1/24 7:45:01 AM,C,19.65
15/1/24 9:45:01 AM,C,23.652
15/1/24 11:45:01 AM,C,23.152
15/1/24 1:45:01 PM,C,23.652
15/1/24 3:45:01 PM,C,23.152
15/1/24 5:45:01 PM,C,21.151
15/1/24 7:45:01 PM,C,19.65
15/1/24 9:45:01 PM,C,19.65
15/1/24 11:45:01 PM,C,19.149
16/1/24 1:45:01 AM,C,18.648
16/1/24 3:45:01 AM,C,17.647
16/1/24 5:45:01 AM,C,17.647
16/1/24 7:45:01 AM,C,17.147
16/1/24 9:45:01 AM,C,19.149
16/1/24 11:45:01 AM,C,22.652
16/1/24 1:45:01 PM,C,24.152
16/1/24 3:45:01 PM,C,23.152
16/1/24 5:45:01 PM,C,21.151
16/1/24 7:45:01 PM,C,19.149
16/1/24 9:45:01 PM,C,19.149
16/1/24 11:45:01 PM,C,19.149
17/1/24 1:45:01 AM,C,18.648
17/1/24 3:45:01 AM,C,18.148
17/1/24 5:45:01 AM,C,18.148
17/1/24 7:45:01 AM,C,18.148
17/1/24 9:45:01 AM,C,20.65
17/1/24 11:45:01 AM,C,21.651
17/1/24 1:45:01 PM,C,23.152
17/1/24 3:45:01 PM,C,22.652
17/1/24 5:45:01 PM,C,21.651
17/1/24 7:45:01 PM,C,19.65
17/1/24 9:45:01 PM,C,19.65
17/1/24 11:45:01 PM,C,19.149
18/1/24 1:45:01 AM,C,18.648
18/1/24 3:45:01 AM,C,18.148
18/1/24 5:45:01 AM,C,17.647
18/1/24 7:45:01 AM,C,17.647
18/1/24 9:45:01 AM,C,20.15
18/1/24 11:45:01 AM,C,23.152
18/1/24 1:45:01 PM,C,22.652
18/1/24 3:45:01 PM,C,22.151
18/1/24 5:45:01 PM,C,21.651
18/1/24 7:45:01 PM,C,20.15
18/1/24 9:45:01 PM,C,20.15
18/1/24 11:45:01 PM,C,19.65
19/1/24 1:45:01 AM,C,19.65
19/1/24 3:45:01 AM,C,19.149
19/1/24 5:45:01 AM,C,18.648
19/1/24 7:45:01 AM,C,18.148
19/1/24 9:45:01 AM,C,20.15
19/1/24 11:45:01 AM,C,22.652
19/1/24 1:45:01 PM,C,22.151
19/1/24 3:45:01 PM,C,22.151
19/1/24 5:45:01 PM,C,21.651
19/1/24 7:45:01 PM,C,20.15
19/1/24 9:45:01 PM,C,19.65
19/1/24 11:45:01 PM,C,19.149
20/1/24 1:45:01 AM,C,18.148
20/1/24 3:45:01 AM,C,18.648
20/1/24 5:45:01 AM,C,17.647
20/1/24 7:45:01 AM,C,17.647
20/1/24 9:45:01 AM,C,20.65
20/1/24 11:45:01 AM,C,23.152
20/1/24 1:45:01 PM,C,22.151
20/1/24 3:45:01 PM,C,23.152
20/1/24 5:45:01 PM,C,22.151
20/1/24 7:45:01 PM,C,20.65
20/1/24 9:45:01 PM,C,20.15
20/1/24 11:45:01 PM,C,19.65
21/1/24 1:45:01 AM,C,19.65
21/1/24 3:45:01 AM,C,19.149
21/1/24 5:45:01 AM,C,18.648
21/1/24 7:45:01 AM,C,18.648
21/1/24 9:45:01 AM,C,20.65
21/1/24 11:45:01 AM,C,24.152
21/1/24 1:45:01 PM,C,23.152
21/1/24 3:45:01 PM,C,23.652
21/1/24 5:45:01 PM,C,22.151
21/1/24 7:45:01 PM,C,21.151
21/1/24 9:45:01 PM,C,20.65
21/1/24 11:45:01 PM,C,20.15
22/1/24 1:45:01 AM,C,19.65
22/1/24 3:45:01 AM,C,19.65
22/1/24 5:45:01 AM,C,18.148
22/1/24 7:45:01 AM,C,18.648
22/1/24 9:45:01 AM,C,20.65
22/1/24 11:45:01 AM,C,23.652
22/1/24 1:45:01 PM,C,24.652
22/1/24 3:45:01 PM,C,23.652
22/1/24 5:45:01 PM,C,22.151
22/1/24 7:45:01 PM,C,21.151
22/1/24 9:45:01 PM,C,20.65
22/1/24 11:45:01 PM,C,20.15
23/1/24 1:45:01 AM,C,19.65
23/1/24 3:45:01 AM,C,19.149
23/1/24 5:45:01 AM,C,18.148
23/1/24 7:45:01 AM,C,18.648
23/1/24 9:45:01 AM,C,20.65
23/1/24 11:45:01 AM,C,23.652
23/1/24 1:45:01 PM,C,22.151
23/1/24 3:45:01 PM,C,23.152
23/1/24 5:45:01 PM,C,22.151
23/1/24 7:45:01 PM,C,19.65
23/1/24 9:45:01 PM,C,19.149
23/1/24 11:45:01 PM,C,18.648
24/1/24 1:45:01 AM,C,18.148
24/1/24 3:45:01 AM,C,17.647
24/1/24 5:45:01 AM,C,17.147
24/1/24 7:45:01 AM,C,16.646
24/1/24 9:45:01 AM,C,19.65
24/1/24 11:45:01 AM,C,23.152
24/1/24 1:45:01 PM,C,23.652
24/1/24 3:45:01 PM,C,22.652
24/1/24 5:45:01 PM,C,20.65
24/1/24 7:45:01 PM,C,19.149
24/1/24 9:45:01 PM,C,17.647
24/1/24 11:45:01 PM,C,17.147
25/1/24 1:45:01 AM,C,16.646
