1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8A0000007DAB3541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:36:01 IST 2024
Mission Sample Count:  3298
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:36:01 IST 2024
Total Mission Samples:  3298
Total Device Samples:  13586
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:36:01 PM,%RH,85.783
9/1/24 11:36:01 PM,%RH,86.855
10/1/24 1:36:01 AM,%RH,85.783
10/1/24 3:36:01 AM,%RH,85.783
10/1/24 5:36:01 AM,%RH,85.245
10/1/24 7:36:01 AM,%RH,84.706
10/1/24 9:36:01 AM,%RH,85.245
10/1/24 11:36:01 AM,%RH,78.676
10/1/24 1:36:01 PM,%RH,74.181
10/1/24 3:36:01 PM,%RH,75.877
10/1/24 5:36:01 PM,%RH,80.338
10/1/24 7:36:01 PM,%RH,83.079
10/1/24 9:36:01 PM,%RH,81.438
10/1/24 11:36:01 PM,%RH,81.987
11/1/24 1:36:01 AM,%RH,80.338
11/1/24 3:36:01 AM,%RH,80.889
11/1/24 5:36:01 AM,%RH,81.987
11/1/24 7:36:01 AM,%RH,82.533
11/1/24 9:36:01 AM,%RH,80.338
11/1/24 11:36:01 AM,%RH,59.538
11/1/24 1:36:01 PM,%RH,66.679
11/1/24 3:36:01 PM,%RH,63.135
11/1/24 5:36:01 PM,%RH,78.676
11/1/24 7:36:01 PM,%RH,81.987
11/1/24 9:36:01 PM,%RH,81.438
11/1/24 11:36:01 PM,%RH,90.561
12/1/24 1:36:01 AM,%RH,87.389
12/1/24 3:36:01 AM,%RH,90.561
12/1/24 5:36:01 AM,%RH,95.222
12/1/24 7:36:01 AM,%RH,94.197
12/1/24 9:36:01 AM,%RH,81.438
12/1/24 11:36:01 AM,%RH,74.748
12/1/24 1:36:01 PM,%RH,70.172
12/1/24 3:36:01 PM,%RH,64.913
12/1/24 5:36:01 PM,%RH,74.181
12/1/24 7:36:01 PM,%RH,79.785
12/1/24 9:36:01 PM,%RH,83.622
12/1/24 11:36:01 PM,%RH,91.085
13/1/24 1:36:01 AM,%RH,94.197
13/1/24 3:36:01 AM,%RH,99.267
13/1/24 5:36:01 AM,%RH,99.267
13/1/24 7:36:01 AM,%RH,100.264
13/1/24 9:36:01 AM,%RH,92.647
13/1/24 11:36:01 AM,%RH,72.471
13/1/24 1:36:01 PM,%RH,67.265
13/1/24 3:36:01 PM,%RH,67.265
13/1/24 5:36:01 PM,%RH,80.889
13/1/24 7:36:01 PM,%RH,90.561
13/1/24 9:36:01 PM,%RH,99.267
13/1/24 11:36:01 PM,%RH,93.682
14/1/24 1:36:01 AM,%RH,99.267
14/1/24 3:36:01 AM,%RH,91.085
14/1/24 5:36:01 AM,%RH,94.197
14/1/24 7:36:01 AM,%RH,94.197
14/1/24 9:36:01 AM,%RH,93.682
14/1/24 11:36:01 AM,%RH,69.013
14/1/24 1:36:01 PM,%RH,67.265
14/1/24 3:36:01 PM,%RH,61.343
14/1/24 5:36:01 PM,%RH,83.622
14/1/24 7:36:01 PM,%RH,87.921
14/1/24 9:36:01 PM,%RH,80.338
14/1/24 11:36:01 PM,%RH,81.987
15/1/24 1:36:01 AM,%RH,84.706
15/1/24 3:36:01 AM,%RH,88.452
15/1/24 5:36:01 AM,%RH,98.767
15/1/24 7:36:01 AM,%RH,99.766
15/1/24 9:36:01 AM,%RH,94.71
15/1/24 11:36:01 AM,%RH,74.181
15/1/24 1:36:01 PM,%RH,63.729
15/1/24 3:36:01 PM,%RH,77.561
15/1/24 5:36:01 PM,%RH,81.987
15/1/24 7:36:01 PM,%RH,85.783
15/1/24 9:36:01 PM,%RH,94.71
15/1/24 11:36:01 PM,%RH,96.75
16/1/24 1:36:01 AM,%RH,94.197
16/1/24 3:36:01 AM,%RH,91.085
16/1/24 5:36:01 AM,%RH,87.921
16/1/24 7:36:01 AM,%RH,91.085
16/1/24 9:36:01 AM,%RH,93.682
16/1/24 11:36:01 AM,%RH,75.877
16/1/24 1:36:01 PM,%RH,63.135
16/1/24 3:36:01 PM,%RH,81.987
16/1/24 5:36:01 PM,%RH,88.452
16/1/24 7:36:01 PM,%RH,93.682
16/1/24 9:36:01 PM,%RH,99.766
16/1/24 11:36:01 PM,%RH,102.24
17/1/24 1:36:01 AM,%RH,102.24
17/1/24 3:36:01 AM,%RH,104.678
17/1/24 5:36:01 AM,%RH,103.708
17/1/24 7:36:01 AM,%RH,102.731
17/1/24 9:36:01 AM,%RH,96.242
17/1/24 11:36:01 AM,%RH,80.889
17/1/24 1:36:01 PM,%RH,82.533
17/1/24 3:36:01 PM,%RH,87.389
17/1/24 5:36:01 PM,%RH,77.561
17/1/24 7:36:01 PM,%RH,88.982
17/1/24 9:36:01 PM,%RH,100.76
17/1/24 11:36:01 PM,%RH,102.731
18/1/24 1:36:01 AM,%RH,102.24
18/1/24 3:36:01 AM,%RH,102.731
18/1/24 5:36:01 AM,%RH,102.24
18/1/24 7:36:01 AM,%RH,104.678
18/1/24 9:36:01 AM,%RH,95.222
18/1/24 11:36:01 AM,%RH,81.987
18/1/24 1:36:01 PM,%RH,81.438
18/1/24 3:36:01 PM,%RH,85.783
18/1/24 5:36:01 PM,%RH,90.036
18/1/24 7:36:01 PM,%RH,97.256
18/1/24 9:36:01 PM,%RH,103.708
18/1/24 11:36:01 PM,%RH,103.22
19/1/24 1:36:01 AM,%RH,104.194
19/1/24 3:36:01 AM,%RH,104.194
19/1/24 5:36:01 AM,%RH,105.162
19/1/24 7:36:01 AM,%RH,105.162
19/1/24 9:36:01 AM,%RH,102.731
19/1/24 11:36:01 AM,%RH,95.222
19/1/24 1:36:01 PM,%RH,77.561
19/1/24 3:36:01 PM,%RH,86.32
19/1/24 5:36:01 PM,%RH,92.128
19/1/24 7:36:01 PM,%RH,98.265
19/1/24 9:36:01 PM,%RH,103.708
19/1/24 11:36:01 PM,%RH,103.708
20/1/24 1:36:01 AM,%RH,104.194
20/1/24 3:36:01 AM,%RH,100.264
20/1/24 5:36:01 AM,%RH,103.708
20/1/24 7:36:01 AM,%RH,104.678
20/1/24 9:36:01 AM,%RH,101.255
20/1/24 11:36:01 AM,%RH,88.982
20/1/24 1:36:01 PM,%RH,80.338
20/1/24 3:36:01 PM,%RH,86.855
20/1/24 5:36:01 PM,%RH,93.682
20/1/24 7:36:01 PM,%RH,97.761
20/1/24 9:36:01 PM,%RH,102.24
20/1/24 11:36:01 PM,%RH,103.708
21/1/24 1:36:01 AM,%RH,105.643
21/1/24 3:36:01 AM,%RH,105.643
21/1/24 5:36:01 AM,%RH,105.643
21/1/24 7:36:01 AM,%RH,105.643
21/1/24 9:36:01 AM,%RH,102.24
21/1/24 11:36:01 AM,%RH,85.245
21/1/24 1:36:01 PM,%RH,67.849
21/1/24 3:36:01 PM,%RH,82.533
21/1/24 5:36:01 PM,%RH,84.706
21/1/24 7:36:01 PM,%RH,99.267
21/1/24 9:36:01 PM,%RH,102.731
21/1/24 11:36:01 PM,%RH,103.22
22/1/24 1:36:01 AM,%RH,104.678
22/1/24 3:36:01 AM,%RH,103.22
22/1/24 5:36:01 AM,%RH,104.678
22/1/24 7:36:01 AM,%RH,105.643
22/1/24 9:36:01 AM,%RH,96.242
