1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007DA82B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:40:01 IST 2024
Mission Sample Count:  823
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:40:01 IST 2024
Total Mission Samples:  823
Total Device Samples:  10273
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:40:01 PM,%RH,85.885
9/1/24 11:40:01 PM,%RH,87.004
10/1/24 1:40:01 AM,%RH,84.194
10/1/24 3:40:01 AM,%RH,83.626
10/1/24 5:40:01 AM,%RH,84.194
10/1/24 7:40:01 AM,%RH,84.194
10/1/24 9:40:01 AM,%RH,85.323
10/1/24 11:40:01 AM,%RH,81.342
10/1/24 1:40:01 PM,%RH,77.865
10/1/24 3:40:01 PM,%RH,79.03
10/1/24 5:40:01 PM,%RH,81.342
10/1/24 7:40:01 PM,%RH,83.058
10/1/24 9:40:01 PM,%RH,81.915
10/1/24 11:40:01 PM,%RH,80.766
11/1/24 1:40:01 AM,%RH,80.766
11/1/24 3:40:01 AM,%RH,80.766
11/1/24 5:40:01 AM,%RH,80.766
11/1/24 7:40:01 AM,%RH,81.342
11/1/24 9:40:01 AM,%RH,81.915
11/1/24 11:40:01 AM,%RH,71.335
11/1/24 1:40:01 PM,%RH,62.106
11/1/24 3:40:01 PM,%RH,77.865
11/1/24 5:40:01 PM,%RH,88.67
11/1/24 7:40:01 PM,%RH,90.869
11/1/24 9:40:01 PM,%RH,94.116
11/1/24 11:40:01 PM,%RH,93.04
12/1/24 1:40:01 AM,%RH,85.323
12/1/24 3:40:01 AM,%RH,87.561
12/1/24 5:40:01 AM,%RH,90.869
12/1/24 7:40:01 AM,%RH,91.414
12/1/24 9:40:01 AM,%RH,80.189
12/1/24 11:40:01 AM,%RH,65.842
12/1/24 1:40:01 PM,%RH,59.582
12/1/24 3:40:01 PM,%RH,73.135
12/1/24 5:40:01 PM,%RH,84.759
12/1/24 7:40:01 PM,%RH,89.773
12/1/24 9:40:01 PM,%RH,93.579
12/1/24 11:40:01 PM,%RH,95.186
13/1/24 1:40:01 AM,%RH,83.058
13/1/24 3:40:01 AM,%RH,90.321
13/1/24 5:40:01 AM,%RH,92.5
13/1/24 7:40:01 AM,%RH,93.579
13/1/24 9:40:01 AM,%RH,92.5
13/1/24 11:40:01 AM,%RH,70.731
13/1/24 1:40:01 PM,%RH,71.335
13/1/24 3:40:01 PM,%RH,82.487
13/1/24 5:40:01 PM,%RH,89.222
13/1/24 7:40:01 PM,%RH,94.652
13/1/24 9:40:01 PM,%RH,97.83
13/1/24 11:40:01 PM,%RH,99.397
14/1/24 1:40:01 AM,%RH,99.397
14/1/24 3:40:01 AM,%RH,97.304
14/1/24 5:40:01 AM,%RH,96.777
14/1/24 7:40:01 AM,%RH,96.248
14/1/24 9:40:01 AM,%RH,94.116
14/1/24 11:40:01 AM,%RH,84.194
14/1/24 1:40:01 PM,%RH,77.279
14/1/24 3:40:01 PM,%RH,83.626
14/1/24 5:40:01 PM,%RH,89.773
14/1/24 7:40:01 PM,%RH,94.116
14/1/24 9:40:01 PM,%RH,97.83
14/1/24 11:40:01 PM,%RH,91.414
15/1/24 1:40:01 AM,%RH,89.222
15/1/24 3:40:01 AM,%RH,94.652
15/1/24 5:40:01 AM,%RH,97.304
15/1/24 7:40:01 AM,%RH,94.652
15/1/24 9:40:01 AM,%RH,96.248
15/1/24 11:40:01 AM,%RH,87.561
15/1/24 1:40:01 PM,%RH,81.342
15/1/24 3:40:01 PM,%RH,83.626
15/1/24 5:40:01 PM,%RH,89.773
15/1/24 7:40:01 PM,%RH,93.579
15/1/24 9:40:01 PM,%RH,99.397
15/1/24 11:40:01 PM,%RH,99.915
16/1/24 1:40:01 AM,%RH,100.433
16/1/24 3:40:01 AM,%RH,100.948
16/1/24 5:40:01 AM,%RH,98.354
16/1/24 7:40:01 AM,%RH,99.397
16/1/24 9:40:01 AM,%RH,95.718
16/1/24 11:40:01 AM,%RH,91.414
16/1/24 1:40:01 PM,%RH,83.058
16/1/24 3:40:01 PM,%RH,87.004
16/1/24 5:40:01 PM,%RH,91.958
16/1/24 7:40:01 PM,%RH,97.304
16/1/24 9:40:01 PM,%RH,99.397
16/1/24 11:40:01 PM,%RH,100.433
17/1/24 1:40:01 AM,%RH,100.948
17/1/24 3:40:01 AM,%RH,100.948
17/1/24 5:40:01 AM,%RH,100.948
17/1/24 7:40:01 AM,%RH,100.948
17/1/24 9:40:01 AM,%RH,101.462
17/1/24 11:40:01 AM,%RH,95.718
17/1/24 1:40:01 PM,%RH,91.414
17/1/24 3:40:01 PM,%RH,90.321
17/1/24 5:40:01 PM,%RH,92.5
17/1/24 7:40:01 PM,%RH,96.248
17/1/24 9:40:01 PM,%RH,100.433
17/1/24 11:40:01 PM,%RH,100.948
18/1/24 1:40:01 AM,%RH,101.462
18/1/24 3:40:01 AM,%RH,100.433
18/1/24 5:40:01 AM,%RH,100.948
18/1/24 7:40:01 AM,%RH,101.462
18/1/24 9:40:01 AM,%RH,100.433
18/1/24 11:40:01 AM,%RH,94.116
18/1/24 1:40:01 PM,%RH,89.222
18/1/24 3:40:01 PM,%RH,84.759
18/1/24 5:40:01 PM,%RH,93.579
18/1/24 7:40:01 PM,%RH,98.354
18/1/24 9:40:01 PM,%RH,99.915
18/1/24 11:40:01 PM,%RH,99.397
19/1/24 1:40:01 AM,%RH,100.948
19/1/24 3:40:01 AM,%RH,99.915
19/1/24 5:40:01 AM,%RH,101.462
19/1/24 7:40:01 AM,%RH,101.974
19/1/24 9:40:01 AM,%RH,101.462
19/1/24 11:40:01 AM,%RH,96.248
19/1/24 1:40:01 PM,%RH,91.958
19/1/24 3:40:01 PM,%RH,96.777
19/1/24 5:40:01 PM,%RH,96.777
19/1/24 7:40:01 PM,%RH,98.876
19/1/24 9:40:01 PM,%RH,100.948
19/1/24 11:40:01 PM,%RH,100.948
20/1/24 1:40:01 AM,%RH,102.485
20/1/24 3:40:01 AM,%RH,101.974
20/1/24 5:40:01 AM,%RH,101.462
20/1/24 7:40:01 AM,%RH,100.948
20/1/24 9:40:01 AM,%RH,100.433
20/1/24 11:40:01 AM,%RH,94.652
20/1/24 1:40:01 PM,%RH,92.5
20/1/24 3:40:01 PM,%RH,94.116
20/1/24 5:40:01 PM,%RH,94.652
20/1/24 7:40:01 PM,%RH,98.876
20/1/24 9:40:01 PM,%RH,99.915
20/1/24 11:40:01 PM,%RH,100.433
21/1/24 1:40:01 AM,%RH,100.433
21/1/24 3:40:01 AM,%RH,101.462
21/1/24 5:40:01 AM,%RH,101.462
21/1/24 7:40:01 AM,%RH,101.974
21/1/24 9:40:01 AM,%RH,100.433
21/1/24 11:40:01 AM,%RH,94.116
21/1/24 1:40:01 PM,%RH,89.222
21/1/24 3:40:01 PM,%RH,87.004
21/1/24 5:40:01 PM,%RH,90.869
21/1/24 7:40:01 PM,%RH,96.777
21/1/24 9:40:01 PM,%RH,99.915
21/1/24 11:40:01 PM,%RH,100.433
22/1/24 1:40:01 AM,%RH,101.462
22/1/24 3:40:01 AM,%RH,101.974
22/1/24 5:40:01 AM,%RH,100.948
22/1/24 7:40:01 AM,%RH,101.462
22/1/24 9:40:01 AM,%RH,100.433
22/1/24 11:40:01 AM,%RH,95.718
22/1/24 1:40:01 PM,%RH,89.773
22/1/24 3:40:01 PM,%RH,86.445
22/1/24 5:40:01 PM,%RH,91.958
22/1/24 7:40:01 PM,%RH,97.304
22/1/24 9:40:01 PM,%RH,100.948
22/1/24 11:40:01 PM,%RH,100.433
23/1/24 1:40:01 AM,%RH,100.948
23/1/24 3:40:01 AM,%RH,101.462
23/1/24 5:40:01 AM,%RH,100.948
23/1/24 7:40:01 AM,%RH,101.974
23/1/24 9:40:01 AM,%RH,100.433
23/1/24 11:40:01 AM,%RH,91.958
23/1/24 1:40:01 PM,%RH,85.885
23/1/24 3:40:01 PM,%RH,88.67
23/1/24 5:40:01 PM,%RH,92.5
23/1/24 7:40:01 PM,%RH,96.777
23/1/24 9:40:01 PM,%RH,99.397
23/1/24 11:40:01 PM,%RH,99.915
24/1/24 1:40:01 AM,%RH,99.915
24/1/24 3:40:01 AM,%RH,102.485
24/1/24 5:40:01 AM,%RH,101.462
24/1/24 7:40:01 AM,%RH,101.974
24/1/24 9:40:01 AM,%RH,98.876
24/1/24 11:40:01 AM,%RH,91.958
24/1/24 1:40:01 PM,%RH,71.335
24/1/24 3:40:01 PM,%RH,79.03
24/1/24 5:40:01 PM,%RH,78.448
24/1/24 7:40:01 PM,%RH,93.579
24/1/24 9:40:01 PM,%RH,97.83
24/1/24 11:40:01 PM,%RH,98.876
25/1/24 1:40:01 AM,%RH,98.876
25/1/24 3:40:01 AM,%RH,96.777
25/1/24 5:40:01 AM,%RH,100.433
25/1/24 7:40:01 AM,%RH,100.433
25/1/24 9:40:01 AM,%RH,100.948
25/1/24 11:40:01 AM,%RH,95.186
25/1/24 1:40:01 PM,%RH,77.865
25/1/24 3:40:01 PM,%RH,84.759
25/1/24 5:40:01 PM,%RH,90.321
25/1/24 7:40:01 PM,%RH,96.777
25/1/24 9:40:01 PM,%RH,98.876
25/1/24 11:40:01 PM,%RH,101.974
26/1/24 1:40:01 AM,%RH,100.948
26/1/24 3:40:01 AM,%RH,102.485
26/1/24 5:40:01 AM,%RH,98.876
26/1/24 7:40:01 AM,%RH,94.116
26/1/24 9:40:01 AM,%RH,89.222
26/1/24 11:40:01 AM,%RH,76.692
26/1/24 1:40:01 PM,%RH,78.448
26/1/24 3:40:01 PM,%RH,83.626
26/1/24 5:40:01 PM,%RH,87.561
26/1/24 7:40:01 PM,%RH,95.186
26/1/24 9:40:01 PM,%RH,98.354
26/1/24 11:40:01 PM,%RH,99.397
27/1/24 1:40:01 AM,%RH,97.83
27/1/24 3:40:01 AM,%RH,94.652
27/1/24 5:40:01 AM,%RH,93.04
27/1/24 7:40:01 AM,%RH,96.248
27/1/24 9:40:01 AM,%RH,90.321
27/1/24 11:40:01 AM,%RH,77.865
27/1/24 1:40:01 PM,%RH,72.537
27/1/24 3:40:01 PM,%RH,76.692
27/1/24 5:40:01 PM,%RH,84.759
27/1/24 7:40:01 PM,%RH,85.885
27/1/24 9:40:01 PM,%RH,91.958
27/1/24 11:40:01 PM,%RH,89.222
28/1/24 1:40:01 AM,%RH,93.579
28/1/24 3:40:01 AM,%RH,93.04
28/1/24 5:40:01 AM,%RH,94.116
28/1/24 7:40:01 AM,%RH,95.186
28/1/24 9:40:01 AM,%RH,90.869
28/1/24 11:40:01 AM,%RH,71.937
28/1/24 1:40:01 PM,%RH,58.947
28/1/24 3:40:01 PM,%RH,77.279
28/1/24 5:40:01 PM,%RH,85.323
28/1/24 7:40:01 PM,%RH,91.958
28/1/24 9:40:01 PM,%RH,95.186
28/1/24 11:40:01 PM,%RH,98.876
29/1/24 1:40:01 AM,%RH,99.915
29/1/24 3:40:01 AM,%RH,94.116
29/1/24 5:40:01 AM,%RH,95.186
29/1/24 7:40:01 AM,%RH,96.248
29/1/24 9:40:01 AM,%RH,97.83
29/1/24 11:40:01 AM,%RH,93.04
29/1/24 1:40:01 PM,%RH,82.487
29/1/24 3:40:01 PM,%RH,83.626
29/1/24 5:40:01 PM,%RH,88.116
29/1/24 7:40:01 PM,%RH,94.116
29/1/24 9:40:01 PM,%RH,97.83
29/1/24 11:40:01 PM,%RH,98.876
30/1/24 1:40:01 AM,%RH,95.718
30/1/24 3:40:01 AM,%RH,88.67
30/1/24 5:40:01 AM,%RH,87.004
30/1/24 7:40:01 AM,%RH,91.414
30/1/24 9:40:01 AM,%RH,94.652
30/1/24 11:40:01 AM,%RH,88.116
30/1/24 1:40:01 PM,%RH,80.189
30/1/24 3:40:01 PM,%RH,77.865
30/1/24 5:40:01 PM,%RH,80.189
30/1/24 7:40:01 PM,%RH,89.773
30/1/24 9:40:01 PM,%RH,97.304
30/1/24 11:40:01 PM,%RH,99.915
31/1/24 1:40:01 AM,%RH,97.83
31/1/24 3:40:01 AM,%RH,100.948
31/1/24 5:40:01 AM,%RH,100.433
31/1/24 7:40:01 AM,%RH,101.462
31/1/24 9:40:01 AM,%RH,98.354
31/1/24 11:40:01 AM,%RH,87.004
31/1/24 1:40:01 PM,%RH,71.937
31/1/24 3:40:01 PM,%RH,62.106
31/1/24 5:40:01 PM,%RH,82.487
31/1/24 7:40:01 PM,%RH,90.869
31/1/24 9:40:01 PM,%RH,96.777
31/1/24 11:40:01 PM,%RH,97.83
