1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8C0000007DA82B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Jan 09 21:40:01 IST 2024
Mission Sample Count:  823
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Jan 09 21:40:01 IST 2024
Total Mission Samples:  823
Total Device Samples:  10273
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
9/1/24 9:40:01 PM,C,23.074
9/1/24 11:40:01 PM,C,22.574
10/1/24 1:40:01 AM,C,22.074
10/1/24 3:40:01 AM,C,21.574
10/1/24 5:40:01 AM,C,21.073
10/1/24 7:40:01 AM,C,21.073
10/1/24 9:40:01 AM,C,21.574
10/1/24 11:40:01 AM,C,22.074
10/1/24 1:40:01 PM,C,22.574
10/1/24 3:40:01 PM,C,23.074
10/1/24 5:40:01 PM,C,23.074
10/1/24 7:40:01 PM,C,22.574
10/1/24 9:40:01 PM,C,22.574
10/1/24 11:40:01 PM,C,22.074
11/1/24 1:40:01 AM,C,21.574
11/1/24 3:40:01 AM,C,21.574
11/1/24 5:40:01 AM,C,21.073
11/1/24 7:40:01 AM,C,21.073
11/1/24 9:40:01 AM,C,20.573
11/1/24 11:40:01 AM,C,22.074
11/1/24 1:40:01 PM,C,24.574
11/1/24 3:40:01 PM,C,24.074
11/1/24 5:40:01 PM,C,22.074
11/1/24 7:40:01 PM,C,20.073
11/1/24 9:40:01 PM,C,18.572
11/1/24 11:40:01 PM,C,18.572
12/1/24 1:40:01 AM,C,19.573
12/1/24 3:40:01 AM,C,19.072
12/1/24 5:40:01 AM,C,18.572
12/1/24 7:40:01 AM,C,18.072
12/1/24 9:40:01 AM,C,19.573
12/1/24 11:40:01 AM,C,23.074
12/1/24 1:40:01 PM,C,25.074
12/1/24 3:40:01 PM,C,24.574
12/1/24 5:40:01 PM,C,22.074
12/1/24 7:40:01 PM,C,19.573
12/1/24 9:40:01 PM,C,18.072
12/1/24 11:40:01 PM,C,18.072
13/1/24 1:40:01 AM,C,19.573
13/1/24 3:40:01 AM,C,19.072
13/1/24 5:40:01 AM,C,18.572
13/1/24 7:40:01 AM,C,18.572
13/1/24 9:40:01 AM,C,19.573
13/1/24 11:40:01 AM,C,23.074
13/1/24 1:40:01 PM,C,24.574
13/1/24 3:40:01 PM,C,23.574
13/1/24 5:40:01 PM,C,22.574
13/1/24 7:40:01 PM,C,20.073
13/1/24 9:40:01 PM,C,19.072
13/1/24 11:40:01 PM,C,18.072
14/1/24 1:40:01 AM,C,18.572
14/1/24 3:40:01 AM,C,18.072
14/1/24 5:40:01 AM,C,18.572
14/1/24 7:40:01 AM,C,19.072
14/1/24 9:40:01 AM,C,20.073
14/1/24 11:40:01 AM,C,22.574
14/1/24 1:40:01 PM,C,24.074
14/1/24 3:40:01 PM,C,23.574
14/1/24 5:40:01 PM,C,23.074
14/1/24 7:40:01 PM,C,20.073
14/1/24 9:40:01 PM,C,18.572
14/1/24 11:40:01 PM,C,19.072
15/1/24 1:40:01 AM,C,19.573
15/1/24 3:40:01 AM,C,17.071
15/1/24 5:40:01 AM,C,18.072
15/1/24 7:40:01 AM,C,18.072
15/1/24 9:40:01 AM,C,19.573
15/1/24 11:40:01 AM,C,22.074
15/1/24 1:40:01 PM,C,23.074
15/1/24 3:40:01 PM,C,23.074
15/1/24 5:40:01 PM,C,22.074
15/1/24 7:40:01 PM,C,19.573
15/1/24 9:40:01 PM,C,18.572
15/1/24 11:40:01 PM,C,17.572
16/1/24 1:40:01 AM,C,17.071
16/1/24 3:40:01 AM,C,16.571
16/1/24 5:40:01 AM,C,17.071
16/1/24 7:40:01 AM,C,17.071
16/1/24 9:40:01 AM,C,19.072
16/1/24 11:40:01 AM,C,21.574
16/1/24 1:40:01 PM,C,22.574
16/1/24 3:40:01 PM,C,23.074
16/1/24 5:40:01 PM,C,22.074
16/1/24 7:40:01 PM,C,20.073
16/1/24 9:40:01 PM,C,19.072
16/1/24 11:40:01 PM,C,19.072
17/1/24 1:40:01 AM,C,18.572
17/1/24 3:40:01 AM,C,18.072
17/1/24 5:40:01 AM,C,18.572
17/1/24 7:40:01 AM,C,18.572
17/1/24 9:40:01 AM,C,19.573
17/1/24 11:40:01 AM,C,21.574
17/1/24 1:40:01 PM,C,22.574
17/1/24 3:40:01 PM,C,22.574
