1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8D0000007D8DD841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:29:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:29:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  13051
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:29:01 PM,%RH,79.326
13/1/24 10:29:01 PM,%RH,81.546
14/1/24 12:29:01 AM,%RH,80.993
14/1/24 2:29:01 AM,%RH,83.196
14/1/24 4:29:01 AM,%RH,82.097
14/1/24 6:29:01 AM,%RH,82.647
14/1/24 8:29:01 AM,%RH,82.097
14/1/24 10:29:01 AM,%RH,69.042
14/1/24 12:29:01 PM,%RH,62.523
14/1/24 2:29:01 PM,%RH,53.968
14/1/24 4:29:01 PM,%RH,79.883
14/1/24 6:29:01 PM,%RH,93.336
14/1/24 8:29:01 PM,%RH,97.446
14/1/24 10:29:01 PM,%RH,84.832
15/1/24 12:29:01 AM,%RH,90.719
15/1/24 2:29:01 AM,%RH,93.855
15/1/24 4:29:01 AM,%RH,98.459
15/1/24 6:29:01 AM,%RH,97.953
15/1/24 8:29:01 AM,%RH,99.967
15/1/24 10:29:01 AM,%RH,83.196
15/1/24 12:29:01 PM,%RH,66.101
15/1/24 2:29:01 PM,%RH,65.509
15/1/24 4:29:01 PM,%RH,79.326
15/1/24 6:29:01 PM,%RH,89.131
15/1/24 8:29:01 PM,%RH,97.446
15/1/24 10:29:01 PM,%RH,99.466
16/1/24 12:29:01 AM,%RH,101.958
16/1/24 2:29:01 AM,%RH,102.452
16/1/24 4:29:01 AM,%RH,103.435
16/1/24 6:29:01 AM,%RH,101.958
16/1/24 8:29:01 AM,%RH,101.958
16/1/24 10:29:01 AM,%RH,94.888
16/1/24 12:29:01 PM,%RH,70.209
16/1/24 2:29:01 PM,%RH,75.951
16/1/24 4:29:01 PM,%RH,88.599
16/1/24 6:29:01 PM,%RH,93.855
16/1/24 8:29:01 PM,%RH,99.466
16/1/24 10:29:01 PM,%RH,100.965
17/1/24 12:29:01 AM,%RH,101.958
17/1/24 2:29:01 AM,%RH,101.958
17/1/24 4:29:01 AM,%RH,101.462
17/1/24 6:29:01 AM,%RH,103.924
17/1/24 8:29:01 AM,%RH,103.435
17/1/24 10:29:01 AM,%RH,90.191
17/1/24 12:29:01 PM,%RH,84.288
17/1/24 2:29:01 PM,%RH,78.207
17/1/24 4:29:01 PM,%RH,83.743
17/1/24 6:29:01 PM,%RH,90.191
17/1/24 8:29:01 PM,%RH,98.963
17/1/24 10:29:01 PM,%RH,99.967
18/1/24 12:29:01 AM,%RH,101.462
18/1/24 2:29:01 AM,%RH,102.452
18/1/24 4:29:01 AM,%RH,102.452
18/1/24 6:29:01 AM,%RH,102.944
18/1/24 8:29:01 AM,%RH,103.435
18/1/24 10:29:01 AM,%RH,92.815
18/1/24 12:29:01 PM,%RH,77.082
18/1/24 2:29:01 PM,%RH,81.546
18/1/24 4:29:01 PM,%RH,87.53
18/1/24 6:29:01 PM,%RH,93.336
18/1/24 8:29:01 PM,%RH,99.967
18/1/24 10:29:01 PM,%RH,101.462
19/1/24 12:29:01 AM,%RH,101.958
19/1/24 2:29:01 AM,%RH,103.435
19/1/24 4:29:01 AM,%RH,102.452
19/1/24 6:29:01 AM,%RH,104.899
19/1/24 8:29:01 AM,%RH,105.868
19/1/24 10:29:01 AM,%RH,98.963
19/1/24 12:29:01 PM,%RH,88.599
19/1/24 2:29:01 PM,%RH,86.455
19/1/24 4:29:01 PM,%RH,88.065
19/1/24 6:29:01 PM,%RH,96.938
19/1/24 8:29:01 PM,%RH,100.467
19/1/24 10:29:01 PM,%RH,100.965
20/1/24 12:29:01 AM,%RH,102.452
20/1/24 2:29:01 AM,%RH,102.944
20/1/24 4:29:01 AM,%RH,101.958
20/1/24 6:29:01 AM,%RH,103.435
20/1/24 8:29:01 AM,%RH,103.435
20/1/24 10:29:01 AM,%RH,98.459
20/1/24 12:29:01 PM,%RH,86.993
20/1/24 2:29:01 PM,%RH,82.647
20/1/24 4:29:01 PM,%RH,88.065
20/1/24 6:29:01 PM,%RH,96.938
20/1/24 8:29:01 PM,%RH,99.967
20/1/24 10:29:01 PM,%RH,101.462
21/1/24 12:29:01 AM,%RH,102.944
21/1/24 2:29:01 AM,%RH,101.462
21/1/24 4:29:01 AM,%RH,103.924
21/1/24 6:29:01 AM,%RH,104.412
21/1/24 8:29:01 AM,%RH,104.412
21/1/24 10:29:01 AM,%RH,94.372
21/1/24 12:29:01 PM,%RH,74.814
21/1/24 2:29:01 PM,%RH,73.672
21/1/24 4:29:01 PM,%RH,82.097
21/1/24 6:29:01 PM,%RH,91.77
21/1/24 8:29:01 PM,%RH,97.446
21/1/24 10:29:01 PM,%RH,101.462
22/1/24 12:29:01 AM,%RH,102.944
22/1/24 2:29:01 AM,%RH,101.958
22/1/24 4:29:01 AM,%RH,103.435
22/1/24 6:29:01 AM,%RH,104.899
22/1/24 8:29:01 AM,%RH,103.924
22/1/24 10:29:01 AM,%RH,92.815
22/1/24 12:29:01 PM,%RH,78.207
22/1/24 2:29:01 PM,%RH,85.916
22/1/24 4:29:01 PM,%RH,85.375
22/1/24 6:29:01 PM,%RH,91.77
22/1/24 8:29:01 PM,%RH,99.967
22/1/24 10:29:01 PM,%RH,100.965
23/1/24 12:29:01 AM,%RH,101.958
23/1/24 2:29:01 AM,%RH,102.452
23/1/24 4:29:01 AM,%RH,103.435
23/1/24 6:29:01 AM,%RH,103.924
23/1/24 8:29:01 AM,%RH,102.944
23/1/24 10:29:01 AM,%RH,85.916
23/1/24 12:29:01 PM,%RH,79.326
23/1/24 2:29:01 PM,%RH,82.647
23/1/24 4:29:01 PM,%RH,84.832
23/1/24 6:29:01 PM,%RH,91.77
23/1/24 8:29:01 PM,%RH,97.953
23/1/24 10:29:01 PM,%RH,100.965
24/1/24 12:29:01 AM,%RH,101.462
24/1/24 2:29:01 AM,%RH,102.452
24/1/24 4:29:01 AM,%RH,102.452
24/1/24 6:29:01 AM,%RH,102.944
24/1/24 8:29:01 AM,%RH,104.412
24/1/24 10:29:01 AM,%RH,83.743
24/1/24 12:29:01 PM,%RH,70.789
