1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8E0000007DA92141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 11 22:01:01 IST 2024
Mission Sample Count:  3274
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 11 22:01:01 IST 2024
Total Mission Samples:  3274
Total Device Samples:  12160
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
11/1/24 10:01:01 PM,%RH,77.769
12/1/24 12:01:01 AM,%RH,78.346
12/1/24 2:01:01 AM,%RH,78.346
12/1/24 4:01:01 AM,%RH,78.346
12/1/24 6:01:01 AM,%RH,78.921
12/1/24 8:01:01 AM,%RH,80.066
12/1/24 10:01:01 AM,%RH,71.916
12/1/24 12:01:01 PM,%RH,70.727
12/1/24 2:01:01 PM,%RH,73.099
12/1/24 4:01:01 PM,%RH,71.322
12/1/24 6:01:01 PM,%RH,73.688
12/1/24 8:01:01 PM,%RH,84.586
12/1/24 10:01:01 PM,%RH,81.773
13/1/24 12:01:01 AM,%RH,87.359
13/1/24 2:01:01 AM,%RH,87.909
13/1/24 4:01:01 AM,%RH,92.789
13/1/24 6:01:01 AM,%RH,94.917
13/1/24 8:01:01 AM,%RH,95.445
13/1/24 10:01:01 AM,%RH,92.253
13/1/24 12:01:01 PM,%RH,75.447
13/1/24 2:01:01 PM,%RH,71.322
13/1/24 4:01:01 PM,%RH,71.916
13/1/24 6:01:01 PM,%RH,86.255
13/1/24 8:01:01 PM,%RH,92.789
13/1/24 10:01:01 PM,%RH,95.445
14/1/24 12:01:01 AM,%RH,93.856
14/1/24 2:01:01 AM,%RH,93.323
14/1/24 4:01:01 AM,%RH,90.094
14/1/24 6:01:01 AM,%RH,92.253
14/1/24 8:01:01 AM,%RH,94.387
14/1/24 10:01:01 AM,%RH,91.715
14/1/24 12:01:01 PM,%RH,77.191
14/1/24 2:01:01 PM,%RH,71.322
14/1/24 4:01:01 PM,%RH,68.329
14/1/24 6:01:01 PM,%RH,86.255
14/1/24 8:01:01 PM,%RH,89.55
14/1/24 10:01:01 PM,%RH,75.447
15/1/24 12:01:01 AM,%RH,75.447
15/1/24 2:01:01 AM,%RH,77.769
15/1/24 4:01:01 AM,%RH,86.808
15/1/24 6:01:01 AM,%RH,91.715
15/1/24 8:01:01 AM,%RH,93.856
15/1/24 10:01:01 AM,%RH,91.176
15/1/24 12:01:01 PM,%RH,79.494
15/1/24 2:01:01 PM,%RH,67.726
15/1/24 4:01:01 PM,%RH,82.339
15/1/24 6:01:01 PM,%RH,85.7
15/1/24 8:01:01 PM,%RH,90.094
15/1/24 10:01:01 PM,%RH,93.856
16/1/24 12:01:01 AM,%RH,98.062
16/1/24 2:01:01 AM,%RH,95.971
16/1/24 4:01:01 AM,%RH,93.323
16/1/24 6:01:01 AM,%RH,92.253
16/1/24 8:01:01 AM,%RH,94.387
16/1/24 10:01:01 AM,%RH,94.387
16/1/24 12:01:01 PM,%RH,80.066
16/1/24 2:01:01 PM,%RH,78.921
16/1/24 4:01:01 PM,%RH,86.808
16/1/24 6:01:01 PM,%RH,91.715
16/1/24 8:01:01 PM,%RH,94.917
16/1/24 10:01:01 PM,%RH,97.02
17/1/24 12:01:01 AM,%RH,99.097
17/1/24 2:01:01 AM,%RH,99.097
17/1/24 4:01:01 AM,%RH,99.613
17/1/24 6:01:01 AM,%RH,99.613
17/1/24 8:01:01 AM,%RH,99.613
17/1/24 10:01:01 AM,%RH,95.445
17/1/24 12:01:01 PM,%RH,86.255
17/1/24 2:01:01 PM,%RH,89.55
17/1/24 4:01:01 PM,%RH,85.7
17/1/24 6:01:01 PM,%RH,86.808
17/1/24 8:01:01 PM,%RH,92.789
17/1/24 10:01:01 PM,%RH,97.02
18/1/24 12:01:01 AM,%RH,98.58
18/1/24 2:01:01 AM,%RH,98.062
18/1/24 4:01:01 AM,%RH,99.613
18/1/24 6:01:01 AM,%RH,100.127
18/1/24 8:01:01 AM,%RH,99.613
18/1/24 10:01:01 AM,%RH,97.02
18/1/24 12:01:01 PM,%RH,89.55
18/1/24 2:01:01 PM,%RH,88.458
18/1/24 4:01:01 PM,%RH,87.359
18/1/24 6:01:01 PM,%RH,93.856
18/1/24 8:01:01 PM,%RH,95.971
18/1/24 10:01:01 PM,%RH,98.062
19/1/24 12:01:01 AM,%RH,98.062
19/1/24 2:01:01 AM,%RH,98.062
19/1/24 4:01:01 AM,%RH,99.613
19/1/24 6:01:01 AM,%RH,98.58
19/1/24 8:01:01 AM,%RH,100.639
19/1/24 10:01:01 AM,%RH,99.613
19/1/24 12:01:01 PM,%RH,91.176
19/1/24 2:01:01 PM,%RH,91.176
19/1/24 4:01:01 PM,%RH,90.094
19/1/24 6:01:01 PM,%RH,93.856
19/1/24 8:01:01 PM,%RH,98.062
19/1/24 10:01:01 PM,%RH,98.062
20/1/24 12:01:01 AM,%RH,99.613
20/1/24 2:01:01 AM,%RH,99.613
20/1/24 4:01:01 AM,%RH,96.496
20/1/24 6:01:01 AM,%RH,98.062
20/1/24 8:01:01 AM,%RH,99.613
20/1/24 10:01:01 AM,%RH,96.496
20/1/24 12:01:01 PM,%RH,88.458
20/1/24 2:01:01 PM,%RH,86.808
20/1/24 4:01:01 PM,%RH,90.636
20/1/24 6:01:01 PM,%RH,93.856
20/1/24 8:01:01 PM,%RH,96.496
20/1/24 10:01:01 PM,%RH,97.541
21/1/24 12:01:01 AM,%RH,98.062
21/1/24 2:01:01 AM,%RH,100.127
21/1/24 4:01:01 AM,%RH,101.15
21/1/24 6:01:01 AM,%RH,99.613
21/1/24 8:01:01 AM,%RH,100.127
21/1/24 10:01:01 AM,%RH,98.58
21/1/24 12:01:01 PM,%RH,86.808
21/1/24 2:01:01 PM,%RH,80.066
21/1/24 4:01:01 PM,%RH,84.026
21/1/24 6:01:01 PM,%RH,90.094
21/1/24 8:01:01 PM,%RH,95.445
21/1/24 10:01:01 PM,%RH,97.02
22/1/24 12:01:01 AM,%RH,97.541
22/1/24 2:01:01 AM,%RH,99.613
22/1/24 4:01:01 AM,%RH,99.097
22/1/24 6:01:01 AM,%RH,99.613
22/1/24 8:01:01 AM,%RH,100.127
22/1/24 10:01:01 AM,%RH,99.097
22/1/24 12:01:01 PM,%RH,86.255
22/1/24 2:01:01 PM,%RH,87.359
22/1/24 4:01:01 PM,%RH,85.143
22/1/24 6:01:01 PM,%RH,89.005
22/1/24 8:01:01 PM,%RH,95.971
22/1/24 10:01:01 PM,%RH,97.541
23/1/24 12:01:01 AM,%RH,98.062
23/1/24 2:01:01 AM,%RH,99.613
23/1/24 4:01:01 AM,%RH,98.58
23/1/24 6:01:01 AM,%RH,96.496
23/1/24 8:01:01 AM,%RH,97.02
23/1/24 10:01:01 AM,%RH,91.715
23/1/24 12:01:01 PM,%RH,87.359
23/1/24 2:01:01 PM,%RH,86.255
23/1/24 4:01:01 PM,%RH,87.359
23/1/24 6:01:01 PM,%RH,91.715
23/1/24 8:01:01 PM,%RH,92.253
23/1/24 10:01:01 PM,%RH,96.496
24/1/24 12:01:01 AM,%RH,95.971
24/1/24 2:01:01 AM,%RH,98.58
24/1/24 4:01:01 AM,%RH,99.097
24/1/24 6:01:01 AM,%RH,99.097
24/1/24 8:01:01 AM,%RH,97.541
24/1/24 10:01:01 AM,%RH,86.255
24/1/24 12:01:01 PM,%RH,87.359
24/1/24 2:01:01 PM,%RH,80.637
24/1/24 4:01:01 PM,%RH,78.921
24/1/24 6:01:01 PM,%RH,86.255
24/1/24 8:01:01 PM,%RH,92.253
24/1/24 10:01:01 PM,%RH,94.387
25/1/24 12:01:01 AM,%RH,97.02
25/1/24 2:01:01 AM,%RH,88.458
25/1/24 4:01:01 AM,%RH,85.143
25/1/24 6:01:01 AM,%RH,92.789
25/1/24 8:01:01 AM,%RH,94.917
25/1/24 10:01:01 AM,%RH,88.458
25/1/24 12:01:01 PM,%RH,84.586
25/1/24 2:01:01 PM,%RH,83.465
25/1/24 4:01:01 PM,%RH,82.339
25/1/24 6:01:01 PM,%RH,88.458
25/1/24 8:01:01 PM,%RH,94.917
25/1/24 10:01:01 PM,%RH,97.541
26/1/24 12:01:01 AM,%RH,98.062
26/1/24 2:01:01 AM,%RH,99.097
26/1/24 4:01:01 AM,%RH,97.541
26/1/24 6:01:01 AM,%RH,95.971
26/1/24 8:01:01 AM,%RH,95.971
26/1/24 10:01:01 AM,%RH,94.917
26/1/24 12:01:01 PM,%RH,85.7
26/1/24 2:01:01 PM,%RH,73.099
26/1/24 4:01:01 PM,%RH,67.726
26/1/24 6:01:01 PM,%RH,75.447
26/1/24 8:01:01 PM,%RH,91.176
26/1/24 10:01:01 PM,%RH,94.917
27/1/24 12:01:01 AM,%RH,88.458
27/1/24 2:01:01 AM,%RH,74.276
27/1/24 4:01:01 AM,%RH,79.494
27/1/24 6:01:01 AM,%RH,86.808
27/1/24 8:01:01 AM,%RH,93.323
27/1/24 10:01:01 AM,%RH,90.094
27/1/24 12:01:01 PM,%RH,74.862
27/1/24 2:01:01 PM,%RH,68.329
27/1/24 4:01:01 PM,%RH,67.726
27/1/24 6:01:01 PM,%RH,64.073
27/1/24 8:01:01 PM,%RH,68.931
27/1/24 10:01:01 PM,%RH,70.727
28/1/24 12:01:01 AM,%RH,74.276
28/1/24 2:01:01 AM,%RH,77.191
28/1/24 4:01:01 AM,%RH,82.903
28/1/24 6:01:01 AM,%RH,91.176
28/1/24 8:01:01 AM,%RH,94.387
28/1/24 10:01:01 AM,%RH,89.005
28/1/24 12:01:01 PM,%RH,75.447
28/1/24 2:01:01 PM,%RH,66.514
28/1/24 4:01:01 PM,%RH,65.297
28/1/24 6:01:01 PM,%RH,71.916
28/1/24 8:01:01 PM,%RH,86.808
28/1/24 10:01:01 PM,%RH,92.253
29/1/24 12:01:01 AM,%RH,95.445
29/1/24 2:01:01 AM,%RH,86.808
29/1/24 4:01:01 AM,%RH,82.903
29/1/24 6:01:01 AM,%RH,86.255
29/1/24 8:01:01 AM,%RH,89.005
29/1/24 10:01:01 AM,%RH,90.094
29/1/24 12:01:01 PM,%RH,82.903
29/1/24 2:01:01 PM,%RH,73.688
29/1/24 4:01:01 PM,%RH,77.769
29/1/24 6:01:01 PM,%RH,84.026
29/1/24 8:01:01 PM,%RH,90.094
29/1/24 10:01:01 PM,%RH,92.253
30/1/24 12:01:01 AM,%RH,91.715
30/1/24 2:01:01 AM,%RH,78.346
30/1/24 4:01:01 AM,%RH,76.03
30/1/24 6:01:01 AM,%RH,81.773
30/1/24 8:01:01 AM,%RH,87.909
30/1/24 10:01:01 AM,%RH,88.458
30/1/24 12:01:01 PM,%RH,77.191
30/1/24 2:01:01 PM,%RH,73.688
30/1/24 4:01:01 PM,%RH,73.099
30/1/24 6:01:01 PM,%RH,77.191
30/1/24 8:01:01 PM,%RH,83.465
30/1/24 10:01:01 PM,%RH,92.789
31/1/24 12:01:01 AM,%RH,92.789
31/1/24 2:01:01 AM,%RH,94.917
31/1/24 4:01:01 AM,%RH,92.789
31/1/24 6:01:01 AM,%RH,93.856
31/1/24 8:01:01 AM,%RH,94.387
31/1/24 10:01:01 AM,%RH,85.143
31/1/24 12:01:01 PM,%RH,73.099
31/1/24 2:01:01 PM,%RH,66.514
31/1/24 4:01:01 PM,%RH,71.916
31/1/24 6:01:01 PM,%RH,76.611
31/1/24 8:01:01 PM,%RH,83.465
31/1/24 10:01:01 PM,%RH,89.55
1/2/24 12:01:01 AM,%RH,95.445
1/2/24 2:01:01 AM,%RH,96.496
1/2/24 4:01:01 AM,%RH,97.02
1/2/24 6:01:01 AM,%RH,97.541
1/2/24 8:01:01 AM,%RH,94.917
1/2/24 10:01:01 AM,%RH,79.494
1/2/24 12:01:01 PM,%RH,76.611
1/2/24 2:01:01 PM,%RH,80.066
1/2/24 4:01:01 PM,%RH,77.191
1/2/24 6:01:01 PM,%RH,85.143
1/2/24 8:01:01 PM,%RH,91.176
1/2/24 10:01:01 PM,%RH,94.917
2/2/24 12:01:01 AM,%RH,94.387
2/2/24 2:01:01 AM,%RH,97.541
2/2/24 4:01:01 AM,%RH,95.445
2/2/24 6:01:01 AM,%RH,98.062
2/2/24 8:01:01 AM,%RH,97.541
2/2/24 10:01:01 AM,%RH,93.856
2/2/24 12:01:01 PM,%RH,82.339
2/2/24 2:01:01 PM,%RH,74.862
2/2/24 4:01:01 PM,%RH,71.916
2/2/24 6:01:01 PM,%RH,82.903
2/2/24 8:01:01 PM,%RH,92.789
2/2/24 10:01:01 PM,%RH,95.971
3/2/24 12:01:01 AM,%RH,97.02
3/2/24 2:01:01 AM,%RH,96.496
3/2/24 4:01:01 AM,%RH,92.789
3/2/24 6:01:01 AM,%RH,90.636
3/2/24 8:01:01 AM,%RH,92.253
3/2/24 10:01:01 AM,%RH,88.458
3/2/24 12:01:01 PM,%RH,82.903
3/2/24 2:01:01 PM,%RH,81.206
3/2/24 4:01:01 PM,%RH,84.026
3/2/24 6:01:01 PM,%RH,86.808
3/2/24 8:01:01 PM,%RH,92.253
3/2/24 10:01:01 PM,%RH,95.971
4/2/24 12:01:01 AM,%RH,95.971
4/2/24 2:01:01 AM,%RH,97.02
4/2/24 4:01:01 AM,%RH,93.323
4/2/24 6:01:01 AM,%RH,93.856
4/2/24 8:01:01 AM,%RH,93.323
4/2/24 10:01:01 AM,%RH,93.323
4/2/24 12:01:01 PM,%RH,82.903
4/2/24 2:01:01 PM,%RH,74.276
4/2/24 4:01:01 PM,%RH,69.531
4/2/24 6:01:01 PM,%RH,85.143
4/2/24 8:01:01 PM,%RH,93.856
4/2/24 10:01:01 PM,%RH,95.971
5/2/24 12:01:01 AM,%RH,98.062
5/2/24 2:01:01 AM,%RH,97.541
5/2/24 4:01:01 AM,%RH,91.715
5/2/24 6:01:01 AM,%RH,89.005
5/2/24 8:01:01 AM,%RH,90.094
5/2/24 10:01:01 AM,%RH,87.909
5/2/24 12:01:01 PM,%RH,70.727
5/2/24 2:01:01 PM,%RH,67.121
5/2/24 4:01:01 PM,%RH,55.33
5/2/24 6:01:01 PM,%RH,69.531
5/2/24 8:01:01 PM,%RH,85.143
5/2/24 10:01:01 PM,%RH,93.856
6/2/24 12:01:01 AM,%RH,95.445
6/2/24 2:01:01 AM,%RH,97.02
6/2/24 4:01:01 AM,%RH,92.789
6/2/24 6:01:01 AM,%RH,90.636
6/2/24 8:01:01 AM,%RH,88.458
6/2/24 10:01:01 AM,%RH,80.637
6/2/24 12:01:01 PM,%RH,62.843
6/2/24 2:01:01 PM,%RH,50.196
6/2/24 4:01:01 PM,%RH,44.962
6/2/24 6:01:01 PM,%RH,49.547
6/2/24 8:01:01 PM,%RH,65.906
6/2/24 10:01:01 PM,%RH,90.094
7/2/24 12:01:01 AM,%RH,87.909
7/2/24 2:01:01 AM,%RH,71.322
7/2/24 4:01:01 AM,%RH,71.322
7/2/24 6:01:01 AM,%RH,77.191
7/2/24 8:01:01 AM,%RH,80.066
7/2/24 10:01:01 AM,%RH,71.322
7/2/24 12:01:01 PM,%RH,60.986
7/2/24 2:01:01 PM,%RH,47.592
7/2/24 4:01:01 PM,%RH,42.307
7/2/24 6:01:01 PM,%RH,67.726
7/2/24 8:01:01 PM,%RH,82.339
7/2/24 10:01:01 PM,%RH,92.789
8/2/24 12:01:01 AM,%RH,87.909
8/2/24 2:01:01 AM,%RH,84.026
8/2/24 4:01:01 AM,%RH,81.206
8/2/24 6:01:01 AM,%RH,76.03
8/2/24 8:01:01 AM,%RH,70.13
8/2/24 10:01:01 AM,%RH,65.297
8/2/24 12:01:01 PM,%RH,57.859
8/2/24 2:01:01 PM,%RH,48.245
8/2/24 4:01:01 PM,%RH,68.931
8/2/24 6:01:01 PM,%RH,76.03
8/2/24 8:01:01 PM,%RH,88.458
8/2/24 10:01:01 PM,%RH,91.715
9/2/24 12:01:01 AM,%RH,92.789
9/2/24 2:01:01 AM,%RH,83.465
9/2/24 4:01:01 AM,%RH,88.458
9/2/24 6:01:01 AM,%RH,89.005
9/2/24 8:01:01 AM,%RH,89.005
9/2/24 10:01:01 AM,%RH,78.921
9/2/24 12:01:01 PM,%RH,69.531
9/2/24 2:01:01 PM,%RH,55.965
9/2/24 4:01:01 PM,%RH,73.688
9/2/24 6:01:01 PM,%RH,82.339
9/2/24 8:01:01 PM,%RH,90.636
9/2/24 10:01:01 PM,%RH,92.789
10/2/24 12:01:01 AM,%RH,95.445
10/2/24 2:01:01 AM,%RH,92.253
10/2/24 4:01:01 AM,%RH,90.636
10/2/24 6:01:01 AM,%RH,91.715
10/2/24 8:01:01 AM,%RH,92.253
10/2/24 10:01:01 AM,%RH,87.909
10/2/24 12:01:01 PM,%RH,73.099
10/2/24 2:01:01 PM,%RH,59.115
10/2/24 4:01:01 PM,%RH,49.547
10/2/24 6:01:01 PM,%RH,77.191
10/2/24 8:01:01 PM,%RH,90.636
10/2/24 10:01:01 PM,%RH,95.445
11/2/24 12:01:01 AM,%RH,95.971
11/2/24 2:01:01 AM,%RH,98.062
11/2/24 4:01:01 AM,%RH,95.445
11/2/24 6:01:01 AM,%RH,92.253
11/2/24 8:01:01 AM,%RH,93.856
11/2/24 10:01:01 AM,%RH,91.715
11/2/24 12:01:01 PM,%RH,73.099
11/2/24 2:01:01 PM,%RH,59.115
11/2/24 4:01:01 PM,%RH,53.417
11/2/24 6:01:01 PM,%RH,50.196
11/2/24 8:01:01 PM,%RH,74.276
11/2/24 10:01:01 PM,%RH,89.005
12/2/24 12:01:01 AM,%RH,81.773
12/2/24 2:01:01 AM,%RH,82.903
12/2/24 4:01:01 AM,%RH,80.637
12/2/24 6:01:01 AM,%RH,84.026
12/2/24 8:01:01 AM,%RH,87.359
12/2/24 10:01:01 AM,%RH,77.769
12/2/24 12:01:01 PM,%RH,57.859
12/2/24 2:01:01 PM,%RH,40.3
12/2/24 4:01:01 PM,%RH,40.971
12/2/24 6:01:01 PM,%RH,42.307
12/2/24 8:01:01 PM,%RH,77.191
12/2/24 10:01:01 PM,%RH,90.094
13/2/24 12:01:01 AM,%RH,93.323
13/2/24 2:01:01 AM,%RH,86.255
13/2/24 4:01:01 AM,%RH,83.465
13/2/24 6:01:01 AM,%RH,83.465
13/2/24 8:01:01 AM,%RH,85.143
13/2/24 10:01:01 AM,%RH,84.026
13/2/24 12:01:01 PM,%RH,67.726
13/2/24 2:01:01 PM,%RH,50.843
13/2/24 4:01:01 PM,%RH,43.638
13/2/24 6:01:01 PM,%RH,65.906
13/2/24 8:01:01 PM,%RH,82.339
13/2/24 10:01:01 PM,%RH,91.176
14/2/24 12:01:01 AM,%RH,94.387
14/2/24 2:01:01 AM,%RH,89.55
14/2/24 4:01:01 AM,%RH,89.005
14/2/24 6:01:01 AM,%RH,86.255
14/2/24 8:01:01 AM,%RH,89.55
14/2/24 10:01:01 AM,%RH,85.7
14/2/24 12:01:01 PM,%RH,64.686
14/2/24 2:01:01 PM,%RH,51.489
14/2/24 4:01:01 PM,%RH,43.638
14/2/24 6:01:01 PM,%RH,66.514
14/2/24 8:01:01 PM,%RH,85.7
14/2/24 10:01:01 PM,%RH,92.253
15/2/24 12:01:01 AM,%RH,95.971
15/2/24 2:01:01 AM,%RH,97.02
15/2/24 4:01:01 AM,%RH,94.917
15/2/24 6:01:01 AM,%RH,93.856
15/2/24 8:01:01 AM,%RH,89.55
15/2/24 10:01:01 AM,%RH,86.255
15/2/24 12:01:01 PM,%RH,71.322
15/2/24 2:01:01 PM,%RH,58.488
15/2/24 4:01:01 PM,%RH,52.133
15/2/24 6:01:01 PM,%RH,67.726
15/2/24 8:01:01 PM,%RH,82.903
15/2/24 10:01:01 PM,%RH,91.715
16/2/24 12:01:01 AM,%RH,95.445
16/2/24 2:01:01 AM,%RH,83.465
16/2/24 4:01:01 AM,%RH,81.206
16/2/24 6:01:01 AM,%RH,84.586
16/2/24 8:01:01 AM,%RH,86.255
16/2/24 10:01:01 AM,%RH,77.191
16/2/24 12:01:01 PM,%RH,62.225
16/2/24 2:01:01 PM,%RH,50.196
16/2/24 4:01:01 PM,%RH,42.307
16/2/24 6:01:01 PM,%RH,61.606
16/2/24 8:01:01 PM,%RH,73.688
16/2/24 10:01:01 PM,%RH,90.636
17/2/24 12:01:01 AM,%RH,93.323
17/2/24 2:01:01 AM,%RH,92.253
17/2/24 4:01:01 AM,%RH,88.458
17/2/24 6:01:01 AM,%RH,89.55
17/2/24 8:01:01 AM,%RH,90.636
17/2/24 10:01:01 AM,%RH,82.339
17/2/24 12:01:01 PM,%RH,68.329
17/2/24 2:01:01 PM,%RH,56.598
17/2/24 4:01:01 PM,%RH,64.073
17/2/24 6:01:01 PM,%RH,77.191
17/2/24 8:01:01 PM,%RH,86.808
17/2/24 10:01:01 PM,%RH,92.789
18/2/24 12:01:01 AM,%RH,95.971
18/2/24 2:01:01 AM,%RH,97.02
18/2/24 4:01:01 AM,%RH,96.496
18/2/24 6:01:01 AM,%RH,97.541
18/2/24 8:01:01 AM,%RH,98.58
18/2/24 10:01:01 AM,%RH,89.005
18/2/24 12:01:01 PM,%RH,77.769
18/2/24 2:01:01 PM,%RH,75.447
18/2/24 4:01:01 PM,%RH,77.191
18/2/24 6:01:01 PM,%RH,82.339
18/2/24 8:01:01 PM,%RH,89.005
18/2/24 10:01:01 PM,%RH,94.387
19/2/24 12:01:01 AM,%RH,97.02
19/2/24 2:01:01 AM,%RH,98.062
19/2/24 4:01:01 AM,%RH,94.917
19/2/24 6:01:01 AM,%RH,96.496
19/2/24 8:01:01 AM,%RH,94.387
19/2/24 10:01:01 AM,%RH,92.253
19/2/24 12:01:01 PM,%RH,80.637
19/2/24 2:01:01 PM,%RH,74.276
19/2/24 4:01:01 PM,%RH,74.276
19/2/24 6:01:01 PM,%RH,80.066
19/2/24 8:01:01 PM,%RH,89.55
19/2/24 10:01:01 PM,%RH,95.445
20/2/24 12:01:01 AM,%RH,95.971
20/2/24 2:01:01 AM,%RH,94.387
20/2/24 4:01:01 AM,%RH,97.541
20/2/24 6:01:01 AM,%RH,98.062
20/2/24 8:01:01 AM,%RH,98.58
20/2/24 10:01:01 AM,%RH,94.917
20/2/24 12:01:01 PM,%RH,82.903
20/2/24 2:01:01 PM,%RH,82.339
20/2/24 4:01:01 PM,%RH,80.637
20/2/24 6:01:01 PM,%RH,85.7
20/2/24 8:01:01 PM,%RH,92.789
20/2/24 10:01:01 PM,%RH,95.445
21/2/24 12:01:01 AM,%RH,97.02
21/2/24 2:01:01 AM,%RH,97.02
21/2/24 4:01:01 AM,%RH,98.58
