1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000007DA9D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Feb 20 10:33:01 IST 2024
Mission Sample Count:  2800
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Feb 20 10:33:01 IST 2024
Total Mission Samples:  2800
Total Device Samples:  11622
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/2/24 10:33:01 AM,%RH,87.549
20/2/24 12:33:01 PM,%RH,68.475
20/2/24 2:33:01 PM,%RH,77.12
20/2/24 4:33:01 PM,%RH,79.921
20/2/24 6:33:01 PM,%RH,83.775
20/2/24 8:33:01 PM,%RH,93.321
20/2/24 10:33:01 PM,%RH,94.861
21/2/24 12:33:01 AM,%RH,95.371
21/2/24 2:33:01 AM,%RH,98.398
21/2/24 4:33:01 AM,%RH,98.398
21/2/24 6:33:01 AM,%RH,98.398
21/2/24 8:33:01 AM,%RH,98.897
21/2/24 10:33:01 AM,%RH,84.319
21/2/24 12:33:01 PM,%RH,74.85
21/2/24 2:33:01 PM,%RH,82.133
21/2/24 4:33:01 PM,%RH,79.364
21/2/24 6:33:01 PM,%RH,84.861
21/2/24 8:33:01 PM,%RH,91.766
21/2/24 10:33:01 PM,%RH,95.371
22/2/24 12:33:01 AM,%RH,96.386
22/2/24 2:33:01 AM,%RH,95.371
22/2/24 4:33:01 AM,%RH,97.395
22/2/24 6:33:01 AM,%RH,98.398
22/2/24 8:33:01 AM,%RH,96.386
22/2/24 10:33:01 AM,%RH,78.245
22/2/24 12:33:01 PM,%RH,67.295
22/2/24 2:33:01 PM,%RH,71.397
22/2/24 4:33:01 PM,%RH,69.063
22/2/24 6:33:01 PM,%RH,70.233
22/2/24 8:33:01 PM,%RH,91.766
22/2/24 10:33:01 PM,%RH,94.349
23/2/24 12:33:01 AM,%RH,84.861
23/2/24 2:33:01 AM,%RH,84.319
23/2/24 4:33:01 AM,%RH,69.649
23/2/24 6:33:01 AM,%RH,54.514
23/2/24 8:33:01 AM,%RH,58.853
23/2/24 10:33:01 AM,%RH,55.139
23/2/24 12:33:01 PM,%RH,62.51
23/2/24 2:33:01 PM,%RH,55.139
23/2/24 4:33:01 PM,%RH,62.51
23/2/24 6:33:01 PM,%RH,69.063
23/2/24 8:33:01 PM,%RH,89.142
23/2/24 10:33:01 PM,%RH,90.721
24/2/24 12:33:01 AM,%RH,94.349
24/2/24 2:33:01 AM,%RH,85.402
24/2/24 4:33:01 AM,%RH,74.85
24/2/24 6:33:01 AM,%RH,70.233
24/2/24 8:33:01 AM,%RH,73.131
24/2/24 10:33:01 AM,%RH,68.475
24/2/24 12:33:01 PM,%RH,60.689
24/2/24 2:33:01 PM,%RH,60.079
24/2/24 4:33:01 PM,%RH,60.689
24/2/24 6:33:01 PM,%RH,83.229
24/2/24 8:33:01 PM,%RH,92.286
24/2/24 10:33:01 PM,%RH,95.371
25/2/24 12:33:01 AM,%RH,90.197
25/2/24 2:33:01 AM,%RH,77.12
25/2/24 4:33:01 AM,%RH,82.682
25/2/24 6:33:01 AM,%RH,86.479
25/2/24 8:33:01 AM,%RH,88.613
25/2/24 10:33:01 AM,%RH,87.549
25/2/24 12:33:01 PM,%RH,77.683
25/2/24 2:33:01 PM,%RH,79.921
25/2/24 4:33:01 PM,%RH,82.682
25/2/24 6:33:01 PM,%RH,85.402
25/2/24 8:33:01 PM,%RH,91.244
25/2/24 10:33:01 PM,%RH,93.836
26/2/24 12:33:01 AM,%RH,95.371
26/2/24 2:33:01 AM,%RH,95.371
26/2/24 4:33:01 AM,%RH,93.836
26/2/24 6:33:01 AM,%RH,93.836
26/2/24 8:33:01 AM,%RH,95.371
26/2/24 10:33:01 AM,%RH,81.582
26/2/24 12:33:01 PM,%RH,72.555
26/2/24 2:33:01 PM,%RH,55.139
26/2/24 4:33:01 PM,%RH,53.26
26/2/24 6:33:01 PM,%RH,58.853
26/2/24 8:33:01 PM,%RH,91.244
26/2/24 10:33:01 PM,%RH,92.286
27/2/24 12:33:01 AM,%RH,92.804
27/2/24 2:33:01 AM,%RH,91.244
27/2/24 4:33:01 AM,%RH,94.349
27/2/24 6:33:01 AM,%RH,93.836
27/2/24 8:33:01 AM,%RH,94.349
27/2/24 10:33:01 AM,%RH,82.133
27/2/24 12:33:01 PM,%RH,67.295
27/2/24 2:33:01 PM,%RH,50.732
27/2/24 4:33:01 PM,%RH,64.316
27/2/24 6:33:01 PM,%RH,74.279
27/2/24 8:33:01 PM,%RH,87.015
27/2/24 10:33:01 PM,%RH,93.836
28/2/24 12:33:01 AM,%RH,94.349
28/2/24 2:33:01 AM,%RH,93.836
28/2/24 4:33:01 AM,%RH,92.286
28/2/24 6:33:01 AM,%RH,93.321
28/2/24 8:33:01 AM,%RH,91.244
28/2/24 10:33:01 AM,%RH,80.476
28/2/24 12:33:01 PM,%RH,63.114
28/2/24 2:33:01 PM,%RH,58.853
28/2/24 4:33:01 PM,%RH,67.886
28/2/24 6:33:01 PM,%RH,82.133
28/2/24 8:33:01 PM,%RH,92.804
28/2/24 10:33:01 PM,%RH,94.349
29/2/24 12:33:01 AM,%RH,92.286
29/2/24 2:33:01 AM,%RH,81.582
29/2/24 4:33:01 AM,%RH,88.082
29/2/24 6:33:01 AM,%RH,89.142
29/2/24 8:33:01 AM,%RH,91.244
29/2/24 10:33:01 AM,%RH,74.279
29/2/24 12:33:01 PM,%RH,46.891
29/2/24 2:33:01 PM,%RH,34.346
29/2/24 4:33:01 PM,%RH,54.514
29/2/24 6:33:01 PM,%RH,85.941
29/2/24 8:33:01 PM,%RH,92.804
29/2/24 10:33:01 PM,%RH,94.861
1/3/24 12:33:01 AM,%RH,95.371
1/3/24 2:33:01 AM,%RH,94.861
1/3/24 4:33:01 AM,%RH,93.321
1/3/24 6:33:01 AM,%RH,92.804
1/3/24 8:33:01 AM,%RH,92.804
1/3/24 10:33:01 AM,%RH,81.03
1/3/24 12:33:01 PM,%RH,50.096
1/3/24 2:33:01 PM,%RH,38.371
1/3/24 4:33:01 PM,%RH,41.021
1/3/24 6:33:01 PM,%RH,70.233
1/3/24 8:33:01 PM,%RH,92.286
1/3/24 10:33:01 PM,%RH,95.371
2/3/24 12:33:01 AM,%RH,95.371
2/3/24 2:33:01 AM,%RH,94.861
2/3/24 4:33:01 AM,%RH,93.321
2/3/24 6:33:01 AM,%RH,90.721
2/3/24 8:33:01 AM,%RH,90.197
2/3/24 10:33:01 AM,%RH,80.476
2/3/24 12:33:01 PM,%RH,59.467
2/3/24 2:33:01 PM,%RH,62.51
2/3/24 4:33:01 PM,%RH,64.316
2/3/24 6:33:01 PM,%RH,84.319
2/3/24 8:33:01 PM,%RH,93.321
2/3/24 10:33:01 PM,%RH,93.836
3/3/24 12:33:01 AM,%RH,96.386
3/3/24 2:33:01 AM,%RH,95.88
3/3/24 4:33:01 AM,%RH,97.395
3/3/24 6:33:01 AM,%RH,96.892
3/3/24 8:33:01 AM,%RH,94.861
3/3/24 10:33:01 AM,%RH,86.479
3/3/24 12:33:01 PM,%RH,78.805
3/3/24 2:33:01 PM,%RH,77.683
3/3/24 4:33:01 PM,%RH,78.245
3/3/24 6:33:01 PM,%RH,82.682
3/3/24 8:33:01 PM,%RH,91.244
3/3/24 10:33:01 PM,%RH,93.321
4/3/24 12:33:01 AM,%RH,93.836
4/3/24 2:33:01 AM,%RH,95.371
4/3/24 4:33:01 AM,%RH,95.88
4/3/24 6:33:01 AM,%RH,91.766
4/3/24 8:33:01 AM,%RH,83.775
4/3/24 10:33:01 AM,%RH,77.12
4/3/24 12:33:01 PM,%RH,79.364
4/3/24 2:33:01 PM,%RH,77.12
4/3/24 4:33:01 PM,%RH,77.683
4/3/24 6:33:01 PM,%RH,86.479
4/3/24 8:33:01 PM,%RH,92.804
4/3/24 10:33:01 PM,%RH,94.861
5/3/24 12:33:01 AM,%RH,97.898
5/3/24 2:33:01 AM,%RH,95.371
5/3/24 4:33:01 AM,%RH,96.386
5/3/24 6:33:01 AM,%RH,92.804
5/3/24 8:33:01 AM,%RH,93.836
5/3/24 10:33:01 AM,%RH,82.133
5/3/24 12:33:01 PM,%RH,82.682
5/3/24 2:33:01 PM,%RH,81.582
5/3/24 4:33:01 PM,%RH,78.245
5/3/24 6:33:01 PM,%RH,86.479
5/3/24 8:33:01 PM,%RH,91.766
5/3/24 10:33:01 PM,%RH,96.386
6/3/24 12:33:01 AM,%RH,96.892
6/3/24 2:33:01 AM,%RH,97.395
6/3/24 4:33:01 AM,%RH,91.244
6/3/24 6:33:01 AM,%RH,82.133
6/3/24 8:33:01 AM,%RH,78.245
6/3/24 10:33:01 AM,%RH,76.555
6/3/24 12:33:01 PM,%RH,70.233
6/3/24 2:33:01 PM,%RH,71.977
6/3/24 4:33:01 PM,%RH,71.397
6/3/24 6:33:01 PM,%RH,75.42
6/3/24 8:33:01 PM,%RH,88.613
6/3/24 10:33:01 PM,%RH,84.861
7/3/24 12:33:01 AM,%RH,89.142
7/3/24 2:33:01 AM,%RH,90.197
7/3/24 4:33:01 AM,%RH,93.321
7/3/24 6:33:01 AM,%RH,86.479
7/3/24 8:33:01 AM,%RH,85.402
7/3/24 10:33:01 AM,%RH,77.12
7/3/24 12:33:01 PM,%RH,61.298
7/3/24 2:33:01 PM,%RH,69.063
7/3/24 4:33:01 PM,%RH,70.233
7/3/24 6:33:01 PM,%RH,74.85
7/3/24 8:33:01 PM,%RH,84.861
7/3/24 10:33:01 PM,%RH,83.229
8/3/24 12:33:01 AM,%RH,75.42
8/3/24 2:33:01 AM,%RH,63.716
8/3/24 4:33:01 AM,%RH,55.762
8/3/24 6:33:01 AM,%RH,55.139
8/3/24 8:33:01 AM,%RH,55.139
8/3/24 10:33:01 AM,%RH,50.096
8/3/24 12:33:01 PM,%RH,57.622
8/3/24 2:33:01 PM,%RH,64.915
8/3/24 4:33:01 PM,%RH,67.886
8/3/24 6:33:01 PM,%RH,75.42
8/3/24 8:33:01 PM,%RH,87.549
8/3/24 10:33:01 PM,%RH,92.286
9/3/24 12:33:01 AM,%RH,94.349
9/3/24 2:33:01 AM,%RH,91.766
9/3/24 4:33:01 AM,%RH,94.861
9/3/24 6:33:01 AM,%RH,82.682
9/3/24 8:33:01 AM,%RH,82.682
9/3/24 10:33:01 AM,%RH,63.716
9/3/24 12:33:01 PM,%RH,66.108
9/3/24 2:33:01 PM,%RH,70.816
9/3/24 4:33:01 PM,%RH,66.108
9/3/24 6:33:01 PM,%RH,76.555
9/3/24 8:33:01 PM,%RH,91.766
9/3/24 10:33:01 PM,%RH,93.321
10/3/24 12:33:01 AM,%RH,94.349
10/3/24 2:33:01 AM,%RH,96.386
10/3/24 4:33:01 AM,%RH,96.892
10/3/24 6:33:01 AM,%RH,90.197
10/3/24 8:33:01 AM,%RH,74.279
10/3/24 10:33:01 AM,%RH,68.475
10/3/24 12:33:01 PM,%RH,73.131
10/3/24 2:33:01 PM,%RH,69.063
10/3/24 4:33:01 PM,%RH,72.555
10/3/24 6:33:01 PM,%RH,88.613
10/3/24 8:33:01 PM,%RH,93.836
10/3/24 10:33:01 PM,%RH,95.88
11/3/24 12:33:01 AM,%RH,96.386
11/3/24 2:33:01 AM,%RH,95.371
11/3/24 4:33:01 AM,%RH,92.804
11/3/24 6:33:01 AM,%RH,93.321
11/3/24 8:33:01 AM,%RH,93.321
11/3/24 10:33:01 AM,%RH,80.476
11/3/24 12:33:01 PM,%RH,80.476
11/3/24 2:33:01 PM,%RH,75.988
11/3/24 4:33:01 PM,%RH,74.279
11/3/24 6:33:01 PM,%RH,87.015
11/3/24 8:33:01 PM,%RH,92.804
11/3/24 10:33:01 PM,%RH,95.88
12/3/24 12:33:01 AM,%RH,96.386
12/3/24 2:33:01 AM,%RH,96.892
12/3/24 4:33:01 AM,%RH,94.349
12/3/24 6:33:01 AM,%RH,95.88
12/3/24 8:33:01 AM,%RH,96.386
12/3/24 10:33:01 AM,%RH,88.613
12/3/24 12:33:01 PM,%RH,82.133
12/3/24 2:33:01 PM,%RH,75.988
12/3/24 4:33:01 PM,%RH,81.03
12/3/24 6:33:01 PM,%RH,87.015
12/3/24 8:33:01 PM,%RH,92.286
12/3/24 10:33:01 PM,%RH,96.386
13/3/24 12:33:01 AM,%RH,91.244
13/3/24 2:33:01 AM,%RH,89.67
13/3/24 4:33:01 AM,%RH,89.67
13/3/24 6:33:01 AM,%RH,85.402
13/3/24 8:33:01 AM,%RH,85.941
13/3/24 10:33:01 AM,%RH,83.229
13/3/24 12:33:01 PM,%RH,82.133
13/3/24 2:33:01 PM,%RH,80.476
13/3/24 4:33:01 PM,%RH,81.582
13/3/24 6:33:01 PM,%RH,90.197
13/3/24 8:33:01 PM,%RH,94.861
13/3/24 10:33:01 PM,%RH,95.88
14/3/24 12:33:01 AM,%RH,97.395
14/3/24 2:33:01 AM,%RH,97.898
14/3/24 4:33:01 AM,%RH,97.898
14/3/24 6:33:01 AM,%RH,95.88
14/3/24 8:33:01 AM,%RH,88.082
14/3/24 10:33:01 AM,%RH,87.015
14/3/24 12:33:01 PM,%RH,83.775
14/3/24 2:33:01 PM,%RH,79.921
14/3/24 4:33:01 PM,%RH,81.03
14/3/24 6:33:01 PM,%RH,84.861
14/3/24 8:33:01 PM,%RH,92.286
14/3/24 10:33:01 PM,%RH,94.861
15/3/24 12:33:01 AM,%RH,94.861
15/3/24 2:33:01 AM,%RH,94.861
15/3/24 4:33:01 AM,%RH,93.321
15/3/24 6:33:01 AM,%RH,95.371
15/3/24 8:33:01 AM,%RH,80.476
15/3/24 10:33:01 AM,%RH,71.397
15/3/24 12:33:01 PM,%RH,78.805
15/3/24 2:33:01 PM,%RH,76.555
15/3/24 4:33:01 PM,%RH,77.683
15/3/24 6:33:01 PM,%RH,82.682
15/3/24 8:33:01 PM,%RH,92.804
15/3/24 10:33:01 PM,%RH,96.892
16/3/24 12:33:01 AM,%RH,96.892
16/3/24 2:33:01 AM,%RH,98.398
16/3/24 4:33:01 AM,%RH,87.015
16/3/24 6:33:01 AM,%RH,83.775
16/3/24 8:33:01 AM,%RH,75.42
16/3/24 10:33:01 AM,%RH,74.279
16/3/24 12:33:01 PM,%RH,73.706
16/3/24 2:33:01 PM,%RH,77.683
16/3/24 4:33:01 PM,%RH,75.988
16/3/24 6:33:01 PM,%RH,87.549
16/3/24 8:33:01 PM,%RH,94.349
16/3/24 10:33:01 PM,%RH,95.88
17/3/24 12:33:01 AM,%RH,94.861
17/3/24 2:33:01 AM,%RH,92.286
17/3/24 4:33:01 AM,%RH,87.549
17/3/24 6:33:01 AM,%RH,77.683
17/3/24 8:33:01 AM,%RH,77.683
17/3/24 10:33:01 AM,%RH,77.683
17/3/24 12:33:01 PM,%RH,67.886
17/3/24 2:33:01 PM,%RH,77.683
17/3/24 4:33:01 PM,%RH,70.816
17/3/24 6:33:01 PM,%RH,87.015
17/3/24 8:33:01 PM,%RH,93.321
17/3/24 10:33:01 PM,%RH,93.836
18/3/24 12:33:01 AM,%RH,95.371
18/3/24 2:33:01 AM,%RH,96.892
18/3/24 4:33:01 AM,%RH,92.286
18/3/24 6:33:01 AM,%RH,85.402
18/3/24 8:33:01 AM,%RH,75.988
18/3/24 10:33:01 AM,%RH,73.706
18/3/24 12:33:01 PM,%RH,72.555
18/3/24 2:33:01 PM,%RH,74.279
18/3/24 4:33:01 PM,%RH,78.245
18/3/24 6:33:01 PM,%RH,88.082
18/3/24 8:33:01 PM,%RH,90.721
18/3/24 10:33:01 PM,%RH,92.804
19/3/24 12:33:01 AM,%RH,93.836
