1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 920000007DA9D341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Tue Feb 20 10:33:01 IST 2024
Mission Sample Count:  2800
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Tue Feb 20 10:33:01 IST 2024
Total Mission Samples:  2800
Total Device Samples:  11622
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/2/24 10:33:01 AM,C,25.176
20/2/24 12:33:01 PM,C,24.676
20/2/24 2:33:01 PM,C,25.176
20/2/24 4:33:01 PM,C,24.676
20/2/24 6:33:01 PM,C,23.175
20/2/24 8:33:01 PM,C,22.175
20/2/24 10:33:01 PM,C,21.174
21/2/24 12:33:01 AM,C,20.673
21/2/24 2:33:01 AM,C,20.173
21/2/24 4:33:01 AM,C,20.173
21/2/24 6:33:01 AM,C,19.172
21/2/24 8:33:01 AM,C,19.672
21/2/24 10:33:01 AM,C,22.175
21/2/24 12:33:01 PM,C,24.176
21/2/24 2:33:01 PM,C,25.176
21/2/24 4:33:01 PM,C,25.176
21/2/24 6:33:01 PM,C,23.175
21/2/24 8:33:01 PM,C,20.673
21/2/24 10:33:01 PM,C,19.672
22/2/24 12:33:01 AM,C,18.671
22/2/24 2:33:01 AM,C,18.17
22/2/24 4:33:01 AM,C,18.17
22/2/24 6:33:01 AM,C,18.671
22/2/24 8:33:01 AM,C,18.17
22/2/24 10:33:01 AM,C,20.673
22/2/24 12:33:01 PM,C,23.175
22/2/24 2:33:01 PM,C,24.676
22/2/24 4:33:01 PM,C,24.176
22/2/24 6:33:01 PM,C,22.675
22/2/24 8:33:01 PM,C,21.174
22/2/24 10:33:01 PM,C,19.172
23/2/24 12:33:01 AM,C,18.17
23/2/24 2:33:01 AM,C,18.17
23/2/24 4:33:01 AM,C,17.168
23/2/24 6:33:01 AM,C,18.671
23/2/24 8:33:01 AM,C,18.671
23/2/24 10:33:01 AM,C,22.675
23/2/24 12:33:01 PM,C,24.176
23/2/24 2:33:01 PM,C,24.676
23/2/24 4:33:01 PM,C,24.676
23/2/24 6:33:01 PM,C,22.175
23/2/24 8:33:01 PM,C,20.673
23/2/24 10:33:01 PM,C,19.672
24/2/24 12:33:01 AM,C,18.671
24/2/24 2:33:01 AM,C,18.671
24/2/24 4:33:01 AM,C,18.671
24/2/24 6:33:01 AM,C,18.17
24/2/24 8:33:01 AM,C,18.671
24/2/24 10:33:01 AM,C,22.175
24/2/24 12:33:01 PM,C,23.175
24/2/24 2:33:01 PM,C,24.176
24/2/24 4:33:01 PM,C,24.176
24/2/24 6:33:01 PM,C,22.175
24/2/24 8:33:01 PM,C,20.173
24/2/24 10:33:01 PM,C,19.172
25/2/24 12:33:01 AM,C,18.671
25/2/24 2:33:01 AM,C,18.17
25/2/24 4:33:01 AM,C,18.17
25/2/24 6:33:01 AM,C,18.671
25/2/24 8:33:01 AM,C,19.672
25/2/24 10:33:01 AM,C,22.175
25/2/24 12:33:01 PM,C,24.176
25/2/24 2:33:01 PM,C,25.176
25/2/24 4:33:01 PM,C,24.676
25/2/24 6:33:01 PM,C,23.175
25/2/24 8:33:01 PM,C,20.673
25/2/24 10:33:01 PM,C,20.173
26/2/24 12:33:01 AM,C,19.672
26/2/24 2:33:01 AM,C,19.672
26/2/24 4:33:01 AM,C,18.671
26/2/24 6:33:01 AM,C,18.17
26/2/24 8:33:01 AM,C,18.671
26/2/24 10:33:01 AM,C,21.174
26/2/24 12:33:01 PM,C,24.176
26/2/24 2:33:01 PM,C,26.176
26/2/24 4:33:01 PM,C,26.176
26/2/24 6:33:01 PM,C,24.176
26/2/24 8:33:01 PM,C,22.175
26/2/24 10:33:01 PM,C,20.173
27/2/24 12:33:01 AM,C,19.672
27/2/24 2:33:01 AM,C,18.17
27/2/24 4:33:01 AM,C,17.168
27/2/24 6:33:01 AM,C,18.17
27/2/24 8:33:01 AM,C,19.172
27/2/24 10:33:01 AM,C,22.175
27/2/24 12:33:01 PM,C,25.176
27/2/24 2:33:01 PM,C,27.176
27/2/24 4:33:01 PM,C,27.176
27/2/24 6:33:01 PM,C,24.676
27/2/24 8:33:01 PM,C,22.175
27/2/24 10:33:01 PM,C,21.174
28/2/24 12:33:01 AM,C,20.173
28/2/24 2:33:01 AM,C,19.672
28/2/24 4:33:01 AM,C,18.671
28/2/24 6:33:01 AM,C,18.17
28/2/24 8:33:01 AM,C,19.672
28/2/24 10:33:01 AM,C,22.675
28/2/24 12:33:01 PM,C,25.676
28/2/24 2:33:01 PM,C,27.176
28/2/24 4:33:01 PM,C,26.176
28/2/24 6:33:01 PM,C,24.176
28/2/24 8:33:01 PM,C,22.175
28/2/24 10:33:01 PM,C,21.174
29/2/24 12:33:01 AM,C,19.672
29/2/24 2:33:01 AM,C,18.671
29/2/24 4:33:01 AM,C,17.669
29/2/24 6:33:01 AM,C,17.168
29/2/24 8:33:01 AM,C,18.17
29/2/24 10:33:01 AM,C,22.175
29/2/24 12:33:01 PM,C,26.176
29/2/24 2:33:01 PM,C,27.176
29/2/24 4:33:01 PM,C,27.176
29/2/24 6:33:01 PM,C,24.176
29/2/24 8:33:01 PM,C,22.175
29/2/24 10:33:01 PM,C,21.174
1/3/24 12:33:01 AM,C,20.673
1/3/24 2:33:01 AM,C,19.172
1/3/24 4:33:01 AM,C,18.17
1/3/24 6:33:01 AM,C,17.669
1/3/24 8:33:01 AM,C,18.671
1/3/24 10:33:01 AM,C,21.674
1/3/24 12:33:01 PM,C,24.676
1/3/24 2:33:01 PM,C,27.176
1/3/24 4:33:01 PM,C,26.676
1/3/24 6:33:01 PM,C,23.676
1/3/24 8:33:01 PM,C,22.675
1/3/24 10:33:01 PM,C,21.674
2/3/24 12:33:01 AM,C,20.173
2/3/24 2:33:01 AM,C,19.172
2/3/24 4:33:01 AM,C,18.17
2/3/24 6:33:01 AM,C,17.168
2/3/24 8:33:01 AM,C,18.17
2/3/24 10:33:01 AM,C,21.174
2/3/24 12:33:01 PM,C,25.176
2/3/24 2:33:01 PM,C,25.676
2/3/24 4:33:01 PM,C,25.176
2/3/24 6:33:01 PM,C,23.676
2/3/24 8:33:01 PM,C,22.175
2/3/24 10:33:01 PM,C,21.174
3/3/24 12:33:01 AM,C,21.174
3/3/24 2:33:01 AM,C,20.173
3/3/24 4:33:01 AM,C,19.672
3/3/24 6:33:01 AM,C,19.172
3/3/24 8:33:01 AM,C,20.173
3/3/24 10:33:01 AM,C,22.175
3/3/24 12:33:01 PM,C,24.676
3/3/24 2:33:01 PM,C,25.176
3/3/24 4:33:01 PM,C,25.176
3/3/24 6:33:01 PM,C,23.676
3/3/24 8:33:01 PM,C,21.674
3/3/24 10:33:01 PM,C,20.673
4/3/24 12:33:01 AM,C,20.173
4/3/24 2:33:01 AM,C,19.172
4/3/24 4:33:01 AM,C,19.672
4/3/24 6:33:01 AM,C,19.172
4/3/24 8:33:01 AM,C,19.672
4/3/24 10:33:01 AM,C,23.175
4/3/24 12:33:01 PM,C,24.676
4/3/24 2:33:01 PM,C,25.176
4/3/24 4:33:01 PM,C,25.176
4/3/24 6:33:01 PM,C,23.676
4/3/24 8:33:01 PM,C,21.674
4/3/24 10:33:01 PM,C,20.173
5/3/24 12:33:01 AM,C,19.672
5/3/24 2:33:01 AM,C,19.172
5/3/24 4:33:01 AM,C,18.671
5/3/24 6:33:01 AM,C,19.672
5/3/24 8:33:01 AM,C,20.673
5/3/24 10:33:01 AM,C,23.676
5/3/24 12:33:01 PM,C,25.176
5/3/24 2:33:01 PM,C,25.676
5/3/24 4:33:01 PM,C,25.176
5/3/24 6:33:01 PM,C,23.676
5/3/24 8:33:01 PM,C,21.674
5/3/24 10:33:01 PM,C,20.673
6/3/24 12:33:01 AM,C,20.173
6/3/24 2:33:01 AM,C,19.672
6/3/24 4:33:01 AM,C,18.17
6/3/24 6:33:01 AM,C,18.671
6/3/24 8:33:01 AM,C,19.672
6/3/24 10:33:01 AM,C,23.676
6/3/24 12:33:01 PM,C,25.176
6/3/24 2:33:01 PM,C,25.676
6/3/24 4:33:01 PM,C,25.676
6/3/24 6:33:01 PM,C,23.676
6/3/24 8:33:01 PM,C,21.674
6/3/24 10:33:01 PM,C,20.173
7/3/24 12:33:01 AM,C,19.672
7/3/24 2:33:01 AM,C,19.172
7/3/24 4:33:01 AM,C,18.671
7/3/24 6:33:01 AM,C,19.172
7/3/24 8:33:01 AM,C,20.173
7/3/24 10:33:01 AM,C,23.175
7/3/24 12:33:01 PM,C,26.176
7/3/24 2:33:01 PM,C,25.676
7/3/24 4:33:01 PM,C,25.676
7/3/24 6:33:01 PM,C,24.176
7/3/24 8:33:01 PM,C,22.175
7/3/24 10:33:01 PM,C,21.674
8/3/24 12:33:01 AM,C,21.674
8/3/24 2:33:01 AM,C,21.174
8/3/24 4:33:01 AM,C,20.673
8/3/24 6:33:01 AM,C,20.173
8/3/24 8:33:01 AM,C,21.174
8/3/24 10:33:01 AM,C,24.176
8/3/24 12:33:01 PM,C,25.676
8/3/24 2:33:01 PM,C,26.176
8/3/24 4:33:01 PM,C,25.676
8/3/24 6:33:01 PM,C,24.176
8/3/24 8:33:01 PM,C,21.674
8/3/24 10:33:01 PM,C,20.673
9/3/24 12:33:01 AM,C,20.673
9/3/24 2:33:01 AM,C,20.173
9/3/24 4:33:01 AM,C,19.172
9/3/24 6:33:01 AM,C,18.17
9/3/24 8:33:01 AM,C,20.673
9/3/24 10:33:01 AM,C,23.676
9/3/24 12:33:01 PM,C,25.176
9/3/24 2:33:01 PM,C,26.176
9/3/24 4:33:01 PM,C,25.676
9/3/24 6:33:01 PM,C,24.676
9/3/24 8:33:01 PM,C,22.675
9/3/24 10:33:01 PM,C,21.674
10/3/24 12:33:01 AM,C,21.174
10/3/24 2:33:01 AM,C,20.673
10/3/24 4:33:01 AM,C,20.673
10/3/24 6:33:01 AM,C,19.672
10/3/24 8:33:01 AM,C,20.673
10/3/24 10:33:01 AM,C,23.175
10/3/24 12:33:01 PM,C,24.676
10/3/24 2:33:01 PM,C,25.676
10/3/24 4:33:01 PM,C,25.676
10/3/24 6:33:01 PM,C,24.176
10/3/24 8:33:01 PM,C,22.675
10/3/24 10:33:01 PM,C,22.175
11/3/24 12:33:01 AM,C,22.175
11/3/24 2:33:01 AM,C,21.674
11/3/24 4:33:01 AM,C,21.174
11/3/24 6:33:01 AM,C,21.674
11/3/24 8:33:01 AM,C,21.674
11/3/24 10:33:01 AM,C,23.676
11/3/24 12:33:01 PM,C,25.676
11/3/24 2:33:01 PM,C,25.676
11/3/24 4:33:01 PM,C,25.676
11/3/24 6:33:01 PM,C,24.676
11/3/24 8:33:01 PM,C,22.675
11/3/24 10:33:01 PM,C,22.175
12/3/24 12:33:01 AM,C,21.674
12/3/24 2:33:01 AM,C,21.674
12/3/24 4:33:01 AM,C,20.673
12/3/24 6:33:01 AM,C,20.673
12/3/24 8:33:01 AM,C,21.674
12/3/24 10:33:01 AM,C,23.676
12/3/24 12:33:01 PM,C,25.176
12/3/24 2:33:01 PM,C,25.676
12/3/24 4:33:01 PM,C,25.676
12/3/24 6:33:01 PM,C,24.176
12/3/24 8:33:01 PM,C,22.675
12/3/24 10:33:01 PM,C,21.674
13/3/24 12:33:01 AM,C,21.174
13/3/24 2:33:01 AM,C,20.173
13/3/24 4:33:01 AM,C,20.173
13/3/24 6:33:01 AM,C,20.673
13/3/24 8:33:01 AM,C,20.673
13/3/24 10:33:01 AM,C,22.175
13/3/24 12:33:01 PM,C,24.176
13/3/24 2:33:01 PM,C,25.176
13/3/24 4:33:01 PM,C,25.176
13/3/24 6:33:01 PM,C,23.676
13/3/24 8:33:01 PM,C,22.675
13/3/24 10:33:01 PM,C,21.174
14/3/24 12:33:01 AM,C,20.673
14/3/24 2:33:01 AM,C,20.673
14/3/24 4:33:01 AM,C,19.672
14/3/24 6:33:01 AM,C,19.672
14/3/24 8:33:01 AM,C,20.173
14/3/24 10:33:01 AM,C,22.175
14/3/24 12:33:01 PM,C,24.176
14/3/24 2:33:01 PM,C,25.176
14/3/24 4:33:01 PM,C,24.676
14/3/24 6:33:01 PM,C,23.676
14/3/24 8:33:01 PM,C,22.175
14/3/24 10:33:01 PM,C,20.673
15/3/24 12:33:01 AM,C,20.173
15/3/24 2:33:01 AM,C,19.672
15/3/24 4:33:01 AM,C,19.172
15/3/24 6:33:01 AM,C,18.671
15/3/24 8:33:01 AM,C,20.173
15/3/24 10:33:01 AM,C,23.676
15/3/24 12:33:01 PM,C,24.676
15/3/24 2:33:01 PM,C,25.676
15/3/24 4:33:01 PM,C,25.676
15/3/24 6:33:01 PM,C,24.176
15/3/24 8:33:01 PM,C,22.175
15/3/24 10:33:01 PM,C,21.174
16/3/24 12:33:01 AM,C,20.673
16/3/24 2:33:01 AM,C,20.173
16/3/24 4:33:01 AM,C,18.671
16/3/24 6:33:01 AM,C,20.173
16/3/24 8:33:01 AM,C,21.174
16/3/24 10:33:01 AM,C,23.676
16/3/24 12:33:01 PM,C,25.676
16/3/24 2:33:01 PM,C,26.176
16/3/24 4:33:01 PM,C,25.676
16/3/24 6:33:01 PM,C,24.176
16/3/24 8:33:01 PM,C,22.175
16/3/24 10:33:01 PM,C,21.174
17/3/24 12:33:01 AM,C,20.673
17/3/24 2:33:01 AM,C,19.672
17/3/24 4:33:01 AM,C,19.672
17/3/24 6:33:01 AM,C,21.174
17/3/24 8:33:01 AM,C,22.175
