1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F0000007DAB0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:27:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:27:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12811
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:27:01 PM,%RH,80.634
13/1/24 10:27:01 PM,%RH,80.634
14/1/24 12:27:01 AM,%RH,80.09
14/1/24 2:27:01 AM,%RH,81.176
14/1/24 4:27:01 AM,%RH,81.176
14/1/24 6:27:01 AM,%RH,81.176
14/1/24 8:27:01 AM,%RH,70.603
14/1/24 10:27:01 AM,%RH,87.042
14/1/24 12:27:01 PM,%RH,76.793
14/1/24 2:27:01 PM,%RH,76.238
14/1/24 4:27:01 PM,%RH,74.563
14/1/24 6:27:01 PM,%RH,84.931
14/1/24 8:27:01 PM,%RH,90.677
14/1/24 10:27:01 PM,%RH,77.346
15/1/24 12:27:01 AM,%RH,84.399
15/1/24 2:27:01 AM,%RH,86.517
15/1/24 4:27:01 AM,%RH,91.19
15/1/24 6:27:01 AM,%RH,93.227
15/1/24 8:27:01 AM,%RH,95.738
15/1/24 10:27:01 AM,%RH,90.677
15/1/24 12:27:01 PM,%RH,77.346
15/1/24 2:27:01 PM,%RH,75.681
15/1/24 4:27:01 PM,%RH,83.331
15/1/24 6:27:01 PM,%RH,88.609
15/1/24 8:27:01 PM,%RH,94.236
15/1/24 10:27:01 PM,%RH,97.226
16/1/24 12:27:01 AM,%RH,98.21
16/1/24 2:27:01 AM,%RH,98.21
16/1/24 4:27:01 AM,%RH,98.21
16/1/24 6:27:01 AM,%RH,96.732
16/1/24 8:27:01 AM,%RH,98.7
16/1/24 10:27:01 AM,%RH,92.72
16/1/24 12:27:01 PM,%RH,83.866
16/1/24 2:27:01 PM,%RH,83.331
16/1/24 4:27:01 PM,%RH,86.517
16/1/24 6:27:01 PM,%RH,92.212
16/1/24 8:27:01 PM,%RH,97.226
16/1/24 10:27:01 PM,%RH,98.21
17/1/24 12:27:01 AM,%RH,99.188
17/1/24 2:27:01 AM,%RH,99.188
17/1/24 4:27:01 AM,%RH,99.188
17/1/24 6:27:01 AM,%RH,98.7
17/1/24 8:27:01 AM,%RH,100.16
17/1/24 10:27:01 AM,%RH,93.732
17/1/24 12:27:01 PM,%RH,87.566
17/1/24 2:27:01 PM,%RH,83.866
17/1/24 4:27:01 PM,%RH,82.257
17/1/24 6:27:01 PM,%RH,91.19
17/1/24 8:27:01 PM,%RH,96.732
17/1/24 10:27:01 PM,%RH,98.7
18/1/24 12:27:01 AM,%RH,99.188
18/1/24 2:27:01 AM,%RH,98.7
18/1/24 4:27:01 AM,%RH,100.16
18/1/24 6:27:01 AM,%RH,100.644
18/1/24 8:27:01 AM,%RH,99.188
18/1/24 10:27:01 AM,%RH,92.72
18/1/24 12:27:01 PM,%RH,85.461
18/1/24 2:27:01 PM,%RH,85.99
18/1/24 4:27:01 PM,%RH,88.088
18/1/24 6:27:01 PM,%RH,92.72
18/1/24 8:27:01 PM,%RH,97.719
18/1/24 10:27:01 PM,%RH,99.188
19/1/24 12:27:01 AM,%RH,100.16
19/1/24 2:27:01 AM,%RH,99.675
19/1/24 4:27:01 AM,%RH,100.16
19/1/24 6:27:01 AM,%RH,100.644
19/1/24 8:27:01 AM,%RH,100.644
19/1/24 10:27:01 AM,%RH,95.738
19/1/24 12:27:01 PM,%RH,89.646
19/1/24 2:27:01 PM,%RH,88.609
19/1/24 4:27:01 PM,%RH,89.646
19/1/24 6:27:01 PM,%RH,95.239
19/1/24 8:27:01 PM,%RH,98.21
19/1/24 10:27:01 PM,%RH,98.7
20/1/24 12:27:01 AM,%RH,99.675
20/1/24 2:27:01 AM,%RH,100.16
20/1/24 4:27:01 AM,%RH,98.7
20/1/24 6:27:01 AM,%RH,100.16
20/1/24 8:27:01 AM,%RH,98.7
20/1/24 10:27:01 AM,%RH,96.236
20/1/24 12:27:01 PM,%RH,80.09
20/1/24 2:27:01 PM,%RH,85.99
20/1/24 4:27:01 PM,%RH,90.162
20/1/24 6:27:01 PM,%RH,94.738
20/1/24 8:27:01 PM,%RH,98.7
20/1/24 10:27:01 PM,%RH,99.188
21/1/24 12:27:01 AM,%RH,100.16
21/1/24 2:27:01 AM,%RH,100.16
21/1/24 4:27:01 AM,%RH,100.16
21/1/24 6:27:01 AM,%RH,100.644
21/1/24 8:27:01 AM,%RH,100.16
21/1/24 10:27:01 AM,%RH,96.236
21/1/24 12:27:01 PM,%RH,85.99
21/1/24 2:27:01 PM,%RH,80.09
21/1/24 4:27:01 PM,%RH,85.461
21/1/24 6:27:01 PM,%RH,89.646
21/1/24 8:27:01 PM,%RH,95.738
21/1/24 10:27:01 PM,%RH,98.7
22/1/24 12:27:01 AM,%RH,99.188
22/1/24 2:27:01 AM,%RH,99.675
22/1/24 4:27:01 AM,%RH,99.675
22/1/24 6:27:01 AM,%RH,101.126
22/1/24 8:27:01 AM,%RH,100.16
22/1/24 10:27:01 AM,%RH,95.738
22/1/24 12:27:01 PM,%RH,87.042
22/1/24 2:27:01 PM,%RH,84.931
22/1/24 4:27:01 PM,%RH,86.517
22/1/24 6:27:01 PM,%RH,89.646
22/1/24 8:27:01 PM,%RH,96.236
22/1/24 10:27:01 PM,%RH,98.7
23/1/24 12:27:01 AM,%RH,99.188
23/1/24 2:27:01 AM,%RH,100.16
23/1/24 4:27:01 AM,%RH,100.16
23/1/24 6:27:01 AM,%RH,98.21
23/1/24 8:27:01 AM,%RH,96.236
23/1/24 10:27:01 AM,%RH,93.227
23/1/24 12:27:01 PM,%RH,83.331
23/1/24 2:27:01 PM,%RH,85.99
23/1/24 4:27:01 PM,%RH,85.99
23/1/24 6:27:01 PM,%RH,90.162
23/1/24 8:27:01 PM,%RH,95.239
23/1/24 10:27:01 PM,%RH,97.719
24/1/24 12:27:01 AM,%RH,99.188
24/1/24 2:27:01 AM,%RH,99.188
24/1/24 4:27:01 AM,%RH,98.21
24/1/24 6:27:01 AM,%RH,100.16
24/1/24 8:27:01 AM,%RH,101.126
24/1/24 10:27:01 AM,%RH,86.517
24/1/24 12:27:01 PM,%RH,80.09
24/1/24 2:27:01 PM,%RH,77.346
24/1/24 4:27:01 PM,%RH,78.997
24/1/24 6:27:01 PM,%RH,86.517
24/1/24 8:27:01 PM,%RH,91.702
24/1/24 10:27:01 PM,%RH,96.732
25/1/24 12:27:01 AM,%RH,98.7
25/1/24 2:27:01 AM,%RH,95.239
25/1/24 4:27:01 AM,%RH,96.236
25/1/24 6:27:01 AM,%RH,99.188
25/1/24 8:27:01 AM,%RH,99.675
25/1/24 10:27:01 AM,%RH,90.162
25/1/24 12:27:01 PM,%RH,83.866
25/1/24 2:27:01 PM,%RH,82.795
25/1/24 4:27:01 PM,%RH,83.866
25/1/24 6:27:01 PM,%RH,90.162
25/1/24 8:27:01 PM,%RH,96.236
25/1/24 10:27:01 PM,%RH,98.21
26/1/24 12:27:01 AM,%RH,99.188
26/1/24 2:27:01 AM,%RH,99.675
26/1/24 4:27:01 AM,%RH,100.16
26/1/24 6:27:01 AM,%RH,98.7
