1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F0000007DAB0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:27:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:27:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  12811
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:27:01 PM,C,22.579
13/1/24 10:27:01 PM,C,22.079
14/1/24 12:27:01 AM,C,22.079
14/1/24 2:27:01 AM,C,21.579
14/1/24 4:27:01 AM,C,21.078
14/1/24 6:27:01 AM,C,21.078
14/1/24 8:27:01 AM,C,23.58
14/1/24 10:27:01 AM,C,21.078
14/1/24 12:27:01 PM,C,23.08
14/1/24 2:27:01 PM,C,23.58
14/1/24 4:27:01 PM,C,22.579
14/1/24 6:27:01 PM,C,20.578
14/1/24 8:27:01 PM,C,18.075
14/1/24 10:27:01 PM,C,20.578
15/1/24 12:27:01 AM,C,19.577
15/1/24 2:27:01 AM,C,18.576
15/1/24 4:27:01 AM,C,17.574
15/1/24 6:27:01 AM,C,16.573
15/1/24 8:27:01 AM,C,17.574
15/1/24 10:27:01 AM,C,20.578
15/1/24 12:27:01 PM,C,22.579
15/1/24 2:27:01 PM,C,22.579
15/1/24 4:27:01 PM,C,22.579
15/1/24 6:27:01 PM,C,20.578
15/1/24 8:27:01 PM,C,18.576
15/1/24 10:27:01 PM,C,17.574
16/1/24 12:27:01 AM,C,17.074
16/1/24 2:27:01 AM,C,16.573
16/1/24 4:27:01 AM,C,16.072
16/1/24 6:27:01 AM,C,16.072
16/1/24 8:27:01 AM,C,16.573
16/1/24 10:27:01 AM,C,20.077
16/1/24 12:27:01 PM,C,22.079
16/1/24 2:27:01 PM,C,22.579
16/1/24 4:27:01 PM,C,22.579
16/1/24 6:27:01 PM,C,20.578
16/1/24 8:27:01 PM,C,19.076
16/1/24 10:27:01 PM,C,18.075
17/1/24 12:27:01 AM,C,18.576
17/1/24 2:27:01 AM,C,18.576
17/1/24 4:27:01 AM,C,18.576
17/1/24 6:27:01 AM,C,18.576
17/1/24 8:27:01 AM,C,18.576
17/1/24 10:27:01 AM,C,21.078
17/1/24 12:27:01 PM,C,22.579
17/1/24 2:27:01 PM,C,23.58
17/1/24 4:27:01 PM,C,22.579
17/1/24 6:27:01 PM,C,20.578
17/1/24 8:27:01 PM,C,19.076
17/1/24 10:27:01 PM,C,19.076
18/1/24 12:27:01 AM,C,19.577
18/1/24 2:27:01 AM,C,18.576
18/1/24 4:27:01 AM,C,18.075
18/1/24 6:27:01 AM,C,17.574
18/1/24 8:27:01 AM,C,18.576
18/1/24 10:27:01 AM,C,21.078
18/1/24 12:27:01 PM,C,23.08
18/1/24 2:27:01 PM,C,23.08
18/1/24 4:27:01 PM,C,22.579
18/1/24 6:27:01 PM,C,21.078
18/1/24 8:27:01 PM,C,19.577
18/1/24 10:27:01 PM,C,19.076
19/1/24 12:27:01 AM,C,19.076
19/1/24 2:27:01 AM,C,19.076
19/1/24 4:27:01 AM,C,18.075
19/1/24 6:27:01 AM,C,17.574
19/1/24 8:27:01 AM,C,18.576
19/1/24 10:27:01 AM,C,21.078
19/1/24 12:27:01 PM,C,22.579
19/1/24 2:27:01 PM,C,23.08
19/1/24 4:27:01 PM,C,23.08
19/1/24 6:27:01 PM,C,21.579
19/1/24 8:27:01 PM,C,21.078
19/1/24 10:27:01 PM,C,19.577
20/1/24 12:27:01 AM,C,18.075
20/1/24 2:27:01 AM,C,18.576
20/1/24 4:27:01 AM,C,18.075
20/1/24 6:27:01 AM,C,17.574
20/1/24 8:27:01 AM,C,18.075
20/1/24 10:27:01 AM,C,20.578
20/1/24 12:27:01 PM,C,24.08
20/1/24 2:27:01 PM,C,24.08
20/1/24 4:27:01 PM,C,23.08
20/1/24 6:27:01 PM,C,22.079
20/1/24 8:27:01 PM,C,19.577
20/1/24 10:27:01 PM,C,18.576
21/1/24 12:27:01 AM,C,18.075
21/1/24 2:27:01 AM,C,18.075
21/1/24 4:27:01 AM,C,18.576
21/1/24 6:27:01 AM,C,18.075
21/1/24 8:27:01 AM,C,19.076
21/1/24 10:27:01 AM,C,21.078
21/1/24 12:27:01 PM,C,23.58
21/1/24 2:27:01 PM,C,24.08
21/1/24 4:27:01 PM,C,23.58
21/1/24 6:27:01 PM,C,22.079
21/1/24 8:27:01 PM,C,21.579
21/1/24 10:27:01 PM,C,20.077
22/1/24 12:27:01 AM,C,19.076
22/1/24 2:27:01 AM,C,18.576
22/1/24 4:27:01 AM,C,18.075
22/1/24 6:27:01 AM,C,17.574
22/1/24 8:27:01 AM,C,18.075
22/1/24 10:27:01 AM,C,21.579
22/1/24 12:27:01 PM,C,23.58
22/1/24 2:27:01 PM,C,24.58
22/1/24 4:27:01 PM,C,23.58
22/1/24 6:27:01 PM,C,22.079
22/1/24 8:27:01 PM,C,20.578
22/1/24 10:27:01 PM,C,20.077
23/1/24 12:27:01 AM,C,18.576
23/1/24 2:27:01 AM,C,18.576
23/1/24 4:27:01 AM,C,17.574
23/1/24 6:27:01 AM,C,17.074
23/1/24 8:27:01 AM,C,19.076
23/1/24 10:27:01 AM,C,21.078
23/1/24 12:27:01 PM,C,23.58
23/1/24 2:27:01 PM,C,24.08
23/1/24 4:27:01 PM,C,23.08
23/1/24 6:27:01 PM,C,21.579
23/1/24 8:27:01 PM,C,19.577
23/1/24 10:27:01 PM,C,18.075
24/1/24 12:27:01 AM,C,17.074
24/1/24 2:27:01 AM,C,16.573
24/1/24 4:27:01 AM,C,15.571
24/1/24 6:27:01 AM,C,15.07
24/1/24 8:27:01 AM,C,15.571
24/1/24 10:27:01 AM,C,20.077
24/1/24 12:27:01 PM,C,22.579
24/1/24 2:27:01 PM,C,22.579
24/1/24 4:27:01 PM,C,22.079
24/1/24 6:27:01 PM,C,20.578
24/1/24 8:27:01 PM,C,19.577
24/1/24 10:27:01 PM,C,17.574
25/1/24 12:27:01 AM,C,16.573
25/1/24 2:27:01 AM,C,14.569
25/1/24 4:27:01 AM,C,14.569
25/1/24 6:27:01 AM,C,14.569
25/1/24 8:27:01 AM,C,15.571
25/1/24 10:27:01 AM,C,20.578
25/1/24 12:27:01 PM,C,22.079
25/1/24 2:27:01 PM,C,22.579
25/1/24 4:27:01 PM,C,22.079
25/1/24 6:27:01 PM,C,20.578
25/1/24 8:27:01 PM,C,19.577
25/1/24 10:27:01 PM,C,18.075
26/1/24 12:27:01 AM,C,17.074
26/1/24 2:27:01 AM,C,17.074
26/1/24 4:27:01 AM,C,17.074
26/1/24 6:27:01 AM,C,17.074
26/1/24 8:27:01 AM,C,17.574
26/1/24 10:27:01 AM,C,20.077
26/1/24 12:27:01 PM,C,22.079
26/1/24 2:27:01 PM,C,22.579
26/1/24 4:27:01 PM,C,22.079
26/1/24 6:27:01 PM,C,20.578
26/1/24 8:27:01 PM,C,18.075
26/1/24 10:27:01 PM,C,17.074
27/1/24 12:27:01 AM,C,16.072
27/1/24 2:27:01 AM,C,16.573
27/1/24 4:27:01 AM,C,17.074
27/1/24 6:27:01 AM,C,17.074
27/1/24 8:27:01 AM,C,17.074
27/1/24 10:27:01 AM,C,20.077
27/1/24 12:27:01 PM,C,22.079
27/1/24 2:27:01 PM,C,23.08
27/1/24 4:27:01 PM,C,22.079
27/1/24 6:27:01 PM,C,20.578
27/1/24 8:27:01 PM,C,17.574
27/1/24 10:27:01 PM,C,17.574
28/1/24 12:27:01 AM,C,17.574
28/1/24 2:27:01 AM,C,17.574
28/1/24 4:27:01 AM,C,17.074
28/1/24 6:27:01 AM,C,16.573
28/1/24 8:27:01 AM,C,17.574
28/1/24 10:27:01 AM,C,20.077
28/1/24 12:27:01 PM,C,22.079
28/1/24 2:27:01 PM,C,23.58
28/1/24 4:27:01 PM,C,22.079
28/1/24 6:27:01 PM,C,20.578
28/1/24 8:27:01 PM,C,18.075
28/1/24 10:27:01 PM,C,17.074
29/1/24 12:27:01 AM,C,16.072
29/1/24 2:27:01 AM,C,15.571
29/1/24 4:27:01 AM,C,16.573
29/1/24 6:27:01 AM,C,16.573
29/1/24 8:27:01 AM,C,17.574
29/1/24 10:27:01 AM,C,20.077
29/1/24 12:27:01 PM,C,22.079
29/1/24 2:27:01 PM,C,23.08
29/1/24 4:27:01 PM,C,22.579
29/1/24 6:27:01 PM,C,21.078
29/1/24 8:27:01 PM,C,18.075
29/1/24 10:27:01 PM,C,17.074
30/1/24 12:27:01 AM,C,15.571
30/1/24 2:27:01 AM,C,16.072
30/1/24 4:27:01 AM,C,17.074
30/1/24 6:27:01 AM,C,16.072
30/1/24 8:27:01 AM,C,16.573
30/1/24 10:27:01 AM,C,20.077
30/1/24 12:27:01 PM,C,23.08
30/1/24 2:27:01 PM,C,23.58
30/1/24 4:27:01 PM,C,22.579
30/1/24 6:27:01 PM,C,20.578
30/1/24 8:27:01 PM,C,17.574
30/1/24 10:27:01 PM,C,17.074
31/1/24 12:27:01 AM,C,16.072
31/1/24 2:27:01 AM,C,15.571
31/1/24 4:27:01 AM,C,15.07
31/1/24 6:27:01 AM,C,14.569
31/1/24 8:27:01 AM,C,15.571
31/1/24 10:27:01 AM,C,20.077
31/1/24 12:27:01 PM,C,23.08
31/1/24 2:27:01 PM,C,23.08
31/1/24 4:27:01 PM,C,22.579
31/1/24 6:27:01 PM,C,20.077
31/1/24 8:27:01 PM,C,17.074
31/1/24 10:27:01 PM,C,15.571
1/2/24 12:27:01 AM,C,15.571
1/2/24 2:27:01 AM,C,15.571
1/2/24 4:27:01 AM,C,15.571
1/2/24 6:27:01 AM,C,15.07
1/2/24 8:27:01 AM,C,15.571
1/2/24 10:27:01 AM,C,20.578
1/2/24 12:27:01 PM,C,23.08
1/2/24 2:27:01 PM,C,23.58
1/2/24 4:27:01 PM,C,22.579
1/2/24 6:27:01 PM,C,21.078
1/2/24 8:27:01 PM,C,18.576
1/2/24 10:27:01 PM,C,17.074
2/2/24 12:27:01 AM,C,16.573
2/2/24 2:27:01 AM,C,16.573
2/2/24 4:27:01 AM,C,15.571
2/2/24 6:27:01 AM,C,14.569
2/2/24 8:27:01 AM,C,16.072
2/2/24 10:27:01 AM,C,20.077
2/2/24 12:27:01 PM,C,23.58
2/2/24 2:27:01 PM,C,23.58
2/2/24 4:27:01 PM,C,23.08
2/2/24 6:27:01 PM,C,21.579
2/2/24 8:27:01 PM,C,19.076
2/2/24 10:27:01 PM,C,17.574
3/2/24 12:27:01 AM,C,16.573
3/2/24 2:27:01 AM,C,15.571
3/2/24 4:27:01 AM,C,14.569
3/2/24 6:27:01 AM,C,16.072
3/2/24 8:27:01 AM,C,17.574
3/2/24 10:27:01 AM,C,21.078
3/2/24 12:27:01 PM,C,23.08
3/2/24 2:27:01 PM,C,25.08
3/2/24 4:27:01 PM,C,23.58
3/2/24 6:27:01 PM,C,22.079
3/2/24 8:27:01 PM,C,20.077
3/2/24 10:27:01 PM,C,19.076
4/2/24 12:27:01 AM,C,18.576
4/2/24 2:27:01 AM,C,18.576
4/2/24 4:27:01 AM,C,19.076
4/2/24 6:27:01 AM,C,19.076
4/2/24 8:27:01 AM,C,19.076
4/2/24 10:27:01 AM,C,21.579
4/2/24 12:27:01 PM,C,23.58
4/2/24 2:27:01 PM,C,23.58
4/2/24 4:27:01 PM,C,23.58
4/2/24 6:27:01 PM,C,22.579
4/2/24 8:27:01 PM,C,21.078
4/2/24 10:27:01 PM,C,19.076
5/2/24 12:27:01 AM,C,18.075
5/2/24 2:27:01 AM,C,17.074
5/2/24 4:27:01 AM,C,16.573
5/2/24 6:27:01 AM,C,16.072
5/2/24 8:27:01 AM,C,17.074
5/2/24 10:27:01 AM,C,20.578
5/2/24 12:27:01 PM,C,23.58
5/2/24 2:27:01 PM,C,24.58
5/2/24 4:27:01 PM,C,23.58
5/2/24 6:27:01 PM,C,21.579
5/2/24 8:27:01 PM,C,19.577
5/2/24 10:27:01 PM,C,19.577
6/2/24 12:27:01 AM,C,18.576
6/2/24 2:27:01 AM,C,17.074
6/2/24 4:27:01 AM,C,16.573
6/2/24 6:27:01 AM,C,16.573
6/2/24 8:27:01 AM,C,18.075
6/2/24 10:27:01 AM,C,21.078
6/2/24 12:27:01 PM,C,24.58
6/2/24 2:27:01 PM,C,25.08
6/2/24 4:27:01 PM,C,24.58
6/2/24 6:27:01 PM,C,22.579
6/2/24 8:27:01 PM,C,19.076
6/2/24 10:27:01 PM,C,18.576
7/2/24 12:27:01 AM,C,17.574
7/2/24 2:27:01 AM,C,17.574
7/2/24 4:27:01 AM,C,18.075
7/2/24 6:27:01 AM,C,18.075
7/2/24 8:27:01 AM,C,19.076
