1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A10000007DA8ED41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Sat Jan 13 20:14:01 IST 2024
Mission Sample Count:  2673
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Sat Jan 13 20:14:01 IST 2024
Total Mission Samples:  2673
Total Device Samples:  11623
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
13/1/24 8:14:01 PM,%RH,79.579
13/1/24 10:14:01 PM,%RH,80.728
14/1/24 12:14:01 AM,%RH,81.3
14/1/24 2:14:01 AM,%RH,80.728
14/1/24 4:14:01 AM,%RH,81.3
14/1/24 6:14:01 AM,%RH,81.3
14/1/24 8:14:01 AM,%RH,86.378
14/1/24 10:14:01 AM,%RH,70.756
14/1/24 12:14:01 PM,%RH,73.144
14/1/24 2:14:01 PM,%RH,55.891
14/1/24 4:14:01 PM,%RH,77.843
14/1/24 6:14:01 PM,%RH,91.326
14/1/24 8:14:01 PM,%RH,94.553
14/1/24 10:14:01 PM,%RH,96.145
15/1/24 12:14:01 AM,%RH,91.868
15/1/24 2:14:01 AM,%RH,92.947
15/1/24 4:14:01 AM,%RH,97.722
15/1/24 6:14:01 AM,%RH,98.766
15/1/24 8:14:01 AM,%RH,99.285
15/1/24 10:14:01 AM,%RH,94.553
15/1/24 12:14:01 PM,%RH,78.423
15/1/24 2:14:01 PM,%RH,73.144
15/1/24 4:14:01 PM,%RH,78.423
15/1/24 6:14:01 PM,%RH,86.934
15/1/24 8:14:01 PM,%RH,95.616
15/1/24 10:14:01 PM,%RH,96.145
16/1/24 12:14:01 AM,%RH,98.766
16/1/24 2:14:01 AM,%RH,98.766
16/1/24 4:14:01 AM,%RH,100.834
16/1/24 6:14:01 AM,%RH,100.319
16/1/24 8:14:01 AM,%RH,99.285
16/1/24 10:14:01 AM,%RH,96.145
16/1/24 12:14:01 PM,%RH,80.728
16/1/24 2:14:01 PM,%RH,80.154
16/1/24 4:14:01 PM,%RH,86.934
16/1/24 6:14:01 PM,%RH,91.868
16/1/24 8:14:01 PM,%RH,96.145
16/1/24 10:14:01 PM,%RH,97.722
17/1/24 12:14:01 AM,%RH,98.245
17/1/24 2:14:01 AM,%RH,99.285
17/1/24 4:14:01 AM,%RH,98.766
17/1/24 6:14:01 AM,%RH,99.803
17/1/24 8:14:01 AM,%RH,99.803
17/1/24 10:14:01 AM,%RH,94.553
17/1/24 12:14:01 PM,%RH,85.82
17/1/24 2:14:01 PM,%RH,86.378
17/1/24 4:14:01 PM,%RH,81.3
17/1/24 6:14:01 PM,%RH,88.593
17/1/24 8:14:01 PM,%RH,94.553
17/1/24 10:14:01 PM,%RH,97.198
18/1/24 12:14:01 AM,%RH,98.766
18/1/24 2:14:01 AM,%RH,99.803
18/1/24 4:14:01 AM,%RH,99.285
18/1/24 6:14:01 AM,%RH,99.285
18/1/24 8:14:01 AM,%RH,100.319
18/1/24 10:14:01 AM,%RH,96.672
18/1/24 12:14:01 PM,%RH,85.82
18/1/24 2:14:01 PM,%RH,85.82
18/1/24 4:14:01 PM,%RH,88.593
18/1/24 6:14:01 PM,%RH,91.868
18/1/24 8:14:01 PM,%RH,97.198
18/1/24 10:14:01 PM,%RH,98.245
19/1/24 12:14:01 AM,%RH,99.803
19/1/24 2:14:01 AM,%RH,99.803
19/1/24 4:14:01 AM,%RH,100.319
19/1/24 6:14:01 AM,%RH,101.347
19/1/24 8:14:01 AM,%RH,101.347
19/1/24 10:14:01 AM,%RH,98.245
19/1/24 12:14:01 PM,%RH,94.019
19/1/24 2:14:01 PM,%RH,88.593
19/1/24 4:14:01 PM,%RH,88.593
19/1/24 6:14:01 PM,%RH,94.553
19/1/24 8:14:01 PM,%RH,98.245
19/1/24 10:14:01 PM,%RH,98.245
20/1/24 12:14:01 AM,%RH,97.722
20/1/24 2:14:01 AM,%RH,99.285
20/1/24 4:14:01 AM,%RH,100.319
20/1/24 6:14:01 AM,%RH,100.319
20/1/24 8:14:01 AM,%RH,100.319
20/1/24 10:14:01 AM,%RH,99.285
20/1/24 12:14:01 PM,%RH,90.783
20/1/24 2:14:01 PM,%RH,87.488
20/1/24 4:14:01 PM,%RH,86.934
20/1/24 6:14:01 PM,%RH,94.553
20/1/24 8:14:01 PM,%RH,97.722
20/1/24 10:14:01 PM,%RH,99.285
21/1/24 12:14:01 AM,%RH,99.803
21/1/24 2:14:01 AM,%RH,99.803
21/1/24 4:14:01 AM,%RH,99.803
21/1/24 6:14:01 AM,%RH,101.347
21/1/24 8:14:01 AM,%RH,100.319
21/1/24 10:14:01 AM,%RH,97.198
21/1/24 12:14:01 PM,%RH,84.7
21/1/24 2:14:01 PM,%RH,85.261
21/1/24 4:14:01 PM,%RH,85.82
21/1/24 6:14:01 PM,%RH,91.326
21/1/24 8:14:01 PM,%RH,94.553
21/1/24 10:14:01 PM,%RH,98.766
22/1/24 12:14:01 AM,%RH,99.285
22/1/24 2:14:01 AM,%RH,99.285
22/1/24 4:14:01 AM,%RH,98.766
22/1/24 6:14:01 AM,%RH,100.834
22/1/24 8:14:01 AM,%RH,100.834
22/1/24 10:14:01 AM,%RH,98.245
22/1/24 12:14:01 PM,%RH,87.488
22/1/24 2:14:01 PM,%RH,89.691
22/1/24 4:14:01 PM,%RH,89.691
22/1/24 6:14:01 PM,%RH,90.783
22/1/24 8:14:01 PM,%RH,95.085
22/1/24 10:14:01 PM,%RH,97.722
23/1/24 12:14:01 AM,%RH,99.803
23/1/24 2:14:01 AM,%RH,99.803
23/1/24 4:14:01 AM,%RH,100.319
23/1/24 6:14:01 AM,%RH,100.834
23/1/24 8:14:01 AM,%RH,101.347
23/1/24 10:14:01 AM,%RH,94.553
23/1/24 12:14:01 PM,%RH,85.261
23/1/24 2:14:01 PM,%RH,83.573
23/1/24 4:14:01 PM,%RH,89.691
23/1/24 6:14:01 PM,%RH,91.326
23/1/24 8:14:01 PM,%RH,95.085
23/1/24 10:14:01 PM,%RH,98.766
24/1/24 12:14:01 AM,%RH,98.245
24/1/24 2:14:01 AM,%RH,99.285
24/1/24 4:14:01 AM,%RH,100.834
24/1/24 6:14:01 AM,%RH,99.803
24/1/24 8:14:01 AM,%RH,101.347
24/1/24 10:14:01 AM,%RH,94.019
24/1/24 12:14:01 PM,%RH,81.871
24/1/24 2:14:01 PM,%RH,79.579
24/1/24 4:14:01 PM,%RH,83.007
24/1/24 6:14:01 PM,%RH,89.143
24/1/24 8:14:01 PM,%RH,94.019
24/1/24 10:14:01 PM,%RH,97.198
25/1/24 12:14:01 AM,%RH,97.722
25/1/24 2:14:01 AM,%RH,98.245
25/1/24 4:14:01 AM,%RH,98.245
25/1/24 6:14:01 AM,%RH,99.803
25/1/24 8:14:01 AM,%RH,101.347
25/1/24 10:14:01 AM,%RH,92.947
25/1/24 12:14:01 PM,%RH,85.82
25/1/24 2:14:01 PM,%RH,82.44
25/1/24 4:14:01 PM,%RH,86.378
25/1/24 6:14:01 PM,%RH,90.783
25/1/24 8:14:01 PM,%RH,96.145
25/1/24 10:14:01 PM,%RH,97.722
26/1/24 12:14:01 AM,%RH,98.766
26/1/24 2:14:01 AM,%RH,98.766
26/1/24 4:14:01 AM,%RH,100.319
26/1/24 6:14:01 AM,%RH,101.347
26/1/24 8:14:01 AM,%RH,98.245
26/1/24 10:14:01 AM,%RH,92.947
26/1/24 12:14:01 PM,%RH,79.002
26/1/24 2:14:01 PM,%RH,73.737
26/1/24 4:14:01 PM,%RH,70.756
26/1/24 6:14:01 PM,%RH,84.7
26/1/24 8:14:01 PM,%RH,94.553
26/1/24 10:14:01 PM,%RH,97.722
27/1/24 12:14:01 AM,%RH,98.245
27/1/24 2:14:01 AM,%RH,97.722
27/1/24 4:14:01 AM,%RH,96.672
27/1/24 6:14:01 AM,%RH,96.672
27/1/24 8:14:01 AM,%RH,98.766
27/1/24 10:14:01 AM,%RH,92.408
27/1/24 12:14:01 PM,%RH,74.328
27/1/24 2:14:01 PM,%RH,70.155
27/1/24 4:14:01 PM,%RH,71.953
27/1/24 6:14:01 PM,%RH,72.549
27/1/24 8:14:01 PM,%RH,85.82
27/1/24 10:14:01 PM,%RH,92.947
28/1/24 12:14:01 AM,%RH,86.934
28/1/24 2:14:01 AM,%RH,89.143
28/1/24 4:14:01 AM,%RH,93.484
28/1/24 6:14:01 AM,%RH,96.672
28/1/24 8:14:01 AM,%RH,98.245
28/1/24 10:14:01 AM,%RH,91.868
28/1/24 12:14:01 PM,%RH,78.423
28/1/24 2:14:01 PM,%RH,70.155
28/1/24 4:14:01 PM,%RH,69.552
28/1/24 6:14:01 PM,%RH,81.871
28/1/24 8:14:01 PM,%RH,92.408
28/1/24 10:14:01 PM,%RH,95.616
29/1/24 12:14:01 AM,%RH,98.766
29/1/24 2:14:01 AM,%RH,99.285
29/1/24 4:14:01 AM,%RH,100.319
29/1/24 6:14:01 AM,%RH,100.319
29/1/24 8:14:01 AM,%RH,98.245
29/1/24 10:14:01 AM,%RH,93.484
29/1/24 12:14:01 PM,%RH,83.573
29/1/24 2:14:01 PM,%RH,76.678
29/1/24 4:14:01 PM,%RH,76.093
29/1/24 6:14:01 PM,%RH,86.934
29/1/24 8:14:01 PM,%RH,95.616
29/1/24 10:14:01 PM,%RH,96.145
30/1/24 12:14:01 AM,%RH,99.285
30/1/24 2:14:01 AM,%RH,97.198
30/1/24 4:14:01 AM,%RH,96.145
30/1/24 6:14:01 AM,%RH,88.593
30/1/24 8:14:01 AM,%RH,96.145
30/1/24 10:14:01 AM,%RH,92.408
30/1/24 12:14:01 PM,%RH,74.918
30/1/24 2:14:01 PM,%RH,74.918
30/1/24 4:14:01 PM,%RH,80.728
30/1/24 6:14:01 PM,%RH,82.44
30/1/24 8:14:01 PM,%RH,91.868
30/1/24 10:14:01 PM,%RH,96.145
31/1/24 12:14:01 AM,%RH,97.722
31/1/24 2:14:01 AM,%RH,98.245
31/1/24 4:14:01 AM,%RH,99.285
31/1/24 6:14:01 AM,%RH,98.766
31/1/24 8:14:01 AM,%RH,100.834
31/1/24 10:14:01 AM,%RH,91.326
31/1/24 12:14:01 PM,%RH,67.735
31/1/24 2:14:01 PM,%RH,68.948
31/1/24 4:14:01 PM,%RH,77.261
31/1/24 6:14:01 PM,%RH,81.871
31/1/24 8:14:01 PM,%RH,92.947
31/1/24 10:14:01 PM,%RH,97.198
1/2/24 12:14:01 AM,%RH,98.245
1/2/24 2:14:01 AM,%RH,99.285
1/2/24 4:14:01 AM,%RH,99.803
1/2/24 6:14:01 AM,%RH,100.319
1/2/24 8:14:01 AM,%RH,101.347
1/2/24 10:14:01 AM,%RH,89.143
1/2/24 12:14:01 PM,%RH,78.423
1/2/24 2:14:01 PM,%RH,71.355
1/2/24 4:14:01 PM,%RH,81.871
1/2/24 6:14:01 PM,%RH,88.593
1/2/24 8:14:01 PM,%RH,96.145
1/2/24 10:14:01 PM,%RH,98.245
2/2/24 12:14:01 AM,%RH,98.766
2/2/24 2:14:01 AM,%RH,99.285
2/2/24 4:14:01 AM,%RH,99.803
2/2/24 6:14:01 AM,%RH,100.319
2/2/24 8:14:01 AM,%RH,100.834
2/2/24 10:14:01 AM,%RH,94.553
2/2/24 12:14:01 PM,%RH,79.579
2/2/24 2:14:01 PM,%RH,76.093
2/2/24 4:14:01 PM,%RH,81.3
2/2/24 6:14:01 PM,%RH,86.378
2/2/24 8:14:01 PM,%RH,95.085
2/2/24 10:14:01 PM,%RH,98.766
3/2/24 12:14:01 AM,%RH,98.766
3/2/24 2:14:01 AM,%RH,99.285
3/2/24 4:14:01 AM,%RH,99.803
3/2/24 6:14:01 AM,%RH,100.834
3/2/24 8:14:01 AM,%RH,101.347
3/2/24 10:14:01 AM,%RH,94.019
3/2/24 12:14:01 PM,%RH,82.44
3/2/24 2:14:01 PM,%RH,81.871
3/2/24 4:14:01 PM,%RH,80.154
3/2/24 6:14:01 PM,%RH,88.593
3/2/24 8:14:01 PM,%RH,94.553
3/2/24 10:14:01 PM,%RH,97.198
4/2/24 12:14:01 AM,%RH,98.766
4/2/24 2:14:01 AM,%RH,99.285
4/2/24 4:14:01 AM,%RH,99.803
4/2/24 6:14:01 AM,%RH,96.672
4/2/24 8:14:01 AM,%RH,95.085
4/2/24 10:14:01 AM,%RH,90.783
4/2/24 12:14:01 PM,%RH,83.573
4/2/24 2:14:01 PM,%RH,80.154
4/2/24 4:14:01 PM,%RH,76.678
4/2/24 6:14:01 PM,%RH,87.488
4/2/24 8:14:01 PM,%RH,95.085
4/2/24 10:14:01 PM,%RH,96.672
5/2/24 12:14:01 AM,%RH,100.319
5/2/24 2:14:01 AM,%RH,99.285
5/2/24 4:14:01 AM,%RH,99.285
5/2/24 6:14:01 AM,%RH,99.285
5/2/24 8:14:01 AM,%RH,100.319
5/2/24 10:14:01 AM,%RH,91.868
5/2/24 12:14:01 PM,%RH,72.549
5/2/24 2:14:01 PM,%RH,67.126
5/2/24 4:14:01 PM,%RH,65.903
5/2/24 6:14:01 PM,%RH,79.579
5/2/24 8:14:01 PM,%RH,90.238
5/2/24 10:14:01 PM,%RH,95.085
6/2/24 12:14:01 AM,%RH,97.722
6/2/24 2:14:01 AM,%RH,98.245
6/2/24 4:14:01 AM,%RH,99.285
6/2/24 6:14:01 AM,%RH,99.285
6/2/24 8:14:01 AM,%RH,99.803
6/2/24 10:14:01 AM,%RH,89.691
6/2/24 12:14:01 PM,%RH,67.735
6/2/24 2:14:01 PM,%RH,56.529
6/2/24 4:14:01 PM,%RH,53.324
6/2/24 6:14:01 PM,%RH,63.439
6/2/24 8:14:01 PM,%RH,81.3
6/2/24 10:14:01 PM,%RH,94.553
